# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.342
metadata : {}


# id : NWRW1800000025.342.1.1
유럽 反긴축 물결

유럽	유럽/NNP
반(反)정부	반/XPN+(/SS+反/SH+)/SS+정부/NNG
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.342.6.2
시위대는 “경제위기는 끝나지 않고 있고 청년 실업률은 계속 오르고 있다”고 비판했다.

시위대는	시위대/NNG+는/JX
“경제위기는	“/SS+경제/NNG+위기/NNG+는/JX
끝나지	끝나/VV+지/EC
않고	않/VX+고/EC
있고	있/VX+고/EC
청년	청년/NNG
실업률은	실업/NNG+률/XSN+은/JX
계속	계속/MAG
오르고	오르/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.342.6.3
최근 정부의 교육예산 삭감에 항의하며 집회를 벌여온 대학생들도 대거 참여했다.

최근	최근/MAG
정부의	정부/NNG+의/JKG
교육예산	교육/NNG+예산/NNG
삭감에	삭감/NNG+에/JKB
항의하며	항의/NNG+하/XSV+며/EC
집회를	집회/NNG+를/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
대학생들도	대학/NNG+생/XSN+들/XSN+도/JX
대거	대거/MAG
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.342.6.4
특히 학생들은 25일은 콜로세움 원형경기장과 피사의 사탑, 26일은 베네치아 산마르코 성당 꼭대기, 27일은 피렌체 대성당 원형 지붕 위 등 유명 유적지에서 기습시위를 이어가고 있다.

특히	특히/MAG
학생들은	학생/NNG+들/XSN+은/JX
25일은	25/SN+일/NNB+은/JX
콜로세움	콜로세움/NNP
원형경기장과	원형/NNG+경기장/NNG+과/JC
피사의	피사/NNP+의/JKG
사탑,	사탑/NNG+,/SP
26일은	26/SN+일/NNB+은/JX
베네치아	베네치아/NNP
산마르코	산마르코/NNP
성당	성당/NNG
꼭대기,	꼭대기/NNG+,/SP
27일은	27/SN+일/NNB+은/JX
피렌체	피렌체/NNP
대성당	대/XPN+성당/NNG
원형	원형/NNG
지붕	지붕/NNG
위	위/NNG
등	등/NNB
유명	유명/NNG
유적지에서	유적지/NNG+에서/JKB
기습시위를	기습/NNG+시위/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.342.6.5
30일 의회에서 투표에 부쳐질 내년도 예산안에 따르면 국가가 대학생에게 지급하는 장학금의 90%가 감축된다고 언론은 전했다.

30일	30/SN+일/NNB
의회에서	의회/NNG+에서/JKB
투표에	투표/NNG+에/JKB
부쳐질	부치/VV+어/EC+지/VX+ㄹ/ETM
내년도	내년도/NNG
예산안에	예산안/NNG+에/JKB
따르면	따르/VV+면/EC
국가가	국가/NNG+가/JKS
대학생에게	대학/NNG+생/XSN+에게/JKB
지급하는	지급/NNG+하/XSV+는/ETM
장학금의	장학금/NNG+의/JKG
90%가	90/SN+%/SW+가/JKS
감축된다고	감축/NNG+되/XSV+ㄴ다고/EC
언론은	언론/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.342.7.1
27일 오스트리아 빈에서도 4000여 명의 시위대가 교육 건강보험 등의 재정지출 삭감에 항의하는 가두시위를 벌인 뒤 베르너 파이만 총리의 사무실 앞 중앙광장에서 집회를 열었다.

27일	27/SN+일/NNB
오스트리아	오스트리아/NNP
빈에서도	빈/NNP+에서/JKB+도/JX
4000여	4000/SN+여/XSN
명의	명/NNB+의/JKG
시위대가	시위대/NNG+가/JKS
교육	교육/NNG
건강보험	건강/NNG+보험/NNG
등의	등/NNB+의/JKG
재정지출	재정/NNG+지출/NNG
삭감에	삭감/NNG+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
가두시위를	가두시위/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
뒤	뒤/NNG
베르너	베르너/NNP
파이만	파이만/NNP
총리의	총리/NNG+의/JKG
사무실	사무실/NNG
앞	앞/NNG
중앙광장에서	중앙/NNG+광장/NNG+에서/JKB
집회를	집회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.342.7.2
시위대는 30일 다시 한 번 집회를 열 계획이다.

시위대는	시위대/NNG+는/JX
30일	30/SN+일/NNB
다시	다시/MAG
한	한/MMN
번	번/NNB
집회를	집회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.342.8.1
한편 같은 날 유럽연합(EU) 소속 27개국 재무장관들은 벨기에 브뤼셀에서 아일랜드 구제금융 지원방안을 최종 타결지을 것으로 전망된다.

한편	한편/MAG
같은	같/VA+은/ETM
날	날/NNG
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
소속	소속/NNG
27개국	27/SN+개국/NNB
재무장관들은	재무/NNG+장관/NNG+들/XSN+은/JX
벨기에	벨기에/NNP
브뤼셀에서	브뤼셀/NNP+에서/JKB
아일랜드	아일랜드/NNP
구제금융	구제/NNG+금융/NNG
지원방안을	지원/NNG+방안/NNG+을/JKO
최종	최종/NNG
타결지을	타결/NNG+짓/VV+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.342.8.2
조제 마누엘 바호주 EU 집행위원장은 회의에 앞서 “우리는 유럽에서 벌어지는 모든 재정위기에 대처할 방법과 능력을 갖추고 있다”고 강조했다.

조제	조제/NNP
마누엘	마누엘/NNP
바호주	바호주/NNP
EU	EU/SL
집행위원장은	집행/NNG+위원장/NNG+은/JX
회의에	회의/NNG+에/JKB
앞서	앞서/VV+어/EC
“우리는	“/SS+우리/NP+는/JX
유럽에서	유럽/NNP+에서/JKB
벌어지는	벌어지/VV+는/ETM
모든	모든/MMN
재정위기에	재정/NNG+위기/NNG+에/JKB
대처할	대처/NNG+하/XSV+ㄹ/ETM
방법과	방법/NNG+과/JC
능력을	능력/NNG+을/JKO
갖추고	갖추/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


