# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.348
metadata : {}


# id : NWRW1800000033.348.1.1
文측 “담판해보자”, 安측 “文측 기대일뿐”… 벌써부터 신경전

文측	文/SH+측/NNB
공동선대본부장은	공동/NNG+선대/NNG+본부장/NNG+은/JX
평화방송	평화방송/NNP
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“민주당	“/SS+민주당/NNP
소속	소속/NNG
후보로	후보/NNG+로/JKB
가는	가/VV+는/ETM
것이	것/NNB+이/JKS
정당정치와	정당/NNG+정치/NNG+와/JC
책임정치에	책임/NNG+정치/NNG+에/JKB
부합한다.	부합/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.348.6.2
국민도 무소속 대통령을 원치 않을 것”이라며 사실상 안 원장의 ‘양보’를 공개 요구했다.

국민도	국민/NNG+도/JX
무소속	무/XPN+소속/NNG
대통령을	대통령/NNG+을/JKO
원치	원/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
사실상	사실/NNG+상/XSN
안	안/NNP
원장의	원장/NNG+의/JKG
‘양보’를	‘/SS+양보/NNG+’/SS+를/JKO
공개	공개/NNG
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.348.6.3
문 후보가 전날 대선후보로 확정된 뒤 “안 원장과의 단일화는 민주당 중심으로 이뤄낼 것”이라고 강조한 것과 맥이 닿아 있다.

문	문/NNP
후보가	후보/NNG+가/JKS
전날	전날/NNG
대선후보로	대선/NNG+후보/NNG+로/JKB
확정된	확정/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
“안	“/SS+안/NNP
원장과의	원장/NNG+과/JKB+의/JKG
단일화는	단일/NNG+화/XSN+는/JX
민주당	민주당/NNP
중심으로	중심/NNG+으로/JKB
이뤄낼	이루/VV+어/EC+내/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조한	강조/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
맥이	맥/NNG+이/JKS
닿아	닿/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.348.6.4
문 후보 측 관계자는 “지난해 10월 서울시장 보궐선거 당시 박원순 시장과 안 원장 간 단일화 방식이었던 ‘담판’이 가장 이상적인 방안”이라며 “문 후보가 ‘공동정부론’ ‘책임총리제’를 주창한 것도 안 원장과의 단일화를 위한 측면이 강하다”고 했다.

문	문/NNP
후보	후보/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
“지난해	“/SS+지난해/NNG
10월	10/SN+월/NNB
서울시장	서울시장/NNG
보궐선거	보궐/NNG+선거/NNG
당시	당시/NNG
박원순	박원순/NNP
시장과	시장/NNG+과/JC
안	안/NNP
원장	원장/NNG
간	간/NNB
단일화	단일/NNG+화/XSN
방식이었던	방식/NNG+이/VCP+었/EP+던/ETM
‘담판’이	‘/SS+담판/NNG+’/SS+이/JKS
가장	가장/MAG
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
방안”이라며	방안/NNG+”/SS+이/VCP+라며/EC
“문	“/SS+문/NNP
후보가	후보/NNG+가/JKS
‘공동정부론’	‘/SS+공동/NNG+정부/NNG+론/XSN+’/SS
‘책임총리제’를	‘/SS+책임/NNG+총리/NNG+제/XSN+’/SS+를/JKO
주창한	주창/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
원장과의	원장/NNG+과/JKB+의/JKG
단일화를	단일/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
측면이	측면/NNG+이/JKS
강하다”고	강하/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.348.7.1
그러나 안 원장 측 금태섭 변호사는 “담판을 통한 단일화는 문 후보 측의 기대일 뿐”이라고 일축했다.

그러나	그러나/MAJ
안	안/NNP
원장	원장/NNG
측	측/NNB
금태섭	금태섭/NNP
변호사는	변호사/NNG+는/JX
“담판을	“/SS+담판/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
단일화는	단일/NNG+화/XSN+는/JX
문	문/NNP
후보	후보/NNG
측의	측/NNB+의/JKG
기대일	기대/NNG+이/VCP+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.348.7.2
이에 따라 안 원장이 대선 출마를 선언하는 자리에서 단일화에 대해 어떤 발언을 내놓을지 주목된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
안	안/NNP
원장이	원장/NNG+이/JKS
대선	대선/NNG
출마를	출마/NNG+를/JKO
선언하는	선언/NNG+하/XSV+는/ETM
자리에서	자리/NNG+에서/JKB
단일화에	단일/NNG+화/XSN+에/JKB
대해	대하/VV+아/EC
어떤	어떤/MMD
발언을	발언/NNG+을/JKO
내놓을지	내놓/VV+을지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.348.8.1
이런 가운데 조국 서울대 법학전문대학원 교수는 트위터에 글을 올려 “전국을 순회하는 문재인-안철수 토크콘서트 ‘국민에게 문(文)안(安) 드립니다’를 열자”고 제안했다.

이런	이런/MMD
가운데	가운데/NNG
조국	조국/NNP
서울대	서울대/NNP
법학전문대학원	법학/NNG+전문/NNG+대학원/NNG
교수는	교수/NNG+는/JX
트위터에	트위터/NNP+에/JKB
글을	글/NNG+을/JKO
올려	올리/VV+어/EC
“전국을	“/SS+전국/NNG+을/JKO
순회하는	순회/NNG+하/XSV+는/ETM
문재인-안철수	문재인/NNP+-/SO+안철수/NNP
토크콘서트	토크콘서트/NNG
‘국민에게	‘/SS+국민/NNG+에게/JKB
문(文)안(安)	문/NNP+(/SS+文/SH+)/SS+안/NNP+(/SS+安/SH+)/SS
드립니다’를	드리/VV+ㅂ니다/EF+’/SS+를/JKO
열자”고	열/VV+자/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.348.8.2
국민 앞에서 상호토론을 하는 일종의 ‘타운홀 미팅’을 하자는 것으로 단일화에 따른 시너지 효과를 극대화하기 위한 아이디어다.

국민	국민/NNG
앞에서	앞/NNG+에서/JKB
상호토론을	상호/NNG+토론/NNG+을/JKO
하는	하/VV+는/ETM
일종의	일종/NNG+의/JKG
‘타운홀	‘/SS+타운홀/NNG
미팅’을	미팅/NNG+’/SS+을/JKO
하자는	하/VV+자는/ETM
것으로	것/NNB+으로/JKB
단일화에	단일/NNG+화/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
극대화하기	극대/NNG+화/XSN+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
아이디어다.	아이디어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.348.9.1
새누리당은 야권 단일화 움직임에 대해 “묻지마 식 야합”이라고 맹비난하며 경계심을 드러냈다.

새누리당은	새누리당/NNP+은/JX
야권	야권/NNG
단일화	단일/NNG+화/XSN
움직임에	움직임/NNG+에/JKB
대해	대하/VV+아/EC
“묻지마	“/SS+묻/VV+지/EC+말/VX+아/EF
식	식/NNB
야합”이라고	야합/NNG+”/SS+이라고/JKQ
맹비난하며	맹비난/NNG+하/XSV+며/EC
경계심을	경계심/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.348.9.2
황우여 대표는 최고위원회의에서 “제1 야당인 민주당이 대선후보를 내지 않거나 대선후보를 선출해 놓고도 불출마한다면 국민이 혼란에 빠질 것”이라고 했다.

황우여	황우여/NNP
대표는	대표/NNG+는/JX
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“제1	“/SS+제/XPN+1/SN
야당인	야당/NNG+이/VCP+ㄴ/ETM
민주당이	민주당/NNP+이/JKS
대선후보를	대선/NNG+후보/NNG+를/JKO
내지	내/VV+지/EC
않거나	않/VX+거나/EC
선출해	선출/NNG+하/XSV+아/EC
놓고도	놓/VX+고/EC+도/JX
불출마한다면	불/XPN+출마/NNG+하/XSV+ㄴ다면/EC
국민이	국민/NNG+이/JKS
혼란에	혼란/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.348.9.3
유기준 최고위원은 단일화 움직임을 야구에 빗대 “문 후보가 코리안 시리즈에 직행할지 아니면 플레이오프를 치를지는 안 원장의 결정에 달렸다”며 “민주당이 후보를 내지 못한다면 ‘서포터스 정당’이란 오명을 쓰게 될 것”이라고 꼬집었다.

유기준	유기준/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
단일화	단일/NNG+화/XSN
움직임을	움직임/NNG+을/JKO
야구에	야구/NNG+에/JKB
빗대	빗대/VV+어/EC
“문	“/SS+문/NNP
후보가	후보/NNG+가/JKS
코리안	코리안/NNP
시리즈에	시리즈/NNG+에/JKB
직행할지	직행/NNG+하/XSV+ㄹ지/EF
아니면	아니/VCN+면/EC
플레이오프를	플레이오프/NNG+를/JKO
치를지는	치르/VV+ㄹ지/EF+는/JX
안	안/NNP
원장의	원장/NNG+의/JKG
결정에	결정/NNG+에/JKB
달렸다”며	달리/VV+었/EP+다/EF+”/SS+며/EC
“민주당이	“/SS+민주당/NNP+이/JKS
후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
못한다면	못하/VX+ㄴ다면/EC
‘서포터스	‘/SS+서포터스/NNG
정당’이란	정당/NNG+’/SS+이/VCP+란/ETM
오명을	오명/NNG+을/JKO
쓰게	쓰/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.348.9.4
정우택 최고위원은 “(문 후보는) 친노 정부의 부정부패에 분명히 사죄해야 한다”며 “공동정부는 후안무치한 담합행위”라고 비난했다.

정우택	정우택/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
“(문	“/SS+(/SS+문/NNP
후보는)	후보/NNG+는/JX+)/SS
친노	친/XPN+노/NNP
정부의	정부/NNG+의/JKG
부정부패에	부정부패/NNG+에/JKB
분명히	분명히/MAG
사죄해야	사죄/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“공동정부는	“/SS+공동/NNG+정부/NNG+는/JX
후안무치한	후안무치/NNG+하/XSA+ㄴ/ETM
담합행위”라고	담합/NNG+행위/NNG+”/SS+라고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.348.10.1
한편 통합진보당 탈당파들의 신당 창당준비조직인 ‘새진보정당추진회의’ 소속 서기호 의원은 평화방송 라디오 인터뷰에서 “(신당은) 안 원장이 연대하고 싶은 마음이 들게 성찰하고 단장하는 측면에 방점이 찍혀 있다”고 말했다.

한편	한편/MAG
통합진보당	통합진보당/NNP
탈당파들의	탈당파/NNG+들/XSN+의/JKG
신당	신당/NNG
창당준비조직인	창당/NNG+준비/NNG+조직/NNG+이/VCP+ㄴ/ETM
‘새진보정당추진회의’	‘/SS+새/MMA+진보/NNG+정당/NNG+추진/NNG+회의/NNG+’/SS
소속	소속/NNG
서기호	서기호/NNP
의원은	의원/NNG+은/JX
평화방송	평화방송/NNP
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“(신당은)	“/SS+(/SS+신당/NNG+은/JX+)/SS
안	안/NNP
원장이	원장/NNG+이/JKS
연대하고	연대/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
마음이	마음/NNG+이/JKS
들게	들/VV+게/EC
성찰하고	성찰/NNG+하/XSV+고/EC
단장하는	단장/NNG+하/XSV+는/ETM
측면에	측면/NNG+에/JKB
방점이	방점/NNG+이/JKS
찍혀	찍히/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.348.10.2
안 원장에게 “함께하자”는 러브콜을 보낸 것이다.

안	안/NNP
원장에게	원장/NNG+에게/JKB
“함께하자”는	“/SS+함께/MAG+하/XSV+자/EF+”/SS+는/ETM
러브콜을	러브콜/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


