# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.364
metadata : {}


# id : NWRW1800000024.364.1.1
부산서 되짚어보는 ‘10·4선언’

부산서	부산/NNP+서/JKB
평화통일을	평화/NNG+통일/NNG+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
젊은이들의	젊은이/NNG+들/XSN+의/JKG
창작	창작/NNG
영상물과	영상물/NNG+과/JC
웹포스터를	웹/NNG+포스터/NNG+를/JKO
상영	상영/NNG
전시하는	전시/NNG+하/XSV+는/ETM
유시시(UCC)	유시시/NNG+(/SS+UCC/SL+)/SS
공모전	공모전/NNG
페스티벌도	페스티벌/NNG+도/JX
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.364.5.1
10·4선언 행사위는 6일 오후 부산역 광장에서 불교·개신교·천주교·원불교 등 종교인 20여명이 참가한 가운데 남북화해와 6·15 및 10·4 선언 이행, 금강산 관광 재개를 위한 108배 행사도 열기로 했다.

10·4선언	10/SN+·/SP+4/SN+선언/NNG
행사위는	행사위/NNG+는/JX
6일	6/SN+일/NNB
오후	오후/NNG
부산역	부산역/NNP
광장에서	광장/NNG+에서/JKB
불교·개신교·천주교·원불교	불교/NNG+·/SP+개신교/NNG+·/SP+천주교/NNG+·/SP+원불교/NNG
등	등/NNB
종교인	종교인/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
참가한	참가/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
남북화해와	남북/NNP+화해/NNG+와/JC
6·15	6/SN+·/SP+15/SN
및	및/MAG
10·4	10/SN+·/SP+4/SN
선언	선언/NNG
이행,	이행/NNG+,/SP
금강산	금강산/NNP
관광	관광/NNG
재개를	재개/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
108배	108/SN+배/NNG
행사도	행사/NNG+도/JX
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.364.6.1
도한영 6·15 부산본부 사무처장은 “적대적 관계의 남북정책을 민족의 단합과 화해 정책으로 전환할 수 있는 여론의 토대를 마련하고, 6·15 및 10·4 선언의 이행과 실천을 바라는 지역 시민사회단체들이 연대할 수 있는 계기를 찾기 위해 10·4 선언 다시보기 행사를 기획했다”고 말했다.

도한영	도한영/NNP
6·15	6/SN+·/SP+15/SN
부산본부	부산/NNP+본부/NNG
사무처장은	사무처장/NNG+은/JX
“적대적	“/SS+적대/NNG+적/XSN
관계의	관계/NNG+의/JKG
남북정책을	남북/NNP+정책/NNG+을/JKO
민족의	민족/NNG+의/JKG
단합과	단합/NNG+과/JC
화해	화해/NNG
정책으로	정책/NNG+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여론의	여론/NNG+의/JKG
토대를	토대/NNG+를/JKO
마련하고,	마련/NNG+하/XSV+고/EC+,/SP
및	및/MAG
10·4	10/SN+·/SP+4/SN
선언의	선언/NNG+의/JKG
이행과	이행/NNG+과/JC
실천을	실천/NNG+을/JKO
바라는	바라/VV+는/ETM
지역	지역/NNG
시민사회단체들이	시민/NNG+사회단체/NNG+들/XSN+이/JKS
연대할	연대/NNG+하/XSV+ㄹ/ETM
계기를	계기/NNG+를/JKO
찾기	찾/VV+기/ETN
위해	위하/VV+아/EC
선언	선언/NNG
다시보기	다시/MAG+보/VV+기/ETN
행사를	행사/NNG+를/JKO
기획했다”고	기획/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


