# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.160
metadata : {}


# id : NWRW1800000021.160.1.1
[박영균 논설위원의 추천! 비즈 북스]불황의 경제학

[박영균	[/SS+박영균/NNP
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.160.6.4
공황경제가 컴백하고 있으며 세계 경제가 우리가 생각하고 있는 것보다 훨씬 더 위험한 지경에 처해 있다고 주장했다.

공황경제가	공황/NNG+경제/NNG+가/JKS
컴백하고	컴백/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
세계	세계/NNG
경제가	경제/NNG+가/JKS
우리가	우리/NP+가/JKS
생각하고	생각/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것보다	것/NNB+보다/JKB
훨씬	훨씬/MAG
더	더/MAG
위험한	위험/NNG+하/XSA+ㄴ/ETM
지경에	지경/NNB+에/JKB
처해	처하/VV+아/EC
있다고	있/VX+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.160.6.5
이번에도 그의 경고대로 위기가 터졌다.

이번에도	이번/NNG+에/JKB+도/JX
그의	그/NP+의/JKG
경고대로	경고/NNG+대로/JX
위기가	위기/NNG+가/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.160.7.1
이 책은 경제위기의 여러 측면을 파헤치고 과거의 위기를 분석해 왜 위기가 왔는지 보여준다.

이	이/MMD
책은	책/NNG+은/JX
경제위기의	경제/NNG+위기/NNG+의/JKG
여러	여러/MMN
측면을	측면/NNG+을/JKO
파헤치고	파헤치/VV+고/EC
과거의	과거/NNG+의/JKG
위기를	위기/NNG+를/JKO
분석해	분석/NNG+하/XSV+아/EC
왜	왜/MAG
위기가	위기/NNG+가/JKS
왔는지	오/VV+았/EP+는지/EC
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.160.7.2
그는 1990년대 후반에 아시아에서 발생했던 금융 위기가 이번 미국발 위기의 리허설이었다고 했다.

그는	그/NP+는/JX
1990년대	1990/SN+년대/NNB
후반에	후반/NNG+에/JKB
아시아에서	아시아/NNP+에서/JKB
발생했던	발생/NNG+하/XSV+았/EP+던/ETM
금융	금융/NNG
위기가	위기/NNG+가/JKS
이번	이번/NNG
미국발	미국/NNP+발/XSN
위기의	위기/NNG+의/JKG
리허설이었다고	리허설/NNG+이/VCP+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.160.8.1
결론부터 말하면 크루그먼은 “공황은 절대 오지 않겠지만 불황은 오랫동안 계속될 것”이라고 단언한다.

결론부터	결론/NNG+부터/JX
말하면	말/NNG+하/XSV+면/EC
크루그먼은	크루그먼/NNP+은/JX
“공황은	“/SS+공황/NNG+은/JX
절대	절대/MAG
오지	오/VV+지/EC
않겠지만	않/VX+겠/EP+지만/EC
불황은	불황/NNG+은/JX
오랫동안	오랫동안/NNG
계속될	계속/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
단언한다.	단언/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.160.8.2
따라서 지금 세계가 필요로 하는 것은 대규모 구조작전이라고 본다.

따라서	따라서/MAJ
지금	지금/MAG
세계가	세계/NNG+가/JKS
필요로	필요/NNG+로/JKB
하는	하/VV+는/ETM
것은	것/NNB+은/JX
대규모	대/XPN+규모/NNG
구조작전이라고	구조/NNG+작전/NNG+이/VCP+라고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.160.8.3
경기부양을 위해 지금보다 훨씬 많은 액수의 공적자금을 투입하고 위기의 원인이었던 금융기관들을 단기적이나마 국유화해야 한다고 주문한다.

경기부양을	경기/NNG+부양/NNG+을/JKO
위해	위하/VV+아/EC
지금보다	지금/NNG+보다/JKB
훨씬	훨씬/MAG
많은	많/VA+은/ETM
액수의	액수/NNG+의/JKG
공적자금을	공/NNG+적/XSN+자금/NNG+을/JKO
투입하고	투입/NNG+하/XSV+고/EC
위기의	위기/NNG+의/JKG
원인이었던	원인/NNG+이/VCP+었/EP+던/ETM
금융기관들을	금융/NNG+기관/NNG+들/XSN+을/JKO
단기적이나마	단기/NNG+적/XSN+이/VCP+나마/EC
국유화해야	국유/NNG+화/XSN+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주문한다.	주문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.160.8.4
오바마 정부가 발표한 7000억 달러 정도의 대책으로는 충분하지 못하다는 것이다.

오바마	오바마/NNP
정부가	정부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
7000억	7000/SN+억/NR
달러	달러/NNB
정도의	정도/NNG+의/JKG
대책으로는	대책/NNG+으로/JKB+는/JX
충분하지	충분하/VA+지/EC
못하다는	못하/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.160.9.1
그는 지금의 ‘반짝 회복’에 현혹되지 말라고 경고한다.

그는	그/NP+는/JX
지금의	지금/NNG+의/JKG
‘반짝	‘/SS+반짝/MAG
회복’에	회복/NNG+’/SS+에/JKB
현혹되지	현혹/NNG+되/XSV+지/EC
말라고	말/VX+라고/EC
경고한다.	경고/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.160.9.2
아직 세계 경제는 중병상태를 벗어나지 못하고 있다고 강조한다.

아직	아직/MAG
세계	세계/NNG
경제는	경제/NNG+는/JX
중병상태를	중병/NNG+상태/NNG+를/JKO
벗어나지	벗어나/VV+지/EC
못하고	못하/VX+고/EC
있다고	있/VX+다고/EC
강조한다.	강조/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.160.9.3
‘그림자 금융’이라는 바이러스가 아직 퇴치되지 않았기 때문이다.

‘그림자	‘/SS+그림자/NNG
금융’이라는	금융/NNG+’/SS+이/VCP+라는/ETM
바이러스가	바이러스/NNG+가/JKS
아직	아직/MAG
퇴치되지	퇴치/NNG+되/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.160.9.4
작년에 파산한 리먼브러더스 같은 회사들이 그것이다.

작년에	작년/NNG+에/JKB
파산한	파산/NNG+하/XSV+ㄴ/ETM
리먼브러더스	리먼브러더스/NNP
같은	같/VA+은/ETM
회사들이	회사/NNG+들/XSN+이/JKS
그것이다.	그것/NP+이/VCP+다/EF+./SF


# id : NWRW1800000021.160.9.5
이들은 투자에 따른 이득을 챙기려 들면서 최종 책임은 사회에 떠넘기려고 한다.

이들은	이/NP+들/XSN+은/JX
투자에	투자/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
이득을	이득/NNG+을/JKO
챙기려	챙기/VV+려/EC
들면서	들/VX+면서/EC
최종	최종/NNG
책임은	책임/NNG+은/JX
사회에	사회/NNG+에/JKB
떠넘기려고	떠넘기/VV+려고/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.160.9.6
이런 투자은행들이 엄청난 수익을 올리는 동안 경제 거품은 계속 커졌다.

이런	이런/MMD
투자은행들이	투자/NNG+은행/NNG+들/XSN+이/JKS
엄청난	엄청나/VA+ㄴ/ETM
수익을	수익/NNG+을/JKO
올리는	올리/VV+는/ETM
동안	동안/NNG
경제	경제/NNG
거품은	거품/NNG+은/JX
계속	계속/MAG
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.160.9.7
이들을 관리 감독해야 할 미국 재무부와 중앙은행도 제 역할을 못했다.

이들을	이/NP+들/XSN+을/JKO
관리	관리/NNG
감독해야	감독/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
미국	미국/NNP
재무부와	재무부/NNG+와/JC
중앙은행도	중앙은행/NNG+도/JX
제	저/NP+의/JKG
역할을	역할/NNG+을/JKO
못했다.	못/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.160.10.1
그가 제시하는 더 근본적인 처방은 정부나 시장 참여자가 얼마든지 경기 사이클을 길들일 수 있다는 낙관론에서 벗어나는 것이다.

그가	그/NP+가/JKS
제시하는	제시/NNG+하/XSV+는/ETM
더	더/MAG
근본적인	근본/NNG+적/XSN+이/VCP+ㄴ/ETM
처방은	처방/NNG+은/JX
정부나	정부/NNG+나/JC
시장	시장/NNG
참여자가	참여자/NNG+가/JKS
얼마든지	얼마/NNG+든지/JX
경기	경기/NNG
사이클을	사이클/NNG+을/JKO
길들일	길들이/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
낙관론에서	낙관/NNG+론/XSN+에서/JKB
벗어나는	벗어나/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.160.10.2
크루그먼은 그런 낙관론이 오늘의 재앙을 불러온 화근이라고 본다.

크루그먼은	크루그먼/NNP+은/JX
그런	그런/MMD
낙관론이	낙관/NNG+론/XSN+이/JKS
오늘의	오늘/NNG+의/JKG
재앙을	재앙/NNG+을/JKO
불러온	불러오/VV+ㄴ/ETM
화근이라고	화근/NNG+이/VCP+라고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.160.10.3
불황이 경제의 강점이나 약점과는 상관없이 튼튼한 경제에서도 나타날 수 있기 때문에 과거의 위기에서 교훈을 찾아 제대로 대비해야 한다는 것이다.

불황이	불황/NNG+이/JKS
경제의	경제/NNG+의/JKG
강점이나	강점/NNG+이나/JC
약점과는	약점/NNG+과/JKB+는/JX
상관없이	상관없이/MAG
튼튼한	튼튼하/VA+ㄴ/ETM
경제에서도	경제/NNG+에서/JKB+도/JX
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
과거의	과거/NNG+의/JKG
위기에서	위기/NNG+에서/JKB
교훈을	교훈/NNG+을/JKO
찾아	찾/VV+아/EC
제대로	제대로/MAG
대비해야	대비/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


