# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.93
metadata : {}


# id : NWRW1800000036.93.1.1
68년간 도망다닌 ‘97살 나치 전범’ 체포

68년간	68/SN+년/NNB+간/XSN
심문을	심문/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
나이가	나이/NNG+가/JKS
많은	많/VA+은/ETM
점이	점/NNG+이/JKS
고려돼	고려/NNG+되/XSV+어/EC
가택	가택/NNG
연금됐다.	연금/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.93.4.2
사타리는 심문에서 유대인 탄압에 대해 “명령을 수행했을 뿐”이라면서 무죄를 주장했다고 외신은 전했다.

사타리는	사타리/NNP+는/JX
심문에서	심문/NNG+에서/JKB
유대인	유대인/NNP
탄압에	탄압/NNG+에/JKB
대해	대하/VV+아/EC
“명령을	“/SS+명령/NNG+을/JKO
수행했을	수행/NNG+하/XSV+았/EP+을/ETM
뿐”이라면서	뿐/NNB+”/SS+이/VCP+라면서/EC
무죄를	무죄/NNG+를/JKO
주장했다고	주장/NNG+하/XSV+았/EP+다고/EC
외신은	외신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.93.4.3
앞서 검찰은 ‘나치 사냥꾼’으로 알려진 시몬 비젠탈 센터의 제보를 받고 사타리 신병 확보에 나섰다.

앞서	앞서/MAG
검찰은	검찰/NNG+은/JX
‘나치	‘/SS+나치/NNP
사냥꾼’으로	사냥/NNG+꾼/XSN+’/SS+으로/JKB
알려진	알려지/VV+ㄴ/ETM
시몬	시몬/NNP
비젠탈	비젠탈/NNP
센터의	센터/NNG+의/JKG
제보를	제보/NNG+를/JKO
받고	받/VV+고/EC
사타리	사타리/NNP
신병	신병/NNG
확보에	확보/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.93.5.1
시몬 비젠탈 센터는 사타리가 유대인 300여명을 코시체에서 우크라이나로 보내는 데 핵심 역할을 한 증거를 확보해 검찰에 제출했다고 밝혔다.

시몬	시몬/NNP
비젠탈	비젠탈/NNP
센터는	센터/NNG+는/JX
사타리가	사타리/NNP+가/JKS
유대인	유대인/NNP
300여명을	300/SN+여/XSN+명/NNB+을/JKO
코시체에서	코시체/NNP+에서/JKB
우크라이나로	우크라이나/NNP+로/JKB
보내는	보내/VV+는/ETM
데	데/NNB
핵심	핵심/NNG
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
증거를	증거/NNG+를/JKO
확보해	확보/NNG+하/XSV+아/EC
검찰에	검찰/NNG+에/JKB
제출했다고	제출/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.93.5.2
이들 유대인은 1941년 모두 살해됐다.

이들	이/NP+들/XSN
유대인은	유대인/NNP+은/JX
1941년	1941/SN+년/NNB
모두	모두/MAG
살해됐다.	살해/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.93.5.3
그는 유대인 거주지인 게토에 머물던 유대인 여성들을 채찍으로 때리고 맨손으로 땅을 파게 하는 등 잔인하게 대우한 것으로 전해졌다.

그는	그/NP+는/JX
유대인	유대인/NNP
거주지인	거주지/NNG+이/VCP+ㄴ/ETM
게토에	게토/NNG+에/JKB
머물던	머물/VV+던/ETM
여성들을	여성/NNG+들/XSN+을/JKO
채찍으로	채찍/NNG+으로/JKB
때리고	때리/VV+고/EC
맨손으로	맨/XPN+손/NNG+으로/JKB
땅을	땅/NNG+을/JKO
파게	파/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
잔인하게	잔인/NNG+하/XSA+게/EC
대우한	대우/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.93.5.4
또 유대인들에게 심한 고문 자세를 몇 시간 동안 취하게 하고, 개줄로 때리는가 하면 도망가는 유대인들은 현장에서 총으로 사살한 혐의도 받고 있다.

또	또/MAG
유대인들에게	유대인/NNP+들/XSN+에게/JKB
심한	심하/VA+ㄴ/ETM
고문	고문/NNG
자세를	자세/NNG+를/JKO
몇	몇/NR
시간	시간/NNB
동안	동안/NNG
취하게	취하/VV+게/EC
하고,	하/VX+고/EC+,/SP
개줄로	개줄/NNG+로/JKB
때리는가	때리/VV+는가/EF
하면	하/VV+면/EC
도망가는	도망가/VV+는/ETM
유대인들은	유대인/NNP+들/XSN+은/JX
현장에서	현장/NNG+에서/JKB
총으로	총/NNG+으로/JKB
사살한	사살/NNG+하/XSV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.93.6.1
1943년 체코 법원의 궐석재판에서 사형이 선고된 그는 캐나다로 도주해 수십년간 가명으로 예술품 거래상을 하다 1995년 신분이 탄로나 다시 도망자 신세가 됐다.

1943년	1943/SN+년/NNB
체코	체코/NNP
법원의	법원/NNG+의/JKG
궐석재판에서	궐석/NNG+재판/NNG+에서/JKB
사형이	사형/NNG+이/JKS
선고된	선고/NNG+되/XSV+ㄴ/ETM
그는	그/NP+는/JX
캐나다로	캐나다/NNP+로/JKB
도주해	도주/NNG+하/XSV+아/EC
수십년간	수십/NR+년/NNB+간/XSN
가명으로	가명/NNG+으로/JKB
예술품	예술품/NNG
거래상을	거래상/NNG+을/JKO
하다	하/VV+다/EC
1995년	1995/SN+년/NNB
신분이	신분/NNG+이/JKS
탄로나	탄로/NNG+나/VV+아/EC
다시	다시/MAG
도망자	도망자/NNG
신세가	신세/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.93.6.2
비젠탈 센터는 최근 그가 부다페스트의 한 아파트에 숨어 지내는 것을 확인한 뒤 영국 일간 <더 선>에 제보했고, 이 신문의 보도로 그의 68년간의 도주 행각이 막을 내렸다.

비젠탈	비젠탈/NNP
센터는	센터/NNG+는/JX
최근	최근/MAG
그가	그/NP+가/JKS
부다페스트의	부다페스트/NNP+의/JKG
한	한/MMN
아파트에	아파트/NNG+에/JKB
숨어	숨/VV+어/EC
지내는	지내/VV+는/ETM
것을	것/NNB+을/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
영국	영국/NNP
일간	일간/NNG
<더	</SS+더/NNP
선>에	선/NNG+>/SS+에/JKB
제보했고,	제보/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/MMD
신문의	신문/NNG+의/JKG
보도로	보도/NNG+로/JKB
그의	그/NP+의/JKG
68년간의	68/SN+년/NNB+간/XSN+의/JKG
도주	도주/NNG
행각이	행각/NNG+이/JKS
막을	막/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


