# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.134
metadata : {}


# id : NWRW1800000028.134.1.1
관행화된 향응 ‘스폰서 검사’ 키웠다

관행화된	관행/NNG+화/XSN+되/XSV+ㄴ/ETM
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.134.4.3
서울중앙지검의 한 관계자는 “많이 사라져 가고 있지만, 스폰서 문화를 인간관계의 한 종류로 생각하는 사람들이 여전히 존재한다”고 말했다.

서울중앙지검의	서울중앙지검/NNP+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“많이	“/SS+많이/MAG
사라져	사라지/VV+어/EC
가고	가/VX+고/EC
있지만,	있/VX+지만/EC+,/SP
스폰서	스폰서/NNG
문화를	문화/NNG+를/JKO
인간관계의	인간관계/NNG+의/JKG
종류로	종류/NNG+로/JKB
생각하는	생각/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
여전히	여전히/MAG
존재한다”고	존재/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.134.4.4
정씨에게서 접대를 받은 것으로 알려진 부장검사가 방송에서 “어느 정도는 인지상정 아니겠습니까”라고 항변한 것이 이런 정서를 잘 보여준다.

정씨에게서	정/NNP+씨/NNB+에게서/JKB
접대를	접대/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
부장검사가	부장/NNG+검사/NNG+가/JKS
방송에서	방송/NNG+에서/JKB
“어느	“/SS+어느/MMD
정도는	정도/NNG+는/JX
인지상정	인지상정/NNG
아니겠습니까”라고	아니/VCN+겠/EP+습니까/EF+”/SS+라고/JKQ
항변한	항변/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
이런	이런/MMD
정서를	정서/NNG+를/JKO
잘	잘/MAG
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.134.5.1
그러나 검사와 스폰서의 관계는 서로의 필요에 의해 유지되기 때문에 ‘인지상정’이란 설명은 적절하지 않아 보인다.

그러나	그러나/MAJ
검사와	검사/NNG+와/JC
스폰서의	스폰서/NNG+의/JKG
관계는	관계/NNG+는/JX
서로의	서로/NNG+의/JKG
필요에	필요/NNG+에/JKB
의해	의하/VV+아/EC
유지되기	유지/NNG+되/XSV+기/ETN
때문에	때문/NNB+에/JKB
‘인지상정’이란	‘/SS+인지상정/NNG+’/SS+이/VCP+란/ETM
설명은	설명/NNG+은/JX
적절하지	적절하/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.134.5.2
한 검찰 관계자는 “부장검사 정도 되면 밑에서 고생하는 부하들에게 회식 한 번쯤은 제대로 해줘야 리더로서 힘이 실린다는 생각을 하게 마련”이라며 “공식적인 월급과 수사비로 해결할 수 없는 부분이 있기 때문에 한 번쯤은 ‘스폰서’ 생각이 날 법도 하다”고 토로했다.

한	한/MMN
검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“부장검사	“/SS+부장/NNG+검사/NNG
정도	정도/NNG
되면	되/VV+면/EC
밑에서	밑/NNG+에서/JKB
고생하는	고생/NNG+하/XSV+는/ETM
부하들에게	부하/NNG+들/XSN+에게/JKB
회식	회식/NNG
번쯤은	번/NNB+쯤/XSN+은/JX
제대로	제대로/MAG
해줘야	하/VV+아/EC+주/VX+어야/EC
리더로서	리더/NNG+로서/JKB
힘이	힘/NNG+이/JKS
실린다는	실리/VV+ㄴ다는/ETM
생각을	생각/NNG+을/JKO
하게	하/VV+게/EC
마련”이라며	마련/NNB+”/SS+이/VCP+라며/EC
“공식적인	“/SS+공식/NNG+적/XSN+이/VCP+ㄴ/ETM
월급과	월급/NNG+과/JC
수사비로	수사비/NNG+로/JKB
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
부분이	부분/NNG+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
‘스폰서’	‘/SS+스폰서/NNG+’/SS
생각이	생각/NNG+이/JKS
날	나/VV+ㄹ/ETM
법도	법/NNB+도/JX
하다”고	하/VX+다/EF+”/SS+고/JKQ
토로했다.	토로/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.134.5.3
반면 ‘스폰서’를 자임하는 사람들은 검찰이 지니고 있는 강력한 힘에 눈독을 들이기 마련이다.

반면	반면/NNG
‘스폰서’를	‘/SS+스폰서/NNG+’/SS+를/JKO
자임하는	자임/NNG+하/XSV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
검찰이	검찰/NNG+이/JKS
지니고	지니/VV+고/EC
있는	있/VX+는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
힘에	힘/NNG+에/JKB
눈독을	눈독/NNG+을/JKO
들이기	들이/VV+기/ETN
마련이다.	마련/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.134.5.4
정씨 역시 방송에서 “(접대를 해두면) 무슨 어려운 일이 있다 그러면 100% 봐준다.

정씨	정/NNP+씨/NNB
역시	역시/MAG
방송에서	방송/NNG+에서/JKB
“(접대를	“/SS+(/SS+접대/NNG+를/JKO
해두면)	하/VV+아/EC+두/VX+면/EC+)/SS
무슨	무슨/MMD
어려운	어렵/VA+ㄴ/ETM
일이	일/NNG+이/JKS
있다	있/VA+다/EF
그러면	그러면/MAJ
100%	100/SN+%/SW
봐준다.	봐주/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.134.5.5
검찰, 경찰 한마디에 따라서 회사가 죽고 살고 그런 시대였다”고 말했다.

검찰,	검찰/NNG+,/SP
경찰	경찰/NNG
한마디에	한마디/NNG+에/JKB
따라서	따르/VV+아서/EC
회사가	회사/NNG+가/JKS
죽고	죽/VV+고/EC
살고	살/VV+고/EC
그런	그렇/VA+ㄴ/ETM
시대였다”고	시대/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.134.5.6
‘선배로서의 권위’를 사고 싶은 검찰과 검찰의 힘을 바라는 ‘스폰서’는 인지상정이 아닌 ‘거래관계’인 것이다.

‘선배로서의	‘/SS+선배/NNG+로서/JKB+의/JKG
권위’를	권위/NNG+’/SS+를/JKO
사고	사/VV+고/EC
싶은	싶/VX+은/ETM
검찰과	검찰/NNG+과/JC
검찰의	검찰/NNG+의/JKG
힘을	힘/NNG+을/JKO
바라는	바라/VV+는/ETM
‘스폰서’는	‘/SS+스폰서/NNG+’/SS+는/JX
인지상정이	인지상정/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
‘거래관계’인	‘/SS+거래/NNG+관계/NNG+’/SS+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.134.6.1
문제는 이런 거래관계가 ‘이래도 되는구나’ 하는 학습효과를 통해 검찰 내부에 문화처럼 퍼진다는 것이다.

문제는	문제/NNG+는/JX
이런	이런/MMD
거래관계가	거래/NNG+관계/NNG+가/JKS
‘이래도	‘/SS+이러/VV+어도/EC
되는구나’	되/VV+는구나/EF+’/SS
하는	하/VV+는/ETM
학습효과를	학습/NNG+효과/NNG+를/JKO
통해	통하/VV+아/EC
검찰	검찰/NNG
내부에	내부/NNG+에/JKB
문화처럼	문화/NNG+처럼/JKB
퍼진다는	퍼지/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.134.6.2
정씨는 <한겨레>와의 전화통화에서 “한번은 부장검사를 통해 자리를 가졌던 평검사들이 ‘부장님 없이 우리끼리 따로 보자’고 해서 함께 술을 마시고 계산을 한 적도 있다”고 말했다.

정씨는	정/NNP+씨/NNB+는/JX
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
전화통화에서	전화/NNG+통화/NNG+에서/JKB
“한번은	“/SS+한번/NNG+은/JX
부장검사를	부장/NNG+검사/NNG+를/JKO
통해	통하/VV+아/EC
자리를	자리/NNG+를/JKO
가졌던	가지/VV+었/EP+던/ETM
평검사들이	평검사/NNG+들/XSN+이/JKS
‘부장님	‘/SS+부장/NNG+님/XSN
없이	없이/MAG
우리끼리	우리/NP+끼리/XSN
따로	따로/MAG
보자’고	보/VV+자/EF+’/SS+고/JKQ
해서	하/VV+아서/EC
함께	함께/MAG
술을	술/NNG+을/JKO
마시고	마시/VV+고/EC
계산을	계산/NNG+을/JKO
한	하/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.134.6.3
부산의 한 부장검사는 검사장과 함께 정씨를 만나고 나서 불과 10여일 뒤에 자기 부서 회식에 정씨를 스폰서로 부르기도 했다.

부산의	부산/NNP+의/JKG
한	한/MMN
부장검사는	부장/NNG+검사/NNG+는/JX
검사장과	검사장/NNG+과/JKB
함께	함께/MAG
정씨를	정/NNP+씨/NNB+를/JKO
만나고	만나/VV+고/EC
나서	나/VX+아서/EC
불과	불과/MAG
10여일	10/SN+여/XSN+일/NNB
뒤에	뒤/NNG+에/JKB
자기	자기/NP
부서	부서/NNG
회식에	회식/NNG+에/JKB
스폰서로	스폰서/NNG+로/JKB
부르기도	부르/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.134.7.1
■ 검찰의 비대한 권력이 근본 원인?

■	■/SW
검찰의	검찰/NNG+의/JKG
비대한	비대/NNG+하/XSA+ㄴ/ETM
권력이	권력/NNG+이/JKS
근본	근본/NNG
원인?	원인/NNG+?/SF


# id : NWRW1800000028.134.7.2
이런 ‘스폰서’의 규모는 검사가 가진 권한에 비례한다는 것이 검찰 안팎의 평가다.

이런	이런/MMD
‘스폰서’의	‘/SS+스폰서/NNG+’/SS+의/JKG
규모는	규모/NNG+는/JX
검사가	검사/NNG+가/JKS
가진	가지/VV+ㄴ/ETM
권한에	권한/NNG+에/JKB
비례한다는	비례/NNG+하/XSV+ㄴ다는/ETM
것이	것/NNB+이/JKS
검찰	검찰/NNG
안팎의	안팎/NNG+의/JKG
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.134.7.3
지난해 7월 천성관 검찰총장 후보자는 한 사업가에게 담보 없이 15억5000만원을 빌리고, 부부동반으로 함께 외국여행을 다녀오는 등 스폰서가 있다는 의혹이 제기되자 후보직을 사퇴했다.

지난해	지난해/NNG
7월	7/SN+월/NNB
천성관	천성관/NNP
검찰총장	검찰/NNG+총장/NNG
후보자는	후보자/NNG+는/JX
한	한/MMN
사업가에게	사업가/NNG+에게/JKB
담보	담보/NNG
없이	없이/MAG
15억5000만원을	15/SN+억/NR+5000/SN+만/NR+원/NNB+을/JKO
빌리고,	빌리/VV+고/EC+,/SP
부부동반으로	부부/NNG+동반/NNG+으로/JKB
함께	함께/MAG
외국여행을	외국/NNG+여행/NNG+을/JKO
다녀오는	다녀오/VV+는/ETM
등	등/NNB
스폰서가	스폰서/NNG+가/JKS
있다는	있/VA+다는/ETM
의혹이	의혹/NNG+이/JKS
제기되자	제기/NNG+되/XSV+자/EC
후보직을	후보직/NNG+을/JKO
사퇴했다.	사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.134.8.1
이 지점에서 검찰이 구조적으로 너무 많은 권력을 손에 쥐고 있는 것이 ‘스폰서’ 문화의 근본 원인이라는 지적이 나온다.

이	이/MMD
지점에서	지점/NNG+에서/JKB
검찰이	검찰/NNG+이/JKS
구조적으로	구조/NNG+적/XSN+으로/JKB
너무	너무/MAG
많은	많/VA+은/ETM
권력을	권력/NNG+을/JKO
손에	손/NNG+에/JKB
쥐고	쥐/VV+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
‘스폰서’	‘/SS+스폰서/NNG+’/SS
문화의	문화/NNG+의/JKG
근본	근본/NNG
원인이라는	원인/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.134.8.2
서보학 경희대 법학전문대학원 교수(형사법)는 “스폰서 문화는 결국 검찰이 비대한 권력을 쥐고 있기 때문에 불거지는 문제”라며 “기소권을 독점하고 있는 검찰이, 법원의 결정에 이르기 전에 너무나 많은 재량권을 행사할 수 있기 때문에, 이를 탐내는 스폰서들이 줄을 서게 되는 것”이라고 말했다.

서보학	서보학/NNP
경희대	경희대/NNP
법학전문대학원	법학/NNG+전문/NNG+대학원/NNG
교수(형사법)는	교수/NNG+(/SS+형사법/NNG+)/SS+는/JX
“스폰서	“/SS+스폰서/NNG
문화는	문화/NNG+는/JX
결국	결국/MAG
검찰이	검찰/NNG+이/JKS
비대한	비대/NNG+하/XSA+ㄴ/ETM
권력을	권력/NNG+을/JKO
쥐고	쥐/VV+고/EC
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
불거지는	불거지/VV+는/ETM
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“기소권을	“/SS+기소/NNG+권/XSN+을/JKO
독점하고	독점/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
검찰이,	검찰/NNG+이/JKS+,/SP
법원의	법원/NNG+의/JKG
결정에	결정/NNG+에/JKB
이르기	이르/VV+기/ETN
전에	전/NNG+에/JKB
너무나	너무나/MAG
많은	많/VA+은/ETM
재량권을	재량/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
때문에,	때문/NNB+에/JKB+,/SP
이를	이/NP+를/JKO
탐내는	탐내/VV+는/ETM
스폰서들이	스폰서/NNG+들/XSN+이/JKS
줄을	줄/NNG+을/JKO
서게	서/VV+게/EC
되는	되/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.134.9.1
또 내부 비위 사실이 발각돼도 자진 사임하고 변호사 개업을 하면 그만인 허술한 감찰 시스템이 검찰 내부의 스폰서 문화 근절을 어렵게 한다는 분석도 있다.

또	또/MAG
내부	내부/NNG
비위	비위/NNG
사실이	사실/NNG+이/JKS
발각돼도	발각/NNG+되/XSV+어도/EC
자진	자진/NNG
사임하고	사임/NNG+하/XSV+고/EC
변호사	변호사/NNG
개업을	개업/NNG+을/JKO
하면	하/VV+면/EC
그만인	그만/MAG+이/VCP+ㄴ/ETM
허술한	허술하/VA+ㄴ/ETM
감찰	감찰/NNG
시스템이	시스템/NNG+이/JKS
검찰	검찰/NNG
내부의	내부/NNG+의/JKG
스폰서	스폰서/NNG
문화	문화/NNG
근절을	근절/NNG+을/JKO
어렵게	어렵/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.134.9.2
하태훈 고려대 법학전문대학원 교수(형사법)는 “일벌백계를 주장하는 검사들이 스스로의 비위 사실에 눈감는 이상 검찰의 스폰서 문화는 결코 사라지지 않을 것”이라고 말했다.

하태훈	하태훈/NNP
고려대	고려대/NNP
법학전문대학원	법학/NNG+전문/NNG+대학원/NNG
교수(형사법)는	교수/NNG+(/SS+형사법/NNG+)/SS+는/JX
“일벌백계를	“/SS+일벌백계/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
검사들이	검사/NNG+들/XSN+이/JKS
스스로의	스스로/NNG+의/JKG
비위	비위/NNG
사실에	사실/NNG+에/JKB
눈감는	눈감/VV+는/ETM
이상	이상/NNG
검찰의	검찰/NNG+의/JKG
스폰서	스폰서/NNG
문화는	문화/NNG+는/JX
결코	결코/MAG
사라지지	사라지/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


