# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.3
metadata : {}


# id : NWRW1800000032.3.1.1
국민은행, 대규모 전보발령 /노조 “고용안정 위협” 반발

국민은행,	국민은행/NNP+,/SP
크지	크/VA+지/EC
않고	않/VX+고/EC
생산성	생산/NNG+성/XSN
저하	저하/NNG
등	등/NNB
부작용이	부작용/NNG+이/JKS
많다는	많/VA+다는/ETM
판단에	판단/NNG+에/JKB
따라	따르/VV+아/EC
이	이/MMD
제도를	제도/NNG+를/JKO
폐지하기로	폐지/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.3.6.3
지점장 등을 지낸 간부 직원들이 일반 은행원으로 강등돼 채권 추심 등 후선 업무를 맡게 되면서 여러가지 부작용이 생겼다는 게 은행 쪽 주장이다.

지점장	지점장/NNG
등을	등/NNB+을/JKO
지낸	지내/VV+ㄴ/ETM
간부	간부/NNG
직원들이	직원/NNG+들/XSN+이/JKS
일반	일반/NNG
은행원으로	은행원/NNG+으로/JKB
강등돼	강등/NNG+되/XSV+어/EC
채권	채권/NNG
추심	추심/NNG
등	등/NNB
후선	후/NNG+선/NNG
업무를	업무/NNG+를/JKO
맡게	맡/VV+게/EC
되면서	되/VV+면서/EC
여러가지	여러/MMN+가지/NNB
부작용이	부작용/NNG+이/JKS
생겼다는	생기/VV+었/EP+다는/ETM
게	거/NNB+이/JKS
은행	은행/NNG
쪽	쪽/NNB
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.3.6.4
해당 직원의 생산성이 떨어질 뿐 아니라, 주변 직원들의 사기마저 꺾고 있다는 것이다.

해당	해당/NNG
직원의	직원/NNG+의/JKG
생산성이	생산/NNG+성/XSN+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
주변	주변/NNG
직원들의	직원/NNG+들/XSN+의/JKG
사기마저	사기/NNG+마저/JX
꺾고	꺾/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.3.7.1
그러나 노조 쪽은 임금피크제 폐지 움직임이 인력을 줄이려는 구조조정 차원에서 진행되고 있다며 반발하고 있다.

그러나	그러나/MAJ
노조	노조/NNG
쪽은	쪽/NNB+은/JX
임금피크제	임금/NNG+피크/NNG+제/XSN
폐지	폐지/NNG
움직임이	움직임/NNG+이/JKS
인력을	인력/NNG+을/JKO
줄이려는	줄이/VV+려는/ETM
구조조정	구조/NNG+조정/NNG
차원에서	차원/NNG+에서/JKB
진행되고	진행/NNG+되/XSV+고/EC
있다며	있/VX+다며/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.3.7.2
직급 강등과 임금 삭감을 감수하면서 고용안정을 보장받은 대상자들의 퇴직을 강요하는 처사라는 것이다.

직급	직급/NNG
강등과	강등/NNG+과/JC
임금	임금/NNG
삭감을	삭감/NNG+을/JKO
감수하면서	감수/NNG+하/XSV+면서/EC
고용안정을	고용/NNG+안정/NNG+을/JKO
보장받은	보장/NNG+받/XSV+은/ETM
대상자들의	대상자/NNG+들/XSN+의/JKG
퇴직을	퇴직/NNG+을/JKO
강요하는	강요/NNG+하/XSV+는/ETM
처사라는	처사/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


