# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.150
metadata : {}


# id : NWRW1800000021.150.1.1
광물자원公 사장 자원개발 ‘해외 강행군’

광물자원公	광물자원公/NNP
18개국을	18/SN+개국/NNB+을/JKO
방문하게	방문/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.150.3.2
대부분이 아프리카와 남미, 중앙아시아 등의 오지 국가였다.

대부분이	대/XPN+부분/NNG+이/JKS
아프리카와	아프리카/NNP+와/JC
남미,	남미/NNP+,/SP
중앙아시아	중앙아시아/NNP
등의	등/NNB+의/JKG
오지	오지/NNG
국가였다.	국가/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.150.3.3
이번 출장도 볼리비아에서 리튬광 개발 공동추진을 위한 양해각서(MOU)를 체결하고 2일 귀국한 지 일주일여 만이다.

이번	이번/NNG
출장도	출장/NNG+도/JX
볼리비아에서	볼리비아/NNP+에서/JKB
리튬광	리튬광/NNG
개발	개발/NNG
공동추진을	공동/NNG+추진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결하고	체결/NNG+하/XSV+고/EC
2일	2/SN+일/NNB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
지	지/NNB
일주일여	일주일/NNG+여/XSN
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.150.4.1
그의 이 같은 강행군은 전임 사장들이 대체로 ‘관리형’이었기 때문에 더욱 화제가 되고 있다.

그의	그/NP+의/JKG
이	이/NP
같은	같/VA+은/ETM
강행군은	강행군/NNG+은/JX
전임	전임/NNG
사장들이	사장/NNG+들/XSN+이/JKS
대체로	대체로/MAG
‘관리형’이었기	‘/SS+관리/NNG+형/XSN+’/SS+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
더욱	더욱/MAG
화제가	화제/NNG+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.150.4.2
그는 취임한 뒤 공사의 비전을 밝히며 “메이저 자원개발회사들에 비해 자본과 기술에서 밀리는 만큼 그 회사들이 아직 거들떠보지 않는 오지 국가로 가야 한다”고 주장했다.

그는	그/NP+는/JX
취임한	취임/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
공사의	공사/NNG+의/JKG
비전을	비전/NNG+을/JKO
밝히며	밝히/VV+며/EC
“메이저	“/SS+메이저/NNG
자원개발회사들에	자원/NNG+개발/NNG+회사/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
자본과	자본/NNG+과/JC
기술에서	기술/NNG+에서/JKB
밀리는	밀리/VV+는/ETM
만큼	만큼/NNB
그	그/MMD
회사들이	회사/NNG+들/XSN+이/JKS
아직	아직/MAG
거들떠보지	거들떠보/VV+지/EC
않는	않/VX+는/ETM
오지	오지/NNG
국가로	국가/NNG+로/JKB
가야	가/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.150.4.3
우라늄과 구리 등 2개 광물에 초점을 맞춰 남미와 아프리카 등 2개 대륙의 나라들을 집중 공략한다는 이른바 ‘2+2’ 전략이다.

우라늄과	우라늄/NNG+과/JC
구리	구리/NNG
등	등/NNB
2개	2/SN+개/NNB
광물에	광물/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞춰	맞추/VV+어/EC
남미와	남미/NNP+와/JC
아프리카	아프리카/NNP
대륙의	대륙/NNG+의/JKG
나라들을	나라/NNG+들/XSN+을/JKO
집중	집중/NNG
공략한다는	공략/NNG+하/XSV+ㄴ다는/ETM
이른바	이른바/MAG
‘2+2’	‘/SS+2/SN++/SW+2/SN+’/SS
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.150.5.1
현장을 직접 챙기는 이유를 김 사장은 “공직에 있을 때부터 오랜 습관”이라고 설명했다.

현장을	현장/NNG+을/JKO
직접	직접/MAG
챙기는	챙기/VV+는/ETM
이유를	이유/NNG+를/JKO
김	김/NNP
사장은	사장/NNG+은/JX
“공직에	“/SS+공직/NNG+에/JKB
있을	있/VA+을/ETM
때부터	때/NNG+부터/JX
오랜	오랜/MMA
습관”이라고	습관/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.150.5.2
지난해 볼리비아에서 일한 광물자원공사의 한 팀장은 “최고경영자(CEO)가 현장에 오면 ‘영업’이 쉬워진다.

지난해	지난해/NNG
볼리비아에서	볼리비아/NNP+에서/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
광물자원공사의	광물자원공사/NNP+의/JKG
한	한/MMN
팀장은	팀장/NNG+은/JX
“최고경영자(CEO)가	“/SS+최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+가/JKS
현장에	현장/NNG+에/JKB
오면	오/VV+면/EC
‘영업’이	‘/SS+영업/NNG+’/SS+이/JKS
쉬워진다.	쉬워지/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.150.5.3
상대편 조직의 수장을 만날 수 있고, 압력도 줄 수 있기 때문”이라며 김 사장의 현장경영을 높이 평가했다.

상대편	상대편/NNG
조직의	조직/NNG+의/JKG
수장을	수장/NNG+을/JKO
만날	만나/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
압력도	압력/NNG+도/JX
줄	주/VV+ㄹ/ETM
있기	있/VA+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
김	김/NNP
사장의	사장/NNG+의/JKG
현장경영을	현장/NNG+경영/NNG+을/JKO
높이	높이/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.150.5.4
김 사장은 “사장이 직접 현장을 보면 의사 결정이 빨라지는 효과가 있어 그런 점은 직원들이 좋아하는 것 같다”고 말했다.

김	김/NNP
사장은	사장/NNG+은/JX
“사장이	“/SS+사장/NNG+이/JKS
직접	직접/MAG
현장을	현장/NNG+을/JKO
보면	보/VV+면/EC
의사	의사/NNG
결정이	결정/NNG+이/JKS
빨라지는	빠르/VA+아/EC+지/VX+는/ETM
효과가	효과/NNG+가/JKS
있어	있/VA+어/EC
그런	그런/MMD
점은	점/NNG+은/JX
직원들이	직원/NNG+들/XSN+이/JKS
좋아하는	좋아하/VV+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


