# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.435
metadata : {}


# id : NWRW1800000038.435.1.1
[국정원 개혁안 충돌] 국정원 "IO(Intelligence Officer·국내 정보관), 정당 출입 폐지" 野 "IO 자체를 없애라"

[국정원	[/SS+국정원/NNG
국정원장이	국정원장/NNG+이/JKS
이날	이날/NNG
국회에	국회/NNG+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
자체	자체/NNG
개혁안은	개혁안/NNG+은/JX
국정원	국정원/NNG
직원들의	직원/NNG+들/XSN+의/JKG
정치	정치/NNG
관여	관여/NNG
소지를	소지/NNG+를/JKO
스스로	스스로/MAG
통제하는	통제/NNG+하/XSV+는/ETM
방안에	방안/NNG+에/JKB
초점이	초점/NNG+이/JKS
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.435.6.2
야당으로부터 정치 정보 수집 활동으로 의심을 받아온 정보관들의 국회·정당·언론사 상시(常時) 출입제를 폐지하고, 정치 관여 지시를 받은 직원이 이의 신청을 할 수 있도록 했다.

야당으로부터	야당/NNG+으로부터/JKB
정치	정치/NNG
정보	정보/NNG
수집	수집/NNG
활동으로	활동/NNG+으로/JKB
의심을	의심/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
정보관들의	정보관/NNG+들/XSN+의/JKG
국회·정당·언론사	국회/NNG+·/SP+정당/NNG+·/SP+언론사/NNG
상시(常時)	상시/NNG+(/SS+常時/SH+)/SS
출입제를	출입/NNG+제/XSN+를/JKO
폐지하고,	폐지/NNG+하/XSV+고/EC+,/SP
관여	관여/NNG
지시를	지시/NNG+를/JKO
받은	받/VV+은/ETM
직원이	직원/NNG+이/JKS
이의	이의/NNG
신청을	신청/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.435.6.3
또 전 직원에 대해 정치 개입을 하지 않겠다는 서약서를 받고 준법통제처도 운영하기로 했다.

또	또/MAG
전	전/MMN
직원에	직원/NNG+에/JKB
대해	대하/VV+아/EC
정치	정치/NNG
개입을	개입/NNG+을/JKO
하지	하/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
서약서를	서약서/NNG+를/JKO
받고	받/VV+고/EC
준법통제처도	준법/NNG+통제처/NNG+도/JX
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.435.6.4
사이버심리전 때도 정당·정치인 관련 언급은 금지하도록 했다.

사이버심리전	사이버/NNG+심리전/NNG
때도	때/NNG+도/JX
정당·정치인	정당/NNG+·/SP+정치인/NNG
관련	관련/NNG
언급은	언급/NNG+은/JX
금지하도록	금지/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.435.7.1
하지만 민주당은 "이런 수준의 쥐꼬리 개혁안으로 무슨 개혁을 할 수 있겠느냐"며 반발했다.

하지만	하지만/MAJ
민주당은	민주당/NNP+은/JX
"이런	"/SS+이런/MMD
수준의	수준/NNG+의/JKG
쥐꼬리	쥐꼬리/NNG
개혁안으로	개혁안/NNG+으로/JKB
무슨	무슨/MMD
개혁을	개혁/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있겠느냐"며	있/VA+겠/EP+느냐/EF+"/SS+며/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.435.7.2
민주당은 우선 국회·정당·언론사 등을 수시로 드나들며 정보를 수집해온 정보관(IO·Intelligence Officer)을 아예 폐지해야 한다는 입장이다.

민주당은	민주당/NNP+은/JX
우선	우선/MAG
국회·정당·언론사	국회/NNG+·/SP+정당/NNG+·/SP+언론사/NNG
등을	등/NNB+을/JKO
수시로	수시로/MAG
드나들며	드나들/VV+며/EC
정보를	정보/NNG+를/JKO
수집해온	수집/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
정보관(IO·Intelligence	정보관/NNG+(/SS+IO/SL+·/SP+Intelligence/SL
Officer)을	Officer/SL+)/SS+을/JKO
아예	아예/MAG
폐지해야	폐지/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.435.7.3
민주당 관계자는 "정당이나 정치인과 관련한 동향 정보를 수집해온 IO들이 상시 출입을 막는다고 이런 활동을 안 하겠느냐"고 했다.

민주당	민주당/NNP
관계자는	관계자/NNG+는/JX
"정당이나	"/SS+정당/NNG+이나/JC
정치인과	정치인/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
동향	동향/NNG
정보를	정보/NNG+를/JKO
수집해온	수집/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
IO들이	IO/SL+들/XSN+이/JKS
상시	상시/NNG
출입을	출입/NNG+을/JKO
막는다고	막/VV+는다고/EC
이런	이런/MMD
활동을	활동/NNG+을/JKO
안	안/MAG
하겠느냐"고	하/VV+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.435.7.4
하지만 국정원과 새누리당은 안보·대공 정보는 각종 국내외 정보와 분리할 수 없기 때문에 국내 파트 축소·폐지는 어렵다는 입장이다.

하지만	하지만/MAJ
국정원과	국정원/NNG+과/JC
새누리당은	새누리당/NNP+은/JX
안보·대공	안보/NNG+·/SP+대공/NNG
정보는	정보/NNG+는/JX
각종	각종/NNG
국내외	국내외/NNG
정보와	정보/NNG+와/JKB
분리할	분리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
국내	국내/NNG
파트	파트/NNG
축소·폐지는	축소/NNG+·/SP+폐지/NNG+는/JX
어렵다는	어렵/VA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.435.8.1
여야가 지난 3일 연내 입법화에 합의한 정치관여죄 처벌 강화도 쟁점이다.

여야가	여야/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
연내	연내/NNG
입법화에	입법/NNG+화/XSN+에/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
정치관여죄	정치/NNG+관여죄/NNG
처벌	처벌/NNG
강화도	강화/NNG+도/JX
쟁점이다.	쟁점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.435.8.2
현행 국정원법에 따르면 정치관여죄는 '5년 이하의 징역'에 처하게 돼 있다.

현행	현행/NNG
국정원법에	국정원법/NNG+에/JKB
따르면	따르/VV+면/EC
정치관여죄는	정치/NNG+관여죄/NNG+는/JX
'5년	'/SS+5/SN+년/NNB
이하의	이하/NNG+의/JKG
징역'에	징역/NNG+'/SS+에/JKB
처하게	처하/VV+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.435.8.3
민주당은 그러나 형량을 '5년 이상의 징역'으로 높여야 한다고 주장하고 있다.

민주당은	민주당/NNP+은/JX
그러나	그러나/MAJ
형량을	형량/NNG+을/JKO
'5년	'/SS+5/SN+년/NNB
이상의	이상/NNG+의/JKG
징역'으로	징역/NNG+'/SS+으로/JKB
높여야	높이/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.435.8.4
반면 새누리당과 국정원은 현재의 처벌 수위도 일반 공무원의 정치 중립 위반(징역 1년 이하)보다 훨씬 무겁다는 점에서 지금보다 처벌을 강화하는 건 형평성과 국정원 직원의 사기를 고려할 때 곤란하다는 입장이다.

반면	반면/NNG
새누리당과	새누리당/NNP+과/JC
국정원은	국정원/NNG+은/JX
현재의	현재/NNG+의/JKG
처벌	처벌/NNG
수위도	수위/NNG+도/JX
일반	일반/NNG
공무원의	공무원/NNG+의/JKG
정치	정치/NNG
중립	중립/NNG
위반(징역	위반/NNG+(/SS+징역/NNG
1년	1/SN+년/NNB
이하)보다	이하/NNG+)/SS+보다/JKB
훨씬	훨씬/MAG
무겁다는	무겁/VA+다는/ETM
점에서	점/NNG+에서/JKB
지금보다	지금/NNG+보다/JKB
처벌을	처벌/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
형평성과	형평/NNG+성/XSN+과/JC
국정원	국정원/NNG
직원의	직원/NNG+의/JKG
사기를	사기/NNG+를/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
곤란하다는	곤란/NNG+하/XSA+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.435.9.1
사이버심리전 활동을 놓고도 여야의 입장이 첨예하게 맞서고 있다.

사이버심리전	사이버/NNG+심리전/NNG
활동을	활동/NNG+을/JKO
놓고도	놓/VV+고도/EC
여야의	여야/NNG+의/JKG
입장이	입장/NNG+이/JKS
첨예하게	첨예하/VA+게/EC
맞서고	맞서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.435.9.2
민주당은 지난 대선 때 정치 개입성 댓글을 단 혐의를 받고 있는 심리전단을 폐지하는 등 국정원의 사이버심리전 활동을 대폭 규제해야 한다는 입장이다.

민주당은	민주당/NNP+은/JX
지난	지나/VV+ㄴ/ETM
대선	대선/NNG
때	때/NNG
정치	정치/NNG
개입성	개입/NNG+성/XSN
댓글을	댓글/NNG+을/JKO
단	달/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
심리전단을	심리전단/NNG+을/JKO
폐지하는	폐지/NNG+하/XSV+는/ETM
등	등/NNB
국정원의	국정원/NNG+의/JKG
사이버심리전	사이버/NNG+심리전/NNG
활동을	활동/NNG+을/JKO
대폭	대폭/MAG
규제해야	규제/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.435.9.3
하지만 새누리당과 국정원은 "대북 심리전이 무력화된다"며 반대하고 있다.

하지만	하지만/MAJ
새누리당과	새누리당/NNP+과/JC
국정원은	국정원/NNG+은/JX
"대북	"/SS+대북/NNG
심리전이	심리전/NNG+이/JKS
무력화된다"며	무력/NNG+화/XSN+되/XSV+ㄴ다/EF+"/SS+며/EC
반대하고	반대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.435.9.4
국정원은 오히려 자체개혁안에서 "북한체제 선전선동, 대한민국 정체성 및 역사적 정통성 부정, 반헌법적 북한 주장 동조 활동 등에 대한 방어 심리전을 전개하겠다"고 했다.

국정원은	국정원/NNG+은/JX
오히려	오히려/MAG
자체개혁안에서	자체/NNG+개혁안/NNG+에서/JKB
"북한체제	"/SS+북한/NNP+체제/NNG
선전선동,	선전/NNG+선동/NNG+,/SP
대한민국	대한민국/NNP
정체성	정체/NNG+성/XSN
및	및/MAG
역사적	역사/NNG+적/XSN
정통성	정통/NNG+성/XSN
부정,	부정/NNG+,/SP
반헌법적	반/XPN+헌법/NNG+적/XSN
북한	북한/NNP
주장	주장/NNG
동조	동조/NNG
활동	활동/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
방어	방어/NNG
심리전을	심리전/NNG+을/JKO
전개하겠다"고	전개/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.435.10.1
국회의 국정원 예산통제권 강화 방안에 대해서도 민주당은 "국회 심사를 받지 않는 연간 4000억원 규모의 예비비 배정을 폐지하고 국회 정보위에서 예산 내역을 심사해야 한다"는 입장이다.

국회의	국회/NNG+의/JKG
국정원	국정원/NNG
예산통제권	예산/NNG+통제/NNG+권/XSN
강화	강화/NNG
방안에	방안/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
민주당은	민주당/NNP+은/JX
"국회	"/SS+국회/NNG
심사를	심사/NNG+를/JKO
받지	받/VV+지/EC
않는	않/VX+는/ETM
연간	연간/NNG
4000억원	4000/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
예비비	예비비/NNG
배정을	배정/NNG+을/JKO
폐지하고	폐지/NNG+하/XSV+고/EC
국회	국회/NNG
정보위에서	정보위/NNG+에서/JKB
예산	예산/NNG
내역을	내역/NNG+을/JKO
심사해야	심사/NNG+하/XSV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.435.10.2
하지만 새누리당과 국정원은 "정보기관의 예산 내역이 공개될 경우 정보 역량, 공작 내용이 노출될 우려가 있다"며 반대하고 있다.

하지만	하지만/MAJ
새누리당과	새누리당/NNP+과/JC
국정원은	국정원/NNG+은/JX
"정보기관의	"/SS+정보기관/NNG+의/JKG
예산	예산/NNG
내역이	내역/NNG+이/JKS
공개될	공개/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
정보	정보/NNG
역량,	역량/NNG+,/SP
공작	공작/NNG
내용이	내용/NNG+이/JKS
노출될	노출/NNG+되/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
반대하고	반대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.435.11.1
◇국정원법 개정도 난산 예상

◇국정원법	◇/SW+국정원법/NNG
개정도	개정/NNG+도/JX
난산	난산/NNG
예상	예상/NNG


# id : NWRW1800000038.435.12.1
여야가 당초 합의한 국정원 개혁 관련 법안의 연내 처리도 순조롭지만은 않을 것이란 전망이 나오고 있다.

여야가	여야/NNG+가/JKS
당초	당초/NNG
합의한	합의/NNG+하/XSV+ㄴ/ETM
국정원	국정원/NNG
개혁	개혁/NNG
관련	관련/NNG
법안의	법안/NNG+의/JKG
연내	연내/NNG
처리도	처리/NNG+도/JX
순조롭지만은	순조/NNG+롭/XSA+지만/EC+은/JX
않을	않/VX+을/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이	전망/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.435.12.2
남재준 원장은 이날 국회 보고에서 "국정원의 정치 중립은 법의 문제가 아니라 운영상의 문제"라며 국정원법 개정 등에 부정적인 입장을 밝혔다.

남재준	남재준/NNP
원장은	원장/NNG+은/JX
이날	이날/NNG
국회	국회/NNG
보고에서	보고/NNG+에서/JKB
"국정원의	"/SS+국정원/NNG+의/JKG
정치	정치/NNG
중립은	중립/NNG+은/JX
법의	법/NNG+의/JKG
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
운영상의	운영/NNG+상/XSN+의/JKG
문제"라며	문제/NNG+"/SS+이/VCP+라며/EC
국정원법	국정원법/NNG
개정	개정/NNG
등에	등/NNB+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.435.12.3
하지만 민주당은 자신들의 개혁 방안을 담은 국정원법과 국정원직원법, 국회법, 국회증언감정법, NSC법, 감사원법, 정부조직법 개정안 등 7개 법률안을 발의할 방침이다.

하지만	하지만/MAJ
민주당은	민주당/NNP+은/JX
자신들의	자신/NNG+들/XSN+의/JKG
개혁	개혁/NNG
방안을	방안/NNG+을/JKO
담은	담/VV+은/ETM
국정원법과	국정원법/NNG+과/JC
국정원직원법,	국정원/NNG+직원/NNG+법/NNG+,/SP
국회법,	국회법/NNG+,/SP
국회증언감정법,	국회/NNG+증언/NNG+감정법/NNG+,/SP
NSC법,	NSC/SL+법/NNG+,/SP
감사원법,	감사원법/NNG+,/SP
정부조직법	정부/NNG+조직법/NNG
개정안	개정안/NNG
등	등/NNB
7개	7/SN+개/NNB
법률안을	법률안/NNG+을/JKO
발의할	발의/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


