# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.15
metadata : {}


# id : NWRW1800000033.15.1.1
휘어지고 단단한 전자종이… e북 혁명 온다

휘어지고	휘어지/VV+고/EC
약	약/MMA
10%가	10/SN+%/SW+가/JKS
실수로	실수/NNG+로/JKB
전자책을	전자책/NNG+을/JKO
떨어뜨리거나	떨어뜨리/VV+거나/EC
다른	다른/MMD
물건에	물건/NNG+에/JKB
부딪혀서	부딪히/VV+어서/EC
화면이	화면/NNG+이/JKS
깨진	깨지/VV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.15.5.1
LG디스플레이는 이 같은 단점을 개선하기 위해 유리 대신 플라스틱을 채용한 6인치 전자종이를 개발해 세계 최초로 양산에 들어갔다고 29일 밝혔다.

LG디스플레이는	LG디스플레이/NNP+는/JX
이	이/NP
같은	같/VA+은/ETM
단점을	단점/NNG+을/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
유리	유리/NNG
대신	대신/NNG
플라스틱을	플라스틱/NNG+을/JKO
채용한	채용/NNG+하/XSV+ㄴ/ETM
6인치	6/SN+인치/NNB
전자종이를	전자/NNG+종이/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
세계	세계/NNG
최초로	최초/NNG+로/JKB
양산에	양산/NNG+에/JKB
들어갔다고	들어가/VV+았/EP+다고/EC
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.15.5.2
책받침처럼 약 40도까지 구부릴 수 있으며, 무게도 기존 전자종이의 절반인 14g에 불과하다.

책받침처럼	책받침/NNG+처럼/JKB
약	약/MMA
40도까지	40/SN+도/NNB+까지/JX
구부릴	구부리/VV+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
무게도	무게/NNG+도/JX
기존	기존/NNG
전자종이의	전자/NNG+종이/NNG+의/JKG
절반인	절반/NNG+이/VCP+ㄴ/ETM
14g에	14/SN+g/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000033.15.5.3
대만의 PVI나 AUO 등이 전자종이를 생산하지만 플라스틱 제품을 양산하는 건 LG디스플레이가 처음이다.

대만의	대만/NNP+의/JKG
PVI나	PVI/SL+나/JC
AUO	AUO/SL
등이	등/NNB+이/JKS
전자종이를	전자/NNG+종이/NNG+를/JKO
생산하지만	생산/NNG+하/XSV+지만/EC
플라스틱	플라스틱/NNG
제품을	제품/NNG+을/JKO
양산하는	양산/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
LG디스플레이가	LG디스플레이/NNP+가/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.15.5.4
이 전자종이는 두께가 유리 전자종이의 3분의 1 수준인 약 0.7mm로 줄었다.

이	이/MMD
전자종이는	전자/NNG+종이/NNG+는/JX
두께가	두께/NNG+가/JKS
유리	유리/NNG
전자종이의	전자/NNG+종이/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1	1/SN
수준인	수준/NNG+이/VCP+ㄴ/ETM
약	약/MMA
0.7mm로	0/SN+./SP+7/SN+mm/SW+로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.15.5.5
이를 위해 휴대전화 화면 보호 필름과 비슷한 두께의 플라스틱 기판(PCB)이 사용됐다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
휴대전화	휴대/NNG+전화/NNG
화면	화면/NNG
보호	보호/NNG
필름과	필름/NNG+과/JC
비슷한	비슷하/VA+ㄴ/ETM
두께의	두께/NNG+의/JKG
플라스틱	플라스틱/NNG
기판(PCB)이	기판/NNG+(/SS+PCB/SL+)/SS+이/JKS
사용됐다.	사용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.15.6.1
내구성도 개선됐다.

내구성도	내구/NNG+성/XSN+도/JX
개선됐다.	개선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.15.6.2
LG디스플레이 측은 선 채로 책을 볼 때의 높이(약 1.5m)에서 떨어뜨리거나 소형 우레탄 망치로 직접 내려쳐도 화면이 손상되지 않았다고 설명했다.

LG디스플레이	LG디스플레이/NNP
측은	측/NNB+은/JX
선	서/VV+ㄴ/ETM
채로	채/NNB+로/JKB
책을	책/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때의	때/NNG+의/JKG
높이(약	높이/NNG+(/SS+약/MMA
1.5m)에서	1/SN+./SP+5/SN+m/SW+)/SS+에서/JKB
떨어뜨리거나	떨어뜨리/VV+거나/EC
소형	소형/NNG
우레탄	우레탄/NNG
망치로	망치/NNG+로/JKB
직접	직접/MAG
내려쳐도	내리치/VV+어도/EC
화면이	화면/NNG+이/JKS
손상되지	손상/NNG+되/XSV+지/EC
않았다고	않/VX+았/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.15.6.3
제작 단가도 유리 전자종이와 큰 차이가 없다.

제작	제작/NNG
단가도	단가/NNG+도/JX
유리	유리/NNG
전자종이와	전자/NNG+종이/NNG+와/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000033.15.6.4
이에 따라 LG디스플레이는 공격적으로 보급에 나서기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
LG디스플레이는	LG디스플레이/NNP+는/JX
공격적으로	공격/NNG+적/XSN+으로/JKB
보급에	보급/NNG+에/JKB
나서기로	나서/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.15.6.5
4월에는 중국의 단말기 제조업체를 통해 플라스틱 전자종이를 채택한 기기를 내놓고 유럽 시장에 판매한다.

4월에는	4/SN+월/NNB+에/JKB+는/JX
중국의	중국/NNP+의/JKG
단말기	단말기/NNG
제조업체를	제조업체/NNG+를/JKO
통해	통하/VV+아/EC
플라스틱	플라스틱/NNG
전자종이를	전자/NNG+종이/NNG+를/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
기기를	기기/NNG+를/JKO
내놓고	내놓/VV+고/EC
유럽	유럽/NNP
시장에	시장/NNG+에/JKB
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.15.6.6
하반기에는 책받침처럼 사용하거나 종이 책의 느낌을 살린 다양한 디자인의 전자책이 나올 것으로 보인다.

하반기에는	하반기/NNG+에/JKB+는/JX
책받침처럼	책받침/NNG+처럼/JKB
사용하거나	사용/NNG+하/XSV+거나/EC
종이	종이/NNG
책의	책/NNG+의/JKG
느낌을	느낌/NNG+을/JKO
살린	살리/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
디자인의	디자인/NNG+의/JKG
전자책이	전자책/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.15.7.1
LG디스플레이 관계자는 “기존 전자종이는 전력 소모가 낮고 가격이 10∼20% 싸다는 점 말고는 태블릿PC에 쓰이는 액정표시장치(LCD)와 크게 다른 차별화 포인트가 없었다”며 “플라스틱 전자종이가 양산되면 새로운 콘셉트의 전자책이 속속 등장해 시장에 큰 변화가 일어날 것”이라고 기대했다.

LG디스플레이	LG디스플레이/NNP
관계자는	관계자/NNG+는/JX
“기존	“/SS+기존/NNG
전자종이는	전자/NNG+종이/NNG+는/JX
전력	전력/NNG
소모가	소모/NNG+가/JKS
낮고	낮/VA+고/EC
가격이	가격/NNG+이/JKS
10∼20%	10/SN+∼/SO+20/SN+%/SW
싸다는	싸/VA+다는/ETM
점	점/NNG
말고는	말/VV+고/EC+는/JX
태블릿PC에	태블릿/NNG+PC/SL+에/JKB
쓰이는	쓰이/VV+는/ETM
액정표시장치(LCD)와	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS+와/JKB
크게	크/VA+게/EC
다른	다르/VA+ㄴ/ETM
차별화	차별/NNG+화/XSN
포인트가	포인트/NNG+가/JKS
없었다”며	없/VA+었/EP+다/EF+”/SS+며/EC
“플라스틱	“/SS+플라스틱/NNG
전자종이가	전자/NNG+종이/NNG+가/JKS
양산되면	양산/NNG+되/XSV+면/EC
새로운	새롭/VA+ㄴ/ETM
콘셉트의	콘셉트/NNG+의/JKG
전자책이	전자책/NNG+이/JKS
속속	속속/MAG
등장해	등장/NNG+하/XSV+아/EC
시장에	시장/NNG+에/JKB
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
일어날	일어나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


