# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.268
metadata : {}


# id : NWRW1800000033.268.1.1
[횡설수설]/정성희 자녀 학교방문 휴가

[횡설수설]/정성희	[/SS+횡설수설/NNG+]/SS+//SP+정성희/NNP
평가하는	평가/NNG+하/XSV+는/ETM
항목이	항목/NNG+이/JKS
있지만	있/VA+지만/EC
담임교사를	담임/NNG+교사/NNG+를/JKO
한	한/MMN
번도	번/NNB+도/JX
만나지	만나/VV+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
평가는	평가/NNG+는/JX
불가능하다.	불/XPN+가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.268.4.3
자녀에게 선생님에 대한 인상을 물어 평가하다 보면 인상평가가 되고 만다.

자녀에게	자녀/NNG+에게/JKB
선생님에	선생/NNG+님/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
인상을	인상/NNG+을/JKO
물어	묻/VV+어/EC
평가하다	평가/NNG+하/XSV+다/EC
보면	보/VX+면/EC
인상평가가	인상평가/NNG+가/JKC
되고	되/VV+고/EC
만다.	말/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.268.4.4
‘왕따’와 폭력 예방을 위해서도 학부모가 학교생활에 관심을 가질 필요가 있다.

‘왕따’와	‘/SS+왕따/NNG+’/SS+와/JC
폭력	폭력/NNG
예방을	예방/NNG+을/JKO
위해서도	위하/VV+아서/EC+도/JX
학부모가	학부모/NNG+가/JKS
학교생활에	학교생활/NNG+에/JKB
관심을	관심/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.268.4.5
하지만 학부모들은 직장 때문에 학교 행사에 참여하기 쉽지 않다.

하지만	하지만/MAJ
학부모들은	학부모/NNG+들/XSN+은/JX
직장	직장/NNG
때문에	때문/NNB+에/JKB
학교	학교/NNG
행사에	행사/NNG+에/JKB
참여하기	참여/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000033.268.4.6
특히 맞벌이의 고통이 크다.

특히	특히/MAG
맞벌이의	맞벌이/NNG+의/JKG
고통이	고통/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000033.268.4.7
지난해 친구들의 따돌림과 폭행을 견디지 못하고 자살한 대구 중학생 부모도 교사였다.

지난해	지난해/NNG
친구들의	친구/NNG+들/XSN+의/JKG
따돌림과	따돌림/NNG+과/JC
폭행을	폭행/NNG+을/JKO
견디지	견디/VV+지/EC
못하고	못하/VX+고/EC
자살한	자살/NNG+하/XSV+ㄴ/ETM
대구	대구/NNP
중학생	중학/NNG+생/XSN
부모도	부모/NNG+도/JX
교사였다.	교사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.268.5.1
▷학부모들이 직장에서 휴가를 받아 교사상담 공개수업 등 자녀 학교활동에 참여하도록 하는 ‘학부모 학교 참여 휴가제’가 추진되고 있다.

▷학부모들이	▷/SW+학부모/NNG+들/XSN+이/JKS
직장에서	직장/NNG+에서/JKB
휴가를	휴가/NNG+를/JKO
받아	받/VV+아/EC
교사상담	교사/NNG+상담/NNG
공개수업	공개/NNG+수업/NNG
등	등/NNB
자녀	자녀/NNG
학교활동에	학교/NNG+활동/NNG+에/JKB
참여하도록	참여/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
‘학부모	‘/SS+학부모/NNG
학교	학교/NNG
참여	참여/NNG
휴가제’가	휴가/NNG+제/XSN+’/SS+가/JKS
추진되고	추진/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.268.5.2
설문조사에서 73.1%의 학부모가 찬성하고 있지만 제도 도입이 쉽지만은 않아 보인다.

설문조사에서	설문/NNG+조사/NNG+에서/JKB
73.1%의	73/SN+./SP+1/SN+%/SW+의/JKG
학부모가	학부모/NNG+가/JKS
찬성하고	찬성/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
제도	제도/NNG
도입이	도입/NNG+이/JKS
쉽지만은	쉽/VA+지/EC+만/JX+은/JX
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.268.5.3
직원이 자녀의 학교행사가 있을 때마다 유급(有給)휴가를 낸다면 회사에서 난색을 표시할 것이다.

직원이	직원/NNG+이/JKS
자녀의	자녀/NNG+의/JKG
학교행사가	학교/NNG+행사/NNG+가/JKS
있을	있/VA+을/ETM
때마다	때/NNG+마다/JX
유급(有給)휴가를	유급/NNG+(/SS+有給/SH+)/SS+휴가/NNG+를/JKO
낸다면	내/VV+ㄴ다면/EC
회사에서	회사/NNG+에서/JKB
난색을	난색/NNG+을/JKO
표시할	표시/NNG+하/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.268.5.4
일반휴가를 하루쯤 떼어내 자녀의 학교 방문에 활용하면 자녀와의 소통, 학교와의 소통에 도움이 될 것이다.

일반휴가를	일반/NNG+휴가/NNG+를/JKO
하루쯤	하루/NNG+쯤/XSN
떼어내	떼/VV+어/EC+내/VX+어/EC
자녀의	자녀/NNG+의/JKG
학교	학교/NNG
방문에	방문/NNG+에/JKB
활용하면	활용/NNG+하/XSV+면/EC
자녀와의	자녀/NNG+와/JKB+의/JKG
소통,	소통/NNG+,/SP
학교와의	학교/NNG+와/JKB+의/JKG
소통에	소통/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.268.5.5
이로 인해 자녀 걱정이 그만큼 줄어들면 직장에서의 업무 효율도 올라가게 된다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
자녀	자녀/NNG
걱정이	걱정/NNG+이/JKS
그만큼	그만큼/MAG
줄어들면	줄어들/VV+면/EC
직장에서의	직장/NNG+에서/JKB+의/JKG
업무	업무/NNG
효율도	효율/NNG+도/JX
올라가게	올라가/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


