# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.358
metadata : {}


# id : NWRW1800000045.358.1.1
[데스크 진단]인과관계 분석과 ‘업무 지능’

[데스크	[/SS+데스크/NNG
잘하는	잘/MAG+하/XSV+는/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.358.6.2
이런 사람들은 문제의 원인이 무엇인지를 정확히 밝혀 그것에 맞는 최적의 해결책을 내놓는다.

이런	이런/MMD
사람들은	사람/NNG+들/XSN+은/JX
문제의	문제/NNG+의/JKG
원인이	원인/NNG+이/JKS
무엇인지를	무엇/NP+이/VCP+ㄴ지/EF+를/JKO
정확히	정확히/MAG
밝혀	밝히/VV+어/EC
그것에	그것/NP+에/JKB
맞는	맞/VV+는/ETM
최적의	최적/NNG+의/JKG
해결책을	해결책/NNG+을/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000045.358.6.3
이것이 바로 인과관계 분석이 업무 지능의 핵심이 되는 이유다.

이것이	이것/NP+이/JKS
바로	바로/MAG
인과관계	인과/NNG+관계/NNG
분석이	분석/NNG+이/JKS
업무	업무/NNG
지능의	지능/NNG+의/JKG
핵심이	핵심/NNG+이/JKC
되는	되/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.358.7.1
우리 주변을 살펴보면 인과관계 분석이 잘못되거나 전혀 시도되지 않아 문제가 생기는 경우가 허다하다.

우리	우리/NP
주변을	주변/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
인과관계	인과/NNG+관계/NNG
분석이	분석/NNG+이/JKS
잘못되거나	잘못/MAG+되/XSV+거나/EC
전혀	전혀/MAG
시도되지	시도/NNG+되/XSV+지/EC
않아	않/VX+아/EC
문제가	문제/NNG+가/JKS
생기는	생기/VV+는/ETM
경우가	경우/NNG+가/JKS
허다하다.	허다하/VA+다/EF+./SF


# id : NWRW1800000045.358.7.2
유통업계에서 일하는 지인 중 한 사람은 “상품 구색이 문제라서 경쟁사보다 매출이 떨어지는 점포에 무조건 ‘폭탄 세일’을 지시하는 본사 담당자 때문에 미칠 지경”이라며 “세일 때문에 이익이 줄어들면 누가 문책을 당하겠나”라고 하소연했다.

유통업계에서	유통업/NNG+계/XSN+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
지인	지인/NNG
중	중/NNB
한	한/MMN
사람은	사람/NNG+은/JX
“상품	“/SS+상품/NNG
구색이	구색/NNG+이/JKS
문제라서	문제/NNG+이/VCP+라서/EC
경쟁사보다	경쟁사/NNG+보다/JKB
매출이	매출/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
점포에	점포/NNG+에/JKB
무조건	무/XPN+조건/NNG
‘폭탄	‘/SS+폭탄/NNG
세일’을	세일/NNG+’/SS+을/JKO
지시하는	지시/NNG+하/XSV+는/ETM
본사	본사/NNG
담당자	담당자/NNG
때문에	때문/NNB+에/JKB
미칠	미치/VV+ㄹ/ETM
지경”이라며	지경/NNB+”/SS+이/VCP+라며/EC
“세일	“/SS+세일/NNG
이익이	이익/NNG+이/JKS
줄어들면	줄어들/VV+면/EC
누가	누구/NP+가/JKS
문책을	문책/NNG+을/JKO
당하겠나”라고	당하/VV+겠/EP+나/EF+”/SS+라고/JKQ
하소연했다.	하소연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.358.8.1
특히 요즘 같은 위기 상황에서는 이런 ‘헛다리 짚기’가 발생할 가능성이 높다.

특히	특히/MAG
요즘	요즘/NNG
같은	같/VA+은/ETM
위기	위기/NNG
상황에서는	상황/NNG+에서/JKB+는/JX
이런	이런/MMD
‘헛다리	‘/SS+헛/XPN+다리/NNG
짚기’가	짚/VV+기/ETN+’/SS+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000045.358.8.2
어느 조직이나 위기를 타개하기 위한 해결책을 활발히 찾는 데다, 위기 상황에 대한 해결책에는 반론을 제기하기가 어렵기 때문이다.

어느	어느/MMD
조직이나	조직/NNG+이나/JC
위기를	위기/NNG+를/JKO
타개하기	타개/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
해결책을	해결책/NNG+을/JKO
활발히	활발히/MAG
찾는	찾/VV+는/ETM
데다,	데/NNB+다/JX+,/SP
위기	위기/NNG
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
해결책에는	해결책/NNG+에/JKB+는/JX
반론을	반론/NNG+을/JKO
제기하기가	제기/NNG+하/XSV+기/ETN+가/JKS
어렵기	어렵/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.358.8.3
따라서 경기가 어려울 때는 주말 출근이나 간부 수련회 같은 아마추어적 대응책이 넘쳐나게 된다.

따라서	따라서/MAJ
경기가	경기/NNG+가/JKS
어려울	어렵/VA+ㄹ/ETM
때는	때/NNG+는/JX
주말	주말/NNG
출근이나	출근/NNG+이나/JC
간부	간부/NNG
수련회	수련회/NNG
같은	같/VA+은/ETM
아마추어적	아마추어/NNG+적/XSN
대응책이	대응책/NNG+이/JKS
넘쳐나게	넘치/VV+어/EC+나/VX+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.358.8.4
이런 행위는 조직원들의 냉소와 비관을 부를 뿐이다.

이런	이런/MMD
행위는	행위/NNG+는/JX
조직원들의	조직원/NNG+들/XSN+의/JKG
냉소와	냉소/NNG+와/JC
비관을	비관/NNG+을/JKO
부를	부르/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.358.9.1
지난주 한국은행이 기준금리를 낮췄다.

지난주	지난주/NNG
한국은행이	한국은행/NNP+이/JKS
기준금리를	기준/NNG+금리/NNG+를/JKO
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.358.9.2
메르스 사태로 인한 소비 침체 등 경기 하강을 막기 위해서라고 한다.

메르스	메르스/NNG
사태로	사태/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
소비	소비/NNG
침체	침체/NNG
등	등/NNB
경기	경기/NNG
하강을	하강/NNG+을/JKO
막기	막/VV+기/ETN
위해서라고	위하/VV+아서/EC+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.358.9.3
이에 대해 건설업계 등에선 환영하는 표정이지만 일각에선 고개를 갸웃거린다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
건설업계	건설업/NNG+계/XSN
등에선	등/NNB+에서/JKB+ㄴ/JX
환영하는	환영/NNG+하/XSV+는/ETM
표정이지만	표정/NNG+이/VCP+지만/EC
일각에선	일각/NNG+에서/JKB+ㄴ/JX
고개를	고개/NNG+를/JKO
갸웃거린다.	갸웃거리/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.358.9.4
유통업계의 한 관계자는 “빚 내서 소비할 사람이 얼마나 되는지 모르겠고, 전세금만 올라가 소비자들의 가처분소득이 더 줄어들 우려도 있다”고 말했다.

유통업계의	유통업/NNG+계/XSN+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“빚	“/SS+빚/NNG
내서	내/VV+어서/EC
소비할	소비/NNG+하/XSV+ㄹ/ETM
사람이	사람/NNG+이/JKS
얼마나	얼마나/MAG
되는지	되/VV+는지/EF
모르겠고,	모르/VV+겠/EP+고/EC+,/SP
전세금만	전세금/NNG+만/JX
올라가	올라가/VV+아/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
가처분소득이	가/XPN+처분/NNG+소득/NNG+이/JKS
더	더/MAG
줄어들	줄어들/VV+ㄹ/ETM
우려도	우려/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.358.9.5
한국은행은 과연 인과관계 분석을 잘한 것일까.

한국은행은	한국은행/NNP+은/JX
과연	과연/MAG
인과관계	인과/NNG+관계/NNG
분석을	분석/NNG+을/JKO
잘한	잘/MAG+하/XSV+ㄴ/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


