# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.205
metadata : {}


# id : NWRW1800000025.205.1.1
李대통령 “엉터리 국제결혼 정비해야”

李대통령	李/SH+대통령/NNG
“국격(國格)이라는	“/SS+국격/NNG+(/SS+國格/SH+)/SS+이/VCP+라는/ETM
말을	말/NNG+을/JKO
거론하기도	거론/NNG+하/XSV+기/ETN+도/JX
부끄럽다.	부끄럽/VA+다/EF+./SF


# id : NWRW1800000025.205.5.2
국격 이전에 인간관계의 기본을 훼손하는 중대한 문제”라고 지적했다고 김창영 국무총리실 공보실장이 전했다.

국격	국격/NNG
이전에	이전/NNG+에/JKB
인간관계의	인간관계/NNG+의/JKG
기본을	기본/NNG+을/JKO
훼손하는	훼손/NNG+하/XSV+는/ETM
중대한	중대/NNG+하/XSA+ㄴ/ETM
문제”라고	문제/NNG+”/SS+라고/JKQ
지적했다고	지적/NNG+하/XSV+았/EP+다고/EC
김창영	김창영/NNP
국무총리실	국무총리실/NNG
공보실장이	공보실장/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.205.5.3
이귀남 법무부 장관은 이날 쩐쫑또안 주한 베트남대사를 통해 유족에게 위로금을 전달했다.

이귀남	이귀남/NNP
법무부	법무부/NNG
장관은	장관/NNG+은/JX
이날	이날/NNG
쩐쫑또안	쩐쫑또안/NNP
주한	주한/NNG
베트남대사를	베트남/NNP+대사/NNG+를/JKO
통해	통하/VV+아/EC
유족에게	유족/NNG+에게/JKB
위로금을	위로금/NNG+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


