# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.226
metadata : {}


# id : NWRW1800000049.226.1.1
산악구간에선… 맨앞에 한국선수 3명

산악구간에선…	산악/NNG+구간/NNG+에서/JKB+ㄴ/JX+…/SE
%로	%/SW+로/JKB
나타내는데	나타내/VV+는데/EC
수평	수평/NNG
거리에	거리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수직	수직/NNG
높이를	높이/NNG+를/JKO
백분율로	백/NR+분/XSN+율/XSN+로/JKB
나타낸	나타내/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.226.3.4
각도와는 다르다.

각도와는	각도/NNG+와/JKB+는/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000049.226.3.5
경사도가 5%만 돼도 자전거를 타고 오르기에는 상당히 부담스럽다.

경사도가	경사도/NNG+가/JKS
5%만	5/SN+%/SW+만/JX
돼도	되/VV+어도/EC
자전거를	자전거/NNG+를/JKO
타고	타/VV+고/EC
오르기에는	오르/VV+기/ETN+에/JKB+는/JX
상당히	상당히/MAG
부담스럽다.	부담/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000049.226.3.6
투르 드 프랑스 등 해외 대회에는 20%가 넘는 곳도 있다.

투르	투르/NNG
드	드/NNG
프랑스	프랑스/NNP
등	등/NNB
해외	해외/NNG
대회에는	대회/NNG+에/JKB+는/JX
20%가	20/SN+%/SW+가/JKS
넘는	넘/VV+는/ETM
곳도	곳/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.226.4.1
산악 구간은 5등급으로 구분한다.

산악	산악/NNG
구간은	구간/NNG+은/JX
5등급으로	5/SN+등급/NNG+으로/JKB
구분한다.	구분/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.226.4.2
가장 쉬운 4등급은 경사도 5%에서 2km이거나 경사도 2∼3%에서 5km 이하의 구간이고, 3등급은 경사도 10%에서 1.5km이거나 경사도 5%에서 8km 이하의 구간이다.

가장	가장/MAG
쉬운	쉽/VA+ㄴ/ETM
4등급은	4/SN+등급/NNG+은/JX
경사도	경사도/NNG
5%에서	5/SN+%/SW+에서/JKB
2km이거나	2/SN+km/SW+이/VCP+거나/EC
2∼3%에서	2/SN+∼/SO+3/SN+%/SW+에서/JKB
5km	5/SN+km/SW
이하의	이하/NNG+의/JKG
구간이고,	구간/NNG+이/VCP+고/EC+,/SP
3등급은	3/SN+등급/NNG+은/JX
10%에서	10/SN+%/SW+에서/JKB
1.5km이거나	1/SN+./SP+5/SN+km/SW+이/VCP+거나/EC
8km	8/SN+km/SW
구간이다.	구간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.226.4.3
가장 높은 HC등급은 평균 경사도 7.5%에서 10km이거나 경사도 6%에서 25km를 달려야 한다.

가장	가장/MAG
높은	높/VA+은/ETM
HC등급은	HC/SL+등급/NNG+은/JX
평균	평균/NNG
경사도	경사도/NNG
7.5%에서	7/SN+./SP+5/SN+%/SW+에서/JKB
10km이거나	10/SN+km/SW+이/VCP+거나/EC
6%에서	6/SN+%/SW+에서/JKB
25km를	25/SN+km/SW+를/JKO
달려야	달리/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.226.4.4
이번 투르 드 코리아(TDK) 2016에는 3등급 산악 구간이 4개, 4등급 4개 등 총 8개의 산악 구간이 있다.

이번	이번/NNG
투르	투르/NNG
드	드/NNG
코리아(TDK)	코리아/NNP+(/SS+TDK/SL+)/SS
2016에는	2016/SN+에/JKB+는/JX
3등급	3/SN+등급/NNG
산악	산악/NNG
구간이	구간/NNG+이/JKS
4개,	4/SN+개/NNB+,/SP
4등급	4/SN+등급/NNG
4개	4/SN+개/NNB
등	등/NNB
총	총/MMA
8개의	8/SN+개/NNB+의/JKG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.226.5.1
6일 경북 구미를 출발해 전북 군산까지 이어진 TDK 2016 제2구간은 전체 8구간으로 구성된 이번 대회에서 가장 길고(235.2km) 유일하게 산악 구간이 2개인 구간이다.

6일	6/SN+일/NNB
경북	경북/NNP
구미를	구미/NNG+를/JKO
출발해	출발/NNG+하/XSV+아/EC
전북	전북/NNP
군산까지	군산/NNP+까지/JX
이어진	이어지/VV+ㄴ/ETM
TDK	TDK/SL
2016	2016/SN
제2구간은	제/XPN+2/SN+구간/NNG+은/JX
전체	전체/NNG
8구간으로	8/SN+구간/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
가장	가장/MAG
길고(235.2km)	길/VA+고/EC+(/SS+235/SN+./SP+2/SN+km/SW+)/SS
유일하게	유일/NNG+하/XSA+게/EC
산악	산악/NNG
구간이	구간/NNG+이/JKS
2개인	2/SN+개/NNB+이/VCP+ㄴ/ETM
구간이다.	구간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.226.5.2
이날 구간 우승은 ‘사이클의 본고장’ 유럽의 프로 콘티넨털팀인 원프로(영국) 소속의 크리스 오피(29·5시간43분11초)가 차지했다.

이날	이날/NNG
구간	구간/NNG
우승은	우승/NNG+은/JX
‘사이클의	‘/SS+사이클/NNG+의/JKG
본고장’	본고장/NNG+’/SS
유럽의	유럽/NNP+의/JKG
프로	프로/NNG
콘티넨털팀인	콘티넨털/NNG+팀/NNG+이/VCP+ㄴ/ETM
원프로(영국)	원프로/NNP+(/SS+영국/NNP+)/SS
소속의	소속/NNG+의/JKG
크리스	크리스/NNP
오피(29·5시간43분11초)가	오피/NNP+(/SS+29/SN+·/SP+5/SN+시간/NNB+43/SN+분/NNB+11/SN+초/NNB+)/SS+가/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.226.5.3
하지만 구간 산악왕의 영광은 한국의 김현석(21·국민체육진흥공단)에게 돌아갔다.

하지만	하지만/MAJ
구간	구간/NNG
산악왕의	산악/NNG+왕/NNG+의/JKG
영광은	영광/NNG+은/JX
한국의	한국/NNP+의/JKG
김현석(21·국민체육진흥공단)에게	김현석/NNP+(/SS+21/SN+·/SP+국민체육진흥공단/NNP+)/SS+에게/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.226.6.1
산악 구간은 정상에 오른 순서로 포인트를 주는데 등급에 따라 다르다.

산악	산악/NNG
구간은	구간/NNG+은/JX
정상에	정상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
순서로	순서/NNG+로/JKB
포인트를	포인트/NNG+를/JKO
주는데	주/VV+는데/EC
등급에	등급/NNG+에/JKB
따라	따르/VV+아/EC
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000049.226.6.2
4등급은 1∼3위가 각 4, 2, 1점이고 3등급은 1∼4위가 각 6, 4, 2, 1점이다.

4등급은	4/SN+등급/NNG+은/JX
1∼3위가	1/SN+∼/SO+3/SN+위/NNB+가/JKS
각	각/MMD
4,	4/SN+,/SP
2,	2/SN+,/SP
1점이고	1/SN+점/NNB+이/VCP+고/EC
3등급은	3/SN+등급/NNG+은/JX
1∼4위가	1/SN+∼/SO+4/SN+위/NNB+가/JKS
6,	6/SN+,/SP
1점이다.	1/SN+점/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.226.6.3
김현석은 53.6km 지점에서 시작해 2.4km를 달려야 하는 3등급 산악 구간 부항령을 가장 먼저 통과하며 6점을 얻었다.

김현석은	김현석/NNP+은/JX
53.6km	53/SN+./SP+6/SN+km/SW
지점에서	지점/NNG+에서/JKB
시작해	시작/NNG+하/XSV+아/EC
2.4km를	2/SN+./SP+4/SN+km/SW+를/JKO
달려야	달리/VV+어야/EC
하는	하/VX+는/ETM
3등급	3/SN+등급/NNG
산악	산악/NNG
구간	구간/NNG
부항령을	부항령/NNP+을/JKO
가장	가장/MAG
먼저	먼저/MAG
통과하며	통과/NNG+하/XSV+며/EC
6점을	6/SN+점/NNB+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.226.6.4
전날 구간 산악왕에 오른 장경구(26·코레일)와 주강은(20·국민체육진흥공단)이 그 뒤를 이으면서 이날 산악 구간 1∼3위를 한국 선수들이 휩쓸었다.

전날	전날/NNG
구간	구간/NNG
산악왕에	산악/NNG+왕/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
장경구(26·코레일)와	장경구/NNP+(/SS+26/SN+·/SP+코레일/NNP+)/SS+와/JC
주강은(20·국민체육진흥공단)이	주강은/NNP+(/SS+20/SN+·/SP+국민체육진흥공단/NNP+)/SS+이/JKS
그	그/MMD
뒤를	뒤/NNG+를/JKO
이으면서	잇/VV+으면서/EC
이날	이날/NNG
산악	산악/NNG
1∼3위를	1/SN+∼/SO+3/SN+위/NNB+를/JKO
한국	한국/NNP
선수들이	선수/NNG+들/XSN+이/JKS
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.226.7.1
고교 시절 단거리 최강자였던 김현석은 “산악왕은 처음이다.

고교	고교/NNG
시절	시절/NNG
단거리	단거리/NNG
최강자였던	최강자/NNG+이/VCP+었/EP+던/ETM
김현석은	김현석/NNP+은/JX
“산악왕은	“/SS+산악/NNG+왕/NNG+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.226.7.2
수준 높은 선수들과 경쟁하면서 이런 결과가 나올 줄은 몰랐다.

수준	수준/NNG
높은	높/VA+은/ETM
선수들과	선수/NNG+들/XSN+과/JKB
경쟁하면서	경쟁/NNG+하/XSV+면서/EC
이런	이런/MMD
결과가	결과/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
줄은	줄/NNB+은/JX
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.226.7.3
강원체고 선배인 (장)경구 형처럼 사이클로 성공하고 싶다”고 소감을 전했다.

강원체고	강원체고/NNP
선배인	선배/NNG+이/VCP+ㄴ/ETM
(장)경구	(/SS+장/NNP+)/SS+경구/NNP
형처럼	형/NNB+처럼/JKB
사이클로	사이클/NNG+로/JKB
성공하고	성공/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
소감을	소감/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.226.7.4
국민체육진흥공단 이병일 감독은 “김현석과 주강은에게 앞으로 치고 나가라고 지시했다.

국민체육진흥공단	국민체육진흥공단/NNP
이병일	이병일/NNP
감독은	감독/NNG+은/JX
“김현석과	“/SS+김현석/NNP+과/JC
주강은에게	주강은/NNP+에게/JKB
앞으로	앞/NNG+으로/JKB
치고	치/VV+고/EC
나가라고	나가/VV+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.226.7.5
젊은 선수들에게 자신감을 심어주고 싶었는데 능력을 잘 보여줬다”고 말했다.

젊은	젊/VA+은/ETM
선수들에게	선수/NNG+들/XSN+에게/JKB
자신감을	자신감/NNG+을/JKO
심어주고	심/VV+어/EC+주/VX+고/EC
싶었는데	싶/VX+었/EP+는데/EC
능력을	능력/NNG+을/JKO
잘	잘/MAG
보여줬다”고	보이/VV+어/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.226.7.6
현재 올림픽 포인트 1위인 김옥철(22·서울시청)은 이틀 연속 ‘베스트 영 라이더’로 뽑혔다.

현재	현재/MAG
올림픽	올림픽/NNG
포인트	포인트/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
김옥철(22·서울시청)은	김옥철/NNP+(/SS+22/SN+·/SP+서울시청/NNP+)/SS+은/JX
이틀	이틀/NNG
연속	연속/NNG
‘베스트	‘/SS+베스트/NNG
영	영/NNG
라이더’로	라이더/NNG+’/SS+로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.226.7.7
그는 “너무 힘든 레이스였다.

그는	그/NP+는/JX
“너무	“/SS+너무/MAG
힘든	힘들/VA+ㄴ/ETM
레이스였다.	레이스/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.226.7.8
현재 올림픽 포인트 1위인데 안심할 수 없는 상황이다.

현재	현재/MAG
올림픽	올림픽/NNG
포인트	포인트/NNG
1위인데	1/SN+위/NNB+이/VCP+ㄴ데/EC
안심할	안심/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.226.7.9
남은 구간에서 꼭 올림픽 포인트를 추가하고 싶다”고 말했다.

남은	남/VV+은/ETM
구간에서	구간/NNG+에서/JKB
꼭	꼭/MAG
올림픽	올림픽/NNG
포인트를	포인트/NNG+를/JKO
추가하고	추가/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


