# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.379
metadata : {}


# id : NWRW1800000028.379.1.1
‘4대강’ 파야하니 맹꽁이는 떠나라?

‘4대강’	‘/SS+4/SN+대/NNG+강/NNG+’/SS
꾸미는	꾸미/VV+는/ETM
사업을	사업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.379.4.1
인근에 사는 조성완 부여읍 군수2리 이장은 “5~6년 전부터 여름철에 맹꽁이 울음소리가 시끄러울 정도로 들렸다”며 “가물치·메기·붕어 등도 산다”고 말했다.

인근에	인근/NNG+에/JKB
사는	살/VV+는/ETM
조성완	조성완/NNP
부여읍	부여읍/NNP
군수2리	군수2리/NNP
이장은	이장/NNG+은/JX
“5~6년	“/SS+5/SN+~/SO+6/SN+년/NNB
전부터	전/NNG+부터/JX
여름철에	여름철/NNG+에/JKB
맹꽁이	맹꽁이/NNG
울음소리가	울음소리/NNG+가/JKS
시끄러울	시끄럽/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
들렸다”며	들리/VV+었/EP+다/EF+”/SS+며/EC
“가물치·메기·붕어	“/SS+가물치/NNG+·/SP+메기/NNG+·/SP+붕어/NNG
등도	등/NNB+도/JX
산다”고	살/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.379.4.2
지난 22일 현장을 둘러본 ‘양서류 전문가’ 문광연 대전 중일고 생물교사는 “20~30㎝ 깊이의 고인 물이 있고 벌레 같은 먹잇감이 많은데다 사람의 출입이 뜸한 곳이라 맹꽁이의 서식지로는 안성맞춤”이라며 “차단줄 바깥에도 맹꽁이가 서식하고 있을 가능성이 있어 보존구역을 더 넓힐 필요가 있다”고 말했다.

지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
현장을	현장/NNG+을/JKO
둘러본	둘러보/VV+ㄴ/ETM
‘양서류	‘/SS+양서/NNG+류/XSN
전문가’	전문가/NNG+’/SS
문광연	문광연/NNP
대전	대전/NNP
중일고	중일고/NNP
생물교사는	생물/NNG+교사/NNG+는/JX
“20~30㎝	“/SS+20/SN+~/SO+30/SN+㎝/SW
깊이의	깊이/NNG+의/JKG
고인	고이/VV+ㄴ/ETM
물이	물/NNG+이/JKS
있고	있/VV+고/EC
벌레	벌레/NNG
같은	같/VA+은/ETM
먹잇감이	먹잇감/NNG+이/JKS
많은데다	많/VA+은/ETM+데/NNB+다/JX
사람의	사람/NNG+의/JKG
출입이	출입/NNG+이/JKS
뜸한	뜸하/VA+ㄴ/ETM
곳이라	곳/NNG+이/VCP+라/EC
맹꽁이의	맹꽁이/NNG+의/JKG
서식지로는	서식지/NNG+로/JKB+는/JX
안성맞춤”이라며	안성맞춤/NNG+”/SS+이/VCP+라며/EC
“차단줄	“/SS+차단/NNG+줄/NNG
바깥에도	바깥/NNG+에/JKB+도/JX
맹꽁이가	맹꽁이/NNG+가/JKS
서식하고	서식/NNG+하/XSV+고/EC
있을	있/VX+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있어	있/VA+어/EC
보존구역을	보존/NNG+구역/NNG+을/JKO
더	더/MAG
넓힐	넓히/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.379.5.1
대전국토청은 지난 12일 금강유역환경청에 ‘조치 계획서’를 보내 “맹꽁이 발견이 가능한 내년 6~8월에 정밀조사 및 전문가 자문을 통해 이주계획 등 보호 방안을 수립·시행할 계획”이라고 밝혔다.

대전국토청은	대전국토청/NNP+은/JX
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
금강유역환경청에	금강유역환경청/NNP+에/JKB
‘조치	‘/SS+조치/NNG
계획서’를	계획서/NNG+’/SS+를/JKO
보내	보내/VV+어/EC
“맹꽁이	“/SS+맹꽁이/NNG
발견이	발견/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
내년	내년/NNG
6~8월에	6/SN+~/SO+8/SN+월/NNB+에/JKB
정밀조사	정밀/NNG+조사/NNG
및	및/MAG
전문가	전문가/NNG
자문을	자문/NNG+을/JKO
통해	통하/VV+아/EC
이주계획	이주/NNG+계획/NNG
등	등/NNB
보호	보호/NNG
방안을	방안/NNG+을/JKO
수립·시행할	수립/NNG+·/SP+시행/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.379.6.1
환경단체 등은 ‘정밀조사 뒤 서식지를 보존해야 한다’며 대전국토청 계획을 비판했다.

환경단체	환경/NNG+단체/NNG
등은	등/NNB+은/JX
‘정밀조사	‘/SS+정밀/NNG+조사/NNG
뒤	뒤/NNG
서식지를	서식지/NNG+를/JKO
보존해야	보존/NNG+하/XSV+아야/EC
한다’며	하/VX+ㄴ다/EF+’/SS+며/EC
대전국토청	대전국토청/NNP
계획을	계획/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.379.6.2
양흥모 대전충남녹색연합 사무처장은 “환경영향평가서에 맹꽁이 서식 사실이 누락돼 환경영향평가가 부실했다고 볼 수밖에 없다”며 “사업 구간에서 제외하고, 서식지를 보존해야 한다”고 지적했다.

양흥모	양흥모/NNP
대전충남녹색연합	대전충남녹색연합/NNP
사무처장은	사무처장/NNG+은/JX
“환경영향평가서에	“/SS+환경/NNG+영향/NNG+평가서/NNG+에/JKB
맹꽁이	맹꽁이/NNG
서식	서식/NNG
사실이	사실/NNG+이/JKS
누락돼	누락/NNG+되/XSV+어/EC
환경영향평가가	환경/NNG+영향/NNG+평가/NNG+가/JKS
부실했다고	부실/NNG+하/XSA+았/EP+다고/EC
볼	보/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“사업	“/SS+사업/NNG
구간에서	구간/NNG+에서/JKB
제외하고,	제외/NNG+하/XSV+고/EC+,/SP
서식지를	서식지/NNG+를/JKO
보존해야	보존/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.379.6.3
문 교사도 “맹꽁이 개체수를 확인하고 채집하는 게 쉽지 않은 일”이라며 “효과가 의심스러운 서식지 이주보다는 보존이 최선”이라고 말했다.

문	문/NNP
교사도	교사/NNG+도/JX
“맹꽁이	“/SS+맹꽁이/NNG
개체수를	개체/NNG+수/NNG+를/JKO
확인하고	확인/NNG+하/XSV+고/EC
채집하는	채집/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“효과가	“/SS+효과/NNG+가/JKS
의심스러운	의심/NNG+스럽/XSA+ㄴ/ETM
서식지	서식지/NNG
이주보다는	이주/NNG+보다/JKB+는/JX
보존이	보존/NNG+이/JKS
최선”이라고	최선/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.379.7.1
대전지방국토관리청 금강살리기사업팀 쪽은 “내년 5월까지 해당 지역을 그대로 존치한 뒤 전문가 조사를 거쳐 방안을 마련할 예정”이라며 “맹꽁이 이주 계획은 확정된 바 없다”고 밝혔다.

대전지방국토관리청	대전지방국토관리청/NNP
금강살리기사업팀	금강/NNP+살리/VV+기/ETN+사업/NNG+팀/NNG
쪽은	쪽/NNB+은/JX
“내년	“/SS+내년/NNG
5월까지	5/SN+월/NNB+까지/JX
해당	해당/NNG
지역을	지역/NNG+을/JKO
그대로	그대로/MAG
존치한	존치/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
전문가	전문가/NNG
조사를	조사/NNG+를/JKO
거쳐	거치/VV+어/EC
방안을	방안/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
예정”이라며	예정/NNG+”/SS+이/VCP+라며/EC
“맹꽁이	“/SS+맹꽁이/NNG
이주	이주/NNG
계획은	계획/NNG+은/JX
확정된	확정/NNG+되/XSV+ㄴ/ETM
바	바/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


