# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.57
metadata : {}


# id : NWRW1800000025.57.1.1
“한국과 모바일-게임 음향 협력 강화” ‘돌비’ 람지 해다무스 부사장

“한국과	“/SS+한국/NNP+과/JKB
진출해	진출/NNG+하/XSV+아/EC
21개	21/SN+개/NNB
지사를	지사/NNG+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.57.7.4
한국에는 2007년 11월 지사를 세웠다.

한국에는	한국/NNP+에/JKB+는/JX
2007년	2007/SN+년/NNB
11월	11/SN+월/NNB
지사를	지사/NNG+를/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.57.8.1
해다무스 부사장은 “휴대전화나 MP3플레이어 등 디지털 제품은 갈수록 쏟아지는데 음질은 떨어지고 있다”며 “아날로그 시절만큼의 음질을 복원하는 게 우리 역할”이라고 말했다.

해다무스	해다무스/NNP
부사장은	부사장/NNG+은/JX
“휴대전화나	“/SS+휴대/NNG+전화/NNG+나/JC
MP3플레이어	MP/SL+3/SN+플레이어/NNG
등	등/NNB
디지털	디지털/NNG
제품은	제품/NNG+은/JX
갈수록	갈수록/MAG
쏟아지는데	쏟아지/VV+는데/EC
음질은	음질/NNG+은/JX
떨어지고	떨어지/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“아날로그	“/SS+아날로그/NNG
시절만큼의	시절/NNG+만큼/JKB+의/JKG
음질을	음질/NNG+을/JKO
복원하는	복원/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
우리	우리/NP
역할”이라고	역할/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


