# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.335
metadata : {}


# id : NWRW1800000054.335.1.1
野 '사드 재협상' 주장에 안희정, 연일 소신 발언

野	野/SH
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.335.5.1
안 지사는 "(자신의 전날 사드 발언에) 진보 진영은 서운하다고 하고 반대 진영은 기특하다고 하는데 어떤 입장에 화답하는 것은 쉬운 일이지만 지도자는 용기 있게 걸어가야 한다"고 말했다.

안	안/NNP
지사는	지사/NNG+는/JX
"(자신의	"/SS+(/SS+자신/NNG+의/JKG
전날	전날/NNG
사드	사드/NNG
발언에)	발언/NNG+에/JKB+)/SS
진보	진보/NNG
진영은	진영/NNG+은/JX
서운하다고	서운하/VA+다고/EC
하고	하/VV+고/EC
반대	반대/NNG
기특하다고	기특하/VA+다고/EC
하는데	하/VV+는데/EC
어떤	어떤/MMD
입장에	입장/NNG+에/JKB
화답하는	화답/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
쉬운	쉽/VA+ㄴ/ETM
일이지만	일/NNG+이/VCP+지만/EC
지도자는	지도자/NNG+는/JX
용기	용기/NNG
있게	있/VA+게/EC
걸어가야	걸어가/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.335.6.1
한편 안 지사는 이날 오전 한 라디오에서 "신임 유엔 사무총장이 반기문 전 총장이 대통령 선거에 도전하는 것에 대해 유엔 정신과 협약 위반이라고 지적하고 있다"고 했다가 이 말을 정정했다.

한편	한편/MAG
안	안/NNP
지사는	지사/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
한	한/MMN
라디오에서	라디오/NNG+에서/JKB
"신임	"/SS+신임/NNG
유엔	유엔/NNP
사무총장이	사무총장/NNG+이/JKS
반기문	반기문/NNP
전	전/MMD
총장이	총장/NNG+이/JKS
대통령	대통령/NNG
선거에	선거/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
정신과	정신/NNG+과/JC
협약	협약/NNG
위반이라고	위반/NNG+이/VCP+라고/EC
지적하고	지적/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다가	하/VV+았/EP+다가/EC
이	이/MMD
말을	말/NNG+을/JKO
정정했다.	정정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.335.6.2
안 지사 측 박수현 대변인은 "확인되지 않은 사실에 기초한 발언이므로 바로잡는다"고 했다.

안	안/NNP
지사	지사/NNG
측	측/NNB
박수현	박수현/NNP
대변인은	대변인/NNG+은/JX
"확인되지	"/SS+확인/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
사실에	사실/NNG+에/JKB
기초한	기초/NNG+하/XSV+ㄴ/ETM
발언이므로	발언/NNG+이/VCP+므로/EC
바로잡는다"고	바로잡/VV+는다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.335.6.3
신임 사무총장 안토니우 구테흐스가 이러한 발언을 했다는 것이 전날부터 SNS에서 확산됐지만 사실이 아닌 얘기였다.

신임	신임/NNG
사무총장	사무총장/NNG
안토니우	안토니우/NNP
구테흐스가	구테흐스/NNP+가/JKS
이러한	이러하/VA+ㄴ/ETM
발언을	발언/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
것이	것/NNB+이/JKS
전날부터	전날/NNG+부터/JX
SNS에서	SNS/SL+에서/JKB
확산됐지만	확산/NNG+되/XSV+었/EP+지만/EC
사실이	사실/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


