# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.217
metadata : {}


# id : NWRW1800000056.217.1.1
방용훈 코리아나호텔 사장 자녀들, ‘공동존속상해 혐의’로 검찰 송치

방용훈	방용훈/NNP
고소했다.	고소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.217.5.2
검찰은 수서서에 수사를 맡겼다.

검찰은	검찰/NNG+은/JX
수서서에	수서서/NNP+에/JKB
수사를	수사/NNG+를/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.217.6.1
고소인과 방 사장 자녀들을 불러 조사한 경찰은 자녀들에게 공동존속상해 혐의가 인정된다고 판단했다.

고소인과	고소인/NNG+과/JC
방	방/NNP
사장	사장/NNG
자녀들을	자녀/NNG+들/XSN+을/JKO
불러	부르/VV+어/EC
조사한	조사/NNG+하/XSV+ㄴ/ETM
경찰은	경찰/NNG+은/JX
자녀들에게	자녀/NNG+들/XSN+에게/JKB
공동존속상해	공동/NNG+존속/NNG+상해/NNG
혐의가	혐의/NNG+가/JKS
인정된다고	인정/NNG+되/XSV+ㄴ다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.217.6.2
경찰 관계자는 “고소인이 제출한 진단서 등 서류와 종합적인 상황에 근거해 판단했다”고 밝혔다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“고소인이	“/SS+고소인/NNG+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
진단서	진단서/NNG
등	등/NNB
서류와	서류/NNG+와/JC
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
상황에	상황/NNG+에/JKB
근거해	근거/NNG+하/XSV+아/EC
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.217.6.3
이 관계자는 다만 “(고소인들이 주장한) 자살교사 및 공동감금 혐의에 대해선 ‘혐의 없음’ 의견으로 검찰에 넘겼다”고 덧붙였다.

이	이/MMD
관계자는	관계자/NNG+는/JX
다만	다만/MAG
“(고소인들이	“/SS+(/SS+고소인/NNG+들/XSN+이/JKS
주장한)	주장/NNG+하/XSV+ㄴ/ETM+)/SS
자살교사	자살/NNG+교사/NNG
및	및/MAG
공동감금	공동/NNG+감금/NNG
혐의에	혐의/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
‘혐의	‘/SS+혐의/NNG
없음’	없/VA+음/ETN+’/SS
의견으로	의견/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
넘겼다”고	넘기/VV+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.217.7.1
앞서 서울서부지검 형사1부(부장 강해운)는 이와 별도로 지난 7일 고인의 죽음으로 갈등을 빚던 처형 집을 새벽에 무단침입한 혐의(공동주거침입)로 방 사장과 큰 아들을 각각 벌금 200만원, 400만원에 약식기소했다.

앞서	앞서/MAG
서울서부지검	서울서부지검/NNP
형사1부(부장	형사/NNG+1/SN+부/NNG+(/SS+부장/NNG
강해운)는	강해운/NNP+)/SS+는/JX
이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
고인의	고인/NNG+의/JKG
죽음으로	죽음/NNG+으로/JKB
갈등을	갈등/NNG+을/JKO
빚던	빚/VV+던/ETM
처형	처형/NNG
집을	집/NNG+을/JKO
새벽에	새벽/NNG+에/JKB
무단침입한	무단/NNG+침입/NNG+하/XSV+ㄴ/ETM
혐의(공동주거침입)로	혐의/NNG+(/SS+공동/NNG+주거/NNG+침입/NNG+)/SS+로/JKB
방	방/NNP
사장과	사장/NNG+과/JC
큰	크/VA+ㄴ/ETM
아들을	아들/NNG+을/JKO
각각	각각/MAG
벌금	벌금/NNG
200만원,	200/SN+만/NR+원/NNB+,/SP
400만원에	400/SN+만/NR+원/NNB+에/JKB
약식기소했다.	약식/NNG+기소/NNG+하/XSV+았/EP+다/EF+./SF


