# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.1
metadata : {}


# id : NWRW1800000046.1.1.1
1년새 261% 급등… 신세계건설 株價 연일'신세계'

1년새	1/SN+년/NNB+새/NNG
이마트를	이마트/NNP+를/JKO
현재	현재/MAG
148개에서	148/SN+개/NNB+에서/JKB
190개로,	190/SN+개/NNB+로/JKB+,/SP
백화점·아웃렛·복합쇼핑몰	백화점/NNG+·/SP+아웃렛/NNG+·/SP+복합/NNG+쇼핑몰/NNG
등은	등/NNB+은/JX
15개에서	15/SN+개/NNB+에서/JKB
45개로	45/SN+개/NNB+로/JKB
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.1.7.1
이민영 한국투자증권 연구원은 "신세계건설은 계열사 출점 확대에 따른 안정적인 수주가 기대돼 향후 10년간 연 매출이 7000억~1조원대로 늘고 수익성도 개선될 것"이라고 말했다.

이민영	이민영/NNP
한국투자증권	한국투자증권/NNP
연구원은	연구원/NNG+은/JX
"신세계건설은	"/SS+신세계건설/NNP+은/JX
계열사	계열사/NNG
출점	출점/NNG
확대에	확대/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
수주가	수주/NNG+가/JKS
기대돼	기대/NNG+되/XSV+어/EC
향후	향후/NNG
10년간	10/SN+년/NNB+간/XSN
연	연/NNG
매출이	매출/NNG+이/JKS
7000억~1조원대로	7000/SN+억/NR+~/SO+1/SN+조/NR+원/NNB+대/XSN+로/JKB
늘고	늘/VV+고/EC
수익성도	수익/NNG+성/XSN+도/JX
개선될	개선/NNG+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.1.7.2
하지만 트리니티 골프장 건설 등으로 부채비율이 2000% 정도로 치솟아 그룹 발주 공사가 줄어들 경우 경영난을 겪을 우려도 제기된다.

하지만	하지만/MAJ
트리니티	트리니티/NNP
골프장	골프장/NNG
건설	건설/NNG
등으로	등/NNB+으로/JKB
부채비율이	부채/NNG+비율/NNG+이/JKS
2000%	2000/SN+%/SW
정도로	정도/NNG+로/JKB
치솟아	치솟/VV+아/EC
그룹	그룹/NNG
발주	발주/NNG
공사가	공사/NNG+가/JKS
줄어들	줄어들/VV+ㄹ/ETM
경우	경우/NNG
경영난을	경영난/NNG+을/JKO
겪을	겪/VV+을/ETM
우려도	우려/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


