# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.327
metadata : {}


# id : NWRW1800000033.327.1.1
외교부, 中대사 불러 ‘김영환씨 신속-공정 처리’ 요구

외교부,	외교부/NNG+,/SP
가시화되고	가시/NNG+화/XSN+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.327.4.1
안호영 외교부 1차관은 25일 서울 종로구 도렴동 외교부 청사로 장신썬 주한 중국대사를 불러 “중국에 구금돼 있는 4명이 국제법과 국제관례 원칙, 인도주의에 따라 부당대우나 인권침해를 받지 않도록 해 달라”고 요청했다.

안호영	안호영/NNP
외교부	외교부/NNG
1차관은	1/SN+차관/NNG+은/JX
25일	25/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
도렴동	도렴동/NNP
청사로	청사/NNG+로/JKB
장신썬	장신썬/NNP
주한	주한/NNG
중국대사를	중국/NNP+대사/NNG+를/JKO
불러	부르/VV+어/EC
“중국에	“/SS+중국/NNP+에/JKB
구금돼	구금/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
4명이	4/SN+명/NNB+이/JKS
국제법과	국제법/NNG+과/JC
국제관례	국제관례/NNG
원칙,	원칙/NNG+,/SP
인도주의에	인도주의/NNG+에/JKB
따라	따르/VV+아/EC
부당대우나	부당/NNG+대우/NNG+나/JC
인권침해를	인권/NNG+침해/NNG+를/JKO
받지	받/VV+지/EC
않도록	않/VX+도록/EC
해	하/VX+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.5.1
안 차관은 중국이 김 씨의 변호사 접견을 불허하고 나머지 3명의 영사접견 의사도 확인해 주지 않는 점을 들어 “피의자들의 권리가 충분히 보장되지 않아 보이는 측면이 있다”고 지적했다.

안	안/NNP
차관은	차관/NNG+은/JX
중국이	중국/NNP+이/JKS
김	김/NNP
씨의	씨/NNB+의/JKG
변호사	변호사/NNG
접견을	접견/NNG+을/JKO
불허하고	불허/NNG+하/XSV+고/EC
나머지	나머지/NNG
3명의	3/SN+명/NNB+의/JKG
영사접견	영사/NNG+접견/NNG
의사도	의사/NNG+도/JX
확인해	확인/NNG+하/XSV+아/EC
주지	주/VX+지/EC
않는	않/VX+는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
“피의자들의	“/SS+피의자/NNG+들/XSN+의/JKG
권리가	권리/NNG+가/JKS
충분히	충분히/MAG
보장되지	보장/NNG+되/XSV+지/EC
않아	않/VX+아/EC
보이는	보이/VV+는/ETM
측면이	측면/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.5.2
또 이들이 국가안전위해 혐의를 받고 있는 것과 관련해 “정확히 어떤 활동을 하다가 법의 어떤 부분을 위반했는지 설명해 달라”고 요구했다.

또	또/MAG
이들이	이/NP+들/XSN+이/JKS
국가안전위해	국가/NNG+안전/NNG+위해/NNG
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“정확히	“/SS+정확히/MAG
어떤	어떤/MMD
활동을	활동/NNG+을/JKO
하다가	하/VV+다가/EC
법의	법/NNG+의/JKG
부분을	부분/NNG+을/JKO
위반했는지	위반/NNG+하/XSV+았/EP+는지/EF
설명해	설명/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.6.1
이에 장 대사는 “한국의 입장을 잘 알겠고 이를 본국에 전달하겠다”고 답변했다고 배석했던 외교부 당국자가 전했다.

이에	이/NP+에/JKB
장	장/NNP
대사는	대사/NNG+는/JX
“한국의	“/SS+한국/NNP+의/JKG
입장을	입장/NNG+을/JKO
잘	잘/MAG
알겠고	알/VV+겠/EP+고/EC
이를	이/NP+를/JKO
본국에	본국/NNG+에/JKB
전달하겠다”고	전달/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
답변했다고	답변/NNG+하/XSV+았/EP+다고/EC
배석했던	배석/NNG+하/XSV+았/EP+던/ETM
외교부	외교부/NNG
당국자가	당국자/NNG+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.6.2
이 당국자는 “안 차관과 장 대사의 면담은 한중 간 여러 협력사안을 논의하기 위한 것이었지만 이 중 핵심은 김영환 씨 사안이었다”고 설명했다.

이	이/MMD
당국자는	당국자/NNG+는/JX
“안	“/SS+안/NNP
차관과	차관/NNG+과/JC
장	장/NNP
대사의	대사/NNG+의/JKG
면담은	면담/NNG+은/JX
한중	한중/NNP
간	간/NNB
여러	여러/MMN
협력사안을	협력/NNG+사안/NNG+을/JKO
논의하기	논의/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이었지만	것/NNB+이/VCP+었/EP+지만/EC
중	중/NNB
핵심은	핵심/NNG+은/JX
김영환	김영환/NNP
씨	씨/NNB
사안이었다”고	사안/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.7.1
유럽의회는 24일 김 씨 등의 영사 및 가족접견 허용과 석방을 촉구하는 결의안을 통과시켰다.

유럽의회는	유럽의회/NNP+는/JX
24일	24/SN+일/NNB
김	김/NNP
씨	씨/NNB
등의	등/NNB+의/JKG
영사	영사/NNG
및	및/MAG
가족접견	가족/NNG+접견/NNG
허용과	허용/NNG+과/JC
석방을	석방/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
결의안을	결의안/NNG+을/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.327.7.2
유럽의회는 결의안에서 “중국 지도부가 이들에게 자칫 사형으로 이어질 수 있는 국가안전위해 혐의를 적용한 것에 깊은 유감을 표시한다”며 “이들에게 충분한 영사접견과 법적 조력을 허용하고 신속하게 석방하라”고 촉구했다.

유럽의회는	유럽의회/NNP+는/JX
결의안에서	결의안/NNG+에서/JKB
“중국	“/SS+중국/NNP
지도부가	지도부/NNG+가/JKS
이들에게	이/NP+들/XSN+에게/JKB
자칫	자칫/MAG
사형으로	사형/NNG+으로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
국가안전위해	국가/NNG+안전/NNG+위해/NNG
혐의를	혐의/NNG+를/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
깊은	깊/VA+은/ETM
유감을	유감/NNG+을/JKO
표시한다”며	표시/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“이들에게	“/SS+이/NP+들/XSN+에게/JKB
충분한	충분하/VA+ㄴ/ETM
영사접견과	영사/NNG+접견/NNG+과/JC
법적	법/NNG+적/XSN
조력을	조력/NNG+을/JKO
허용하고	허용/NNG+하/XSV+고/EC
신속하게	신속/NNG+하/XSA+게/EC
석방하라”고	석방/NNG+하/XSV+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.8.1
앞서 22일 영국에 본부를 둔 국제인권단체 세계기독교연합(CSW)도 성명을 내고 “중국에 억류된 인권운동가 4명을 조건 없이 즉각 석방하라”고 촉구했다.

앞서	앞서/MAG
22일	22/SN+일/NNB
영국에	영국/NNP+에/JKB
본부를	본부/NNG+를/JKO
둔	두/VV+ㄴ/ETM
국제인권단체	국제/NNG+인권/NNG+단체/NNG
세계기독교연합(CSW)도	세계기독교연합/NNP+(/SS+CSW/SL+)/SS+도/JX
성명을	성명/NNG+을/JKO
내고	내/VV+고/EC
“중국에	“/SS+중국/NNP+에/JKB
억류된	억류/NNG+되/XSV+ㄴ/ETM
인권운동가	인권/NNG+운동가/NNG
4명을	4/SN+명/NNB+을/JKO
조건	조건/NNG
없이	없이/MAG
즉각	즉각/MAG
석방하라”고	석방/NNG+하/XSV+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.8.2
CSW는 특히 이들이 체포된 뒤 단둥(丹東)으로 옮겨진 점과 관련해 “북한의 정보기관이 단둥에서 활발히 활동하고 있다는 점을 감안하면 북측의 개입이 우려된다”고 지적했다.

CSW는	CSW/SL+는/JX
특히	특히/MAG
이들이	이/NP+들/XSN+이/JKS
체포된	체포/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
단둥(丹東)으로	단둥/NNP+(/SS+丹東/SH+)/SS+으로/JKB
옮겨진	옮기/VV+어/EC+지/VX+ㄴ/ETM
점과	점/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“북한의	“/SS+북한/NNP+의/JKG
정보기관이	정보기관/NNG+이/JKS
단둥에서	단둥/NNP+에서/JKB
활발히	활발히/MAG
활동하고	활동/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
북측의	북측/NNG+의/JKG
개입이	개입/NNG+이/JKS
우려된다”고	우려/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.327.8.3
마리오 디아스발라르트 미국 하원의원도 17일 “구금된 4명이 가혹행위나 고문을 당할 가능성이 우려된다”며 이들의 석방을 촉구하는 개인 성명을 냈다.

마리오	마리오/NNP
디아스발라르트	디아스발라르트/NNP
미국	미국/NNP
하원의원도	하원/NNG+의원/NNG+도/JX
17일	17/SN+일/NNB
“구금된	“/SS+구금/NNG+되/XSV+ㄴ/ETM
4명이	4/SN+명/NNB+이/JKS
가혹행위나	가혹/NNG+행위/NNG+나/JC
고문을	고문/NNG+을/JKO
당할	당하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
우려된다”며	우려/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
이들의	이/NP+들/XSN+의/JKG
석방을	석방/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
개인	개인/NNG
성명을	성명/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


