# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.227
metadata : {}


# id : NWRW1800000025.227.1.1
“盧 前대통령 투신은 차명계좌 발견때문” 조현오 경찰청장 내정자 3월 발언 파문

“盧	“/SS+盧/SH
하려고	하/VV+려고/EC
하니까	하/VX+니까/EC
(노	(/SS+노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
부인인)	부인/NNG+이/VCP+ㄴ/ETM+)/SS
권양숙	권양숙/NNP
여사가	여사/NNG+가/JKS
민주당에	민주당/NNP+에/JKB
이야기해서	이야기/NNG+하/XSV+아서/EC
특검을	특검/NNG+을/JKO
못하게	못/MAG+하/VV+게/EC
한	하/VX+ㄴ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.227.3.4
그거 해 봐야 다 드러나게 되니까”라는 말도 했다.

그거	그거/NP
해	하/VV+아/EC
봐야	보/VX+아야/EC
다	다/MAG
드러나게	드러나/VV+게/EC
되니까”라는	되/VV+니까/EC+”/SS+이/VCP+라는/ETM
말도	말/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.227.3.5
조 내정자의 강연 내용은 CD로 제작돼 일선 경찰에 교육용으로 배포됐다가 다시 회수된 것으로 알려졌다.

조	조/NNP
내정자의	내정자/NNG+의/JKG
강연	강연/NNG
내용은	내용/NNG+은/JX
CD로	CD/SL+로/JKB
제작돼	제작/NNG+되/XSV+어/EC
일선	일선/NNG
경찰에	경찰/NNG+에/JKB
교육용으로	교육/NNG+용/XSN+으로/JKB
배포됐다가	배포/NNG+되/XSV+었/EP+다가/EC
다시	다시/MAG
회수된	회수/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.227.4.1
이 같은 발언 내용이 알려지자 조 내정자는 13일 오후 “경찰 내부 교육에서 한 말이지만 노 전 대통령께 굉장히 송구스럽게 생각한다”며 유감의 뜻을 밝혔다.

이	이/NP
같은	같/VA+은/ETM
발언	발언/NNG
내용이	내용/NNG+이/JKS
알려지자	알려지/VV+자/EC
조	조/NNP
내정자는	내정자/NNG+는/JX
13일	13/SN+일/NNB
오후	오후/NNG
“경찰	“/SS+경찰/NNG
내부	내부/NNG
교육에서	교육/NNG+에서/JKB
한	하/VV+ㄴ/ETM
말이지만	말/NNG+이/VCP+지만/EC
노	노/NNP
전	전/MMD
대통령께	대통령/NNG+께/JKB
굉장히	굉장히/MAG
송구스럽게	송구스럽/VA+게/EC
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
유감의	유감/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.227.4.2
‘노 전 대통령의 차명계좌가 발견됐다’고 언급한 데 대해선 “당시 주간지인지 인터넷 언론 기사인지를 보고 한 말로 지금은 정확히 기억나지 않는다”며 “(차명계좌 존재 여부를) 내가 직접 확인한 것은 아니다”라고 해명했다.

‘노	‘/SS+노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
차명계좌가	차명/NNG+계좌/NNG+가/JKS
발견됐다’고	발견/NNG+되/XSV+었/EP+다/EF+’/SS+고/JKQ
언급한	언급/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해선	대하/VV+아서/EC+ㄴ/JX
“당시	“/SS+당시/NNG
주간지인지	주간지/NNG+이/VCP+ㄴ지/EC
인터넷	인터넷/NNG
언론	언론/NNG
기사인지를	기사/NNG+이/VCP+ㄴ지/EF+를/JKO
보고	보/VV+고/EC
한	하/VV+ㄴ/ETM
말로	말/NNG+로/JKB
지금은	지금/NNG+은/JX
정확히	정확히/MAG
기억나지	기억나/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“(차명계좌	“/SS+(/SS+차명/NNG+계좌/NNG
존재	존재/NNG
여부를)	여부/NNG+를/JKO+)/SS
내가	내/NP+가/JKS
직접	직접/MAG
확인한	확인/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.227.4.3
조 내정자는 “집회가 많이 열리는 4, 5월을 앞두고 정신교육을 하던 중 경찰 부대가 시위대에 위축되지 말고 당당하게 법집행을 해야 한다는 점을 강조하다 나온 이야기”라고 말했다.

조	조/NNP
내정자는	내정자/NNG+는/JX
“집회가	“/SS+집회/NNG+가/JKS
많이	많이/MAG
열리는	열리/VV+는/ETM
4,	4/SN+,/SP
5월을	5/SN+월/NNB+을/JKO
앞두고	앞두/VV+고/EC
정신교육을	정신/NNG+교육/NNG+을/JKO
하던	하/VV+던/ETM
중	중/NNB
경찰	경찰/NNG
부대가	부대/NNG+가/JKS
시위대에	시위대/NNG+에/JKB
위축되지	위축/NNG+되/XSV+지/EC
말고	말/VX+고/EC
당당하게	당당/MAG+하/XSA+게/EC
법집행을	법/NNG+집행/NNG+을/JKO
해야	하/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
점을	점/NNG+을/JKO
강조하다	강조/NNG+하/XSV+다/EC
나온	나오/VV+ㄴ/ETM
이야기”라고	이야기/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.227.5.1
한편 검찰은 “노 전 대통령 수사 당시 차명계좌가 발견된 것은 없었다”고 밝혔다.

한편	한편/MAG
검찰은	검찰/NNG+은/JX
“노	“/SS+노/NNP
전	전/MMD
대통령	대통령/NNG
수사	수사/NNG
당시	당시/NNG
차명계좌가	차명/NNG+계좌/NNG+가/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


