# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.195
metadata : {}


# id : NWRW1800000036.195.1.1
“원전중단에도 전력난 없는 이유”

“원전중단에도	“/SS+원전/NNG+중단/NNG+에/JKB+도/JX
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
정수장	정수장/NNG
직원의	직원/NNG+의/JKG
아이디어였다.	아이디어/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.195.5.2
일부 여과지가 도로 옆에 있어 오염 물질이 섞일 수 있으니 그 위에 태양광 발전 덮개를 올리자는 것이었다.

일부	일부/NNG
여과지가	여과지/NNG+가/JKS
도로	도로/MAG
옆에	옆/NNG+에/JKB
있어	있/VA+어/EC
오염	오염/NNG
물질이	물질/NNG+이/JKS
섞일	섞이/VV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
그	그/MMD
위에	위/NNG+에/JKB
태양광	태양광/NNG
발전	발전/NNG
덮개를	덮개/NNG+를/JKO
올리자는	올리/VV+자는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.195.5.3
덕분에 정수장은 연간 약 1000만엔(약 1억4000만원)의 전기요금을 절감하고 정수에 필요한 염소 소비량도 줄였다.

덕분에	덕분/NNG+에/JKB
정수장은	정수장/NNG+은/JX
연간	연간/NNG
약	약/MMA
1000만엔(약	1000/SN+만/NR+엔/NNB+(/SS+약/MMA
1억4000만원)의	1/SN+억/NR+4000/SN+만/NR+원/NNB+)/SS+의/JKG
전기요금을	전기/NNG+요금/NNG+을/JKO
절감하고	절감/NNG+하/XSV+고/EC
정수에	정수/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
염소	염소/NNG
소비량도	소비량/NNG+도/JX
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.195.5.4
이 정수장에서는 270가구가 1년 동안 쓸 수 있는 전력을 생산하고 있다.

이	이/MMD
정수장에서는	정수장/NNG+에서/JKB+는/JX
270가구가	270/SN+가구/NNG+가/JKS
1년	1/SN+년/NNB
동안	동안/NNG
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전력을	전력/NNG+을/JKO
생산하고	생산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.195.6.1
서울시도 영등포 아리수정수센터 등에 태양광 설비를 갖췄지만 태양광 발전을 통한 연간 전력 공급량은 요코하마시에 견줘 10분의 1 수준이다.

서울시도	서울시/NNP+도/JX
영등포	영등포/NNP
아리수정수센터	아리수/NNP+정수/NNG+센터/NNG
등에	등/NNB+에/JKB
태양광	태양광/NNG
설비를	설비/NNG+를/JKO
갖췄지만	갖추/VV+었/EP+지만/EC
발전을	발전/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
연간	연간/NNG
전력	전력/NNG
공급량은	공급량/NNG+은/JX
요코하마시에	요코하마시/NNP+에/JKB
견줘	견주/VV+어/EC
10분의	10/SN+분/XSN+의/JKG
1	1/SN
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.195.6.2
김영성 서울시 환경정책과장은 “태양광 발전시설의 단가가 ㎾당 600만원 수준에서 350만원으로 떨어져 경제성이 높아진 만큼 3년 안에 반드시 요코하마시를 따라잡겠다”고 밝혔다.

김영성	김영성/NNP
서울시	서울시/NNP
환경정책과장은	환경/NNG+정책과장/NNG+은/JX
“태양광	“/SS+태양광/NNG
발전시설의	발전/NNG+시설/NNG+의/JKG
단가가	단가/NNG+가/JKS
㎾당	㎾/SW+당/XSN
600만원	600/SN+만/NR+원/NNB
수준에서	수준/NNG+에서/JKB
350만원으로	350/SN+만/NR+원/NNB+으로/JKB
떨어져	떨어지/VV+어/EC
경제성이	경제/NNG+성/XSN+이/JKS
높아진	높아지/VV+ㄴ/ETM
만큼	만큼/NNB
3년	3/SN+년/NNB
안에	안/NNG+에/JKB
반드시	반드시/MAG
요코하마시를	요코하마시/NNP+를/JKO
따라잡겠다”고	따라잡/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


