# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.367
metadata : {}


# id : NWRW1800000021.367.1.1
노총 “노조전임자 임금 금지법 OECD에 없다”

노총	노총/NNG
등	등/NNB
중요한	중요/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
기능을	기능/NNG+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
노조	노조/NNG
간부는	간부/NNG+는/JX
직접	직접/MAG
생산을	생산/NNG+을/JKO
담당하지	담당/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
생산성	생산/NNG+성/XSN
향상에	향상/NNG+에/JKB
기여하기	기여/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
무노동	무/XPN+노동/NNG
무임금	무/XPN+임금/NNG
원칙은	원칙/NNG+은/JX
쟁의행위에	쟁의/NNG+행위/NNG+에/JKB
대해서	대하/VV+아서/EC
적용돼야지,	적용/NNG+되/XSV+어야지/EC+,/SP
활동에	활동/NNG+에/JKB
적용될	적용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.367.9.1
○ 노동부 “국제 협약에 맞다”

○	○/SW
노동부	노동부/NNG
“국제	“/SS+국제/NNG
협약에	협약/NNG+에/JKB
맞다”	맞/VV+다/EF+”/SS


# id : NWRW1800000021.367.10.1
노동부는 이날 세미나에 앞서 ‘전임자 임금지급 금지는 ILO 기준에 부합한다’는 내용의 보도자료를 배포했다.

노동부는	노동부/NNG+는/JX
이날	이날/NNG
세미나에	세미나/NNG+에/JKB
앞서	앞서/VV+어/EC
‘전임자	‘/SS+전임자/NNG
임금지급	임금/NNG+지급/NNG
금지는	금지/NNG+는/JX
ILO	ILO/SL
기준에	기준/NNG+에/JKB
부합한다’는	부합/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
내용의	내용/NNG+의/JKG
보도자료를	보도/NNG+자료/NNG+를/JKO
배포했다.	배포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.367.10.2
노동부는 “ILO 협약은 ‘근로자 대표의 신속하고 효율적인 임무 수행을 위해 기업으로부터 적절한 편의가 제공돼야 한다’고 돼있지 ‘반드시 전임자 임금을 지급해야 한다’고 하는 것은 아니다”라고 밝혔다.

노동부는	노동부/NNG+는/JX
“ILO	“/SS+ILO/SL
협약은	협약/NNG+은/JX
‘근로자	‘/SS+근로자/NNG
대표의	대표/NNG+의/JKG
신속하고	신속/NNG+하/XSA+고/EC
효율적인	효율/NNG+적/XSN+이/VCP+ㄴ/ETM
임무	임무/NNG
수행을	수행/NNG+을/JKO
위해	위하/VV+아/EC
기업으로부터	기업/NNG+으로부터/JKB
적절한	적절하/VA+ㄴ/ETM
편의가	편의/NNG+가/JKS
제공돼야	제공/NNG+되/XSV+어야/EC
한다’고	하/VX+ㄴ다/EF+’/SS+고/JKQ
돼있지	되/VV+어/EC+있/VX+지/EC
‘반드시	‘/SS+반드시/MAG
전임자	전임자/NNG
임금을	임금/NNG+을/JKO
지급해야	지급/NNG+하/XSV+아야/EC
하는	하/VV+는/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.367.11.1
김경선 노동부 노동관계법제과장은 “ILO에서는 ‘전임자 급여’라는 말보다 근로시간 면제를 포함한 ‘편의 제공’이란 용어를 사용한다”며 “근로자 대표(우리의 노조전임자에 해당)의 활동에 편의를 제공하는 형태가 일반적이기 때문에 따로 전임자에 대한 규정을 둘 필요가 없는 것”이라고 설명했다.

김경선	김경선/NNP
노동부	노동부/NNG
노동관계법제과장은	노동/NNG+관계/NNG+법제/NNG+과장/NNG+은/JX
“ILO에서는	“/SS+ILO/SL+에서/JKB+는/JX
‘전임자	‘/SS+전임자/NNG
급여’라는	급여/NNG+’/SS+이/VCP+라는/ETM
말보다	말/NNG+보다/JKB
근로시간	근로/NNG+시간/NNG
면제를	면제/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
‘편의	‘/SS+편의/NNG
제공’이란	제공/NNG+’/SS+이란/JX
용어를	용어/NNG+를/JKO
사용한다”며	사용/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“근로자	“/SS+근로자/NNG
대표(우리의	대표/NNG+(/SS+우리/NP+의/JKG
노조전임자에	노조/NNG+전임자/NNG+에/JKB
해당)의	해당/NNG+)/SS+의/JKG
활동에	활동/NNG+에/JKB
편의를	편의/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
형태가	형태/NNG+가/JKS
일반적이기	일반/NNG+적/XSN+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
따로	따로/MAG
전임자에	전임자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규정을	규정/NNG+을/JKO
둘	두/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없는	없/VA+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.367.11.2
미국 영국 등 선진국들은 대부분 우리처럼 전임자 임금을 주지 않고 노조활동 시간에 대한 편의만 제공하기 때문에 별도 임금지급을 금지하는 규정 자체가 있을 필요가 없다는 것이다.

미국	미국/NNP
영국	영국/NNP
등	등/NNB
선진국들은	선진국/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
우리처럼	우리/NP+처럼/JKB
전임자	전임자/NNG
임금을	임금/NNG+을/JKO
주지	주/VV+지/EC
않고	않/VX+고/EC
노조활동	노조/NNG+활동/NNG
시간에	시간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
편의만	편의/NNG+만/JX
제공하기	제공/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
별도	별도/NNG
임금지급을	임금/NNG+지급/NNG+을/JKO
금지하는	금지/NNG+하/XSV+는/ETM
규정	규정/NNG
자체가	자체/NNG+가/JKS
있을	있/VA+을/ETM
필요가	필요/NNG+가/JKS
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.367.12.1
김 과장은 또 “노동조합법은 사용자가 전적으로 전임자에게 임금을 지급하는 것을 금지하고 있으나 노사교섭 등 핵심적인 노조활동은 예외로 한다”며 “전임자 임금지급 금지는 ‘노조 일만 하는 노조 간부의 급여는 조합이 부담하는 것이 원칙’이기 때문에 이를 확립하려는 것이지 노조활동을 방해하려는 것이 아니다”라고 덧붙였다.

김	김/NNP
과장은	과장/NNG+은/JX
또	또/MAG
“노동조합법은	“/SS+노동조합법/NNG+은/JX
사용자가	사용자/NNG+가/JKS
전적으로	전적/NNG+으로/JKB
전임자에게	전임자/NNG+에게/JKB
임금을	임금/NNG+을/JKO
지급하는	지급/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
금지하고	금지/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
노사교섭	노사/NNG+교섭/NNG
등	등/NNB
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
노조활동은	노조/NNG+활동/NNG+은/JX
예외로	예외/NNG+로/JKB
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“전임자	“/SS+전임자/NNG
임금지급	임금/NNG+지급/NNG
금지는	금지/NNG+는/JX
‘노조	‘/SS+노조/NNG
일만	일/NNG+만/JX
하는	하/VV+는/ETM
노조	노조/NNG
간부의	간부/NNG+의/JKG
급여는	급여/NNG+는/JX
조합이	조합/NNG+이/JKS
부담하는	부담/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
원칙’이기	원칙/NNG+’/SS+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
이를	이/NP+를/JKO
확립하려는	확립/NNG+하/XSV+려는/ETM
것이지	것/NNB+이/VCP+지/EC
노조활동을	노조/NNG+활동/NNG+을/JKO
방해하려는	방해/NNG+하/XSV+려는/ETM
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


