# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.373
metadata : {}


# id : NWRW1800000052.373.1.1
6개월동안 이마트서만 9만명 이상 가습기 살균제 구매

6개월동안	6/SN+개월/NNB+동안/NNG
내역이	내역/NNG+이/JKS
워낙	워낙/MAG
방대해	방대하/VA+아/EC
우선	우선/MAG
이마트를	이마트/NNP+를/JKO
상대로	상대/NNG+로/JKB
특정	특정/NNG
기간의	기간/NNG+의/JKG
내역만	내역/NNG+만/JX
조사했는데도	조사/NNG+하/XSV+았/EP+는데/EC+도/JX
구매자가	구매자/NNG+가/JKS
9만명이	9/SN+만/NR+명/NNB+이/JKS
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.373.8.2
전체 피해규모를 가늠할 수 없다”고 말했다.

전체	전체/NNG
피해규모를	피해/NNG+규모/NNG+를/JKO
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.373.8.3
이 의원은 롯데마트와 홈플러스에도 가습기 살균제 구매자 명단을 제출하도록 촉구할 방침이다.

이	이/NNP
의원은	의원/NNG+은/JX
롯데마트와	롯데마트/NNP+와/JC
홈플러스에도	홈플러스/NNP+에/JKB+도/JX
가습기	가습기/NNG
살균제	살균제/NNG
구매자	구매자/NNG
명단을	명단/NNG+을/JKO
제출하도록	제출/NNG+하/XSV+도록/EC
촉구할	촉구/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.373.8.4
이마트쪽은 소비자들이 카드번호 등을 제시하면 구매 정보를 확인할 수 있다고 밝혔다.

이마트쪽은	이마트/NNP+쪽/NNB+은/JX
소비자들이	소비자/NNG+들/XSN+이/JKS
카드번호	카드/NNG+번호/NNG
등을	등/NNB+을/JKO
제시하면	제시/NNG+하/XSV+면/EC
구매	구매/NNG
정보를	정보/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


