# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.214
metadata : {}


# id : NWRW1800000030.214.1.1
유소연, 라이벌 서희경 연장서 또 울려

유소연,	유소연/NNP+,/SP
하지만	하지만/MAJ
유소연도	유소연/NNP+도/JX
4승을	4/SN+승/NNB+을/JKO
올리며	올리/VV+며/EC
근소한	근소하/VA+ㄴ/ETM
차이로	차이/NNG+로/JKB
각	각/MMD
부문	부문/NNG
2위에	2/SN+위/NNB+에/JKB
올랐었다.	오르/VV+았었/EP+다/EF+./SF


# id : NWRW1800000030.214.9.3
하지만 2009년 말 중국에서 KLPGA 2010년 시즌 개막전으로 열린 오리엔트 차이나 레이디스 오픈에서 유소연은 '복수'를 했다.

하지만	하지만/MAJ
2009년	2009/SN+년/NNB
말	말/NNB
중국에서	중국/NNP+에서/JKB
KLPGA	KLPGA/SL
2010년	2010/SN+년/NNB
시즌	시즌/NNG
개막전으로	개막전/NNG+으로/JKB
열린	열리/VV+ㄴ/ETM
오리엔트	오리엔트/NNP
차이나	차이나/NNP
레이디스	레이디스/NNG
오픈에서	오픈/NNG+에서/JKB
유소연은	유소연/NNP+은/JX
'복수'를	'/SS+복수/NNG+'/SS+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.214.9.4
당시 유소연은 서희경에게 2타 뒤진 공동 2위로 출발해 동타를 이룬 뒤, 연장 3번째 홀에서 서희경을 누르고 우승컵을 들어 올렸다.

당시	당시/NNG
유소연은	유소연/NNP+은/JX
서희경에게	서희경/NNP+에게/JKB
2타	2/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
공동	공동/NNG
2위로	2/SN+위/NNB+로/JKB
출발해	출발/NNG+하/XSV+아/EC
동타를	동타/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
연장	연장/NNG
3번째	3/SN+번/NNB+째/XSN
홀에서	홀/NNG+에서/JKB
서희경을	서희경/NNP+을/JKO
누르고	누르/VV+고/EC
우승컵을	우승컵/NNG+을/JKO
들어	들/VV+어/EC
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.214.10.1
지금까지 미 LPGA 투어에서 메이저대회를 제외하고 한국 선수끼리 연장전을 벌인 것은 6차례 있었다.

지금까지	지금/NNG+까지/JX
미	미/NNP
LPGA	LPGA/SL
투어에서	투어/NNG+에서/JKB
메이저대회를	메이저/NNG+대회/NNG+를/JKO
제외하고	제외/NNG+하/XSV+고/EC
한국	한국/NNP
선수끼리	선수/NNG+끼리/XSN
연장전을	연장전/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
것은	것/NNB+은/JX
6차례	6/SN+차례/NNG
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.214.11.1
2000년 9월 세이프웨이 클래식에서 김미현과 장정이 처음이었다.

2000년	2000/SN+년/NNB
9월	9/SN+월/NNB
세이프웨이	세이프웨이/NNP
클래식에서	클래식/NNG+에서/JKB
김미현과	김미현/NNP+과/JC
장정이	장정/NNP+이/JKS
처음이었다.	처음/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.214.11.2
당시 김미현이 우승을 차지했다.

당시	당시/NNG
김미현이	김미현/NNP+이/JKS
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.214.11.3
2002년 7월에 박희정과 한희원이 사이베이스 빅애플 클래식에서 맞붙은 것이 두 번째였다.

2002년	2002/SN+년/NNB
7월에	7/SN+월/NNB+에/JKB
박희정과	박희정/NNP+과/JC
한희원이	한희원/NNP+이/JKS
사이베이스	사이베이스/NNP
빅애플	빅애플/NNP
클래식에서	클래식/NNG+에서/JKB
맞붙은	맞붙/VV+은/ETM
것이	것/NNB+이/JKS
두	두/MMN
번째였다.	번/NNB+째/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.214.12.1
이후 수많은 한국 선수들이 LPGA 무대에 진출하면서 한국 선수 간 연장 승부는 특별한 뉴스가 되지 못했다.

이후	이후/NNG
수많은	수많/VA+은/ETM
한국	한국/NNP
선수들이	선수/NNG+들/XSN+이/JKS
LPGA	LPGA/SL
무대에	무대/NNG+에/JKB
진출하면서	진출/NNG+하/XSV+면서/EC
선수	선수/NNG
간	간/NNB
연장	연장/NNG
승부는	승부/NNG+는/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
뉴스가	뉴스/NNG+가/JKC
되지	되/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


