# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.50
metadata : {}


# id : NWRW1800000022.50.1.1
[도서]리얼 아틀라스 리얼 월드

[도서]리얼	[/SS+도서/NNG+]/SS+리얼/NNP
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
세계	세계/NNG
지도는	지도/NNG+는/JX
땅덩어리의	땅덩어리/NNG+의/JKG
크기·모양을	크기/NNG+·/SP+모양/NNG+을/JKO
있는	있/VA+는/ETM
그대로	그대로/MAG
보여주는	보이/VV+어/EC+주/VX+는/ETM
것을	것/NNB+을/JKO
목표로	목표/NNG+로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.50.3.5
메르카토르 투영법, 페터스 도법 등 여러 지도 제작법이 존재하는 건 구체(球體)의 지구를 평면으로 표시하는 데 따르는 고육지책이다.

메르카토르	메르카토르/NNP
투영법,	투영법/NNG+,/SP
페터스	페터스/NNP
도법	도법/NNG
등	등/NNB
여러	여러/MMN
지도	지도/NNG
제작법이	제작법/NNG+이/JKS
존재하는	존재/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
구체(球體)의	구체/NNG+(/SS+球體/SH+)/SS+의/JKG
지구를	지구/NNG+를/JKO
평면으로	평면/NNG+으로/JKB
표시하는	표시/NNG+하/XSV+는/ETM
데	데/NNB
따르는	따르/VV+는/ETM
고육지책이다.	고육지책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.50.4.1
이 책이 담고 있는 366개의 지도에서 세계 각 나라와 지역은 물리적 크기가 아닌 통계적 중요성에 따라 다르게 그려진다.

이	이/MMD
책이	책/NNG+이/JKS
담고	담/VV+고/EC
있는	있/VX+는/ETM
366개의	366/SN+개/NNB+의/JKG
지도에서	지도/NNG+에서/JKB
세계	세계/NNG
각	각/MMD
나라와	나라/NNG+와/JC
지역은	지역/NNG+은/JX
물리적	물리/NNG+적/XSN
크기가	크기/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
통계적	통계/NNG+적/XSN
중요성에	중요/NNG+성/XSN+에/JKB
따라	따르/VV+아/EC
다르게	다르/VA+게/EC
그려진다.	그리/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.50.4.2
일례로 수자원 분포에서 세계 물 자원의 30%를 차지하는 남아메리카 지역은 풍선처럼 크게 부푼 모습이지만, 바닷물을 담수화하여 사용하는 쿠웨이트는 이 지도에서는 그 모습을 전혀 찾아볼 수 없다.

일례로	일례/NNG+로/JKB
수자원	수자원/NNG
분포에서	분포/NNG+에서/JKB
세계	세계/NNG
물	물/NNG
자원의	자원/NNG+의/JKG
30%를	30/SN+%/SW+를/JKO
차지하는	차지/NNG+하/XSV+는/ETM
남아메리카	남아메리카/NNP
지역은	지역/NNG+은/JX
풍선처럼	풍선/NNG+처럼/JKB
크게	크/VA+게/EC
부푼	부풀/VV+ㄴ/ETM
모습이지만,	모습/NNG+이/VCP+지만/EC+,/SP
바닷물을	바닷물/NNG+을/JKO
담수화하여	담수/NNG+화/XSN+하/XSV+아/EC
사용하는	사용/NNG+하/XSV+는/ETM
쿠웨이트는	쿠웨이트/NNP+는/JX
이	이/MMD
지도에서는	지도/NNG+에서/JKB+는/JX
그	그/MMD
모습을	모습/NNG+을/JKO
전혀	전혀/MAG
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.50.4.3
연간 1인당 컴퓨터 순(純)수출 관련 지도에서는 우리나라(5위)가 세계 지도의 상당 부분을 차지하고 있다.

연간	연간/NNG
1인당	1/SN+인/NNG+당/XSN
컴퓨터	컴퓨터/NNG
순(純)수출	순/MMA+(/SS+純/SH+)/SS+수출/NNG
관련	관련/NNG
지도에서는	지도/NNG+에서/JKB+는/JX
우리나라(5위)가	우리나라/NNG+(/SS+5/SN+위/NNB+)/SS+가/JKS
세계	세계/NNG
지도의	지도/NNG+의/JKG
상당	상당/NNG
부분을	부분/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.50.4.4
미국 미시간대학 물리학 교수의 아이디어에서 나온 이 지도들을 통해 우리는 소득, 군사비 지출 등 다양한 주제를 지역별 비교와 더불어 한눈에 살펴볼 수 있다.

미국	미국/NNP
미시간대학	미시간대학/NNP
물리학	물리학/NNG
교수의	교수/NNG+의/JKG
아이디어에서	아이디어/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
이	이/MMD
지도들을	지도/NNG+들/XSN+을/JKO
통해	통하/VV+아/EC
우리는	우리/NP+는/JX
소득,	소득/NNG+,/SP
군사비	군사비/NNG
지출	지출/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
주제를	주제/NNG+를/JKO
지역별	지역/NNG+별/XSN
비교와	비교/NNG+와/JKB
더불어	더불/VV+어/EC
한눈에	한눈/NNG+에/JKB
살펴볼	살펴보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.50.4.5
다만 몇몇 통계의 조사 시점이 없는 건 납득할 수 없는 '옥의 티'이다.

다만	다만/MAG
몇몇	몇몇/NR
통계의	통계/NNG+의/JKG
조사	조사/NNG
시점이	시점/NNG+이/JKS
없는	없/VA+는/ETM
건	거/NNB+ㄴ/JX
납득할	납득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
'옥의	'/SS+옥/NNG+의/JKG
티'이다.	티/NNG+'/SS+이/VCP+다/EF+./SF


