# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.346
metadata : {}


# id : NWRW1800000030.346.1.1
손학규, 모든 일정 취소하고 집에만

손학규,	손학규/NNP+,/SP
한나라당의	한나라당/NNP+의/JKG
한·미	한·미/NNP
FTA	FTA/SL
단독처리를	단독/NNG+처리/NNG+를/JKO
막지	막/VV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
비판을	비판/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.346.4.1
이날 인터넷과 트위터 등에서는 손 대표와 김진표 원내대표가 한나라당의 단독 처리 계획을 사전에 알고도 막지 못했다는 미확인 소문들이 번졌다.

이날	이날/NNG
인터넷과	인터넷/NNG+과/JC
트위터	트위터/NNP
등에서는	등/NNB+에서/JKB+는/JX
손	손/NNP
대표와	대표/NNG+와/JC
김진표	김진표/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
한나라당의	한나라당/NNP+의/JKG
단독	단독/NNG
처리	처리/NNG
계획을	계획/NNG+을/JKO
사전에	사전/NNG+에/JKB
알고도	알/VV+고/EC+도/JX
막지	막/VV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
미확인	미/XPN+확인/NNG
소문들이	소문/NNG+들/XSN+이/JKS
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.346.4.2
손 대표는 경기지사 시절 한·미 FTA에 대해 찬성 입장이었으나 2007년 한나라당을 나와 민주당으로 온 뒤 입장이 바뀌었고 최근 여당과의 협상에서는 강경한 반대편에 섰다.

손	손/NNP
대표는	대표/NNG+는/JX
경기지사	경기/NNP+지사/NNG
시절	시절/NNG
한·미	한·미/NNP
FTA에	FTA/SL+에/JKB
대해	대하/VV+아/EC
찬성	찬성/NNG
입장이었으나	입장/NNG+이/VCP+었/EP+으나/EC
2007년	2007/SN+년/NNB
한나라당을	한나라당/NNP+을/JKO
나와	나오/VV+아/EC
민주당으로	민주당/NNP+으로/JKB
온	오/VV+ㄴ/ETM
뒤	뒤/NNG
입장이	입장/NNG+이/JKS
바뀌었고	바뀌/VV+었/EP+고/EC
최근	최근/MAG
여당과의	여당/NNG+과/JKB+의/JKG
협상에서는	협상/NNG+에서/JKB+는/JX
강경한	강경/NNG+하/XSA+ㄴ/ETM
반대편에	반대편/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.346.4.3
손 대표 주변에서는 통상국가로 가야 한다는 그의 기본 소신은 여전하다는 얘기가 나온다.

손	손/NNP
대표	대표/NNG
주변에서는	주변/NNG+에서/JKB+는/JX
통상국가로	통상/NNG+국가/NNG+로/JKB
가야	가/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
그의	그/NP+의/JKG
기본	기본/NNG
소신은	소신/NNG+은/JX
여전하다는	여전하/VA+다는/ETM
얘기가	얘기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.346.4.4
한 측근은 "최근 손 대표가 보여준 FTA 반대 주장은 당 대표로서 민주당의 지지 기반인 중산층과 서민, 당원의 입장을 충실히 반영한 결과가 아니겠느냐"고 했다.

한	한/MMN
측근은	측근/NNG+은/JX
"최근	"/SS+최근/MAG
손	손/NNP
대표가	대표/NNG+가/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
FTA	FTA/SL
반대	반대/NNG
주장은	주장/NNG+은/JX
당	당/NNG
대표로서	대표/NNG+로서/JKB
민주당의	민주당/NNP+의/JKG
지지	지지/NNG
기반인	기반/NNG+이/VCP+ㄴ/ETM
중산층과	중산/NNG+층/XSN+과/JC
서민,	서민/NNG+,/SP
당원의	당원/NNG+의/JKG
입장을	입장/NNG+을/JKO
충실히	충실히/MAG
반영한	반영/NNG+하/XSV+ㄴ/ETM
결과가	결과/NNG+가/JKC
아니겠느냐"고	아니/VCN+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.346.5.1
손 대표는 전날 중앙위에서 "여러분은 호남에서 아무 뿌리도 없고 민주당 경력도 없는 저를 대표로 뽑아줬고, 대권 후보로 보호하고 키워줬다"면서 "제 성과를 내려는 조바심도 있었다.

손	손/NNP
대표는	대표/NNG+는/JX
전날	전날/NNG
중앙위에서	중앙위/NNG+에서/JKB
"여러분은	"/SS+여러분/NP+은/JX
호남에서	호남/NNP+에서/JKB
아무	아무/MMD
뿌리도	뿌리/NNG+도/JX
없고	없/VA+고/EC
민주당	민주당/NNP
경력도	경력/NNG+도/JX
없는	없/VA+는/ETM
저를	저/NP+를/JKO
대표로	대표/NNG+로/JKB
뽑아줬고,	뽑/VV+아/EC+주/VX+었/EP+고/EC+,/SP
대권	대권/NNG
후보로	후보/NNG+로/JKB
보호하고	보호/NNG+하/XSV+고/EC
키워줬다"면서	키우/VV+어/EC+주/VX+었/EP+다/EF+"/SS+면서/EC
"제	"/SS+저/NP+의/JKG
성과를	성과/NNG+를/JKO
내려는	내/VV+려는/ETM
조바심도	조바심/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.346.5.2
그러나 제 대선이 중요한 것이 아니라 가장 중요한 것은 총선"이라고 했다.

그러나	그러나/MAJ
제	저/NP+의/JKG
대선이	대선/NNG+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
가장	가장/MAG
것은	것/NNB+은/JX
총선"이라고	총선/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.346.5.3
그러면서 "서울시장 선거에서 민주당이 후보를 내지 못했고 안철수 신당 얘기가 나오는데 이런 상황에서 민주당이 내년 총선에서 과연 이길 수 있겠는가"라고 했다.

그러면서	그러/VV+면서/EC
"서울시장	"/SS+서울시장/NNG
선거에서	선거/NNG+에서/JKB
민주당이	민주당/NNP+이/JKS
후보를	후보/NNG+를/JKO
내지	내/VV+지/EC
못했고	못하/VX+았/EP+고/EC
안철수	안철수/NNP
신당	신당/NNG
얘기가	얘기/NNG+가/JKS
나오는데	나오/VV+는데/EC
이런	이런/MMD
상황에서	상황/NNG+에서/JKB
내년	내년/NNG
총선에서	총선/NNG+에서/JKB
과연	과연/MAG
이길	이기/VV+ㄹ/ETM
수	수/NNB
있겠는가"라고	있/VA+겠/EP+는가/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.346.5.4
"어떤 욕을 먹더라도 총선에서 최소한의 의석을 확보하는 것이 내가 할 일"이라는 것이다.

"어떤	"/SS+어떤/MMD
욕을	욕/NNG+을/JKO
먹더라도	먹/VV+더라도/EC
총선에서	총선/NNG+에서/JKB
최소한의	최소한/NNG+의/JKG
의석을	의석/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
내가	내/NP+가/JKS
할	하/VV+ㄹ/ETM
일"이라는	일/NNG+"/SS+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.346.5.5
손 대표 측근은 "손 대표가 민주당 대표를 맡아 나름대로 당을 위해 헌신했는데, 이제 와서 독자전당대회파들이 '한나라당 출신은 물러나라'는 식으로 하는 것에 대해 무척 가슴 아파하고 있다"고 했다.

손	손/NNP
대표	대표/NNG
측근은	측근/NNG+은/JX
"손	"/SS+손/NNP
대표가	대표/NNG+가/JKS
민주당	민주당/NNP
대표를	대표/NNG+를/JKO
맡아	맡/VV+아/EC
나름대로	나름/NNB+대로/JX
당을	당/NNG+을/JKO
위해	위하/VV+아/EC
헌신했는데,	헌신/NNG+하/XSV+았/EP+는데/EC+,/SP
이제	이제/MAG
와서	오/VV+아서/EC
독자전당대회파들이	독자/NNG+전당/NNG+대회파/NNG+들/XSN+이/JKS
'한나라당	'/SS+한나라당/NNP
출신은	출신/NNG+은/JX
물러나라'는	물러나/VV+아라/EF+'/SS+는/ETM
식으로	식/NNB+으로/JKB
하는	하/VV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
무척	무척/MAG
가슴	가슴/NNG
아파하고	아파하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.346.6.1
다음번 당 중앙위는 27일쯤 열릴 것으로 예상된다.

다음번	다음번/NNG
당	당/NNG
중앙위는	중앙위/NNG+는/JX
27일쯤	27/SN+일/NNB+쯤/XSN
열릴	열리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.346.6.2
만약 이날까지도 야권 통합에 관한 당내 합의가 이뤄지지 않으면 민주당 독자전당대회를 열어 새 대표를 뽑아야 한다는 게 박지원 전 원내대표 등의 주장이다.

만약	만약/NNG
이날까지도	이날/NNG+까지/JX+도/JX
야권	야권/NNG
통합에	통합/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
당내	당내/NNG
합의가	합의/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않으면	않/VX+으면/EC
민주당	민주당/NNP
독자전당대회를	독자/NNG+전당/NNG+대회/NNG+를/JKO
열어	열/VV+어/EC
새	새/MMA
대표를	대표/NNG+를/JKO
뽑아야	뽑/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
박지원	박지원/NNP
전	전/MMD
원내대표	원내/NNG+대표/NNG
등의	등/NNB+의/JKG
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.346.6.3
손 대표가 이날 일정을 모두 취소한 채 사실상 칩거한 것은 이처럼 꽉 막힌 야권 통합의 묘수를 찾기 위한 것이란 관측이다.

손	손/NNP
대표가	대표/NNG+가/JKS
이날	이날/NNG
일정을	일정/NNG+을/JKO
모두	모두/MAG
취소한	취소/NNG+하/XSV+ㄴ/ETM
채	채/NNB
사실상	사실/NNG+상/XSN
칩거한	칩거/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이처럼	이/NP+처럼/JKB
꽉	꽉/MAG
막힌	막히/VV+ㄴ/ETM
야권	야권/NNG
통합의	통합/NNG+의/JKG
묘수를	묘수/NNG+를/JKO
찾기	찾/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
관측이다.	관측/NNG+이/VCP+다/EF+./SF


