# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.201
metadata : {}


# id : NWRW1800000054.201.1.1
빈곤층 1년새 27만명 줄어

빈곤층	빈곤/NNG+층/XSN
중위소득은 우리나라 가구 소득 규모를 순서대로 나열했을 때 가운데 있는 가구의 소득값으로, 기초생활보장을 비롯해 66개 정부 복지사업에서 수급자를 선정하는 기준으로 활용된다.

중위소득은	중위/NNG+소득/NNG+은/JX
우리나라	우리나라/NNG
가구	가구/NNG
소득	소득/NNG
규모를	규모/NNG+를/JKO
순서대로	순서/NNG+대로/JX
나열했을	나열/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
가운데	가운데/NNG
있는	있/VA+는/ETM
가구의	가구/NNG+의/JKG
소득값으로,	소득/NNG+값/NNG+으로/JKB+,/SP
기초생활보장을	기초/NNG+생활/NNG+보장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
66개	66/SN+개/NNB
정부	정부/NNG
복지사업에서	복지/NNG+사업/NNG+에서/JKB
수급자를	수급자/NNG+를/JKO
선정하는	선정/NNG+하/XSV+는/ETM
기준으로	기준/NNG+으로/JKB
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.201.8.2
중위소득은 2년 전 소득 자료에 기초해 결정하기 때문에 내년 최저임금 인상에 따른 영향은 받지 않았다.

중위소득은	중위/NNG+소득/NNG+은/JX
2년	2/SN+년/NNB
전	전/NNG
소득	소득/NNG
자료에	자료/NNG+에/JKB
기초해	기초/NNG+하/XSV+아/EC
결정하기	결정/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
내년	내년/NNG
최저임금	최저/NNG+임금/NNG
인상에	인상/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
영향은	영향/NNG+은/JX
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


