# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.321
metadata : {}


# id : NWRW1800000033.321.1.1
“北로켓, 2009년 쏜 것과 제원 같아… 3단 추진체 성능 높인듯”

“北로켓,	“/SS+北/SH+로켓/NNG+,/SP
그동안 군 당국은 북한이 2009년 발사한 장거리로켓의 길이를 32m, 무게를 70여 t으로 추정해 왔다, 하지만 북한이 이번에 밝힌 로켓의 제원은 길이 30m, 무게 92t으로 다소 차이가 났다.

그동안	그동안/NNG
군	군/NNG
당국은	당국/NNG+은/JX
북한이	북한/NNP+이/JKS
2009년	2009/SN+년/NNB
발사한	발사/NNG+하/XSV+ㄴ/ETM
장거리로켓의	장거리/NNG+로켓/NNG+의/JKG
길이를	길이/NNG+를/JKO
32m,	32/SN+m/SW+,/SP
무게를	무게/NNG+를/JKO
70여	70/SN+여/XSN
t으로	t/SW+으로/JKB
추정해	추정/NNG+하/XSV+아/EC
왔다,	오/VX+았/EP+다/EF+,/SP
하지만	하지만/MAJ
이번에	이번/NNG+에/JKB
밝힌	밝히/VV+ㄴ/ETM
로켓의	로켓/NNG+의/JKG
제원은	제원/NNG+은/JX
길이	길이/NNG
30m,	30/SN+m/SW+,/SP
무게	무게/NNG
92t으로	92/SN+t/SW+으로/JKB
다소	다소/MAG
차이가	차이/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.321.6.2
전문가들은 북한이 2009년 발사한 장거리로켓도 이번에 발사할 로켓과 제원이 거의 같을 것으로 보고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
북한이	북한/NNP+이/JKS
2009년	2009/SN+년/NNB
발사한	발사/NNG+하/XSV+ㄴ/ETM
장거리로켓도	장거리/NNG+로켓/NNG+도/JX
이번에	이번/NNG+에/JKB
발사할	발사/NNG+하/XSV+ㄹ/ETM
로켓과	로켓/NNG+과/JKB
제원이	제원/NNG+이/JKS
거의	거의/MAG
같을	같/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.321.6.3
군 정보 관계자는 “이 정도 규모라면 1단 추진체 106t 이상을 쏠 수 있는 추력을 충분히 낼 수 있을 것으로 예상된다”고 말했다.

군	군/NNG
정보	정보/NNG
관계자는	관계자/NNG+는/JX
“이	“/SS+이/MMD
정도	정도/NNG
규모라면	규모/NNG+이/VCP+라면/EC
1단	1/SN+단/NNG
추진체	추진체/NNG
106t	106/SN+t/SW
이상을	이상/NNG+을/JKO
쏠	쏘/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
추력을	추력/NNG+을/JKO
충분히	충분히/MAG
낼	내/VV+ㄹ/ETM
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
예상된다”고	예상/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.321.7.1
이번에 발사할 장거리로켓이 3년 전 발사된 로켓과 외관은 거의 같지만 그 내부 성능은 훨씬 개선됐을 것이라는 관측이 지배적이다.

이번에	이번/NNG+에/JKB
발사할	발사/NNG+하/XSV+ㄹ/ETM
장거리로켓이	장거리/NNG+로켓/NNG+이/JKS
3년	3/SN+년/NNB
전	전/NNG
발사된	발사/NNG+되/XSV+ㄴ/ETM
로켓과	로켓/NNG+과/JKB
외관은	외관/NNG+은/JX
거의	거의/MAG
같지만	같/VA+지만/EC
그	그/MMD
내부	내부/NNG
성능은	성능/NNG+은/JX
훨씬	훨씬/MAG
개선됐을	개선/NNG+되/XSV+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측이	관측/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.321.8.1
2009년 ‘광명성 2호’를 타원궤도(고도를 달리하며 타원형으로 도는 궤도)에 올리려다 실패한 북한은 이번엔 광명성 3호를 극궤도(남극과 북극 상공을 도는 궤도)에 올리겠다고 예고했다.

2009년	2009/SN+년/NNB
‘광명성	‘/SS+광명성/NNP
2호’를	2/SN+호/NNB+’/SS+를/JKO
타원궤도(고도를	타원/NNG+궤도/NNG+(/SS+고도/NNG+를/JKO
달리하며	달리/MAG+하/XSV+며/EC
타원형으로	타원/NNG+형/XSN+으로/JKB
도는	돌/VV+는/ETM
궤도)에	궤도/NNG+)/SS+에/JKB
올리려다	올리/VV+려다/EC
실패한	실패/NNG+하/XSV+ㄴ/ETM
북한은	북한/NNP+은/JX
이번엔	이번/NNG+에/JKB+ㄴ/JX
광명성	광명성/NNP
3호를	3/SN+호/NNB+를/JKO
극궤도(남극과	극궤도/NNG+(/SS+남극/NNG+과/JC
북극	북극/NNG
상공을	상공/NNG+을/JKO
올리겠다고	올리/VV+겠/EP+다고/EC
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.321.9.1
극궤도는 타원궤도보다 고도가 높고, 진입궤도나 각도 측면에서 위성체를 진입시키는 데 더 높은 기술력이 요구된다.

극궤도는	극궤도/NNG+는/JX
타원궤도보다	타원/NNG+궤도/NNG+보다/JKB
고도가	고도/NNG+가/JKS
높고,	높/VA+고/EC+,/SP
진입궤도나	진입/NNG+궤도/NNG+나/JC
각도	각도/NNG
측면에서	측면/NNG+에서/JKB
위성체를	위성체/NNG+를/JKO
진입시키는	진입/NNG+시키/XSV+는/ETM
데	데/NNB
더	더/MAG
높은	높/VA+은/ETM
기술력이	기술력/NNG+이/JKS
요구된다.	요구/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.321.9.2
극궤도의 장점은 위성체가 지구 주위를 도는 궤도 아래에서 지구가 자전을 하기 때문에 타원궤도보다 더 넓은 지역을 관측할 수 있다.

극궤도의	극궤도/NNG+의/JKG
장점은	장점/NNG+은/JX
위성체가	위성체/NNG+가/JKS
지구	지구/NNG
주위를	주위/NNG+를/JKO
도는	돌/VV+는/ETM
궤도	궤도/NNG
아래에서	아래/NNG+에서/JKB
지구가	지구/NNG+가/JKS
자전을	자전/NNG+을/JKO
하기	하/VV+기/ETN
때문에	때문/NNB+에/JKB
타원궤도보다	타원/NNG+궤도/NNG+보다/JKB
더	더/MAG
넓은	넓/VA+은/ETM
지역을	지역/NNG+을/JKO
관측할	관측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.321.10.1
특히 극궤도 위성의 성패는 3단 추진체의 성능에 좌우된다.

특히	특히/MAG
극궤도	극궤도/NNG
위성의	위성/NNG+의/JKG
성패는	성패/NNG+는/JX
3단	3/SN+단/NNG
추진체의	추진체/NNG+의/JKG
성능에	성능/NNG+에/JKB
좌우된다.	좌우/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.321.10.2
따라서 북한 주장대로라면 이번에 발사할 로켓의 가장 큰 특징은 3단 추진체의 대폭적인 성능 개량으로 추정할 수 있다.

따라서	따라서/MAJ
북한	북한/NNP
주장대로라면	주장/NNG+대로/JX+이/VCP+라면/EC
이번에	이번/NNG+에/JKB
발사할	발사/NNG+하/XSV+ㄹ/ETM
로켓의	로켓/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
특징은	특징/NNG+은/JX
3단	3/SN+단/NNG
추진체의	추진체/NNG+의/JKG
대폭적인	대폭/NNG+적/XSN+이/VCP+ㄴ/ETM
성능	성능/NNG
개량으로	개량/NNG+으로/JKB
추정할	추정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.321.11.1
아울러 북한이 공개한 ‘광명성 3호’ 위성은 대학연구실에서 만들 수 있는 조악한 수준의 지구관측위성으로 보인다.

아울러	아울러/MAG
북한이	북한/NNP+이/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
‘광명성	‘/SS+광명성/NNP
3호’	3/SN+호/NNB+’/SS
위성은	위성/NNG+은/JX
대학연구실에서	대학/NNG+연구실/NNG+에서/JKB
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조악한	조악하/VA+ㄴ/ETM
수준의	수준/NNG+의/JKG
지구관측위성으로	지구/NNG+관측/NNG+위성/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.321.11.2
통상 날개처럼 펼쳐져야 할 태양전지판을 위성 본체에 직접 붙였고, 관측 카메라로 보이는 경통(鏡筒)의 크기도 작아 해상도가 낮을 것으로 전문가들은 보고 있다.

통상	통상/MAG
날개처럼	날개/NNG+처럼/JKB
펼쳐져야	펼치/VV+어/EC+지/VX+어야/EC
할	하/VX+ㄹ/ETM
태양전지판을	태양/NNG+전지판/NNG+을/JKO
위성	위성/NNG
본체에	본체/NNG+에/JKB
직접	직접/MAG
붙였고,	붙이/VV+었/EP+고/EC+,/SP
관측	관측/NNG
카메라로	카메라/NNG+로/JKB
보이는	보이/VV+는/ETM
경통(鏡筒)의	경통/NNG+(/SS+鏡筒/SH+)/SS+의/JKG
크기도	크기/NNG+도/JX
작아	작/VA+아/EC
해상도가	해상도/NNG+가/JKS
낮을	낮/VA+을/ETM
것으로	것/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.321.11.3
북한이 주장하는 ‘실용위성’엔 한참 못 미치는 수준이라는 평가다.

북한이	북한/NNP+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
‘실용위성’엔	‘/SS+실용/NNG+위성/NNG+’/SS+에/JKB+ㄴ/JX
한참	한참/MAG
못	못/MAG
미치는	미치/VV+는/ETM
수준이라는	수준/NNG+이/VCP+라는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.321.12.1
장영근 한국항공대 교수는 “북한이 중국에서 습득한 기술로 이 정도의 위성을 만드는 것은 어렵지 않을 것”이라며 “북한이 ‘우리도 앞으로 다른 나라를 들여다볼 수 있는 위성을 갖겠다’는 의지를 보인 것으로 해석된다”고 말했다.

장영근	장영근/NNP
한국항공대	한국항공대/NNP
교수는	교수/NNG+는/JX
“북한이	“/SS+북한/NNP+이/JKS
중국에서	중국/NNP+에서/JKB
습득한	습득/NNG+하/XSV+ㄴ/ETM
기술로	기술/NNG+로/JKB
이	이/MMD
정도의	정도/NNG+의/JKG
위성을	위성/NNG+을/JKO
만드는	만들/VV+는/ETM
것은	것/NNB+은/JX
어렵지	어렵/VA+지/EC
않을	않/VX+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
‘우리도	‘/SS+우리/NP+도/JX
앞으로	앞/NNG+으로/JKB
다른	다른/MMD
나라를	나라/NNG+를/JKO
들여다볼	들여다보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
갖겠다’는	갖/VV+겠/EP+다/EF+’/SS+는/ETM
의지를	의지/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석된다”고	해석/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


