# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.301
metadata : {}


# id : NWRW1800000053.301.1.1
현충원 찾은 이재명 “이승만-박정희 참배 못해”

현충원	현충원/NNP
같다”고	같/VA+다/EF+”/SS+고/JKQ
한	하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
이	이/NNP
시장은	시장/NNG+은/JX
이날	이날/NNG
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“사회	“/SS+사회/NNG
정의가	정의/NNG+가/JKS
살아있다는	살/VV+아/EC+있/VX+다는/ETM
것을	것/NNB+을/JKO
보여주기	보이/VV+어/EC+주/VX+기/ETN
위해서라도	위하/VV+아서/EC+라도/JX
박	박/NNP
대통령은	대통령/NNG+은/JX
청와대를	청와대/NNP+를/JKO
나오는	나오/VV+는/ETM
순간	순간/NNG
당연히	당연히/MAG
구속시켜야	구속/NNG+시키/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
각을	각/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.301.5.2
이 시장은 “수백억 원 규모 비리를 저지른 고위공직자를 처벌해야 한다는 국민의 뜻과 어긋나게 말한다면 국민의 대리인이 아닌 것”이라고 잘라 말했다.

이	이/NNP
시장은	시장/NNG+은/JX
“수백억	“/SS+수백억/NR
원	원/NNB
규모	규모/NNG
비리를	비리/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
고위공직자를	고위/NNG+공직자/NNG+를/JKO
처벌해야	처벌/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
국민의	국민/NNG+의/JKG
뜻과	뜻/NNG+과/JKB
어긋나게	어긋나/VV+게/EC
말한다면	말/NNG+하/XSV+ㄴ다면/EC
대리인이	대리인/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


