# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.36
metadata : {}


# id : NWRW1800000038.36.1.1
"오바마·시진핑 머릿속 최우선 과제는 北韓"

"오바마·시진핑	"/SS+오바마/NNP+·/SP+시진핑/NNP
일치된	일치/NNG+되/XSV+ㄴ/ETM
메시지가	메시지/NNG+가/JKS
나오는	나오/VV+는/ETM
것이	것/NNB+이/JKS
중요하다"고	중요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.36.4.1
이번 회담에서는 양 정상이 어느 정도의 '궁합'을 보여줄지에도 관심이 쏠리고 있다.

이번	이번/NNG
회담에서는	회담/NNG+에서/JKB+는/JX
양	양/MMN
정상이	정상/NNG+이/JKS
어느	어느/MMD
정도의	정도/NNG+의/JKG
'궁합'을	'/SS+궁합/NNG+'/SS+을/JKO
보여줄지에도	보이/VV+어/EC+주/VX+ㄹ지/EF+에/JKB+도/JX
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.36.4.2
두 정상의 관계 설정은 향후 수년간 전 세계 판도를 좌우할 중요 변수다.

두	두/MMN
정상의	정상/NNG+의/JKG
관계	관계/NNG
설정은	설정/NNG+은/JX
향후	향후/NNG
수년간	수년/NNG+간/XSN
전	전/MMN
세계	세계/NNG
판도를	판도/NNG+를/JKO
좌우할	좌우/NNG+하/XSV+ㄹ/ETM
중요	중요/NNG
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.36.4.3
백악관에 따르면 오바마 대통령과 시 주석은 이틀에 걸쳐 최소 7~8시간을 함께 보내게 된다.

백악관에	백악관/NNP+에/JKB
따르면	따르/VV+면/EC
오바마	오바마/NNP
대통령과	대통령/NNG+과/JC
시	시/NNP
주석은	주석/NNG+은/JX
이틀에	이틀/NNG+에/JKB
걸쳐	걸치/VV+어/EC
최소	최소/NNG
7~8시간을	7/SN+~/SO+8/SN+시간/NNB+을/JKO
함께	함께/MAG
보내게	보내/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.36.4.4
양국 외교 관계에서 전례가 없는 일이다.

양국	양국/NNG
외교	외교/NNG
관계에서	관계/NNG+에서/JKB
전례가	전례/NNG+가/JKS
없는	없/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.36.4.5
단독 및 확대 정상회담이 잡혀 있는 것은 물론이고 저녁과 아침식사를 함께하고 두 정상이 개인적인 대화를 하는 시간도 예정돼 있다.

단독	단독/NNG
및	및/MAG
확대	확대/NNG
정상회담이	정상/NNG+회담/NNG+이/JKS
잡혀	잡히/VV+어/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
물론이고	물론/NNG+이/VCP+고/EC
저녁과	저녁/NNG+과/JC
아침식사를	아침/NNG+식사/NNG+를/JKO
함께하고	함께/MAG+하/XSV+고/EC
두	두/MMN
정상이	정상/NNG+이/JKS
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
대화를	대화/NNG+를/JKO
하는	하/VV+는/ETM
시간도	시간/NNG+도/JX
예정돼	예정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.36.4.6
세계에서 가장 파워가 센 두 남자가 편안한 옷차림으로 함께 산책로를 거니는 장면도 볼 수 있을 전망이다.

세계에서	세계/NNG+에서/JKB
가장	가장/MAG
파워가	파워/NNG+가/JKS
센	세/VA+ㄴ/ETM
두	두/MMN
남자가	남자/NNG+가/JKS
편안한	편안/NNG+하/XSA+ㄴ/ETM
옷차림으로	옷차림/NNG+으로/JKB
함께	함께/MAG
산책로를	산책로/NNG+를/JKO
거니는	거닐/VV+는/ETM
장면도	장면/NNG+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.36.5.1
백악관 고위 관계자는 "(양국 정상이) 짜인 대본을 읽는 것이 아닌 진짜 속내를 털어놓는 대화를 하는 게 목적"이라고 말했다.

백악관	백악관/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
"(양국	"/SS+(/SS+양국/NNG
정상이)	정상/NNG+이/JKS+)/SS
짜인	짜이/VV+ㄴ/ETM
대본을	대본/NNG+을/JKO
읽는	읽/VV+는/ETM
것이	것/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
진짜	진짜/NNG
속내를	속내/NNG+를/JKO
털어놓는	털어놓/VV+는/ETM
대화를	대화/NNG+를/JKO
하는	하/VV+는/ETM
게	거/NNB+이/JKS
목적"이라고	목적/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.36.5.2
다른 관계자도 "서니랜즈의 뜨거운 태양과 아름다운 정원이 대화 분위기 조성에 도움이 될 것"이라고 전했다.

다른	다른/MMD
관계자도	관계자/NNG+도/JX
"서니랜즈의	"/SS+서니랜즈/NNP+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
태양과	태양/NNG+과/JC
아름다운	아름답/VA+ㄴ/ETM
정원이	정원/NNG+이/JKS
대화	대화/NNG
분위기	분위기/NNG
조성에	조성/NNG+에/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.36.6.1
외교 전문가들은 과거 미·중 정상회담에서는 지나치게 형식을 차리다 보니 두 강대국 간 불신 완화에 별다른 도움이 되지 않았다고 평가한다.

외교	외교/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
과거	과거/NNG
미·중	미/NNP+·/SP+중/NNP
정상회담에서는	정상/NNG+회담/NNG+에서/JKB+는/JX
지나치게	지나치/VA+게/EC
형식을	형식/NNG+을/JKO
차리다	차리/VV+다/EC
보니	보/VX+니/EC
두	두/MMN
강대국	강대국/NNG
간	간/NNB
불신	불신/NNG
완화에	완화/NNG+에/JKB
별다른	별다르/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.36.6.2
특히 시 주석의 전임자인 후진타오(胡錦濤) 주석의 딱딱한 스타일은 미국 대통령들과 개인적인 친분을 쌓는 데 큰 장애물이었다.

특히	특히/MAG
시	시/NNP
주석의	주석/NNG+의/JKG
전임자인	전임자/NNG+이/VCP+ㄴ/ETM
후진타오(胡錦濤)	후진타오/NNP+(/SS+胡錦濤/SH+)/SS
딱딱한	딱딱하/VA+ㄴ/ETM
스타일은	스타일/NNG+은/JX
미국	미국/NNP
대통령들과	대통령/NNG+들/XSN+과/JKB
개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
친분을	친분/NNG+을/JKO
쌓는	쌓/VV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
장애물이었다.	장애물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.36.6.3
뉴욕타임스(NYT)는 "참모들이 적어준 토킹 포인트(대화 주제)에서 한치도 벗어나지 않는 말만 하는 후 주석에 대해 오바마 대통령이 매우 짜증을 낸 적도 있다"고 전했다.

뉴욕타임스(NYT)는	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+는/JX
"참모들이	"/SS+참모/NNG+들/XSN+이/JKS
적어준	적/VV+어/EC+주/VX+ㄴ/ETM
토킹	토킹/NNG
포인트(대화	포인트/NNG+(/SS+대화/NNG
주제)에서	주제/NNG+)/SS+에서/JKB
한치도	한/MMN+치/NNB+도/JX
벗어나지	벗어나/VV+지/EC
않는	않/VX+는/ETM
말만	말/NNG+만/JX
하는	하/VV+는/ETM
후	후/NNP
주석에	주석/NNG+에/JKB
대해	대하/VV+아/EC
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
매우	매우/MAG
짜증을	짜증/NNG+을/JKO
낸	내/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.36.7.1
시 주석은 과거의 중국 지도자 스타일과는 다를 것이라고 미국 측은 보고 있다.

시	시/NNP
주석은	주석/NNG+은/JX
과거의	과거/NNG+의/JKG
중국	중국/NNP
지도자	지도자/NNG
스타일과는	스타일/NNG+과/JKB+는/JX
다를	다르/VA+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
미국	미국/NNP
측은	측/NNB+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.36.7.2
백악관 관계자는 "시 주석은 개방적인 인물인 것 같다. 그는 전임자들과 다른 자세로 미국과 관련된 이슈들을 곧바로 이야기할 의사가 있어 보인다"고 말했다.

백악관	백악관/NNP
관계자는	관계자/NNG+는/JX
"시	"/SS+시/NNP
주석은	주석/NNG+은/JX
개방적인	개방/NNG+적/XSN+이/VCP+ㄴ/ETM
인물인	인물/NNG+이/VCP+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF
그는	그/NP+는/JX
전임자들과	전임자/NNG+들/XSN+과/JKB
다른	다르/VA+ㄴ/ETM
자세로	자세/NNG+로/JKB
미국과	미국/NNP+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
이슈들을	이슈/NNG+들/XSN+을/JKO
곧바로	곧바로/MAG
이야기할	이야기/NNG+하/XSV+ㄹ/ETM
의사가	의사/NNG+가/JKS
있어	있/VA+어/EC
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.36.7.3
시 주석은 정상회담 의제 논의차 중국을 방문했던 톰 도닐런 백악관 안보보좌관에게 "오바마 대통령과 만날 때는 외교적 토킹 포인트가 없는 대화를 원한다"고 말했다고 NYT가 전했다.

시	시/NNP
주석은	주석/NNG+은/JX
정상회담	정상/NNG+회담/NNG
의제	의제/NNG
논의차	논의차/NNG
중국을	중국/NNP+을/JKO
방문했던	방문/NNG+하/XSV+았/EP+던/ETM
톰	톰/NNP
도닐런	도닐런/NNP
백악관	백악관/NNP
안보보좌관에게	안보/NNG+보좌관/NNG+에게/JKB
"오바마	"/SS+오바마/NNP
대통령과	대통령/NNG+과/JKB
만날	만나/VV+ㄹ/ETM
때는	때/NNG+는/JX
외교적	외교/NNG+적/XSN
토킹	토킹/NNG
포인트가	포인트/NNG+가/JKS
없는	없/VA+는/ETM
대화를	대화/NNG+를/JKO
원한다"고	원/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
NYT가	NYT/SL+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.36.8.1
이번 회담은 형식은 자유롭지만 내부적으로는 팽팽한 긴장감도 흐르고 있다.

이번	이번/NNG
회담은	회담/NNG+은/JX
형식은	형식/NNG+은/JX
자유롭지만	자유/NNG+롭/XSA+지만/EC
내부적으로는	내부/NNG+적/XSN+으로/JKB+는/JX
팽팽한	팽팽하/VA+ㄴ/ETM
긴장감도	긴장감/NNG+도/JX
흐르고	흐르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.36.8.2
산적해 있는 현안들의 민감성을 감안하면 양국 간 견해 차이에 명확한 진전을 기대하기 어렵다는 지적도 나온다.

산적해	산적/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
현안들의	현안/NNG+들/XSN+의/JKG
민감성을	민감/NNG+성/XSN+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
양국	양국/NNG
간	간/NNB
견해	견해/NNG
차이에	차이/NNG+에/JKB
명확한	명확하/VA+ㄴ/ETM
진전을	진전/NNG+을/JKO
기대하기	기대/NNG+하/XSV+기/ETN
어렵다는	어렵/VA+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.36.8.3
중국의 미국 정부기관 해킹 의혹, 남중국해의 영토 분쟁 등은 모두 쉽게 의견 일치를 보기 어려운 사안들이다.

중국의	중국/NNP+의/JKG
미국	미국/NNP
정부기관	정부/NNG+기관/NNG
해킹	해킹/NNG
의혹,	의혹/NNG+,/SP
남중국해의	남중국해/NNP+의/JKG
영토	영토/NNG
분쟁	분쟁/NNG
등은	등/NNB+은/JX
모두	모두/MAG
쉽게	쉽/VA+게/EC
의견	의견/NNG
일치를	일치/NNG+를/JKO
보기	보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
사안들이다.	사안/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.36.9.1
게다가 아직까지는 양국 사이에 '벽'이 존재한다.

게다가	게다가/MAG
아직까지는	아직/MAG+까지/JX+는/JX
양국	양국/NNG
사이에	사이/NNG+에/JKB
'벽'이	'/SS+벽/NNG+'/SS+이/JKS
존재한다.	존재/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.36.9.2
시 주석은 방미(訪美) 기간 중 회담장인 서니랜즈에 묵지 않고 인근 호텔에 머물 예정이다.

시	시/NNP
주석은	주석/NNG+은/JX
방미(訪美)	방미/NNG+(/SS+訪美/SH+)/SS
기간	기간/NNG
중	중/NNB
회담장인	회담장/NNG+이/VCP+ㄴ/ETM
서니랜즈에	서니랜즈/NNP+에/JKB
묵지	묵/VV+지/EC
않고	않/VX+고/EC
인근	인근/NNG
호텔에	호텔/NNG+에/JKB
머물	머물/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.36.9.3
서니랜즈에도 영빈관이 있지만 미국 측의 도청이 이뤄질 것을 우려해 내린 조치다.

서니랜즈에도	서니랜즈/NNP+에/JKB+도/JX
영빈관이	영빈관/NNG+이/JKS
있지만	있/VA+지만/EC
미국	미국/NNP
측의	측/NNB+의/JKG
도청이	도청/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
내린	내리/VV+ㄴ/ETM
조치다.	조치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.36.9.4
관심을 모았던 G2(주요 2개국)의 '퍼스트레이디 외교'도 다음 기회로 미뤄졌다.

관심을	관심/NNG+을/JKO
모았던	모으/VV+았/EP+던/ETM
G2(주요	G/SL+2/SN+(/SS+주요/NNG
2개국)의	2/SN+개국/NNB+)/SS+의/JKG
'퍼스트레이디	'/SS+퍼스트레이디/NNG
외교'도	외교/NNG+'/SS+도/JX
다음	다음/NNG
기회로	기회/NNG+로/JKB
미뤄졌다.	미루/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.36.9.5
시 주석은 부인 펑리위안(彭麗媛) 여사와 동행하지만 미셸 오바마 여사는 서니랜즈에 가지 않는다.

시	시/NNP
주석은	주석/NNG+은/JX
부인	부인/NNG
펑리위안(彭麗媛)	펑리위안/NNP+(/SS+彭麗媛/SH+)/SS
여사와	여사/NNG+와/JKB
동행하지만	동행/NNG+하/XSV+지만/EC
미셸	미셸/NNP
오바마	오바마/NNP
여사는	여사/NNG+는/JX
서니랜즈에	서니랜즈/NNP+에/JKB
가지	가/VV+지/EC
않는다.	않/VX+는다/EF+./SF


