# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.199
metadata : {}


# id : NWRW1800000030.199.1.1
다저스, 중고 소방차로 이적의 불씨 껐다

다저스,	다저스/NNP+,/SP
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.8.2
친구들이 많아 거의 애틀랜타행을 굳혔다.

친구들이	친구/NNG+들/XSN+이/JKS
많아	많/VA+아/EC
거의	거의/MAG
애틀랜타행을	애틀랜타행/NNG+을/JKO
굳혔다.	굳히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.199.8.3
하지만 브레이브스와 사실상 합의를 이룬 뒤 LA 다저스가 마지막 카드를 보여주자 마음이 뒤바뀌었다.

하지만	하지만/MAJ
브레이브스와	브레이브스/NNP+와/JKB
사실상	사실/NNG+상/XSN
합의를	합의/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
뒤	뒤/NNG
LA	LA/SL
다저스가	다저스/NNP+가/JKS
마지막	마지막/NNG
카드를	카드/NNG+를/JKO
보여주자	보이/VV+어/EC+주/VX+자/EC
마음이	마음/NNG+이/JKS
뒤바뀌었다.	뒤바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.199.8.4
LA다저스는 어렸을 때 소방관이 되는 게 꿈이었던 퍼칼에게 '고향 소방시설을 지원해주겠다'는 내용을 계약조건으로 내걸었다.

LA다저스는	LA/SL+다저스/NNP+는/JX
어렸을	어리/VA+었/EP+을/ETM
때	때/NNG
소방관이	소방관/NNG+이/JKC
되는	되/VV+는/ETM
게	거/NNB+이/JKS
꿈이었던	꿈/NNG+이/VCP+었/EP+던/ETM
퍼칼에게	퍼칼/NNP+에게/JKB
'고향	'/SS+고향/NNG
소방시설을	소방/NNG+시설/NNG+을/JKO
지원해주겠다'는	지원/NNG+하/XSV+아/EC+주/VX+겠/EP+다/EF+'/SS+는/ETM
내용을	내용/NNG+을/JKO
계약조건으로	계약/NNG+조건/NNG+으로/JKB
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.199.9.1
퍼칼은 "다저스가 나와 내 고향을 정말로 생각해주고 있다고 느꼈다"며 그의 마음이 바뀐 이유를 설명했다.

퍼칼은	퍼칼/NNP+은/JX
"다저스가	"/SS+다저스/NNP+가/JKS
나와	나/NP+와/JC
내	나/NP+의/JKG
고향을	고향/NNG+을/JKO
정말로	정말로/MAG
생각해주고	생각/NNG+하/XSV+아/EC+주/VX+고/EC
있다고	있/VX+다고/EC
느꼈다"며	느끼/VV+었/EP+다/EF+"/SS+며/EC
그의	그/NP+의/JKG
마음이	마음/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
이유를	이유/NNG+를/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.10.1
퍼칼과 재계약에 성공한 다저스는 곧바로 약속을 이행했다.

퍼칼과	퍼칼/NNP+과/JKB
재계약에	재/XPN+계약/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
다저스는	다저스/NNP+는/JX
곧바로	곧바로/MAG
약속을	약속/NNG+을/JKO
이행했다.	이행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.10.2
LA 다저스타디움 근처 소방서측은 낡은 소방차 한 대를 지원했다.

LA	LA/SL
다저스타디움	다저스타디움/NNP
근처	근처/NNG
소방서측은	소방서/NNG+측/NNB+은/JX
낡은	낡/VV+은/ETM
소방차	소방차/NNG
한	한/MMN
대를	대/NNB+를/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.11.1
스페인계 소방관들의 모임인 '로스 봄베로스(Los Bomberos·소방관들 이란 뜻의 스페인어)'가 이 차를 수리하고 새 차처럼 페인트칠하는 일을 도왔다.

스페인계	스페인/NNP+계/XSN
소방관들의	소방관/NNG+들/XSN+의/JKG
모임인	모임/NNG+이/VCP+ㄴ/ETM
'로스	'/SS+로스/NNP
봄베로스(Los	봄베로스/NNP+(/SS+Los/SL
Bomberos·소방관들	Bomberos/SL+·/SP+소방관/NNG+들/XSN
이란	이/VCP+란/ETM
뜻의	뜻/NNG+의/JKG
스페인어)'가	스페인어/NNP+)/SS+'/SS+가/JKS
이	이/MMD
차를	차/NNG+를/JKO
수리하고	수리/NNG+하/XSV+고/EC
새	새/MMA
차처럼	차/NNG+처럼/JKB
페인트칠하는	페인트칠/NNG+하/XSV+는/ETM
일을	일/NNG+을/JKO
도왔다.	돕/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.11.2
다저스측은 이 소방차를 퍼칼의 고향으로 운송하는 데 드는 경비를 댔고 조작법을 가르칠 소방대원을 파견했다.

다저스측은	다저스/NNP+측/NNB+은/JX
이	이/MMD
소방차를	소방차/NNG+를/JKO
퍼칼의	퍼칼/NNP+의/JKG
고향으로	고향/NNG+으로/JKB
운송하는	운송/NNG+하/XSV+는/ETM
데	데/NNB
드는	들/VV+는/ETM
경비를	경비/NNG+를/JKO
댔고	대/VV+었/EP+고/EC
조작법을	조작법/NNG+을/JKO
가르칠	가르치/VV+ㄹ/ETM
소방대원을	소방대원/NNG+을/JKO
파견했다.	파견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.199.11.3
지금 퍼칼의 고향엔 빨간색 소방차가 화재가 생기는 곳이면 어디든지 쌩쌩 달려간다.

지금	지금/MAG
퍼칼의	퍼칼/NNP+의/JKG
고향엔	고향/NNG+에/JKB+ㄴ/JX
빨간색	빨간색/NNG
소방차가	소방차/NNG+가/JKS
화재가	화재/NNG+가/JKS
생기는	생기/VV+는/ETM
곳이면	곳/NNG+이/VCP+면/EC
어디든지	어디/NP+든지/JX
쌩쌩	쌩쌩/MAG
달려간다.	달려가/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.199.11.4
그 소방차 옆쪽엔 퍼칼의 등번호인 15번이 선명하게 새겨져 있다.

그	그/MMD
소방차	소방차/NNG
옆쪽엔	옆쪽/NNG+에/JKB+ㄴ/JX
퍼칼의	퍼칼/NNP+의/JKG
등번호인	등/NNG+번호/NNG+이/VCP+ㄴ/ETM
15번이	15/SN+번/NNB+이/JKS
선명하게	선명/NNG+하/XSA+게/EC
새겨져	새기/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.199.11.5
퍼칼은 자신의 번호를 새긴 소방차로 어렸을 때 꿈을 이루며, 로마 데 카브레라 최고의 소방관이 됐다.

퍼칼은	퍼칼/NNP+은/JX
자신의	자신/NNG+의/JKG
번호를	번호/NNG+를/JKO
새긴	새기/VV+ㄴ/ETM
소방차로	소방차/NNG+로/JKB
어렸을	어리/VA+었/EP+을/ETM
때	때/NNG
꿈을	꿈/NNG+을/JKO
이루며,	이루/VV+며/EC+,/SP
로마	로마/NNP
데	데/NNP
카브레라	카브레라/NNP
최고의	최고/NNG+의/JKG
소방관이	소방관/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


