# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.97
metadata : {}


# id : NWRW1800000028.97.1.1
행안부, 스마트폰 공인인증서 밀어붙여

행안부,	행안부/NNG+,/SP
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.97.3.4
행안부가 스마트폰에서 공인인증서 사용을 의무화하기로 함에 따라 은행이나 전자상거래 업체들은 국제적으로 통용되는 다양한 보안기술들을 선택해 사용할 수 없게 됐다.

행안부가	행안부/NNG+가/JKS
스마트폰에서	스마트폰/NNG+에서/JKB
공인인증서	공인/NNG+인증서/NNG
사용을	사용/NNG+을/JKO
의무화하기로	의무/NNG+화/XSN+하/XSV+기/ETN+로/JKB
함에	하/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
은행이나	은행/NNG+이나/JC
전자상거래	전자/NNG+상거래/NNG
업체들은	업체/NNG+들/XSN+은/JX
국제적으로	국제/NNG+적/XSN+으로/JKB
통용되는	통용/NNG+되/XSV+는/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
보안기술들을	보안/NNG+기술/NNG+들/XSN+을/JKO
선택해	선택/NNG+하/XSV+아/EC
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.97.3.5
개인용 컴퓨터(PC)에서 마이크로소프트(MS)의 액티브엑스(ActiveX)를 적용해야만 전자상거래를 할 수 있는 기형적 상황이 스마트폰에서 공인인증서 의무화로 변형된 셈이다.

개인용	개인/NNG+용/XSN
컴퓨터(PC)에서	컴퓨터/NNG+(/SS+PC/SL+)/SS+에서/JKB
마이크로소프트(MS)의	마이크로소프트/NNP+(/SS+MS/SL+)/SS+의/JKG
액티브엑스(ActiveX)를	액티브엑스/NNG+(/SS+ActiveX/SL+)/SS+를/JKO
적용해야만	적용/NNG+하/XSV+아야/EC+만/JX
전자상거래를	전자/NNG+상거래/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기형적	기형/NNG+적/XSN
상황이	상황/NNG+이/JKS
스마트폰에서	스마트폰/NNG+에서/JKB
공인인증서	공인/NNG+인증서/NNG
의무화로	의무/NNG+화/XSN+로/JKB
변형된	변형/NNG+되/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.97.4.1
지금까지 국내에선 스마트폰을 통한 인터넷뱅킹과 전자상거래의 제약 때문에 국제 기술 흐름과는 동떨어진 국내 고유의 규제에 대한 개선 요구가 높았다.

지금까지	지금/NNG+까지/JX
국내에선	국내/NNG+에서/JKB+ㄴ/JX
스마트폰을	스마트폰/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
인터넷뱅킹과	인터넷/NNG+뱅킹/NNG+과/JC
전자상거래의	전자/NNG+상거래/NNG+의/JKG
제약	제약/NNG
때문에	때문/NNB+에/JKB
국제	국제/NNG
기술	기술/NNG
흐름과는	흐름/NNG+과/JKB+는/JX
동떨어진	동떨어지/VA+ㄴ/ETM
국내	국내/NNG
고유의	고유/NNG+의/JKG
규제에	규제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개선	개선/NNG
요구가	요구/NNG+가/JKS
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.97.4.2
(<한겨레> 2009년 12월21일치 16면) 정부도 최근 국무총리실, 미래기획위원회, 방송통신위원회, 중소기업청 기업호민관실 등 여러 관계기관이 모여 해결책 마련을 논의하는 중이다.

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
2009년	2009/SN+년/NNB
12월21일치	12/SN+월/NNB+21/SN+일/NNB+치/NNB
16면)	16/SN+면/NNG+)/SS
정부도	정부/NNG+도/JX
최근	최근/MAG
국무총리실,	국무총리실/NNG+,/SP
미래기획위원회,	미래/NNG+기획/NNG+위원회/NNG+,/SP
방송통신위원회,	방송/NNG+통신/NNG+위원회/NNG+,/SP
중소기업청	중소기업청/NNG
기업호민관실	기업/NNG+호민관실/NNG
등	등/NNB
여러	여러/MMN
관계기관이	관계/NNG+기관/NNG+이/JKS
모여	모이/VV+어/EC
해결책	해결책/NNG
마련을	마련/NNG+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.97.4.3
그러나 행안부가 공인인증서 사용을 의무화하기로 앞서 발표하는 바람에 이런 논의는 무력화할 것으로 우려된다.

그러나	그러나/MAJ
행안부가	행안부/NNG+가/JKS
공인인증서	공인/NNG+인증서/NNG
사용을	사용/NNG+을/JKO
의무화하기로	의무/NNG+화/XSN+하/XSV+기/ETN+로/JKB
앞서	앞서/VV+어/EC
발표하는	발표/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
이런	이런/MMD
논의는	논의/NNG+는/JX
무력화할	무력/NNG+화/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
우려된다.	우려/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.97.4.4
논의에 참여하고 있는 방통위 관계자는 “공인인증서를 의무화하지 않고 다른 방법도 가능하다고 하는 부처들도 있어 아직 합의가 이뤄지지 않은 상태인데 행안부가 자신의 입장만 일방적으로 발표했다”고 불만을 표시했다.

논의에	논의/NNG+에/JKB
참여하고	참여/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
방통위	방통위/NNG
관계자는	관계자/NNG+는/JX
“공인인증서를	“/SS+공인/NNG+인증서/NNG+를/JKO
의무화하지	의무/NNG+화/XSN+하/XSV+지/EC
않고	않/VX+고/EC
다른	다른/MMD
방법도	방법/NNG+도/JX
가능하다고	가능/NNG+하/XSA+다고/EC
하는	하/VV+는/ETM
부처들도	부처/NNG+들/XSN+도/JX
있어	있/VA+어/EC
아직	아직/MAG
합의가	합의/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
상태인데	상태/NNG+이/VCP+ㄴ데/EC
행안부가	행안부/NNG+가/JKS
자신의	자신/NNG+의/JKG
입장만	입장/NNG+만/JX
일방적으로	일방/NNG+적/XSN+으로/JKB
발표했다”고	발표/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
불만을	불만/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


