# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.371
metadata : {}


# id : NWRW1800000045.371.1.1
‘사모님 車’ 회사 비용처리 못한다

‘사모님	‘/SS+사모/NNG+님/XSN
업무용으로	업무/NNG+용/XSN+으로/JKB
구입하거나	구입/NNG+하/XSV+거나/EC
리스한	리스/NNG+하/XSV+ㄴ/ETM
고가의	고가/NNG+의/JKG
외제차를	외제/NNG+차/NNG+를/JKO
경영자나	경영자/NNG+나/JC
그	그/MMD
가족이	가족/NNG+이/JKS
개인	개인/NNG
용도로	용도/NNG+로/JKB
사용하는	사용/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
세금	세금/NNG
탈루의	탈루/NNG+의/JKG
온상이라는	온상/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
끊이지	끊이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.371.5.1
앞으로는 임직원만 운전할 수 있도록 설계된 자동차보험에 가입돼 있고, 세무서에 업무용으로 신고된 승용차만 비용의 50%를 감면해 주기로 했다.

앞으로는	앞/NNG+으로/JKB+는/JX
임직원만	임직원/NNG+만/JX
운전할	운전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계된	설계/NNG+되/XSV+ㄴ/ETM
자동차보험에	자동차/NNG+보험/NNG+에/JKB
가입돼	가입/NNG+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
세무서에	세무서/NNG+에/JKB
업무용으로	업무/NNG+용/XSN+으로/JKB
신고된	신고/NNG+되/XSV+ㄴ/ETM
승용차만	승용차/NNG+만/JX
비용의	비용/NNG+의/JKG
50%를	50/SN+%/SW+를/JKO
감면해	감면/NNG+하/XSV+아/EC
주기로	주/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.371.5.2
나머지 50%는 운행일지 등 증빙서류로 입증해야 비용으로 인정된다.

나머지	나머지/NNG
50%는	50/SN+%/SW+는/JX
운행일지	운행/NNG+일지/NNG
등	등/NNB
증빙서류로	증빙/NNG+서류/NNG+로/JKB
입증해야	입증/NNG+하/XSV+아야/EC
비용으로	비용/NNG+으로/JKB
인정된다.	인정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.371.5.3
기업이나 사업자를 홍보하는 로고(탈부착형은 제외)를 붙인 차량은 비용이 100% 인정된다.

기업이나	기업/NNG+이나/JC
사업자를	사업자/NNG+를/JKO
홍보하는	홍보/NNG+하/XSV+는/ETM
로고(탈부착형은	로고/NNG+(/SS+탈부착/NNG+형/XSN+은/JX
제외)를	제외/NNG+)/SS+를/JKO
붙인	붙이/VV+ㄴ/ETM
차량은	차량/NNG+은/JX
비용이	비용/NNG+이/JKS
100%	100/SN+%/SW
인정된다.	인정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.371.5.4
개인사업자는 보험 가입 여부에 상관없이 업무에 사용됐음을 입증하면 그 비율만큼 비용으로 인정한다.

개인사업자는	개인/NNG+사업자/NNG+는/JX
보험	보험/NNG
가입	가입/NNG
여부에	여부/NNG+에/JKB
상관없이	상관없이/MAG
업무에	업무/NNG+에/JKB
사용됐음을	사용/NNG+되/XSV+었/EP+음/ETN+을/JKO
입증하면	입증/NNG+하/XSV+면/EC
그	그/MMD
비율만큼	비율/NNG+만큼/JKB
비용으로	비용/NNG+으로/JKB
인정한다.	인정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.371.6.1
2013년 기준으로 국세청에 신고된 업무용 승용차에 들어간 비용은 총 8조5000억 원이다.

2013년	2013/SN+년/NNB
기준으로	기준/NNG+으로/JKB
국세청에	국세청/NNG+에/JKB
신고된	신고/NNG+되/XSV+ㄴ/ETM
업무용	업무/NNG+용/XSN
승용차에	승용차/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
비용은	비용/NNG+은/JX
총	총/MMA
8조5000억	8/SN+조/NR+5000/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.371.6.2
기획재정부 측은 “회사 차량을 개인 용도로 이용하는 사례가 줄어들면 연간 5500억 원의 세금이 더 걷힐 것”이라고 분석했다.

기획재정부	기획/NNG+재정부/NNG
측은	측/NNB+은/JX
“회사	“/SS+회사/NNG
차량을	차량/NNG+을/JKO
개인	개인/NNG
용도로	용도/NNG+로/JKB
이용하는	이용/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
줄어들면	줄어들/VV+면/EC
연간	연간/NNG
5500억	5500/SN+억/NR
원의	원/NNB+의/JKG
세금이	세금/NNG+이/JKS
더	더/MAG
걷힐	걷히/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.371.7.1
또 정부는 대기업이 이월결손금 공제 혜택을 받을 때 공제 한도를 해당 연도 소득의 80%로 정했다.

또	또/MAG
정부는	정부/NNG+는/JX
대기업이	대/XPN+기업/NNG+이/JKS
이월결손금	이월/NNG+결손금/NNG
공제	공제/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
때	때/NNG
한도를	한도/NNG+를/JKO
해당	해당/NNG
연도	연도/NNG
소득의	소득/NNG+의/JKG
80%로	80/SN+%/SW+로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.371.7.2
예를 들어 최근 10년 이내 누적 결손금이 1조 원인 기업이 올해 1조 원의 이익을 냈다면 지금까지는 법인세를 한 푼도 안 냈지만 앞으로는 이익의 80%까지만 공제되고 2000억 원에 대해서는 법인세를 내야 한다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
최근	최근/MAG
10년	10/SN+년/NNB
이내	이내/NNG
누적	누적/NNG
결손금이	결손금/NNG+이/JKS
1조	1/SN+조/NR
원인	원/NNB+이/VCP+ㄴ/ETM
기업이	기업/NNG+이/JKS
올해	올해/NNG
원의	원/NNB+의/JKG
이익을	이익/NNG+을/JKO
냈다면	내/VV+었/EP+다면/EC
지금까지는	지금/NNG+까지/JX+는/JX
법인세를	법인세/NNG+를/JKO
한	한/MMN
푼도	푼/NNB+도/JX
안	안/MAG
냈지만	내/VV+었/EP+지만/EC
앞으로는	앞/NNG+으로/JKB+는/JX
이익의	이익/NNG+의/JKG
80%까지만	80/SN+%/SW+까지/JX+만/JX
공제되고	공제/NNG+되/XSV+고/EC
2000억	2000/SN+억/NR
원에	원/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.371.7.3
다만 중소기업은 현행대로 한도 없이 공제 혜택을 받는다.

다만	다만/MAG
중소기업은	중소기업/NNG+은/JX
현행대로	현행/NNG+대로/JX
한도	한도/NNG
없이	없이/MAG
공제	공제/NNG
혜택을	혜택/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000045.371.7.4
이 밖에도 대기업들의 연구개발(R&D) 시설 투자액에 대한 세액공제율을 3%에서 1%로 낮춘다.

이	이/MMD
밖에도	밖/NNG+에/JKB+도/JX
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
시설	시설/NNG
투자액에	투자액/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세액공제율을	세액/NNG+공제/NNG+율/XSN+을/JKO
3%에서	3/SN+%/SW+에서/JKB
1%로	1/SN+%/SW+로/JKB
낮춘다.	낮추/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.371.8.1
주형환 기재부 1차관은 “이번 세법 개정안을 모두 적용하면 지난해 기준으로 17.3%이던 대기업 실효세율이 0.1∼0.2%포인트 상승할 것으로 기대된다”고 말했다.

주형환	주형환/NNP
기재부	기재부/NNG
1차관은	1/SN+차관/NNG+은/JX
“이번	“/SS+이번/NNG
세법	세법/NNG
개정안을	개정안/NNG+을/JKO
모두	모두/MAG
적용하면	적용/NNG+하/XSV+면/EC
지난해	지난해/NNG
기준으로	기준/NNG+으로/JKB
17.3%이던	17/SN+./SP+3/SN+%/SW+이/VCP+던/ETM
대기업	대/XPN+기업/NNG
실효세율이	실효/NNG+세율/NNG+이/JKS
0.1∼0.2%포인트	0/SN+./SP+1/SN+∼/SO+0/SN+./SP+2/SN+%포인트/NNG
상승할	상승/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다”고	기대/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


