# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.275
metadata : {}


# id : NWRW1800000030.275.1.1
[조선데스크] '정권 교체론자'의 선택

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
"야당으로 정권을 교체해야 한다"란 표심(票心)이 확고했던 것이다.

"야당으로	"/SS+야당/NNG+으로/JKB
정권을	정권/NNG+을/JKO
교체해야	교체/NNG+하/XSV+아야/EC
한다"란	하/VX+ㄴ다/EF+"/SS+이/VCP+란/ETM
표심(票心)이	표심/NNG+(/SS+票心/SH+)/SS+이/JKS
확고했던	확고하/VA+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.275.3.6
하지만 지금은 정권 교체론자 중에서 야권의 잠재후보로 분류되는 안철수·손학규·문재인 후보 등에 대한 지지는 50% 안팎에 그치고 있다.

하지만	하지만/MAJ
지금은	지금/NNG+은/JX
정권	정권/NNG
교체론자	교체론자/NNG
중에서	중/NNB+에서/JKB
야권의	야권/NNG+의/JKG
잠재후보로	잠재/NNG+후보/NNG+로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
안철수·손학규·문재인	안철수/NNP+·/SP+손학규/NNP+·/SP+문재인/NNP
후보	후보/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
지지는	지지/NNG+는/JX
50%	50/SN+%/SW
안팎에	안팎/NNG+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.275.3.7
나머지 절반 중에서 30%가량은 여당 후보인 박근혜 전 한나라당 대표 등을 지지하고 있고, 20%는 '무응답'이다.

나머지	나머지/NNG
절반	절반/NNG
중에서	중/NNB+에서/JKB
30%가량은	30/SN+%/SW+가량/XSN+은/JX
여당	여당/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
박근혜	박근혜/NNP
전	전/MMD
한나라당	한나라당/NNP
대표	대표/NNG
등을	등/NNB+을/JKO
지지하고	지지/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
20%는	20/SN+%/SW+는/JX
'무응답'이다.	'/SS+무/XPN+응답/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.275.3.8
정권 교체론자가 생각하는 '교체'에는 정권이 한나라당에서 야권으로 바뀌는 '여·야(與野) 교체'와, 이명박 대통령과 같은 한나라당 소속이더라도 성향이 다른 인물로 대통령이 바뀌는 '인물 교체'가 뒤섞여 있는 상황이다.

정권	정권/NNG
교체론자가	교체론자/NNG+가/JKS
생각하는	생각/NNG+하/XSV+는/ETM
'교체'에는	'/SS+교체/NNG+'/SS+에/JKB+는/JX
정권이	정권/NNG+이/JKS
한나라당에서	한나라당/NNP+에서/JKB
야권으로	야권/NNG+으로/JKB
바뀌는	바뀌/VV+는/ETM
'여·야(與野)	'/SS+여/NNG+·/SP+야/NNG+(/SS+與野/SH+)/SS
교체'와,	교체/NNG+'/SS+와/JC+,/SP
이명박	이명박/NNP
대통령과	대통령/NNG+과/JKB
같은	같/VA+은/ETM
한나라당	한나라당/NNP
소속이더라도	소속/NNG+이/VCP+더라도/EC
성향이	성향/NNG+이/JKS
다른	다른/MMD
인물로	인물/NNG+로/JKB
대통령이	대통령/NNG+이/JKS
'인물	'/SS+인물/NNG
교체'가	교체/NNG+'/SS+가/JKS
뒤섞여	뒤섞이/VV+어/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.275.4.1
이런 현상에 대해 "이해가 가지 않는다"는 반응이 많지만, 국민의 다수가 정권 교체를 원하면서도 여·야 교체가 이뤄지지 않은 전례는 쉽게 찾아볼 수 있다.

이런	이런/MMD
현상에	현상/NNG+에/JKB
대해	대하/VV+아/EC
"이해가	"/SS+이해/NNG+가/JKS
가지	가/VV+지/EC
않는다"는	않/VX+는다/EF+"/SS+는/ETM
반응이	반응/NNG+이/JKS
많지만,	많/VA+지만/EC+,/SP
국민의	국민/NNG+의/JKG
다수가	다수/NNG+가/JKS
정권	정권/NNG
교체를	교체/NNG+를/JKO
원하면서도	원/NNG+하/XSV+면서/EC+도/JX
여·야	여/NNG+·/SP+야/NNG
교체가	교체/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
전례는	전례/NNG+는/JX
쉽게	쉽/VA+게/EC
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.275.4.2
지난 네 번의 대선 직전에 네 명의 당시 현직 대통령은 모두 10~20%대의 낮은 지지율에 시달렸고, 국민 다수가 정권 교체를 희망했다.

지난	지나/VV+ㄴ/ETM
네	네/MMN
번의	번/NNB+의/JKG
대선	대선/NNG
직전에	직전/NNG+에/JKB
명의	명/NNB+의/JKG
당시	당시/NNG
현직	현직/NNG
대통령은	대통령/NNG+은/JX
모두	모두/MAG
10~20%대의	10/SN+~/SO+20/SN+%/SW+대/XSN+의/JKG
낮은	낮/VA+은/ETM
지지율에	지지/NNG+율/XSN+에/JKB
시달렸고,	시달리/VV+었/EP+고/EC+,/SP
국민	국민/NNG
다수가	다수/NNG+가/JKS
정권	정권/NNG
교체를	교체/NNG+를/JKO
희망했다.	희망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.275.4.3
그래도 노태우 정부에서 김영삼 정부로 이어진 1992년과 김대중 정부에서 노무현 정부로 이어진 2002년 등 두 번의 대선에서 여당이 재집권에 성공했다.

그래도	그래도/MAJ
노태우	노태우/NNP
정부에서	정부/NNG+에서/JKB
김영삼	김영삼/NNP
정부로	정부/NNG+로/JKB
이어진	이어지/VV+ㄴ/ETM
1992년과	1992/SN+년/NNB+과/JC
김대중	김대중/NNP
노무현	노무현/NNP
2002년	2002/SN+년/NNB
등	등/NNB
두	두/MMN
번의	번/NNB+의/JKG
대선에서	대선/NNG+에서/JKB
여당이	여당/NNG+이/JKS
재집권에	재/XPN+집권/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.275.5.1
선거 전문가들은 이와 관련, "대선은 각 후보의 정책과 능력을 보고 '누구에게 미래를 맡길 만한가' 하는 전망적(展望的) 차원으로 투표하는 경향이 강하기 때문"이라고 설명한다.

선거	선거/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
이와	이/NP+와/JKB
관련,	관련/NNG+,/SP
"대선은	"/SS+대선/NNG+은/JX
각	각/MMD
후보의	후보/NNG+의/JKG
정책과	정책/NNG+과/JC
능력을	능력/NNG+을/JKO
보고	보/VV+고/EC
'누구에게	'/SS+누구/NP+에게/JKB
미래를	미래/NNG+를/JKO
맡길	맡기/VV+ㄹ/ETM
만한가'	만/NNB+하/XSA+ㄴ가/EF+'/SS
하는	하/VV+는/ETM
전망적(展望的)	전망/NNG+적/XSN+(/SS+展望的/SH+)/SS
차원으로	차원/NNG+으로/JKB
투표하는	투표/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
강하기	강하/VA+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.275.5.2
대통령의 임기 중간에 치러지기 때문에 현 정부 실적에 대한 회고적(回顧的) 평가의 성격이 강한 지방선거나 재·보선과는 다르다는 것이다.

대통령의	대통령/NNG+의/JKG
임기	임기/NNG
중간에	중간/NNG+에/JKB
치러지기	치르/VV+어/EC+지/VX+기/ETN
때문에	때문/NNB+에/JKB
현	현/MMD
정부	정부/NNG
실적에	실적/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
회고적(回顧的)	회고/NNG+적/XSN+(/SS+回顧的/SH+)/SS
평가의	평가/NNG+의/JKG
성격이	성격/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
지방선거나	지방/NNG+선거/NNG+나/JC
재·보선과는	재·보선/NNG+과/JKB+는/JX
다르다는	다르/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.275.5.3
이번 미디어리서치 조사에서 "여·야 후보들이 국가운영 능력을 얼마나 갖췄다고 보는가"라는 질문에 박근혜 전 대표에 대한 긍정 평가가 64%로, 민주당 손학규(42%) 대표나 안철수(38%) 교수에 비해 훨씬 높았다.

이번	이번/NNG
미디어리서치	미디어리서치/NNP
조사에서	조사/NNG+에서/JKB
"여·야	"/SS+여/NNG+·/SP+야/NNG
후보들이	후보/NNG+들/XSN+이/JKS
국가운영	국가/NNG+운영/NNG
능력을	능력/NNG+을/JKO
얼마나	얼마나/MAG
갖췄다고	갖추/VV+었/EP+다고/EC
보는가"라는	보/VV+는가/EF+"/SS+이/VCP+라는/ETM
질문에	질문/NNG+에/JKB
박근혜	박근혜/NNP
전	전/MMD
대표에	대표/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
긍정	긍정/NNG
평가가	평가/NNG+가/JKS
64%로,	64/SN+%/SW+로/JKB+,/SP
민주당	민주당/NNP
손학규(42%)	손학규/NNP+(/SS+42/SN+%/SW+)/SS
대표나	대표/NNG+나/JC
안철수(38%)	안철수/NNP+(/SS+38/SN+%/SW+)/SS
교수에	교수/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
훨씬	훨씬/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.275.5.4
야권에선 현 정부에 대한 실망이란 반사이익을 박근혜 전 대표가 함께 누리고 있는 것에 대해 '(유권자의) 허위(虛僞)의식'이라며 애써 무시하고 있지만, 야권 주자들의 국가운영 능력이 박 전 대표보다 더 뛰어나다는 믿음을 국민에게 주지 못하고 있는 이유부터 되새겨봐야 한다.

야권에선	야권/NNG+에서/JKB+ㄴ/JX
현	현/MMD
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실망이란	실망/NNG+이란/JX
반사이익을	반사/NNG+이익/NNG+을/JKO
박근혜	박근혜/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
함께	함께/MAG
누리고	누리/VV+고/EC
있는	있/VX+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
'(유권자의)	'/SS+(/SS+유권자/NNG+의/JKG+)/SS
허위(虛僞)의식'이라며	허위/NNG+(/SS+虛僞/SH+)/SS+의식/NNG+'/SS+이/VCP+라며/EC
애써	애쓰/VV+어/EC
무시하고	무시/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
야권	야권/NNG
주자들의	주자/NNG+들/XSN+의/JKG
국가운영	국가/NNG+운영/NNG
능력이	능력/NNG+이/JKS
박	박/NNP
대표보다	대표/NNG+보다/JKB
더	더/MAG
뛰어나다는	뛰어나/VA+다는/ETM
믿음을	믿음/NNG+을/JKO
국민에게	국민/NNG+에게/JKB
주지	주/VV+지/EC
못하고	못하/VX+고/EC
이유부터	이유/NNG+부터/JX
되새겨봐야	되새기/VV+어/EC+보/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.275.6.1
한편 박근혜 전 대표로선 시간이 흐를수록 '여당 내 야당'보다는 '정권 후임자'란 시각이 확산될 수밖에 없다.

한편	한편/MAG
박근혜	박근혜/NNP
전	전/MMD
대표로선	대표/NNG+로서/JKB+ㄴ/JX
시간이	시간/NNG+이/JKS
흐를수록	흐르/VV+ㄹ수록/EC
'여당	'/SS+여당/NNG
내	내/NNB
야당'보다는	야당/NNG+'/SS+보다/JKB+는/JX
'정권	'/SS+정권/NNG
후임자'란	후임자/NNG+'/SS+이/VCP+란/ETM
시각이	시각/NNG+이/JKS
확산될	확산/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.275.6.2
그럴 경우 한나라당이 왜 재집권해야 하는지를 국민에게 설득해서 '정권 재창출론자'의 수를 늘리지 않는다면 고전할 가능성이 크다.

그럴	그렇/VA+ㄹ/ETM
경우	경우/NNG
한나라당이	한나라당/NNP+이/JKS
왜	왜/MAG
재집권해야	재/XPN+집권/NNG+하/XSV+아야/EC
하는지를	하/VX+는지/EC+를/JKO
국민에게	국민/NNG+에게/JKB
설득해서	설득/NNG+하/XSV+아서/EC
'정권	'/SS+정권/NNG
재창출론자'의	재창출론자/NNG+'/SS+의/JKG
수를	수/NNG+를/JKO
늘리지	늘리/VV+지/EC
않는다면	않/VX+는다면/EC
고전할	고전/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000030.275.6.3
여당 후보가 끝까지 정권 교체론자의 선택을 기대하는 것은 위험천만한 전략이다.

여당	여당/NNG
후보가	후보/NNG+가/JKS
끝까지	끝/NNG+까지/JX
정권	정권/NNG
교체론자의	교체론자/NNG+의/JKG
선택을	선택/NNG+을/JKO
기대하는	기대/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
위험천만한	위험천만/NNG+하/XSA+ㄴ/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


