# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.18
metadata : {}


# id : NWRW1800000053.18.1.1
“940조 水처리 시장 잡아라”

“940조	“/SS+940/SN+조/NR
3, 4년 전 후발주자로 뛰어든 한국 화학기업들은 기존 강자인 미국, 일본 업체들과 기술 경쟁을 벌이며 시장 쟁탈에 나섰다.

3,	3/SN+,/SP
4년	4/SN+년/NNB
전	전/NNG
후발주자로	후발/NNG+주자/NNG+로/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
한국	한국/NNP
화학기업들은	화학/NNG+기업/NNG+들/XSN+은/JX
기존	기존/NNG
강자인	강자/NNG+이/VCP+ㄴ/ETM
미국,	미국/NNP+,/SP
일본	일본/NNP
업체들과	업체/NNG+들/XSN+과/JKB
기술	기술/NNG
경쟁을	경쟁/NNG+을/JKO
벌이며	벌이/VV+며/EC
시장	시장/NNG
쟁탈에	쟁탈/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.18.5.1
글로벌워터마켓(GWM)은 수처리와 연관된 직간접적 시장이 올해 세계 880조 원 규모에서 2020년에는 940조 원으로 성장할 것이라고 전망했다.

글로벌워터마켓(GWM)은	글로벌워터마켓/NNP+(/SS+GWM/SL+)/SS+은/JX
수처리와	수처리/NNG+와/JKB
연관된	연관/NNG+되/XSV+ㄴ/ETM
직간접적	직간접/NNG+적/XSN
시장이	시장/NNG+이/JKS
올해	올해/NNG
세계	세계/NNG
880조	880/SN+조/NR
원	원/NNB
규모에서	규모/NNG+에서/JKB
2020년에는	2020/SN+년/NNB+에/JKB+는/JX
940조	940/SN+조/NR
원으로	원/NNB+으로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.18.5.2
올해 세계 반도체 시장이 약 445조 원이라는 점을 고려하면 얼마나 큰지 짐작할 수 있다.

올해	올해/NNG
세계	세계/NNG
반도체	반도체/NNG
시장이	시장/NNG+이/JKS
약	약/MMA
445조	445/SN+조/NR
원이라는	원/NNB+이/VCP+라는/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
얼마나	얼마나/MAG
큰지	크/VA+ㄴ지/EF
짐작할	짐작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.18.6.1
한국에서는 국내 1위 LG화학이 2014년 처음 뛰어들어 빠르게 성장하고 있다.

한국에서는	한국/NNP+에서/JKB+는/JX
국내	국내/NNG
1위	1/SN+위/NNB
LG화학이	LG화학/NNP+이/JKS
2014년	2014/SN+년/NNB
처음	처음/NNG
뛰어들어	뛰어들/VV+어/EC
빠르게	빠르/VA+게/EC
성장하고	성장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.18.6.2
LG화학은 그전부터 기초연구를 진행하다 2014년 4월 미국의 수처리 필터 제조기업 나노H₂O를 인수해 제품 양산을 시작했다.

LG화학은	LG화학/NNP+은/JX
그전부터	그전/NNG+부터/JX
기초연구를	기초/NNG+연구/NNG+를/JKO
진행하다	진행/NNG+하/XSV+다/EC
2014년	2014/SN+년/NNB
4월	4/SN+월/NNB
미국의	미국/NNP+의/JKG
수처리	수처리/NNG
필터	필터/NNG
제조기업	제조/NNG+기업/NNG
나노H₂O를	나노H₂O/NNP+를/JKO
인수해	인수/NNG+하/XSV+아/EC
제품	제품/NNG
양산을	양산/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.18.6.3
LG화학은 다양한 수처리 방식 중에서도 가장 미세한 불순물까지 정제해 고(高)순도의 물을 만들어낼 수 있는 역삼투 분리막(RO) 방식을 주력으로 밀었다.

LG화학은	LG화학/NNP+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
수처리	수처리/NNG
방식	방식/NNG
중에서도	중/NNB+에서/JKB+도/JX
가장	가장/MAG
미세한	미세/NNG+하/XSA+ㄴ/ETM
불순물까지	불순물/NNG+까지/JX
정제해	정제/NNG+하/XSV+아/EC
고(高)순도의	고/XPN+(/SS+高/SH+)/SS+순도/NNG+의/JKG
물을	물/NNG+을/JKO
만들어낼	만들/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
역삼투	역삼투/NNG
분리막(RO)	분리막/NNG+(/SS+RO/SL+)/SS
방식을	방식/NNG+을/JKO
주력으로	주력/NNG+으로/JKB
밀었다.	밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.18.6.4
기초소재와 복합물질, 고분자 합성기술 분야의 강점을 살려 단기간에 기술력을 끌어올렸다.

기초소재와	기초/NNG+소재/NNG+와/JC
복합물질,	복합/NNG+물질/NNG+,/SP
고분자	고/XPN+분자/NNG
합성기술	합성/NNG+기술/NNG
분야의	분야/NNG+의/JKG
강점을	강점/NNG+을/JKO
살려	살리/VV+어/EC
단기간에	단기간/NNG+에/JKB
기술력을	기술력/NNG+을/JKO
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.18.6.5
LG화학 관계자는 “해외 경쟁사 제품과 비교해도 수질(水質)이 25% 이상 우수하고 염분 제거율도 99.85%로 세계 최고 수준”이라고 말했다.

LG화학	LG화학/NNP
관계자는	관계자/NNG+는/JX
“해외	“/SS+해외/NNG
경쟁사	경쟁사/NNG
제품과	제품/NNG+과/JKB
비교해도	비교/NNG+하/XSV+아도/EC
수질(水質)이	수질/NNG+(/SS+水質/SH+)/SS+이/JKS
25%	25/SN+%/SW
이상	이상/NNG
우수하고	우수/NNG+하/XSA+고/EC
염분	염분/NNG
제거율도	제거/NNG+율/XSN+도/JX
99.85%로	99/SN+./SP+85/SN+%/SW+로/JKB
세계	세계/NNG
최고	최고/NNG
수준”이라고	수준/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.18.7.1
롯데케미칼은 지난달 대구에 연(年) 처리용량 55만 m² 규모의 필터공장 건설을 시작했다.

롯데케미칼은	롯데케미칼/NNP+은/JX
지난달	지난달/NNG
대구에	대구/NNP+에/JKB
연(年)	연/NNG+(/SS+年/SH+)/SS
처리용량	처리/NNG+용량/NNG
55만	55/SN+만/NR
m²	m²/SW
규모의	규모/NNG+의/JKG
필터공장	필터/NNG+공장/NNG
건설을	건설/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.18.7.2
롯데케미칼은 2015년 삼성SDI의 수처리 분리막 사업을 인수했으나 최순실 국정 농단 사태, 신동빈 롯데 회장 검찰 수사 등으로 한동안 추진이 지지부진했다.

롯데케미칼은	롯데케미칼/NNP+은/JX
2015년	2015/SN+년/NNB
삼성SDI의	삼성SDI/NNP+의/JKG
수처리	수처리/NNG
분리막	분리막/NNG
사업을	사업/NNG+을/JKO
인수했으나	인수/NNG+하/XSV+았/EP+으나/EC
최순실	최순실/NNP
국정	국정/NNG
농단	농단/NNG
사태,	사태/NNG+,/SP
신동빈	신동빈/NNP
롯데	롯데/NNP
회장	회장/NNG
검찰	검찰/NNG
수사	수사/NNG
등으로	등/NNB+으로/JKB
한동안	한/XPN+동안/NNG
추진이	추진/NNG+이/JKS
지지부진했다.	지지부진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.18.7.3
올해 들어서야 복잡한 사정이 정리되며 급물살을 탔다.

올해	올해/NNG
들어서야	들/VV+어서/EC+야/JX
복잡한	복잡하/VA+ㄴ/ETM
사정이	사정/NNG+이/JKS
정리되며	정리/NNG+되/XSV+며/EC
급물살을	급물살/NNG+을/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.18.8.1
롯데케미칼은 LG화학과 다른 중공사(Hollow Fiber) 방식을 선택해 내년부터 양산 예정이다.

롯데케미칼은	롯데케미칼/NNP+은/JX
LG화학과	LG화학/NNP+과/JKB
다른	다르/VA+ㄴ/ETM
중공사(Hollow	중공사/NNG+(/SS+Hollow/SL
Fiber)	Fiber/SL+)/SS
방식을	방식/NNG+을/JKO
선택해	선택/NNG+하/XSV+아/EC
내년부터	내년/NNG+부터/JX
양산	양산/NNG
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.18.8.2
롯데케미칼의 방식은 ‘중공사’라는 미세한 실을 수없이 교차시킨 뒤 그 사이로 물을 통과시켜 불순물을 거르는 방식이다.

롯데케미칼의	롯데케미칼/NNP+의/JKG
방식은	방식/NNG+은/JX
‘중공사’라는	‘/SS+중공사/NNG+’/SS+이/VCP+라는/ETM
미세한	미세/NNG+하/XSA+ㄴ/ETM
실을	실/NNG+을/JKO
수없이	수없이/MAG
교차시킨	교차/NNG+시키/XSV+ㄴ/ETM
뒤	뒤/NNG
그	그/MMD
사이로	사이/NNG+로/JKB
물을	물/NNG+을/JKO
통과시켜	통과/NNG+시키/XSV+어/EC
불순물을	불순물/NNG+을/JKO
거르는	거르/VV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.18.8.3
미세한 구멍이 많은 필름이나 막을 통해 물을 거르는 역삼투 분리막 방식과는 다르다.

미세한	미세/NNG+하/XSA+ㄴ/ETM
구멍이	구멍/NNG+이/JKS
많은	많/VA+은/ETM
필름이나	필름/NNG+이나/JC
막을	막/NNG+을/JKO
통해	통하/VV+아/EC
물을	물/NNG+을/JKO
거르는	거르/VV+는/ETM
역삼투	역삼투/NNG
분리막	분리막/NNG
방식과는	방식/NNG+과/JKB+는/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000053.18.9.1
두 방식은 각기 장단점이 있다.

두	두/MMN
방식은	방식/NNG+은/JX
각기	각기/MAG
장단점이	장단점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.18.9.2
역삼투는 아주 미세한 불순물까지 걸러낼 수 있다.

역삼투는	역삼투/NNG+는/JX
아주	아주/MAG
미세한	미세/NNG+하/XSA+ㄴ/ETM
불순물까지	불순물/NNG+까지/JX
걸러낼	거르/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.18.9.3
조금의 먼지도 들어가서는 안 되는 반도체 웨이퍼를 세척하는 ‘초순수(극히 순수한 물)’도 만들어낸다.

조금의	조금/NNG+의/JKG
먼지도	먼지/NNG+도/JX
들어가서는	들어가/VV+아서/EC+는/JX
안	안/MAG
되는	되/VV+는/ETM
반도체	반도체/NNG
웨이퍼를	웨이퍼/NNG+를/JKO
세척하는	세척/NNG+하/XSV+는/ETM
‘초순수(극히	‘/SS+초순수/NNG+(/SS+극히/MAG
순수한	순수/NNG+하/XSA+ㄴ/ETM
물)’도	물/NNG+)/SS+’/SS+도/JX
만들어낸다.	만들/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.18.9.4
다만 시간이 오래 걸리고 만들어지는 정제수의 양도 적다.

다만	다만/MAG
시간이	시간/NNG+이/JKS
오래	오래/MAG
걸리고	걸리/VV+고/EC
만들어지는	만들/VV+어/EC+지/VX+는/ETM
정제수의	정제수/NNG+의/JKG
양도	양/NNG+도/JX
적다.	적/VA+다/EF+./SF


# id : NWRW1800000053.18.9.5
반면 중공사 방식은 속도가 빠르고 많은 양의 정제수를 만들 수 있지만 아주 미세한 물질은 걸러내지 못한다.

반면	반면/NNG
중공사	중공사/NNG
방식은	방식/NNG+은/JX
속도가	속도/NNG+가/JKS
빠르고	빠르/VA+고/EC
많은	많/VA+은/ETM
양의	양/NNG+의/JKG
정제수를	정제수/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
아주	아주/MAG
미세한	미세/NNG+하/XSA+ㄴ/ETM
물질은	물질/NNG+은/JX
걸러내지	거르/VV+어/EC+내/VX+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.18.10.1
한국기업들의 도전을 받고 있는 기존 세계 강자들도 보폭을 넓히고 있다.

한국기업들의	한국/NNP+기업/NNG+들/XSN+의/JKG
도전을	도전/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
기존	기존/NNG
세계	세계/NNG
강자들도	강자/NNG+들/XSN+도/JX
보폭을	보폭/NNG+을/JKO
넓히고	넓히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.18.10.2
일본의 대표 화학기업 도레이는 2014년 당시 웅진케미칼(옛 제일합섬)을 인수해 국내에 진출했다.

일본의	일본/NNP+의/JKG
대표	대표/NNG
화학기업	화학/NNG+기업/NNG
도레이는	도레이/NNP+는/JX
2014년	2014/SN+년/NNB
당시	당시/NNG
웅진케미칼(옛	웅진케미칼/NNP+(/SS+옛/MMA
제일합섬)을	제일합섬/NNP+)/SS+을/JKO
인수해	인수/NNG+하/XSV+아/EC
국내에	국내/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.18.10.3
역삼투, 중공사 등 모든 형태의 제품을 생산하며 가정용 정수필터는 전 세계 점유율 1위다.

역삼투,	역삼투/NNG+,/SP
중공사	중공사/NNG
등	등/NNB
모든	모든/MMN
형태의	형태/NNG+의/JKG
제품을	제품/NNG+을/JKO
생산하며	생산/NNG+하/XSV+며/EC
가정용	가정/NNG+용/XSN
정수필터는	정수/NNG+필터/NNG+는/JX
전	전/MMN
세계	세계/NNG
점유율	점유/NNG+율/XSN
1위다.	1/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.18.10.4
최근 들어서는 산업용 분야에서 치고 올라오는 LG화학 등 한국 기업들과 치열한 경쟁을 벌이고 있다.

최근	최근/NNG
들어서는	들/VV+어서/EC+는/JX
산업용	산업/NNG+용/XSN
분야에서	분야/NNG+에서/JKB
치고	치/VV+고/EC
올라오는	올라오/VV+는/ETM
LG화학	LG화학/NNP
등	등/NNB
한국	한국/NNP
기업들과	기업/NNG+들/XSN+과/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁을	경쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.18.10.5
그 외 미국의 다우케미컬, 일본의 니토덴코 등도 기존 강자로 꼽힌다.

그	그/MMD
외	외/NNB
미국의	미국/NNP+의/JKG
다우케미컬,	다우케미컬/NNP+,/SP
일본의	일본/NNP+의/JKG
니토덴코	니토덴코/NNP
등도	등/NNB+도/JX
기존	기존/NNG
강자로	강자/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.18.11.1
이에 맞서기 위해 한국 기업들은 기술개발에 박차를 가하고 있다.

이에	이/NP+에/JKB
맞서기	맞서/VV+기/ETN
위해	위하/VV+아/EC
한국	한국/NNP
기업들은	기업/NNG+들/XSN+은/JX
기술개발에	기술/NNG+개발/NNG+에/JKB
박차를	박차/NNG+를/JKO
가하고	가하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.18.11.2
특히 LG화학은 기존 필터들의 장점은 결합하거나 극대화하고, 단점은 최소한으로 줄여 완전히 새로운 방식의 필터를 개발 중인 것으로 알려졌다.

특히	특히/MAG
LG화학은	LG화학/NNP+은/JX
기존	기존/NNG
필터들의	필터/NNG+들/XSN+의/JKG
장점은	장점/NNG+은/JX
결합하거나	결합/NNG+하/XSV+거나/EC
극대화하고,	극대/NNG+화/XSN+하/XSV+고/EC+,/SP
단점은	단점/NNG+은/JX
최소한으로	최소한/NNG+으로/JKB
줄여	줄이/VV+어/EC
완전히	완전히/MAG
새로운	새롭/VA+ㄴ/ETM
방식의	방식/NNG+의/JKG
필터를	필터/NNG+를/JKO
개발	개발/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.18.11.3
LG화학 관계자는 “이미 붕소 제거율 등에서는 글로벌 최고 수준의 기술력을 확보했다.

LG화학	LG화학/NNP
관계자는	관계자/NNG+는/JX
“이미	“/SS+이미/MAG
붕소	붕소/NNG
제거율	제거/NNG+율/XSN
등에서는	등/NNB+에서/JKB+는/JX
글로벌	글로벌/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
기술력을	기술력/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.18.11.4
연말까지 100개 이상 국가에서 특허도 확보할 것”이라고 말했다.

연말까지	연말/NNG+까지/JX
100개	100/SN+개/NNB
이상	이상/NNG
국가에서	국가/NNG+에서/JKB
특허도	특허/NNG+도/JX
확보할	확보/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


