# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.249
metadata : {}


# id : NWRW1800000029.249.1.1
‘영구’ 심형래 끝모를 추락

‘영구’	‘/SS+영구/NNP+’/SS
받은	받/VV+은/ETM
데	데/NNB
이어	잇/VV+어/EC
영화	영화/NNG
투자금을	투자금/NNG+을/JKO
돌려	돌리/VV+어/EC
달라는	달/VX+라는/ETM
소송까지	소송/NNG+까지/JX
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.249.4.3
심 씨의 새 영화에 투자했던 ㈜미디어플렉스는 “올 3월 영구아트가 새로 제작하는 ‘유령도둑’이라는 영화에 투자하기로 계약하고 4억9000만 원을 송금했는데 심 씨가 투자금에 연대보증을 섰다”며 최근 서울중앙지법에 투자금 반환 소송을 냈다.

심	심/NNP
씨의	씨/NNB+의/JKG
새	새/MMA
영화에	영화/NNG+에/JKB
투자했던	투자/NNG+하/XSV+았/EP+던/ETM
㈜미디어플렉스는	㈜/SW+미디어플렉스/NNP+는/JX
“올	“/SS+올/NNG
3월	3/SN+월/NNB
영구아트가	영구아트/NNP+가/JKS
새로	새로/MAG
제작하는	제작/NNG+하/XSV+는/ETM
‘유령도둑’이라는	‘/SS+유령도둑/NNP+’/SS+이/VCP+라는/ETM
투자하기로	투자/NNG+하/XSV+기/ETN+로/JKB
계약하고	계약/NNG+하/XSV+고/EC
4억9000만	4/SN+억/NR+9000/SN+만/NR
원을	원/NNB+을/JKO
송금했는데	송금/NNG+하/XSV+았/EP+는데/EC
씨가	씨/NNB+가/JKS
투자금에	투자금/NNG+에/JKB
연대보증을	연대/NNG+보증/NNG+을/JKO
섰다”며	서/VV+었/EP+다/EF+”/SS+며/EC
최근	최근/MAG
서울중앙지법에	서울중앙지법/NNP+에/JKB
투자금	투자금/NNG
반환	반환/NNG
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.4.4
미디어플렉스는 “올 6월까지 영화 제작을 마치기로 했는데 제대로 된 시나리오조차 제공하지 않은 데다 영구아트가 부도가 나 더는 제작 진행이 불가능하므로 투자금을 돌려받을 권리가 있다”고 주장했다.

미디어플렉스는	미디어플렉스/NNP+는/JX
“올	“/SS+올/NNG
6월까지	6/SN+월/NNB+까지/JX
영화	영화/NNG
제작을	제작/NNG+을/JKO
마치기로	마치/VV+기/ETN+로/JKB
했는데	하/VV+았/EP+는데/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
시나리오조차	시나리오/NNG+조차/JX
제공하지	제공/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
데다	데/NNB+다/JX
영구아트가	영구아트/NNP+가/JKS
부도가	부도/NNG+가/JKS
나	나/VV+아/EC
더는	더/MAG+는/JX
제작	제작/NNG
진행이	진행/NNG+이/JKS
불가능하므로	불/XPN+가능/NNG+하/XSA+므로/EC
투자금을	투자금/NNG+을/JKO
돌려받을	돌려받/VV+을/ETM
권리가	권리/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.249.5.1
앞서 심 씨는 15일 직원 임금 8억9000여만 원을 체불한 혐의로 불구속 기소됐다.

앞서	앞서/MAG
심	심/NNP
씨는	씨/NNB+는/JX
15일	15/SN+일/NNB
직원	직원/NNG
임금	임금/NNG
8억9000여만	8/SN+억/NR+9000/SN+여/XSN+만/NR
원을	원/NNB+을/JKO
체불한	체불/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.5.2
그가 운영하던 영구아트 본사는 서울남부지법 법원경매에서 한 건축사업가에게 40억 원에 낙찰됐다.

그가	그/NP+가/JKS
운영하던	운영/NNG+하/XSV+던/ETM
영구아트	영구아트/NNP
본사는	본사/NNG+는/JX
서울남부지법	서울남부지법/NNP
법원경매에서	법원/NNG+경매/NNG+에서/JKB
한	한/MMN
건축사업가에게	건축/NNG+사업가/NNG+에게/JKB
40억	40/SN+억/NR
원에	원/NNB+에/JKB
낙찰됐다.	낙찰/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.5.3
심 씨가 살던 집인 서울 강남구 도곡동 타워팰리스 아파트와 압구정동 현대아파트 등 아파트 2채도 경매에 부쳐졌다.

심	심/NNP
씨가	씨/NNB+가/JKS
살던	살/VV+던/ETM
집인	집/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
강남구	강남구/NNP
도곡동	도곡동/NNP
타워팰리스	타워팰리스/NNP
아파트와	아파트/NNG+와/JC
압구정동	압구정동/NNP
현대아파트	현대아파트/NNP
등	등/NNB
아파트	아파트/NNG
2채도	2/SN+채/NNB+도/JX
경매에	경매/NNG+에/JKB
부쳐졌다.	부치/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.249.6.1
1982년 KBS 특채 코미디언으로 데뷔한 심 대표는 KBS 유머1번지 ‘영구야 영구야’, 쇼 비디오자키 ‘벌레들의 합창’ 등으로 큰 인기를 끌었다.

1982년	1982/SN+년/NNB
KBS	KBS/SL
특채	특채/NNG
코미디언으로	코미디언/NNG+으로/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
심	심/NNP
대표는	대표/NNG+는/JX
유머1번지	유머/NNG+1/SN+번지/NNG
‘영구야	‘/SS+영구/NNP+야/JKV
영구야’,	영구/NNP+야/JKV+’/SS+,/SP
쇼	쇼/NNG
비디오자키	비디오자키/NNG
‘벌레들의	‘/SS+벌레/NNG+들/XSN+의/JKG
합창’	합창/NNG+’/SS
등으로	등/NNB+으로/JKB
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.6.2
‘우뢰매’(1986년) ‘영구와 땡칠이’(1989년) 등 주로 어린이 영화에 출연하던 심 감독은 1992년 ‘영구와 흡혈귀 드라큐라’를 연출하며 감독으로 데뷔했다.

‘우뢰매’(1986년)	‘/SS+우뢰매/NNP+’/SS+(/SS+1986/SN+년/NNB+)/SS
‘영구와	‘/SS+영구/NNP+와/JC
땡칠이’(1989년)	땡칠이/NNP+’/SS+(/SS+1989/SN+년/NNB+)/SS
등	등/NNB
주로	주로/MAG
어린이	어린이/NNG
영화에	영화/NNG+에/JKB
출연하던	출연/NNG+하/XSV+던/ETM
심	심/NNP
감독은	감독/NNG+은/JX
1992년	1992/SN+년/NNB
흡혈귀	흡혈귀/NNG
드라큐라’를	드라큐라/NNG+’/SS+를/JKO
연출하며	연출/NNG+하/XSV+며/EC
감독으로	감독/NNG+으로/JKB
데뷔했다.	데뷔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.249.7.1
심 대표는 1993년에 영구아트무비를 설립해 제작자로 나섰다.

심	심/NNP
대표는	대표/NNG+는/JX
1993년에	1993/SN+년/NNB+에/JKB
영구아트무비를	영구아트무비/NNP+를/JKO
설립해	설립/NNG+하/XSV+아/EC
제작자로	제작자/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.7.2
1999년 만든 ‘용가리’는 흥행에는 실패했지만 한국 공상과학(SF) 영화의 새 장을 열었다는 평가를 받았다.

1999년	1999/SN+년/NNB
만든	만들/VV+ㄴ/ETM
‘용가리’는	‘/SS+용가리/NNP+’/SS+는/JX
흥행에는	흥행/NNG+에/JKB+는/JX
실패했지만	실패/NNG+하/XSV+았/EP+지만/EC
한국	한국/NNP
공상과학(SF)	공상/NNG+과학/NNG+(/SS+SF/SL+)/SS
영화의	영화/NNG+의/JKG
새	새/MMA
장을	장/NNG+을/JKO
열었다는	열/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.249.7.3
이 영화로 그는 김대중 정부의 ‘신지식인 1호’로 선정됐다.

이	이/MMD
영화로	영화/NNG+로/JKB
그는	그/NP+는/JX
김대중	김대중/NNP
정부의	정부/NNG+의/JKG
‘신지식인	‘/SS+신/XPN+지식인/NNG
1호’로	1/SN+호/NNB+’/SS+로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.8.1
2007년에는 할리우드 스태프, 배우들과 촬영한 ‘디 워’로 한국 영화의 디지털 특수효과 수준을 한 단계 끌어올리며 주목을 받았다.

2007년에는	2007/SN+년/NNB+에/JKB+는/JX
할리우드	할리우드/NNP
스태프,	스태프/NNG+,/SP
배우들과	배우/NNG+들/XSN+과/JKB
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
‘디	‘/SS+디/NNP
워’로	워/NNP+’/SS+로/JKB
한국	한국/NNP
영화의	영화/NNG+의/JKG
디지털	디지털/NNG
특수효과	특수/NNG+효과/NNG
수준을	수준/NNG+을/JKO
한	한/MMN
단계	단계/NNG
끌어올리며	끌어올리/VV+며/EC
주목을	주목/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.249.8.2
이 영화는 이야기와 구성의 완성도 논란 속에서도 관객 842만 명을 불러모으며 흥행에서는 큰 성공을 거뒀다.

이	이/MMD
영화는	영화/NNG+는/JX
이야기와	이야기/NNG+와/JC
구성의	구성/NNG+의/JKG
완성도	완성도/NNG
논란	논란/NNG
속에서도	속/NNG+에서/JKB+도/JX
관객	관객/NNG
842만	842/SN+만/NR
명을	명/NNB+을/JKO
불러모으며	부르/VV+어/EC+모으/VV+며/EC
흥행에서는	흥행/NNG+에서/JKB+는/JX
큰	크/VA+ㄴ/ETM
성공을	성공/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.9.1
하지만 그는 올해 200억 원 이상의 제작비를 들인 ‘라스트 갓 파더’가 관객 256만 명을 모으는 데 그치며 심각한 재정난을 겪었다.

하지만	하지만/MAJ
그는	그/NP+는/JX
올해	올해/NNG
200억	200/SN+억/NR
원	원/NNB
이상의	이상/NNG+의/JKG
제작비를	제작비/NNG+를/JKO
들인	들이/VV+ㄴ/ETM
‘라스트	‘/SS+라스트/NNP
갓	갓/NNP
파더’가	파더/NNP+’/SS+가/JKS
관객	관객/NNG
256만	256/SN+만/NR
명을	명/NNB+을/JKO
모으는	모으/VV+는/ETM
데	데/NNB
그치며	그치/VV+며/EC
심각한	심각하/VA+ㄴ/ETM
재정난을	재정난/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.9.2
5월에는 법원으로부터 ‘디 워’ 제작 때 한 금융기관에서 빌린 55억 원을 갚으라는 판결을 받았다.

5월에는	5/SN+월/NNB+에/JKB+는/JX
법원으로부터	법원/NNG+으로부터/JKB
‘디	‘/SS+디/NNP
워’	워/NNP+’/SS
제작	제작/NNG
때	때/NNG
한	한/MMN
금융기관에서	금융/NNG+기관/NNG+에서/JKB
빌린	빌리/VV+ㄴ/ETM
55억	55/SN+억/NR
원을	원/NNB+을/JKO
갚으라는	갚/VV+으라는/ETM
판결을	판결/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.249.9.3
또 최근에는 영구아트무비의 직원 임금과 퇴직금을 체불해 서울지방노동청의 조사를 받았다.

또	또/MAG
최근에는	최근/NNG+에/JKB+는/JX
영구아트무비의	영구아트무비/NNP+의/JKG
직원	직원/NNG
임금과	임금/NNG+과/JC
퇴직금을	퇴직금/NNG+을/JKO
체불해	체불/NNG+하/XSV+아/EC
서울지방노동청의	서울지방노동청/NNP+의/JKG
조사를	조사/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.249.9.4
직원들의 국민건강보험료도 체불해 건물과 토지, 자택도 압류된 것으로 알려졌다.

직원들의	직원/NNG+들/XSN+의/JKG
국민건강보험료도	국민/NNG+건강/NNG+보험료/NNG+도/JX
체불해	체불/NNG+하/XSV+아/EC
건물과	건물/NNG+과/JC
토지,	토지/NNG+,/SP
자택도	자택/NNG+도/JX
압류된	압류/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.249.9.5
MBC PD수첩은 지난달 직원들을 인터뷰해 심 대표의 카지노 도박과 정치권 등을 상대로 한 성 상납 의혹을 제기하기도 했다.

MBC	MBC/SL
PD수첩은	PD/SL+수첩/NNG+은/JX
지난달	지난달/NNG
직원들을	직원/NNG+들/XSN+을/JKO
인터뷰해	인터뷰/NNG+하/XSV+아/EC
심	심/NNP
대표의	대표/NNG+의/JKG
카지노	카지노/NNG
도박과	도박/NNG+과/JC
정치권	정치/NNG+권/XSN
등을	등/NNB+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
성	성/NNG
상납	상납/NNG
의혹을	의혹/NNG+을/JKO
제기하기도	제기/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.249.10.1
동아일보는 이런 사실을 확인하기 위해 29일 심 대표 측과 여러 번 전화 통화를 시도했지만 연락이 닿지 않았다.

동아일보는	동아일보/NNP+는/JX
이런	이런/MMD
사실을	사실/NNG+을/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
29일	29/SN+일/NNB
심	심/NNP
대표	대표/NNG
측과	측/NNB+과/JKB
여러	여러/MMN
번	번/NNB
전화	전화/NNG
통화를	통화/NNG+를/JKO
시도했지만	시도/NNG+하/XSV+았/EP+지만/EC
연락이	연락/NNG+이/JKS
닿지	닿/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


