# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.194
metadata : {}


# id : NWRW1800000041.194.1.1
[단독]대법, 모든 재판과정 녹음 추진

[단독]대법,	[/SS+단독/NNG+]/SS+대법/NNG+,/SP
대법원은 소송촉진 등에 관한 특례법 26조 등에 형사배상명령 신청자의 인적사항을 판결문에 기재하도록 한 규정과 성폭력범죄 처벌에 관한 법률 24조에 피해자의 주소, 성명, 나이 등을 누설해서는 안 된다는 규정이 상충되는 것을 정비할 계획이다.

대법원은	대/XPN+법원/NNG+은/JX
소송촉진	소송/NNG+촉진/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특례법	특례법/NNG
26조	26/SN+조/NNB
형사배상명령	형사/NNG+배상/NNG+명령/NNG
신청자의	신청자/NNG+의/JKG
인적사항을	인/NNG+적/XSN+사항/NNG+을/JKO
판결문에	판결문/NNG+에/JKB
기재하도록	기재/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
규정과	규정/NNG+과/JC
성폭력범죄	성폭력/NNG+범죄/NNG
처벌에	처벌/NNG+에/JKB
법률	법률/NNG
24조에	24/SN+조/NNB+에/JKB
피해자의	피해자/NNG+의/JKG
주소,	주소/NNG+,/SP
성명,	성명/NNG+,/SP
나이	나이/NNG
등을	등/NNB+을/JKO
누설해서는	누설/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
규정이	규정/NNG+이/JKS
상충되는	상충/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
정비할	정비/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.194.8.2
대법원 관계자는 “관련자 이름을 ‘김○○’ 식으로 쓰면 판결을 집행하는 데 어려움이 있지만 개인정보를 모두 공개해 발생하는 문제점을 고쳐야 한다는 공감대가 더 크다”고 밝혔다.

대법원	대/XPN+법원/NNG
관계자는	관계자/NNG+는/JX
“관련자	“/SS+관련자/NNG
이름을	이름/NNG+을/JKO
‘김○○’	‘/SS+김/NNP+○/SW+○/SW+’/SS
식으로	식/NA+으로/JKB
쓰면	쓰/VV+면/EC
판결을	판결/NNG+을/JKO
집행하는	집행/NNG+하/XSV+는/ETM
데	데/NNB
어려움이	어려움/NNG+이/JKS
있지만	있/VA+지만/EC
개인정보를	개인/NNG+정보/NNG+를/JKO
모두	모두/MAG
공개해	공개/NNG+하/XSV+아/EC
발생하는	발생/NNG+하/XSV+는/ETM
문제점을	문제점/NNG+을/JKO
고쳐야	고치/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
공감대가	공감대/NNG+가/JKS
더	더/MAG
크다”고	크/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


