# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.255
metadata : {}


# id : NWRW1800000028.255.1.1
장관들 너도나도 ‘대기업 때리기’

장관들	장관/NNG+들/XSN
# id : NWRW1800000028.255.4.2
그는 “빈곤층 증가, 중산층 정체 등의 문제가 지속되고 있으며, 수출 대기업의 호조에 비해 중소기업, 자영업자 등 서민경제의 회복도 상대적으로 부진한 상황”이라며 “서민 체감경기 개선을 위한 정책 추진에 전 부처의 역량을 모아 소득 격차를 완화하고 사회안전망을 구축해나가자”고 당부했다.

그는	그/NP+는/JX
“빈곤층	“/SS+빈곤/NNG+층/XSN
증가,	증가/NNG+,/SP
중산층	중산/NNG+층/XSN
정체	정체/NNG
등의	등/NNB+의/JKG
문제가	문제/NNG+가/JKS
지속되고	지속/NNG+되/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
수출	수출/NNG
대기업의	대/XPN+기업/NNG+의/JKG
호조에	호조/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
중소기업,	중소기업/NNG+,/SP
자영업자	자영업자/NNG
등	등/NNB
서민경제의	서민/NNG+경제/NNG+의/JKG
회복도	회복/NNG+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
부진한	부진/NNG+하/XSA+ㄴ/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“서민	“/SS+서민/NNG
체감경기	체감/NNG+경기/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책	정책/NNG
추진에	추진/NNG+에/JKB
전	전/MMN
부처의	부처/NNG+의/JKG
역량을	역량/NNG+을/JKO
모아	모으/VV+아/EC
소득	소득/NNG
격차를	격차/NNG+를/JKO
완화하고	완화/NNG+하/XSV+고/EC
사회안전망을	사회/NNG+안전망/NNG+을/JKO
구축해나가자”고	구축/NNG+하/XSV+아/EC+나가/VX+자/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.255.5.1
윤 장관은 또 이날 재정부 직원들에게 ‘우리는 과연 현장에 있습니까?’라는 제목의 편지를 보내 “부모 입장에서는 자식이 직장을 잡아야 경기가 회복된 것이고, 내 소득이 늘지 않고 가게에 손님이 없는데 무슨 경기회복이냐는 취약계층의 진단은 그것대로 늘 맞는 것”이라며 “새로운 산업생태계를 그려서 중소기업의 닫힌 성장판을 열어줘야 한다”고 강조했다.

윤	윤/NNP
장관은	장관/NNG+은/JX
또	또/MAG
이날	이날/NNG
재정부	재정부/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
‘우리는	‘/SS+우리/NP+는/JX
과연	과연/MAG
현장에	현장/NNG+에/JKB
있습니까?’라는	있/VA+습니까/EF+?/SF+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
편지를	편지/NNG+를/JKO
보내	보내/VV+어/EC
“부모	“/SS+부모/NNG
입장에서는	입장/NNG+에서/JKB+는/JX
자식이	자식/NNG+이/JKS
직장을	직장/NNG+을/JKO
잡아야	잡/VV+아야/EC
경기가	경기/NNG+가/JKS
회복된	회복/NNG+되/XSV+ㄴ/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
내	나/NP+의/JKG
소득이	소득/NNG+이/JKS
늘지	늘/VV+지/EC
않고	않/VX+고/EC
가게에	가게/NNG+에/JKB
손님이	손/NNG+님/XSN+이/JKS
없는데	없/VA+는데/EC
무슨	무슨/MMD
경기회복이냐는	경기/NNG+회복/NNG+이/VCP+냐는/ETM
취약계층의	취약/NNG+계층/NNG+의/JKG
진단은	진단/NNG+은/JX
그것대로	그것/NP+대로/JX
늘	늘/MAG
맞는	맞/VV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“새로운	“/SS+새롭/VA+ㄴ/ETM
산업생태계를	산업/NNG+생태/NNG+계/XSN+를/JKO
그려서	그리/VV+어서/EC
중소기업의	중소기업/NNG+의/JKG
닫힌	닫히/VV+ㄴ/ETM
성장판을	성장판/NNG+을/JKO
열어줘야	열/VV+어/EC+주/VX+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.255.6.1
최시중 방송통신위원장은 삼성전자와 에스케이텔레콤을 겨냥해 쓴소리를 했다.

최시중	최시중/NNP
방송통신위원장은	방송/NNG+통신/NNG+위원장/NNG+은/JX
삼성전자와	삼성전자/NNP+와/JC
에스케이텔레콤을	에스케이텔레콤/NNP+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
쓴소리를	쓴소리/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.255.6.2
그는 이날 고경아카데미 조찬 강연을 통해 “올해 2분기 삼성전자가 5조원이라는 사상 최대 이익을 냈는데 가슴이 아팠다”며 “이를 보고 더불어 함께하고 있다고 생각하는 사람이 얼마나 될까 생각했다”고 말했다.

그는	그/NP+는/JX
이날	이날/NNG
고경아카데미	고경아카데미/NNP
조찬	조찬/NNG
강연을	강연/NNG+을/JKO
통해	통하/VV+아/EC
“올해	“/SS+올해/NNG
2분기	2/SN+분기/NNG
삼성전자가	삼성전자/NNP+가/JKS
5조원이라는	5/SN+조/NR+원/NNB+이/VCP+라는/ETM
사상	사상/NNG
최대	최대/NNG
이익을	이익/NNG+을/JKO
냈는데	내/VV+었/EP+는데/EC
가슴이	가슴/NNG+이/JKS
아팠다”며	아프/VA+았/EP+다/EF+”/SS+며/EC
“이를	“/SS+이/NP+를/JKO
보고	보/VV+고/EC
더불어	더불/VV+어/EC
함께하고	함께/MAG+하/XSV+고/EC
있다고	있/VX+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
얼마나	얼마나/MAG
될까	되/VV+ㄹ까/EF
생각했다”고	생각/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.255.6.3
그는 매출 12조원의 에스케이텔레콤이 4500명만 고용하고 있는 현실을 거론하며 “고용증대가 기업의 중요 덕목 중 하나일 뿐만 아니라 기업의 사회적 책임 여부가 국제사회에서도 점차 중요해지고 있다”며 “우리 기업들의 사회를 위한 노력은 아직 선진국을 따라가기에 한참 멀었다”고 비판했다.

그는	그/NP+는/JX
매출	매출/NNG
12조원의	12/SN+조/NR+원/NNB+의/JKG
에스케이텔레콤이	에스케이텔레콤/NNP+이/JKS
4500명만	4500/SN+명/NNB+만/JX
고용하고	고용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
현실을	현실/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
“고용증대가	“/SS+고용/NNG+증대/NNG+가/JKS
기업의	기업/NNG+의/JKG
중요	중요/NNG
덕목	덕목/NNG
중	중/NNB
하나일	하나/NR+이/VCP+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
사회적	사회/NNG+적/XSN
책임	책임/NNG
여부가	여부/NNG+가/JKS
국제사회에서도	국제/NNG+사회/NNG+에서/JKB+도/JX
점차	점차/MAG
중요해지고	중요/NNG+하/XSA+아/EC+지/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“우리	“/SS+우리/NP
기업들의	기업/NNG+들/XSN+의/JKG
사회를	사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
노력은	노력/NNG+은/JX
아직	아직/MAG
선진국을	선진국/NNG+을/JKO
따라가기에	따라가/VV+기/ETN+에/JKB
한참	한참/MAG
멀었다”고	멀/VA+었/EP+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


