# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.202
metadata : {}


# id : NWRW1800000024.202.1.1
금리냐 서비스냐…CMA 고르는 재미 ‘쏠쏠’

금리냐	금리/NNG+이/VCP+냐/EF
신종	신종/NNG
시엠에이가	시엠에이/NNG+가/JKS
반갑지만,	반갑/VA+지만/EC+,/SP
자신에게	자신/NNG+에게/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
상품을	상품/NNG+을/JKO
골라내는	골라내/VV+는/ETM
일은	일/NNG+은/JX
더	더/MAG
복잡해지고	복잡하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.202.2.4
시엠에이 상품을 내놓은 증권사가 모두 25곳이나 되기 때문이다.

시엠에이	시엠에이/NNG
상품을	상품/NNG+을/JKO
내놓은	내놓/VV+은/ETM
증권사가	증권사/NNG+가/JKS
모두	모두/MAG
25곳이나	25/SN+곳/NNG+이나/JX
되기	되/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.202.2.5
주요 증권사별 시엠에이의 특징을 알아봤다.

주요	주요/NNG
증권사별	증권사/NNG+별/XSN
시엠에이의	시엠에이/NNG+의/JKG
특징을	특징/NNG+을/JKO
알아봤다.	알아보/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.202.3.1
하나대투증권은 요즘 쾌재를 부르고 있다.

하나대투증권은	하나대투증권/NNP+은/JX
요즘	요즘/NNG
쾌재를	쾌재/NNG+를/JKO
부르고	부르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.202.3.2
지난 5월27일 새로 내놓은 ‘시엠에이─써프라이스’가 ‘대박’을 치고 있기 때문이다.

지난	지나/VV+ㄴ/ETM
5월27일	5/SN+월/NNB+27/SN+일/NNB
새로	새로/MAG
내놓은	내놓/VV+은/ETM
‘시엠에이─써프라이스’가	‘/SS+시엠에이/NNG+─/SO+써프라이스/NNG+’/SS+가/JKS
‘대박’을	‘/SS+대/XPN+박/NNG+’/SS+을/JKO
치고	치/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.202.3.3
상품 출시 이후 매일 1000계좌 정도씩 신규로 등록되면서 최근 열흘(영업일수 기준) 동안 1만계좌가 새로 등록됐다.

상품	상품/NNG
출시	출시/NNG
이후	이후/NNG
매일	매일/MAG
1000계좌	1000/SN+계좌/NNG
정도씩	정도/NNG+씩/XSN
신규로	신규/NNG+로/JKB
등록되면서	등록/NNG+되/XSV+면서/EC
최근	최근/NNG
열흘(영업일수	열흘/NNG+(/SS+영업일/NNG+수/NNG
기준)	기준/NNG+)/SS
동안	동안/NNG
1만계좌가	1/SN+만/NR+계좌/NNG+가/JKS
새로	새로/MAG
등록됐다.	등록/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.202.3.4
이 상품이 나오기 전에는 하루평균 두자릿수대의 신규 계좌 개설이 이뤄졌을 뿐이다.

이	이/MMD
상품이	상품/NNG+이/JKS
나오기	나오/VV+기/ETN
전에는	전/NNG+에/JKB+는/JX
하루평균	하루/NNG+평균/NNG
두자릿수대의	두/MMN+자릿수/NNG+대/XSN+의/JKG
신규	신규/NNG
계좌	계좌/NNG
개설이	개설/NNG+이/JKS
이뤄졌을	이뤄지/VV+었/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.202.3.5
이 상품이 인기몰이를 하는 이유는 다름 아닌 높은 금리다.

이	이/MMD
상품이	상품/NNG+이/JKS
인기몰이를	인기몰이/NNG+를/JKO
하는	하/VV+는/ETM
이유는	이유/NNG+는/JX
다름	다르/VA+ㅁ/ETN
아닌	아니/VCN+ㄴ/ETM
높은	높/VA+은/ETM
금리다.	금리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.202.3.6
7월말까지 가입하면 2개월 동안 500만원 한도 내에서 연 4.1%의 금리가 적용된다.

7월말까지	7/SN+월/NNB+말/NNB+까지/JX
가입하면	가입/NNG+하/XSV+면/EC
2개월	2/SN+개월/NNB
동안	동안/NNG
500만원	500/SN+만/NR+원/NNB
한도	한도/NNG
내에서	내/NNB+에서/JKB
연	연/NNG
4.1%의	4/SN+./SP+1/SN+%/SW+의/JKG
금리가	금리/NNG+가/JKS
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.202.3.7
연 0%에 가까운 시중은행 수시입출금식 예금은 물론 연 2% 중·후반 대에 형성된 다른 증권사의 시엠에이 상품에 견줘 월등히 높은 수준이다.

연	연/NNG
0%에	0/SN+%/SW+에/JKB
가까운	가깝/VA+ㄴ/ETM
시중은행	시중/NNG+은행/NNG
수시입출금식	수시/NNG+입출금식/NNG
예금은	예금/NNG+은/JX
물론	물론/MAG
2%	2/SN+%/SW
중·후반	중·후반/NNG
대에	대/XSN+에/JKB
형성된	형성/NNG+되/XSV+ㄴ/ETM
다른	다른/MMD
증권사의	증권사/NNG+의/JKG
시엠에이	시엠에이/NNG
상품에	상품/NNG+에/JKB
견줘	견주/VV+어/EC
월등히	월등히/MAG
높은	높/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.202.3.8
또 가입 이후 2개월이 지나도 월 50만원 이상 적립식 펀드에 돈을 넣으면 연 4.1% 금리 혜택이 유지되고, 펀드에 매월 30만원만 납입해도 연 3.1%의 금리를 준다.

또	또/MAG
가입	가입/NNG
이후	이후/NNG
2개월이	2/SN+개월/NNB+이/JKS
지나도	지나/VV+아도/EC
월	월/NNG
50만원	50/SN+만/NR+원/NNB
이상	이상/NNG
적립식	적립식/NNG
펀드에	펀드/NNG+에/JKB
돈을	돈/NNG+을/JKO
넣으면	넣/VV+으면/EC
연	연/NNG
4.1%	4/SN+./SP+1/SN+%/SW
금리	금리/NNG
혜택이	혜택/NNG+이/JKS
유지되고,	유지/NNG+되/XSV+고/EC+,/SP
매월	매월/MAG
30만원만	30/SN+만/NR+원/NNB+만/JX
납입해도	납입/NNG+하/XSV+아도/EC
3.1%의	3/SN+./SP+1/SN+%/SW+의/JKG
금리를	금리/NNG+를/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.202.4.1
신용대출 서비스가 되는 시엠에이도 있다.

신용대출	신용/NNG+대출/NNG
서비스가	서비스/NNG+가/JKC
되는	되/VV+는/ETM
시엠에이도	시엠에이/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.202.4.2
주식이나 주가연계증권(ELS) 등 유가증권을 담보로 한 대출 서비스는 대부분의 시엠에이에서 제공되지만, 신용대출 서비스는 현대증권의 ‘시엠에이-프로’가 처음으로, 지난해 1월부터 제공되고 있다.

주식이나	주식/NNG+이나/JC
주가연계증권(ELS)	주가/NNG+연계/NNG+증권/NNG+(/SS+ELS/SL+)/SS
등	등/NNB
유가증권을	유가/NNG+증권/NNG+을/JKO
담보로	담보/NNG+로/JKB
한	하/VV+ㄴ/ETM
대출	대출/NNG
서비스는	서비스/NNG+는/JX
대부분의	대/XPN+부분/NNG+의/JKG
시엠에이에서	시엠에이/NNG+에서/JKB
제공되지만,	제공/NNG+되/XSV+지만/EC+,/SP
신용대출	신용/NNG+대출/NNG
현대증권의	현대증권/NNP+의/JKG
‘시엠에이-프로’가	‘/SS+시엠에이-프로/NNP+’/SS+가/JKS
처음으로,	처음/NNG+으로/JKB+,/SP
지난해	지난해/NNG
1월부터	1/SN+월/NNB+부터/JX
제공되고	제공/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.202.4.3
재직 기간 2년 이상인 직장인이면 이 서비스를 받을 수 있는데, 신용도에 따라 대출 한도 금액은 차이가 있다.

재직	재직/NNG
기간	기간/NNG
2년	2/SN+년/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
직장인이면	직장인/NNG+이/VCP+면/EC
이	이/MMD
서비스를	서비스/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
신용도에	신용도/NNG+에/JKB
따라	따르/VV+아/EC
대출	대출/NNG
한도	한도/NNG
금액은	금액/NNG+은/JX
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.202.4.4
대출금리는 최소 연 6.9%에서 최대 12.9%로, 시중은행 신용대출 금리 수준과 큰 차이가 없다.

대출금리는	대출/NNG+금리/NNG+는/JX
최소	최소/NNG
연	연/NNG
6.9%에서	6/SN+./SP+9/SN+%/SW+에서/JKB
최대	최대/NNG
12.9%로,	12/SN+./SP+9/SN+%/SW+로/JKB+,/SP
시중은행	시중/NNG+은행/NNG
신용대출	신용/NNG+대출/NNG
금리	금리/NNG
수준과	수준/NNG+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.202.4.5
또 공과금을 납부할 수 있도록 연결 계좌로 설정해 놓으면, 잔고가 부족하더라도 마이너스통장처럼 자동으로 처리해준다.

또	또/MAG
공과금을	공과금/NNG+을/JKO
납부할	납부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
연결	연결/NNG
계좌로	계좌/NNG+로/JKB
설정해	설정/NNG+하/XSV+아/EC
놓으면,	놓/VX+으면/EC+,/SP
잔고가	잔고/NNG+가/JKS
부족하더라도	부족/NNG+하/XSA+더라도/EC
마이너스통장처럼	마이너스/NNG+통장/NNG+처럼/JKB
자동으로	자동/NNG+으로/JKB
처리해준다.	처리/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.202.5.1
이달 들어 시엠에이와 신용카드 연계 상품 판매가 가능한 가운데, 우리투자증권의 서비스도 눈길을 끌고 있다.

이달	이달/NNG
들어	들/VV+어/EC
시엠에이와	시엠에이/NNG+와/JC
신용카드	신용/NNG+카드/NNG
연계	연계/NNG
상품	상품/NNG
판매가	판매/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
가운데,	가운데/NNG+,/SP
우리투자증권의	우리투자증권/NNP+의/JKG
서비스도	서비스/NNG+도/JX
눈길을	눈길/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.202.5.2
이 증권사는 업계 최초로 시엠에이 계좌를 토대로 증권카드와 체크카드, 신용카드 기능을 한 장에 담는 데 성공했다.

이	이/MMD
증권사는	증권사/NNG+는/JX
업계	업계/NNG
최초로	최초/NNG+로/JKB
시엠에이	시엠에이/NNG
계좌를	계좌/NNG+를/JKO
토대로	토대/NNG+로/JKB
증권카드와	증권/NNG+카드/NNG+와/JC
체크카드,	체크/NNG+카드/NNG+,/SP
신용카드	신용/NNG+카드/NNG
기능을	기능/NNG+을/JKO
한	한/MMN
장에	장/NNB+에/JKB
담는	담/VV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.202.5.3
또 우리카드와 롯데카드, 현대카드, 삼성카드 등 증권사 중 가장 많은 7개 카드사와 제휴를 맺어 ‘시엠에이 신용카드’ 부문에서 다른 증권사에 견줘 상대적으로 높은 경쟁력을 갖췄다는 평가를 받고 있다.

또	또/MAG
우리카드와	우리카드/NNP+와/JC
롯데카드,	롯데카드/NNP+,/SP
현대카드,	현대카드/NNP+,/SP
삼성카드	삼성카드/NNP
등	등/NNB
증권사	증권사/NNG
중	중/NNB
가장	가장/MAG
많은	많/VA+은/ETM
7개	7/SN+개/NNB
카드사와	카드사/NNG+와/JKB
제휴를	제휴/NNG+를/JKO
맺어	맺/VV+어/EC
‘시엠에이	‘/SS+시엠에이/NNG
신용카드’	신용/NNG+카드/NNG+’/SS
부문에서	부문/NNG+에서/JKB
다른	다른/MMD
증권사에	증권사/NNG+에/JKB
견줘	견주/VV+어/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
높은	높/VA+은/ETM
경쟁력을	경쟁력/NNG+을/JKO
갖췄다는	갖추/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.202.6.1
금융지주사에 속해 있는 증권사들은 지주사 안의 은행 등 나머지 금융 계열사와 더불어 제공할 수 있는 연계 서비스를 강점으로 내세우고 있다.

금융지주사에	금융/NNG+지주사/NNG+에/JKB
속해	속하/VV+아/EC
있는	있/VA+는/ETM
증권사들은	증권사/NNG+들/XSN+은/JX
지주사	지주사/NNG
안의	안/NNG+의/JKG
은행	은행/NNG
등	등/NNB
나머지	나머지/NNG
금융	금융/NNG
계열사와	계열사/NNG+와/JKB
더불어	더불/VV+어/EC
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
연계	연계/NNG
서비스를	서비스/NNG+를/JKO
강점으로	강점/NNG+으로/JKB
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.202.6.2
굿모닝신한증권의 ‘명품 시엠에이’ 가입자는 일정한 조건만 넘어서면 신한카드와 신한은행 등 신한금융지주의 모든 계열사에서 주거래고객 대우를 받을 수 있다.

굿모닝신한증권의	굿모닝신한증권/NNP+의/JKG
‘명품	‘/SS+명품/NNG
시엠에이’	시엠에이/NNG+’/SS
가입자는	가입자/NNG+는/JX
일정한	일정/NNG+하/XSA+ㄴ/ETM
조건만	조건/NNG+만/JX
넘어서면	넘어서/VV+면/EC
신한카드와	신한카드/NNP+와/JC
신한은행	신한은행/NNP
등	등/NNB
신한금융지주의	신한금융지주/NNP+의/JKG
모든	모든/MMN
계열사에서	계열사/NNG+에서/JKB
주거래고객	주거래/NNG+고객/NNG
대우를	대우/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.202.6.3
특히 신한금융이 자랑하는 통합 고객 우대 서비스인 ‘탑스클럽’ 회원으로 가입되는 혜택도 받을 수 있다.

특히	특히/MAG
신한금융이	신한금융/NNP+이/JKS
자랑하는	자랑/NNG+하/XSV+는/ETM
통합	통합/NNG
고객	고객/NNG
우대	우대/NNG
서비스인	서비스/NNG+이/VCP+ㄴ/ETM
‘탑스클럽’	‘/SS+탑스클럽/NNG+’/SS
회원으로	회원/NNG+으로/JKB
가입되는	가입/NNG+되/XSV+는/ETM
혜택도	혜택/NNG+도/JX
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.202.6.4
예를 들어 굿모닝신한증권에서 자산과 수익 기준으로 최고 등급(프리미어)을 받으면, 신한은행에선 모든 거래 수수료를 면제받을 수 있고, 환전 비용도 할인받을 수 있다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
굿모닝신한증권에서	굿모닝신한증권/NNP+에서/JKB
자산과	자산/NNG+과/JC
수익	수익/NNG
기준으로	기준/NNG+으로/JKB
최고	최고/NNG
등급(프리미어)을	등급/NNG+(/SS+프리미어/NNG+)/SS+을/JKO
받으면,	받/VV+으면/EC+,/SP
신한은행에선	신한은행/NNP+에서/JKB+ㄴ/JX
모든	모든/MMN
거래	거래/NNG
수수료를	수수료/NNG+를/JKO
면제받을	면제/NNG+받/XSV+을/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
환전	환전/NNG
비용도	비용/NNG+도/JX
할인받을	할인/NNG+받/XSV+을/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.202.6.5
또 신한카드의 연회비를 면제받고, 덤으로 보장금액 3억원짜리 항공상해보험에 무료로 자동 가입(신한카드로 항공권 구매시)되는 혜택을 받을 수 있다.

또	또/MAG
신한카드의	신한카드/NNP+의/JKG
연회비를	연회비/NNG+를/JKO
면제받고,	면제/NNG+받/XSV+고/EC+,/SP
덤으로	덤/NNG+으로/JKB
보장금액	보장/NNG+금액/NNG
3억원짜리	3/SN+억/NR+원/NNB+짜리/XSN
항공상해보험에	항공/NNG+상해/NNG+보험/NNG+에/JKB
무료로	무료/NNG+로/JKB
자동	자동/NNG
가입(신한카드로	가입/NNG+(/SS+신한카드/NNP+로/JKB
항공권	항공/NNG+권/XSN
구매시)되는	구매/NNG+시/NNB+)/SS+되/XSV+는/ETM
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


