# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.413
metadata : {}


# id : NWRW1800000038.413.1.1
月소득인정액 83만원(부부는 132만8000원) 넘는 상위 30% 기초연금 못받아

月소득인정액	月/SH+소득/NNG+인정액/NNG
2030년이	2030/SN+년/NNB+이/JKC
되면	되/VV+면/EC
9억원대	9/SN+억/NR+원/NNB+대/XSN
재산을	재산/NNG+을/JKO
노인들도	노인/NNG+들/XSN+도/JX
소득	소득/NNG
하위	하위/NNG
70%에	70/SN+%/SW+에/JKB
포함될	포함/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.413.15.1
정부가 노인 모두에게 주기로 했던 기초연금 대선 공약을 대폭 수정하자 시민단체들은 반발하고 있다.

정부가	정부/NNG+가/JKS
노인	노인/NNG
모두에게	모두/NNG+에게/JKB
주기로	주/VV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
기초연금	기초/NNG+연금/NNG
대선	대선/NNG
공약을	공약/NNG+을/JKO
대폭	대폭/MAG
수정하자	수정/NNG+하/XSV+자/EC
시민단체들은	시민/NNG+단체/NNG+들/XSN+은/JX
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.413.15.2
참여연대 등 '국민연금 바로세우기 국민행동'은 25일 "국민연금 가입 기간이 긴 사람들의 액수를 감액하는 것은 국민연금 성실 가입자를 역차별하는 것"이라고 주장했다.

참여연대	참여연대/NNP
등	등/NNB
'국민연금	'/SS+국민연금/NNG
바로세우기	바로/MAG+세우/VV+기/ETN
국민행동'은	국민/NNG+행동/NNG+'/SS+은/JX
25일	25/SN+일/NNB
"국민연금	"/SS+국민연금/NNG
가입	가입/NNG
기간이	기간/NNG+이/JKS
긴	길/VA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
액수를	액수/NNG+를/JKO
감액하는	감액/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
국민연금	국민연금/NNG
성실	성실/NNG
가입자를	가입자/NNG+를/JKO
역차별하는	역차별/NNG+하/XSV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.413.15.3
이정우 인제대 교수는 "지역 가입자와 임의 가입자들은 굳이 국민연금에 가입해 기초연금을 덜 받느니 국민연금에 가입하지 않겠다는 생각으로 국민연금 납부를 기피하는 사람이 늘어날 수 있다"고 우려했다.

이정우	이정우/NNP
인제대	인제대/NNP
교수는	교수/NNG+는/JX
"지역	"/SS+지역/NNG
가입자와	가입자/NNG+와/JC
임의	임의/NNG
가입자들은	가입자/NNG+들/XSN+은/JX
굳이	굳이/MAG
국민연금에	국민연금/NNG+에/JKB
가입해	가입/NNG+하/XSV+아/EC
기초연금을	기초/NNG+연금/NNG+을/JKO
덜	덜/MAG
받느니	받/VV+느니/EC
가입하지	가입/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
생각으로	생각/NNG+으로/JKB
국민연금	국민연금/NNG
납부를	납부/NNG+를/JKO
기피하는	기피/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


