# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.327
metadata : {}


# id : NWRW1800000046.327.1.1
사드(高고도 미사일 방어체계) 배치땐 평택에 1개 포대 유력… "구매 아니라 주한미군用"

사드(高고도	사드/NNG+(/SS+高/SH+고도/NNG
달하는	달하/VV+는/ETM
송수신	송수신/NNG
소자(素子)가	소자/NNG+(/SS+素子/SH+)/SS+가/JKS
쏘아대는	쏘/VV+아/EC+대/VX+는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
전파	전파/NNG
때문에	때문/NNB+에/JKB
2.4~5.5㎞	2/SN+./SP+4/SN+~/SO+5/SN+./SP+5/SN+㎞/SW
내에	내/NNB+에/JKB
있는	있/VA+는/ETM
차량과	차량/NNG+과/JC
항공기	항공기/NNG
전자	전자/NNG
장비가	장비/NNG+가/JKS
훼손될	훼손/NNG+되/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.327.6.4
이 때문에 레이더 주변에 안전지대를 설치해야 한다.

이	이/MMD
때문에	때문/NNB+에/JKB
레이더	레이더/NNG
주변에	주변/NNG+에/JKB
안전지대를	안전지대/NNG+를/JKO
설치해야	설치/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.327.6.5
인구 밀집 지역 인근에는 사드 레이더를 사실상 배치하기 힘든 것이다.

인구	인구/NNG
밀집	밀집/NNG
지역	지역/NNG
인근에는	인근/NNG+에/JKB+는/JX
사드	사드/NNG
레이더를	레이더/NNG+를/JKO
사실상	사실/NNG+상/XSN
배치하기	배치/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.327.7.1
배치 규모는 1개 포대가 유력하다.

배치	배치/NNG
규모는	규모/NNG+는/JX
1개	1/SN+개/NNB
포대가	포대/NNG+가/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.327.7.2
미군은 지난 2008년부터 2014년까지 4개 포대를 미 텍사스 포트 블리스와 괌 등지에 실전 배치했다.

미군은	미군/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2008년부터	2008/SN+년/NNB+부터/JX
2014년까지	2014/SN+년/NNB+까지/JX
4개	4/SN+개/NNB
포대를	포대/NNG+를/JKO
미	미/NNP
텍사스	텍사스/NNP
포트	포트/NNP
블리스와	블리스/NNP+와/JC
괌	괌/NNP
등지에	등지/NNB+에/JKB
실전	실전/NNG
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.327.7.3
5번째 포대는 현재 실전 배치가 진행 중이며, 6번째 포대는 작년 제작이 발주됐다.

5번째	5/SN+번/NNB+째/XSN
포대는	포대/NNG+는/JX
현재	현재/MAG
실전	실전/NNG
배치가	배치/NNG+가/JKS
진행	진행/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
6번째	6/SN+번/NNB+째/XSN
작년	작년/NNG
제작이	제작/NNG+이/JKS
발주됐다.	발주/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.327.7.4
미군 사정에 정통한 소식통은 "미국이 조만간 한국을 포함한 해외에 사드 포대를 배치하는 결정을 내릴 것"이라며 "한국에 2개 포대 이상을 배치할 여유가 없는 것으로 안다"고 전했다.

미군	미군/NNG
사정에	사정/NNG+에/JKB
정통한	정통/NNG+하/XSV+ㄴ/ETM
소식통은	소식통/NNG+은/JX
"미국이	"/SS+미국/NNP+이/JKS
조만간	조만간/MAG
한국을	한국/NNP+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
해외에	해외/NNG+에/JKB
사드	사드/NNG
포대를	포대/NNG+를/JKO
배치하는	배치/NNG+하/XSV+는/ETM
결정을	결정/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"한국에	"/SS+한국/NNP+에/JKB
2개	2/SN+개/NNB
포대	포대/NNG
이상을	이상/NNG+을/JKO
배치할	배치/NNG+하/XSV+ㄹ/ETM
여유가	여유/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
안다"고	알/VV+ㄴ다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.327.7.5
미국은 유사시 남한 전역을 방어하려면 사드 2개 포대가 필요하다고 보고 있다.

미국은	미국/NNP+은/JX
유사시	유사시/NNG
남한	남한/NNP
전역을	전역/NNG+을/JKO
방어하려면	방어/NNG+하/XSV+려면/EC
사드	사드/NNG
2개	2/SN+개/NNB
포대가	포대/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.327.8.1
비용 문제에 대해 우리 정부는 사드가 배치되더라도 주한 미군용이고 우리가 구매하는 것이 아니기 때문에 우리가 비용 부담을 하지 않는 것을 원칙으로 한다는 입장이다.

비용	비용/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
우리	우리/NP
정부는	정부/NNG+는/JX
사드가	사드/NNG+가/JKS
배치되더라도	배치/NNG+되/XSV+더라도/EC
주한	주한/NNG
미군용이고	미군/NNG+용/XSN+이/VCP+고/EC
우리가	우리/NP+가/JKS
구매하는	구매/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니기	아니/VCN+기/ETN
때문에	때문/NNB+에/JKB
부담을	부담/NNG+을/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
것을	것/NNB+을/JKO
원칙으로	원칙/NNG+으로/JKB
한다는	하/VV+ㄴ다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.327.8.2
사드 1개 포대에 들어가는 비용은 1조~2조원으로 알려져 있다.

사드	사드/NNG
1개	1/SN+개/NNB
포대에	포대/NNG+에/JKB
들어가는	들어가/VV+는/ETM
비용은	비용/NNG+은/JX
1조~2조원으로	1/SN+조/NR+~/SO+2/SN+조/NR+원/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.327.8.3
다만 포대 기반 시설 건설과 운용 유지 비용 일부를 미군이 우리 측에 요구할 가능성은 있다.

다만	다만/MAG
포대	포대/NNG
기반	기반/NNG
시설	시설/NNG
건설과	건설/NNG+과/JC
운용	운용/NNG
유지	유지/NNG
비용	비용/NNG
일부를	일부/NNG+를/JKO
미군이	미군/NNG+이/JKS
우리	우리/NP
측에	측/NNB+에/JKB
요구할	요구/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.327.8.4
정부 소식통은 "사드 배치 및 운용과 관련된 비용은 기존의 방위비 분담금 내에서 사용될 가능성이 높다"고 말했다.

정부	정부/NNG
소식통은	소식통/NNG+은/JX
"사드	"/SS+사드/NNG
배치	배치/NNG
및	및/MAG
운용과	운용/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
비용은	비용/NNG+은/JX
기존의	기존/NNG+의/JKG
방위비	방위비/NNG
분담금	분담금/NNG
내에서	내/NNB+에서/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다"고	높/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


