# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.374
metadata : {}


# id : NWRW1800000022.374.1.1
폭락설에서 폭등설까지… 널뛰는 한국 부동산 시장 전망;"근거없는 부동산 불패론·폭락론은 무책임한 선전선동일 뿐"

폭락설에서	폭락설/NNG+에서/JKB
폭락론자들은 세계에서 가장 빠르다는 한국의 인구 고령화 추세와 과다한 가계 부채, 만연한 부동산 투기, 한국 경제의 불확실성을 근거로 들고 있다.

폭락론자들은	폭락론자/NNG+들/XSN+은/JX
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
빠르다는	빠르/VA+다는/ETM
한국의	한국/NNP+의/JKG
인구	인구/NNG
고령화	고령/NNG+화/XSN
추세와	추세/NNG+와/JC
과다한	과다/NNG+하/XSA+ㄴ/ETM
가계	가계/NNG
부채,	부채/NNG+,/SP
만연한	만연/NNG+하/XSV+ㄴ/ETM
부동산	부동산/NNG
투기,	투기/NNG+,/SP
한국	한국/NNP
경제의	경제/NNG+의/JKG
불확실성을	불확실/NNG+성/XSN+을/JKO
근거로	근거/NNG+로/JKB
들고	들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.4.3
버블 붕괴 후 20년 가까이 집값이 침체를 벗어나지 못하는 일본의 예를 들어 한국도 결국 일본식 버블 붕괴를 답습할 것이라고 주장하고 있다.

버블	버블/NNG
붕괴	붕괴/NNG
후	후/NNG
20년	20/SN+년/NNB
가까이	가까이/MAG
집값이	집값/NNG+이/JKS
침체를	침체/NNG+를/JKO
벗어나지	벗어나/VV+지/EC
못하는	못하/VX+는/ETM
일본의	일본/NNP+의/JKG
예를	예/NNG+를/JKO
들어	들/VV+어/EC
한국도	한국/NNP+도/JX
결국	결국/MAG
일본식	일본식/NNG
붕괴를	붕괴/NNG+를/JKO
답습할	답습/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.4.4
이들은 "이명박 정부의 인위적인 부동산 경기 부양책이 집값을 억지로 끌어올리고 있다"면서 "조만간 집값이 반 토막 날 것이니 지금이 집을 팔 수 있는 마지막 기회"라고 주장하고 있다.

이들은	이/NP+들/XSN+은/JX
"이명박	"/SS+이명박/NNP
정부의	정부/NNG+의/JKG
인위적인	인위/NNG+적/XSN+이/VCP+ㄴ/ETM
부동산	부동산/NNG
경기	경기/NNG
부양책이	부양책/NNG+이/JKS
집값을	집값/NNG+을/JKO
억지로	억지로/MAG
끌어올리고	끌어올리/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"조만간	"/SS+조만간/MAG
집값이	집값/NNG+이/JKS
반	반/NNG
토막	토막/NNG
날	나/VV+ㄹ/ETM
것이니	것/NNB+이/VCP+니/EC
지금이	지금/NNG+이/JKS
집을	집/NNG+을/JKO
팔	팔/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
마지막	마지막/NNG
기회"라고	기회/NNG+"/SS+라고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.5.1
'집을 살 수 있는 마지막 기회'와 '집을 팔 수 있는 마지막 기회'라는 상반된 주장이 맞서고 있는 것이다.

'집을	'/SS+집/NNG+을/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
있는	있/VX+는/ETM
마지막	마지막/NNG
기회'와	기회/NNG+'/SS+와/JC
팔	팔/VV+ㄹ/ETM
기회'라는	기회/NNG+'/SS+이/VCP+라는/ETM
상반된	상반/NNG+되/XSV+ㄴ/ETM
주장이	주장/NNG+이/JKS
맞서고	맞서/VV+고/EC
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.5.2
누구의 말이 맞는 것일까.

누구의	누구/NP+의/JKG
말이	말/NNG+이/JKS
맞는	맞/VV+는/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000022.374.6.1
우선, 최근의 집값 오름세가 한국만의 현상이 아니라는 점은 짚고 넘어갈 필요가 있다.

우선,	우선/MAG+,/SP
최근의	최근/NNG+의/JKG
집값	집값/NNG
오름세가	오름세/NNG+가/JKS
한국만의	한국/NNP+만/JX+의/JKG
현상이	현상/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
점은	점/NNG+은/JX
짚고	짚/VV+고/EC
넘어갈	넘어가/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.374.6.2
집값이 오르는 것은 한국 사람들이 유난히 부동산 투기를 좋아해서도, 한국 정부만 유독스러운 경기 부양 정책을 펴서도 아니다.

집값이	집값/NNG+이/JKS
오르는	오르/VV+는/ETM
것은	것/NNB+은/JX
한국	한국/NNP
사람들이	사람/NNG+들/XSN+이/JKS
유난히	유난히/MAG
부동산	부동산/NNG
투기를	투기/NNG+를/JKO
좋아해서도,	좋아하/VV+아서/EC+도/JX+,/SP
정부만	정부/NNG+만/JX
유독스러운	유독/MAG+스럽/XSA+ㄴ/ETM
경기	경기/NNG
부양	부양/NNG
정책을	정책/NNG+을/JKO
펴서도	펴/VV+어서/EC+도/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.374.7.1
작년 말만 해도 글로벌 금융위기로 인해 대공황에 버금가는 불황이 전 세계를 엄습할 것이라는 우려가 제기됐다.

작년	작년/NNG
말만	말/NNB+만/JX
해도	하/VV+아도/EC
글로벌	글로벌/NNG
금융위기로	금융/NNG+위기/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
대공황에	대/XPN+공황/NNG+에/JKB
버금가는	버금가/VV+는/ETM
불황이	불황/NNG+이/JKS
전	전/MMN
세계를	세계/NNG+를/JKO
엄습할	엄습/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
우려가	우려/NNG+가/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.7.2
이 때문에 위기의 진원지인 미국뿐만 아니라 전 세계의 집값도 급락세를 보였다.

이	이/NP
때문에	때문/NNB+에/JKB
위기의	위기/NNG+의/JKG
진원지인	진원지/NNG+이/VCP+ㄴ/ETM
미국뿐만	미국/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
전	전/MMN
세계의	세계/NNG+의/JKG
집값도	집값/NNG+도/JX
급락세를	급락세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.7.3
한국도 강남, 분당 등에서 투매(投賣) 현상까지 발생했다.

한국도	한국/NNP+도/JX
강남,	강남/NNP+,/SP
분당	분당/NNP
등에서	등/NNB+에서/JKB
투매(投賣)	투매/NNG+(/SS+投賣/SH+)/SS
현상까지	현상/NNG+까지/JX
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.8.1
하지만 당초 예상과 달리, 글로벌 금융위기가 '사상 최대의 협박'으로 마무리되는 것 아니냐는 전망이 나올 정도로 경기가 빠르게 회복되고 있다.

하지만	하지만/MAJ
당초	당초/NNG
예상과	예상/NNG+과/JKB
달리,	달리/MAG+,/SP
글로벌	글로벌/NNG
금융위기가	금융/NNG+위기/NNG+가/JKS
'사상	'/SS+사상/NNG
최대의	최대/NNG+의/JKG
협박'으로	협박/NNG+'/SS+으로/JKB
마무리되는	마무리/NNG+되/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
전망이	전망/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
경기가	경기/NNG+가/JKS
빠르게	빠르/VA+게/EC
회복되고	회복/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.8.2
이와 함께 전 세계 부동산 시장 역시 쇼크에서 급격하게 벗어나고 있다.

이와	이/NP+와/JKB
함께	함께/MAG
전	전/MMN
세계	세계/NNG
부동산	부동산/NNG
시장	시장/NNG
역시	역시/MAG
쇼크에서	쇼크/NNG+에서/JKB
급격하게	급격하/VA+게/EC
벗어나고	벗어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.8.3
부동산 정보회사인 글로벌프로퍼티가이드에 따르면 1분기에는 조사 대상 30개 국가 중 6개국만 주택 가격이 오름세를 탔으나, 2분기에는 글로벌 금융위기의 진앙인 미국을 포함해 13개국이 상승 대열에 합류했다.

부동산	부동산/NNG
정보회사인	정보/NNG+회사/NNG+이/VCP+ㄴ/ETM
글로벌프로퍼티가이드에	글로벌프로퍼티가이드/NNP+에/JKB
따르면	따르/VV+면/EC
1분기에는	1/SN+분기/NNG+에/JKB+는/JX
조사	조사/NNG
대상	대상/NNG
30개	30/SN+개/NNB
국가	국가/NNG
중	중/NNB
6개국만	6/SN+개국/NNB+만/JX
주택	주택/NNG
가격이	가격/NNG+이/JKS
오름세를	오름세/NNG+를/JKO
탔으나,	타/VV+았/EP+으나/EC+,/SP
2분기에는	2/SN+분기/NNG+에/JKB+는/JX
글로벌	글로벌/NNG
금융위기의	금융/NNG+위기/NNG+의/JKG
진앙인	진앙/NNG+이/VCP+ㄴ/ETM
미국을	미국/NNP+을/JKO
포함해	포함/NNG+하/XSV+아/EC
13개국이	13/SN+개국/NNB+이/JKS
상승	상승/NNG
대열에	대열/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.9.1
최근 '미니 버블'이라는 우려가 나오는 것 역시 한국만은 아니다.

최근	최근/NNG
'미니	'/SS+미니/NNG
버블'이라는	버블/NNG+'/SS+이/VCP+라는/ETM
우려가	우려/NNG+가/JKS
나오는	나오/VV+는/ETM
것	것/NNB
역시	역시/MAG
한국만은	한국/NNP+만/JX+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.374.9.2
홍콩은 2분기에 무려 9.45% 폭등하는 등 올 들어 26% 올랐다.

홍콩은	홍콩/NNP+은/JX
2분기에	2/SN+분기/NNG+에/JKB
무려	무려/MAG
9.45%	9/SN+./SP+45/SN+%/SW
폭등하는	폭등/NNG+하/XSV+는/ETM
등	등/NNB
올	올/NNG
들어	들/VV+어/EC
26%	26/SN+%/SW
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.9.3
2분기까지 하락세를 보였던 싱가포르는 최근 집값이 급등세를 보여 정부가 시장 과열을 막기 위해 주택 대출 규제를 강화하는 조치를 취했다.

2분기까지	2/SN+분기/NNG+까지/JX
하락세를	하락세/NNG+를/JKO
보였던	보이/VV+었/EP+던/ETM
싱가포르는	싱가포르/NNP+는/JX
최근	최근/NNG
집값이	집값/NNG+이/JKS
급등세를	급등세/NNG+를/JKO
보여	보이/VV+어/EC
정부가	정부/NNG+가/JKS
시장	시장/NNG
과열을	과열/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
주택	주택/NNG
대출	대출/NNG
규제를	규제/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
조치를	조치/NNG+를/JKO
취했다.	취하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.9.4
글로벌 금융위기 진원지인 미국 역시 소폭(1.41%)이나마 반등에 성공했고, 유럽에서 영국(2.93%)과 프랑스(3.88%)도 다시 오름세로 전환했다.

글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
진원지인	진원지/NNG+이/VCP+ㄴ/ETM
미국	미국/NNP
역시	역시/MAG
소폭(1.41%)이나마	소폭/NNG+(/SS+1/SN+./SP+41/SN+%/SW+)/SS+이나마/JX
반등에	반등/NNG+에/JKB
성공했고,	성공/NNG+하/XSV+았/EP+고/EC+,/SP
유럽에서	유럽/NNP+에서/JKB
영국(2.93%)과	영국/NNP+(/SS+2/SN+./SP+93/SN+%/SW+)/SS+과/JC
프랑스(3.88%)도	프랑스/NNP+(/SS+3/SN+./SP+88/SN+%/SW+)/SS+도/JX
다시	다시/MAG
오름세로	오름세/NNG+로/JKB
전환했다.	전환/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.9.5
영국 런던의 경우, 시세 조사업체인 라이트무브가 10월 매도 호가를 조사한 결과 한달 전보다 6.5% 급등했다.

영국	영국/NNP
런던의	런던/NNP+의/JKG
경우,	경우/NNG+,/SP
시세	시세/NNG
조사업체인	조사/NNG+업체/NNG+이/VCP+ㄴ/ETM
라이트무브가	라이트무브/NNP+가/JKS
10월	10/SN+월/NNB
매도	매도/NNG
호가를	호가/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
한달	한/MMN+달/NNB
전보다	전/NNG+보다/JKB
6.5%	6/SN+./SP+5/SN+%/SW
급등했다.	급등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.10.1
이런 집값 회복세는 최악의 위기 국면에서는 벗어났다는 안도감과 함께 각국 정부가 경기 부양을 위해 펼치는 저금리 정책도 한몫하고 있다.

이런	이런/MMD
집값	집값/NNG
회복세는	회복세/NNG+는/JX
최악의	최악/NNG+의/JKG
위기	위기/NNG
국면에서는	국면/NNG+에서/JKB+는/JX
벗어났다는	벗어나/VV+았/EP+다는/ETM
안도감과	안도감/NNG+과/JKB
함께	함께/MAG
각국	각국/NNG
정부가	정부/NNG+가/JKS
경기	경기/NNG
부양을	부양/NNG+을/JKO
위해	위하/VV+아/EC
펼치는	펼치/VV+는/ETM
저금리	저/XPN+금리/NNG
정책도	정책/NNG+도/JX
한몫하고	한몫/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.374.10.2
물론 경기 회복세가 가시화돼 출구전략 차원에서 금리를 올릴 경우, 집값 상승세도 상당 부분 제동이 걸릴 것이다.

물론	물론/MAG
경기	경기/NNG
회복세가	회복세/NNG+가/JKS
가시화돼	가시/NNG+화/XSN+되/XSV+어/EC
출구전략	출구/NNG+전략/NNG
차원에서	차원/NNG+에서/JKB
금리를	금리/NNG+를/JKO
올릴	올리/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
집값	집값/NNG
상승세도	상승세/NNG+도/JX
상당	상당/NNG
부분	부분/NNG
제동이	제동/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.11.1
한국은 글로벌 쇼크에도 주택 가격 하락폭이 상대적으로 작았던 편이다.

한국은	한국/NNP+은/JX
글로벌	글로벌/NNG
쇼크에도	쇼크/NNG+에/JKB+도/JX
주택	주택/NNG
가격	가격/NNG
하락폭이	하락/NNG+폭/NNG+이/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
작았던	작/VA+았/EP+던/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.11.2
이는 외국에 비해 최악의 쇼크에서 빨리 벗어난 데도 기인하지만, 주택시장 내부적 요인도 있다.

이는	이/NP+는/JX
외국에	외국/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
최악의	최악/NNG+의/JKG
쇼크에서	쇼크/NNG+에서/JKB
빨리	빨리/MAG
벗어난	벗어나/VV+ㄴ/ETM
데도	데/NNB+도/JX
기인하지만,	기인/NNG+하/XSV+지만/EC+,/SP
주택시장	주택/NNG+시장/NNG
내부적	내부/NNG+적/XSN
요인도	요인/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.374.11.3
무엇보다 지난 수년간 노무현 정부가 집값 상승을 막기 위해 재건축 규제, 분양가 상한제, 소형평형 의무제 등 각종 규제를 가한 결과, 주택 공급이 크게 줄었다.

무엇보다	무엇/NP+보다/JKB
지난	지나/VV+ㄴ/ETM
수년간	수년/NNG+간/XSN
노무현	노무현/NNP
정부가	정부/NNG+가/JKS
집값	집값/NNG
상승을	상승/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
재건축	재/XPN+건축/NNG
규제,	규제/NNG+,/SP
분양가	분양/NNG+가/XSN
상한제,	상한/NNG+제/XSN+,/SP
소형평형	소형/NNG+평/NNB+형/XSN
의무제	의무/NNG+제/XSN
등	등/NNB
각종	각종/NNG
규제를	규제/NNG+를/JKO
가한	가하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
주택	주택/NNG
공급이	공급/NNG+이/JKS
크게	크/VA+게/EC
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.11.4
2002년에 전국에 연간 66만 가구의 주택이 공급됐지만, 노무현 정부에서는 연평균 46만 가구 정도로 줄었다.

2002년에	2002/SN+년/NNB+에/JKB
전국에	전국/NNG+에/JKB
연간	연간/NNG
66만	66/SN+만/NR
가구의	가구/NNG+의/JKG
주택이	주택/NNG+이/JKS
공급됐지만,	공급/NNG+되/XSV+었/EP+지만/EC+,/SP
노무현	노무현/NNP
정부에서는	정부/NNG+에서/JKB+는/JX
연평균	연평균/NNG
46만	46/SN+만/NR
가구	가구/NNG
정도로	정도/NNG+로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.11.5
특히 서울은 2002년 16만 가구에서 2006년 4만 가구까지 급감했다.

특히	특히/MAG
서울은	서울/NNP+은/JX
2002년	2002/SN+년/NNB
16만	16/SN+만/NR
가구에서	가구/NNG+에서/JKB
2006년	2006/SN+년/NNB
4만	4/SN+만/NR
가구까지	가구/NNG+까지/JX
급감했다.	급감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.11.6
주택 공급은 인허가 기준이기 때문에 건축 기간 등을 고려하면 2~3년 후에 물량 감소 효과가 본격적으로 나타난다.

주택	주택/NNG
공급은	공급/NNG+은/JX
인허가	인허가/NNG
기준이기	기준/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
건축	건축/NNG
기간	기간/NNG
등을	등/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
2~3년	2/SN+~/SO+3/SN+년/NNB
후에	후/NNG+에/JKB
물량	물량/NNG
감소	감소/NNG
효과가	효과/NNG+가/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.374.11.7
2006년에 공급 물량이 준 여파가 지금쯤 나타난다는 이야기다.

2006년에	2006/SN+년/NNB+에/JKB
공급	공급/NNG
물량이	물량/NNG+이/JKS
준	주/VV+ㄴ/ETM
여파가	여파/NNG+가/JKS
지금쯤	지금/NNG+쯤/XSN
나타난다는	나타나/VV+ㄴ다는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.374.12.1
반대로 미국은 서브프라임 사태가 터지기 전까지 집값이 치솟았는데도 정부가 규제 정책을 펴지 않아 주택 공급이 2000년 150만 가구에서 2005년에는 200만 가구까지 오히려 늘어났다.

반대로	반대/NNG+로/JKB
미국은	미국/NNP+은/JX
서브프라임	서브프라임/NNG
사태가	사태/NNG+가/JKS
터지기	터지/VV+기/ETN
전까지	전/NNG+까지/JX
집값이	집값/NNG+이/JKS
치솟았는데도	치솟/VV+았/EP+는데/EC+도/JX
정부가	정부/NNG+가/JKS
규제	규제/NNG
정책을	정책/NNG+을/JKO
펴지	펴/VV+지/EC
않아	않/VX+아/EC
주택	주택/NNG
공급이	공급/NNG+이/JKS
2000년	2000/SN+년/NNB
150만	150/SN+만/NR
가구에서	가구/NNG+에서/JKB
2005년에는	2005/SN+년/NNB+에/JKB+는/JX
200만	200/SN+만/NR
가구까지	가구/NNG+까지/JX
오히려	오히려/MAG
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.12.2
특히 교통이 불편하고 편의 시설이 부족한 교외지역에 과잉 공급이 발생, 이들 지역을 중심으로 빈집이 속출하면서 집값이 폭락했다.

특히	특히/MAG
교통이	교통/NNG+이/JKS
불편하고	불편/NNG+하/XSA+고/EC
편의	편의/NNG
시설이	시설/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
교외지역에	교외/NNG+지역/NNG+에/JKB
과잉	과잉/NNG
공급이	공급/NNG+이/JKS
발생,	발생/NNG+,/SP
이들	이/NP+들/XSN
지역을	지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
빈집이	빈집/NNG+이/JKS
속출하면서	속출/NNG+하/XSV+면서/EC
집값이	집값/NNG+이/JKS
폭락했다.	폭락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.13.1
한국이 외국보다 대출 규제 제도가 비교적 강했던 것도 급락을 막았다.

한국이	한국/NNP+이/JKS
외국보다	외국/NNG+보다/JKB
대출	대출/NNG
규제	규제/NNG
제도가	제도/NNG+가/JKS
비교적	비교/NNG+적/XSN
강했던	강하/VA+았/EP+던/ETM
것도	것/NNB+도/JX
급락을	급락/NNG+을/JKO
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.374.13.2
노무현 정부 시절 도입했던 LTV(집값의 일정 부분만 대출해주는 제도), DTI(소득에 따라 대출금액을 결정하는 제도) 제도는 부실 대출을 제한하는 효과를 냈다.

노무현	노무현/NNP
정부	정부/NNG
시절	시절/NNG
도입했던	도입/NNG+하/XSV+았/EP+던/ETM
LTV(집값의	LTV/SL+(/SS+집값/NNG+의/JKG
일정	일정/NNG
부분만	부분/NNG+만/JX
대출해주는	대출/NNG+하/XSV+아/EC+주/VX+는/ETM
제도),	제도/NNG+)/SS+,/SP
DTI(소득에	DTI/SL+(/SS+소득/NNG+에/JKB
따라	따르/VV+아/EC
대출금액을	대출/NNG+금액/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
제도)	제도/NNG+)/SS
제도는	제도/NNG+는/JX
부실	부실/NNG
대출을	대출/NNG+을/JKO
제한하는	제한/NNG+하/XSV+는/ETM
효과를	효과/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.374.13.3
미국의 경우, 상환 능력을 고려하지 않고 집값의 100% 가까이 대출해준 서브프라임 모기지(비우량 주택담보대출)로 인해 집값이 급락했다.

미국의	미국/NNP+의/JKG
경우,	경우/NNG+,/SP
상환	상환/NNG
능력을	능력/NNG+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않고	않/VX+고/EC
집값의	집값/NNG+의/JKG
100%	100/SN+%/SW
가까이	가까이/MAG
대출해준	대출/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
