# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.350
metadata : {}


# id : NWRW1800000026.350.1.1
TV프로 '영재의 비법 시즌2' 70일 맞춤 학습법 소개;논리적 성향인 아이에겐 잔소리는 그만

TV프로	TV/SL+프로/NNG
신경을	신경/NNG+을/JKO
쓰는	쓰/VV+는/ETM
이어진양의	이어진/NNP+양/NNB+의/JKG
가정에는	가정/NNG+에/JKB+는/JX
시각을	시각/NNG+을/JKO
자극하는	자극/NNG+하/XSV+는/ETM
두뇌계발법을	두뇌/NNG+계발법/NNG+을/JKO
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.350.5.2
외모에 신경을 쓰는 아이일수록 시각을 담당하는 후두엽이 왕성하게 발달하기 때문에 이를 활용하는 것이 효과적이다.

외모에	외모/NNG+에/JKB
신경을	신경/NNG+을/JKO
쓰는	쓰/VV+는/ETM
아이일수록	아이/NNG+이/VCP+ㄹ수록/EC
시각을	시각/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
후두엽이	후두엽/NNG+이/JKS
왕성하게	왕성/NNG+하/XSA+게/EC
발달하기	발달/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
이를	이/NP+를/JKO
활용하는	활용/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
효과적이다.	효과/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.350.5.3
우뇌우세형인 어진이에게는 어렵고 재미없는 논리로는 설득하기 어렵다.

우뇌우세형인	우뇌/NNG+우세/NNG+형/XSN+이/VCP+ㄴ/ETM
어진이에게는	어진이/NNP+에게/JKB+는/JX
어렵고	어렵/VA+고/EC
재미없는	재미없/VA+는/ETM
논리로는	논리/NNG+로/JKB+는/JX
설득하기	설득/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000026.350.5.4
동영상·그림 등 시청각 자료를 활용하면 기대 이상의 학습 효과를 거둘 수 있다.

동영상·그림	동영상/NNG+·/SP+그림/NNG
등	등/NNB
시청각	시청각/NNG
자료를	자료/NNG+를/JKO
활용하면	활용/NNG+하/XSV+면/EC
기대	기대/NNG
이상의	이상/NNG+의/JKG
학습	학습/NNG
효과를	효과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.350.6.1
외동아들인 초2 서재원군은 무슨 일이든 엄마에게 전적으로 의존한다.

외동아들인	외동아들/NNG+이/VCP+ㄴ/ETM
초2	초/NNG+2/SN
서재원군은	서재원/NNP+군/NNB+은/JX
무슨	무슨/MMD
일이든	일/NNG+이/VCP+든/EC
엄마에게	엄마/NNG+에게/JKB
전적으로	전적/NNG+으로/JKB
의존한다.	의존/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.350.6.2
엄마는 이런 재원이의 모든 것을 도와주고 간섭한다.

엄마는	엄마/NNG+는/JX
이런	이런/MMD
재원이의	재원이/NNP+의/JKG
모든	모든/MMN
것을	것/NNB+을/JKO
도와주고	도와주/VV+고/EC
간섭한다.	간섭/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.350.6.3
전문가들은 재원이의 엄마에게 자녀에게 자율권을 주라고 조언했다.

전문가들은	전문가/NNG+들/XSN+은/JX
재원이의	재원이/NNP+의/JKG
엄마에게	엄마/NNG+에게/JKB
자녀에게	자녀/NNG+에게/JKB
자율권을	자율/NNG+권/XSN+을/JKO
주라고	주/VV+라고/EC
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.350.6.4
뭐든지 다 챙겨주는 습관에서 벗어나 한 발 뒤에서 지켜보라는 것이다.

뭐든지	뭐/NP+든지/JX
다	다/MAG
챙겨주는	챙기/VV+어/EC+주/VX+는/ETM
습관에서	습관/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
한	한/MMN
발	발/NNG
뒤에서	뒤/NNG+에서/JKB
지켜보라는	지켜보/VV+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.350.6.5
예컨대 아이가 공부할 때에는 옆에서 챙겨주지 말고 '침묵형 마스크'를 쓰고 묵묵히 지켜보라고 강조했다.

예컨대	예컨대/MAG
아이가	아이/NNG+가/JKS
공부할	공부/NNG+하/XSV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
옆에서	옆/NNG+에서/JKB
챙겨주지	챙기/VV+어/EC+주/VX+지/EC
말고	말/VX+고/EC
'침묵형	'/SS+침묵/NNG+형/XSN
마스크'를	마스크/NNG+'/SS+를/JKO
쓰고	쓰/VV+고/EC
묵묵히	묵묵히/MAG
지켜보라고	지켜보/VV+라고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.350.7.1
집중력이 부족한 박경훈군의 가정에는 아빠, 엄마와 함께 온 가족이 '집중력 향상놀이'를 하라고 권했다.

집중력이	집중력/NNG+이/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
박경훈군의	박경훈/NNP+군/NNB+의/JKG
가정에는	가정/NNG+에/JKB+는/JX
아빠,	아빠/NNG+,/SP
엄마와	엄마/NNG+와/JKB
함께	함께/MAG
온	오/VV+ㄴ/ETM
가족이	가족/NNG+이/JKS
'집중력	'/SS+집중력/NNG
향상놀이'를	향상/NNG+놀이/NNG+'/SS+를/JKO
하라고	하/VV+라고/EC
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.350.7.2
매일 30분씩 자녀와 퍼즐 맞추기, 보드 게임 등의 놀이를 하며 상호작용을 할 경우 자녀는 정서적으로 안정을 느껴 집중력을 향상시킬 수 있다고 덧붙였다.

매일	매일/MAG
30분씩	30/SN+분/NNB+씩/XSN
자녀와	자녀/NNG+와/JKB
퍼즐	퍼즐/NNG
맞추기,	맞추/VV+기/ETN+,/SP
보드	보드/NNG
게임	게임/NNG
등의	등/NNB+의/JKG
놀이를	놀이/NNG+를/JKO
하며	하/VV+며/EC
상호작용을	상호/NNG+작용/NNG+을/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
자녀는	자녀/NNG+는/JX
정서적으로	정서/NNG+적/XSN+으로/JKB
안정을	안정/NNG+을/JKO
느껴	느끼/VV+어/EC
집중력을	집중력/NNG+을/JKO
향상시킬	향상/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.350.8.1
양송철 PD는 "우리 주위에서 흔하게 볼 수 있는 학습 유형을 지닌 출연자들의 모습을 통해, 내 아이는 어떤 유형인지, 나는 어떤 방식으로 지도했는지 비교할 수 있어 도움을 얻을 수 있을 것"이라고 말했다.

양송철	양송철/NNP
PD는	PD/SL+는/JX
"우리	"/SS+우리/NP
주위에서	주위/NNG+에서/JKB
흔하게	흔하/VA+게/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
학습	학습/NNG
유형을	유형/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
출연자들의	출연자/NNG+들/XSN+의/JKG
모습을	모습/NNG+을/JKO
통해,	통하/VV+아/EC+,/SP
내	나/NP+의/JKG
아이는	아이/NNG+는/JX
어떤	어떤/MMD
유형인지,	유형/NNG+이/VCP+ㄴ지/EC+,/SP
나는	나/NP+는/JX
방식으로	방식/NNG+으로/JKB
지도했는지	지도/NNG+하/XSV+았/EP+는지/EC
비교할	비교/NNG+하/XSV+ㄹ/ETM
있어	있/VA+어/EC
도움을	도움/NNG+을/JKO
얻을	얻/VV+을/ETM
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


