# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.306
metadata : {}


# id : NWRW1800000041.306.1.1
전세계약 연장때 추가대출 원리금도 소득공제

전세계약	전세/NNG+계약/NNG
확정일자를	확정/NNG+일자/NNG+를/JKO
받지	받/VV+지/EC
않아도	않/VX+아도/EC
보증금에	보증금/NNG+에/JKB
신청이	신청/NNG+이/JKS
가능해진다.	가능/NNG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.306.6.2
지금까지는 월세 세입자가 확정일자를 받지 않으면 소득공제 혜택을 받을 수 없었다.

지금까지는	지금/NNG+까지/JX+는/JX
월세	월세/NNG
세입자가	세입자/NNG+가/JKS
확정일자를	확정/NNG+일자/NNG+를/JKO
받지	받/VV+지/EC
않으면	않/VX+으면/EC
소득공제	소득/NNG+공제/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.306.7.1
한편 기재부는 저소득층에게 주는 근로장려금 신청요건을 강화해 장려금 신청 당사자와 배우자 중 1명이라도 변호사, 변리사, 공인회계사 같은 전문직에 종사하고 있으면 장려금을 주지 않기로 했다.

한편	한편/MAG
기재부는	기재부/NNG+는/JX
저소득층에게	저/XPN+소득/NNG+층/XSN+에게/JKB
주는	주/VV+는/ETM
근로장려금	근로/NNG+장려금/NNG
신청요건을	신청/NNG+요건/NNG+을/JKO
강화해	강화/NNG+하/XSV+아/EC
장려금	장려금/NNG
신청	신청/NNG
당사자와	당사자/NNG+와/JC
배우자	배우자/NNG
중	중/NNB
1명이라도	1/SN+명/NNB+이/VCP+라도/EC
변호사,	변호사/NNG+,/SP
변리사,	변리사/NNG+,/SP
공인회계사	공인/NNG+회계사/NNG
같은	같/VA+은/ETM
전문직에	전문직/NNG+에/JKB
종사하고	종사/NNG+하/XSV+고/EC
있으면	있/VX+으면/EC
장려금을	장려금/NNG+을/JKO
주지	주/VV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


