# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.73
metadata : {}


# id : NWRW1800000025.73.1.1
[인천/부천]영종하늘도시 사업계약 취소 잇따라

[인천/부천]영종하늘도시	[/SS+인천/NNP+//SP+부천/NNP+]/SS+영종하늘도시/NNP
분양했다.	분양/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.73.3.1
그러나 땅을 분양받은 건설업체들이 지난해 아파트(6개 필지)와 주상복합용지(9개 필지) 등 15개 필지에 대한 토지공급계약을 해지한 데 이어 올해도 아파트 2개 필지를 내놓았다.

그러나	그러나/MAJ
땅을	땅/NNG+을/JKO
분양받은	분양/NNG+받/XSV+은/ETM
건설업체들이	건설업체/NNG+들/XSN+이/JKS
지난해	지난해/NNG
아파트(6개	아파트/NNG+(/SS+6/SN+개/NNB
필지)와	필지/NNG+)/SS+와/JC
주상복합용지(9개	주상/NNG+복합/NNG+용지/NNG+(/SS+9/SN+개/NNB
필지)	필지/NNG+)/SS
등	등/NNB
15개	15/SN+개/NNB
필지에	필지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
토지공급계약을	토지/NNG+공급/NNG+계약/NNG+을/JKO
해지한	해지/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올해도	올해/NNG+도/JX
아파트	아파트/NNG
2개	2/SN+개/NNB
필지를	필지/NNG+를/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.73.3.2
분양된 전체 물량 가운데 32.6%에 이르는 필지의 계약이 취소된 것.

분양된	분양/NNG+되/XSV+ㄴ/ETM
전체	전체/NNG
물량	물량/NNG
가운데	가운데/NNG
32.6%에	32/SN+./SP+6/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
필지의	필지/NNG+의/JKG
계약이	계약/NNG+이/JKS
취소된	취소/NNG+되/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.73.4.1
건설업체들이 토지 매매대금의 10%에 해당하는 계약금 손실을 감수하면서도 계약 해지에 나선 것은 부동산경기 침체 여파로 분양시장이 냉각되면서 금융권의 대출이 어려워져 자금난에 부닥쳤기 때문.

건설업체들이	건설업체/NNG+들/XSN+이/JKS
토지	토지/NNG
매매대금의	매매/NNG+대금/NNG+의/JKG
10%에	10/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
계약금	계약금/NNG
손실을	손실/NNG+을/JKO
감수하면서도	감수/NNG+하/XSV+면서/EC+도/JX
계약	계약/NNG
해지에	해지/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
부동산경기	부동산/NNG+경기/NNG
침체	침체/NNG
여파로	여파/NNG+로/JKB
분양시장이	분양/NNG+시장/NNG+이/JKS
냉각되면서	냉각/NNG+되/XSV+면서/EC
금융권의	금융/NNG+권/XSN+의/JKG
대출이	대출/NNG+이/JKS
어려워져	어렵/VA+어/EC+지/VX+어/EC
자금난에	자금난/NNG+에/JKB
부닥쳤기	부닥치/VV+었/EP+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.73.4.2
게다가 지난해 하반기에 실시한 영종하늘도시 아파트 동시분양에서 미분양 사태가 발생하면서 상당수 건설업체가 사업을 포기한 것으로 알려졌다.

게다가	게다가/MAG
지난해	지난해/NNG
하반기에	하반기/NNG+에/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
영종하늘도시	영종하늘도시/NNP
아파트	아파트/NNG
동시분양에서	동시/NNG+분양/NNG+에서/JKB
미분양	미/XPN+분양/NNG
사태가	사태/NNG+가/JKS
발생하면서	발생/NNG+하/XSV+면서/EC
상당수	상당수/NNG
건설업체가	건설업체/NNG+가/JKS
사업을	사업/NNG+을/JKO
포기한	포기/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.73.5.1
또 영종하늘도시의 핵심 인프라인 인천국제공항과 청라지구를 잇는 제3연륙교 건설을 포함한 기반시설 구축이 당초 예상보다 늦어지면서 사업성이 나빠진 것도 큰 원인으로 풀이하고 있다.

또	또/MAG
영종하늘도시의	영종하늘도시/NNP+의/JKG
핵심	핵심/NNG
인프라인	인프라/NNG+이/VCP+ㄴ/ETM
인천국제공항과	인천국제공항/NNP+과/JC
청라지구를	청라지구/NNP+를/JKO
잇는	잇/VV+는/ETM
제3연륙교	제3연륙교/NNP
건설을	건설/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
기반시설	기반/NNG+시설/NNG
구축이	구축/NNG+이/JKS
당초	당초/NNG
예상보다	예상/NNG+보다/JKB
늦어지면서	늦어지/VV+면서/EC
사업성이	사업/NNG+성/XSN+이/JKS
나빠진	나빠지/VV+ㄴ/ETM
것도	것/NNB+도/JX
큰	크/VA+ㄴ/ETM
원인으로	원인/NNG+으로/JKB
풀이하고	풀이/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.73.5.2
제3연륙교는 2003년 확정된 ‘경제자유구역 개발계획 및 2020년 인천도시기본계획’에 따라 2016년까지 건설하도록 돼 있다.

제3연륙교는	제3연륙교/NNP+는/JX
2003년	2003/SN+년/NNB
확정된	확정/NNG+되/XSV+ㄴ/ETM
‘경제자유구역	‘/SS+경제/NNG+자유/NNG+구역/NNG
개발계획	개발/NNG+계획/NNG
및	및/MAG
2020년	2020/SN+년/NNB
인천도시기본계획’에	인천/NNP+도시/NNG+기본/NNG+계획/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
2016년까지	2016/SN+년/NNB+까지/JX
건설하도록	건설/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.73.6.1
이에 따라 LH는 계약이 취소된 땅을 분양받는 건설업체에 유리하도록 조건을 바꿔 6월까지 다시 분양하는 방안을 검토하고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
LH는	LH/SL+는/JX
계약이	계약/NNG+이/JKS
취소된	취소/NNG+되/XSV+ㄴ/ETM
땅을	땅/NNG+을/JKO
분양받는	분양/NNG+받/XSV+는/ETM
건설업체에	건설업체/NNG+에/JKB
유리하도록	유리/NNG+하/XSA+도록/EC
조건을	조건/NNG+을/JKO
바꿔	바꾸/VV+어/EC
6월까지	6/SN+월/NNB+까지/JX
다시	다시/MAG
분양하는	분양/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.73.6.2
인천시는 제3연륙교 건설과 관련한 타당성 조사용역을 시행해 아시아경기대회가 열리는 2014년까지 완공을 앞당길 계획이다.

인천시는	인천시/NNP+는/JX
제3연륙교	제3연륙교/NNP
건설과	건설/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
타당성	타당성/NNG
조사용역을	조사/NNG+용역/NNG+을/JKO
시행해	시행/NNG+하/XSV+아/EC
아시아경기대회가	아시아/NNP+경기/NNG+대회/NNG+가/JKS
열리는	열리/VV+는/ETM
2014년까지	2014/SN+년/NNB+까지/JX
완공을	완공/NNG+을/JKO
앞당길	앞당기/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.73.6.3
시 관계자는 “지난해 금융위기에 따른 대규모 아파트 미분양 사태가 계약 포기에 영향을 미친 것으로 보인다”라며 “대형 인프라사업의 추진속도를 높여 사업 여건을 개선할 방침”이라고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
“지난해	“/SS+지난해/NNG
금융위기에	금융/NNG+위기/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
아파트	아파트/NNG
미분양	미/XPN+분양/NNG
사태가	사태/NNG+가/JKS
계약	계약/NNG
포기에	포기/NNG+에/JKB
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”라며	보이/VV+ㄴ다/EF+”/SS+이/VCP+라며/EC
“대형	“/SS+대형/NNG
인프라사업의	인프라/NNG+사업/NNG+의/JKG
추진속도를	추진/NNG+속도/NNG+를/JKO
높여	높이/VV+어/EC
사업	사업/NNG
여건을	여건/NNG+을/JKO
개선할	개선/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


