# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.205
metadata : {}


# id : NWRW1800000026.205.1.1
[수도권Ⅲ] [이슈 앤 현장] 새로 태어난 광주시 경안시장;안팎을 모두 현대식으로… "여기 재래시장 맞아?"

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SW+]/SS
전액	전액/NNG
국비로	국비/NNG+로/JKB
지원되는	지원/NNG+되/XSV+는/ETM
사업으로,	사업/NNG+으로/JKB+,/SP
공동	공동/NNG
마케팅,	마케팅/NNG+,/SP
고객만족점포경영,	고객/NNG+만족/NNG+점포/NNG+경영/NNG+,/SP
소비자관리비법	소비자/NNG+관리/NNG+비법/NNG
등	등/NNB
전문교육이	전문/NNG+교육/NNG+이/JKS
실시된다.	실시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.205.10.4
또 시에서는 시장활성화를 위해 경안시장 전용 주차장 운영, '전통시장 가는 날 운동'을 전개할 계획이다.

또	또/MAG
시에서는	시/NNG+에서/JKB+는/JX
시장활성화를	시장/NNG+활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
경안시장	경안시장/NNP
전용	전용/NNG
주차장	주차장/NNG
운영,	운영/NNG+,/SP
'전통시장	'/SS+전통/NNG+시장/NNG
가는	가/VV+는/ETM
날	날/NNG
운동'을	운동/NNG+'/SS+을/JKO
전개할	전개/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.205.10.5
시 관계자는 "경안시장은 시설현대화와 경영현대화의 결합을 통해 막강한 경쟁력을 확보하게 될 것"이라고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
"경안시장은	"/SS+경안시장/NNP+은/JX
시설현대화와	시설/NNG+현대/NNG+화/XSN+와/JC
경영현대화의	경영/NNG+현대/NNG+화/XSN+의/JKG
결합을	결합/NNG+을/JKO
통해	통하/VV+아/EC
막강한	막강/NNG+하/XSA+ㄴ/ETM
경쟁력을	경쟁력/NNG+을/JKO
확보하게	확보/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.205.11.1
최현범 시장상인회장은 "예전에는 인근의 대형마트와 SSM 입점으로 상인회원들과 많은 걱정을 했었는데, 시설 개선이 끝난 이후에는 싸고 좋은 상품과 친절한 서비스만 갖춘다면 충분히 경쟁할 수 있다는 자신감이 생겼다"며 "경안시장이 전국 제일의 명품 전통시장으로 거듭날 수 있도록 노력할 것"이라고 밝혔다.

최현범	최현범/NNP
시장상인회장은	시장/NNG+상인회장/NNG+은/JX
"예전에는	"/SS+예전/NNG+에/JKB+는/JX
인근의	인근/NNG+의/JKG
대형마트와	대형/NNG+마트/NNG+와/JC
SSM	SSM/SL
입점으로	입점/NNG+으로/JKB
상인회원들과	상인/NNG+회원/NNG+들/XSN+과/JKB
많은	많/VA+은/ETM
걱정을	걱정/NNG+을/JKO
했었는데,	하/VV+았었/EP+는데/EC+,/SP
시설	시설/NNG
개선이	개선/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
이후에는	이후/NNG+에/JKB+는/JX
싸고	싸/VA+고/EC
좋은	좋/VA+은/ETM
상품과	상품/NNG+과/JC
친절한	친절/NNG+하/XSA+ㄴ/ETM
서비스만	서비스/NNG+만/JX
갖춘다면	갖추/VV+ㄴ다면/EC
충분히	충분히/MAG
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
자신감이	자신감/NNG+이/JKS
생겼다"며	생기/VV+었/EP+다/EF+"/SS+며/EC
"경안시장이	"/SS+경안시장/NNP+이/JKS
전국	전국/NNG
제일의	제일/NNG+의/JKG
명품	명품/NNG
전통시장으로	전통/NNG+시장/NNG+으로/JKB
거듭날	거듭나/VV+ㄹ/ETM
있도록	있/VA+도록/EC
노력할	노력/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.205.12.1
◆방문객 증가를 위해 현행 도로체계도 개선

◆방문객	◆/SW+방문객/NNG
증가를	증가/NNG+를/JKO
위해	위하/VV+아/EC
현행	현행/NNG
도로체계도	도로/NNG+체계/NNG+도/JX
개선	개선/NNG


# id : NWRW1800000026.205.13.1
또 현재 일방통행으로 되어 있는 시장 길을 양방통행으로 전환하는 사업도 추진 중이다.

또	또/MAG
현재	현재/MAG
일방통행으로	일방통행/NNG+으로/JKB
되어	되/VV+어/EC
있는	있/VX+는/ETM
시장	시장/NNG
길을	길/NNG+을/JKO
양방통행으로	양방/NNG+통행/NNG+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
사업도	사업/NNG+도/JX
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.205.13.2
이 사업은 지난 2003년 12월 1일 중앙로가 일방통행에 들어간 지 7년 만에 다시 양방통행으로 전환하는 것이다.

이	이/MMD
사업은	사업/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
12월	12/SN+월/NNB
1일	1/SN+일/NNB
중앙로가	중앙로/NNP+가/JKS
일방통행에	일방통행/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
지	지/NNB
7년	7/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
양방통행으로	양방/NNG+통행/NNG+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.205.13.3
광주시에서는 양방통행으로 전환하면 이곳으로 오는 인구가 증가해 경제적 파급효과가 발생될 것으로 보고 있다.

광주시에서는	광주시/NNP+에서/JKB+는/JX
양방통행으로	양방/NNG+통행/NNG+으로/JKB
전환하면	전환/NNG+하/XSV+면/EC
이곳으로	이곳/NP+으로/JKB
오는	오/VV+는/ETM
인구가	인구/NNG+가/JKS
증가해	증가/NNG+하/XSV+아/EC
경제적	경제/NNG+적/XSN
파급효과가	파급/NNG+효과/NNG+가/JKS
발생될	발생/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.205.13.4
시 관계자는 "설문조사 결과 80%의 시민이 중앙통행에 찬성하는 것으로 나타났다"며 "양방체계로의 전환이 결정되면 교통흐름을 원활히 하기 위해 차면 확보, 버스노선 및 정류장 개선, 보행로 개선 등의 사업을 추가로 할 것"이라고 말했다.

시	시/NNG
관계자는	관계자/NNG+는/JX
"설문조사	"/SS+설문/NNG+조사/NNG
결과	결과/NNG
80%의	80/SN+%/SW+의/JKG
시민이	시민/NNG+이/JKS
중앙통행에	중앙/NNG+통행/NNG+에/JKB
찬성하는	찬성/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
나타났다"며	나타나/VV+았/EP+다/EF+"/SS+며/EC
"양방체계로의	"/SS+양방/NNG+체계/NNG+로/JKB+의/JKG
전환이	전환/NNG+이/JKS
결정되면	결정/NNG+되/XSV+면/EC
교통흐름을	교통/NNG+흐름/NNG+을/JKO
원활히	원활히/MAG
하기	하/VV+기/ETN
위해	위하/VV+아/EC
차면	차면/NNG
확보,	확보/NNG+,/SP
버스노선	버스/NNG+노선/NNG
및	및/MAG
정류장	정류장/NNG
개선,	개선/NNG+,/SP
보행로	보행로/NNG
개선	개선/NNG
등의	등/NNB+의/JKG
사업을	사업/NNG+을/JKO
추가로	추가/NNG+로/JKB
할	하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.205.14.1
조억동 광주시장은 "경안시장 현대화사업은 시민들에게 쾌적한 쇼핑환경을 제공함으로써 지역경제의 근간인 전통시장이 순기능을 발휘하도록 지원해 침체된 전통시장을 살리는데 목적이 있다"고 말했다.

조억동	조억동/NNP
광주시장은	광주시장/NNG+은/JX
"경안시장	"/SS+경안시장/NNP
현대화사업은	현대/NNG+화/XSN+사업/NNG+은/JX
시민들에게	시민/NNG+들/XSN+에게/JKB
쾌적한	쾌적하/VA+ㄴ/ETM
쇼핑환경을	쇼핑/NNG+환경/NNG+을/JKO
제공함으로써	제공/NNG+하/XSV+ㅁ/ETN+으로써/JKB
지역경제의	지역/NNG+경제/NNG+의/JKG
근간인	근간/NNG+이/VCP+ㄴ/ETM
전통시장이	전통/NNG+시장/NNG+이/JKS
순기능을	순기능/NNG+을/JKO
발휘하도록	발휘/NNG+하/XSV+도록/EC
지원해	지원/NNG+하/XSV+아/EC
침체된	침체/NNG+되/XSV+ㄴ/ETM
전통시장을	전통/NNG+시장/NNG+을/JKO
살리는데	살리/VV+는데/EC
목적이	목적/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


