# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.41
metadata : {}


# id : NWRW1800000033.41.1.1
박카스, 편의점 대결서도 비타500 앞서

박카스,	박카스/NNP+,/SP
라이벌로	라이벌/NNG+로/JKB
최근	최근/MAG
인기를	인기/NNG+를/JKO
모으는	모으/VV+는/ETM
에너지음료를	에너지/NNG+음료/NNG+를/JKO
지목한다.	지목/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.41.8.2
편의점 CU가 에너지 음료(레드불 핫식스)의 매출과 드링크(박카스 비타500)의 매출 비율을 월별로 비교한 결과 지난해 8월에는 24 대 76으로 드링크가 앞섰지만 올해 3월 52 대 48로 역전됐고 이후 에너지음료의 강세가 이어지고 있다.

편의점	편의점/NNG
CU가	CU/SL+가/JKS
에너지	에너지/NNG
음료(레드불	음료/NNG+(/SS+레드불/NNP
핫식스)의	핫식스/NNP+)/SS+의/JKG
매출과	매출/NNG+과/JC
드링크(박카스	드링크/NNG+(/SS+박카스/NNP
비타500)의	비타500/NNP+)/SS+의/JKG
매출	매출/NNG
비율을	비율/NNG+을/JKO
월별로	월/NNG+별/XSN+로/JKB
비교한	비교/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
지난해	지난해/NNG
8월에는	8/SN+월/NNB+에/JKB+는/JX
24	24/SN
대	대/NNB
76으로	76/SN+으로/JKB
드링크가	드링크/NNG+가/JKS
앞섰지만	앞서/VV+었/EP+지만/EC
올해	올해/NNG
3월	3/SN+월/NNB
52	52/SN
48로	48/SN+로/JKB
역전됐고	역전/NNG+되/XSV+었/EP+고/EC
이후	이후/NNG
에너지음료의	에너지/NNG+음료/NNG+의/JKG
강세가	강세/NNG+가/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


