# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.430
metadata : {}


# id : NWRW1800000038.430.1.1
[만델라 서거] "사랑해요, 마디바(존경받는 어른)" 슬픔에 잠긴 南阿共… 백인들도 추모행렬

[만델라	[/SS+만델라/NNP
부부젤라(남아공의	부부젤라/NNG+(/SS+남아공/NNP+의/JKG
전통	전통/NNG
나팔)를	나팔/NNG+)/SS+를/JKO
불기도	불/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.430.3.4
죽음을 마치 축제처럼 맞이하는 이 지역 특유의 의식(儀式)이다.

죽음을	죽음/NNG+을/JKO
마치	마치/MAG
축제처럼	축제/NNG+처럼/JKB
맞이하는	맞이하/VV+는/ETM
이	이/MMD
지역	지역/NNG
특유의	특유/NNG+의/JKG
의식(儀式)이다.	의식/NNG+(/SS+儀式/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.430.4.1
자택 앞에는 오전부터 추모객들이 가져다 놓은 꽃들이 쌓여 있었다.

자택	자택/NNG
앞에는	앞/NNG+에/JKB+는/JX
오전부터	오전/NNG+부터/JX
추모객들이	추모객/NNG+들/XSN+이/JKS
가져다	가지/VV+어다/EC
놓은	놓/VX+은/ETM
꽃들이	꽃/NNG+들/XSN+이/JKS
쌓여	쌓이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.430.4.2
아들 손을 잡고 온 오보안(42)씨는 "만델라가 가는 마지막 모습을 아이에게 꼭 보여주고 싶었다"고 말했다.

아들	아들/NNG
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
온	오/VV+ㄴ/ETM
오보안(42)씨는	오보안/NNP+(/SS+42/SN+)/SS+씨/NNB+는/JX
"만델라가	"/SS+만델라/NNP+가/JKS
가는	가/VV+는/ETM
마지막	마지막/NNG
모습을	모습/NNG+을/JKO
아이에게	아이/NNG+에게/JKB
꼭	꼭/MAG
보여주고	보이/VV+어/EC+주/VX+고/EC
싶었다"고	싶/VX+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.430.4.3
주변에는 '잘 가요 만델라' '사랑해요'라고 적은 종이들을 벽에 붙이는 모습도 보였다.

주변에는	주변/NNG+에/JKB+는/JX
'잘	'/SS+잘/MAG
가요	가/VV+아요/EF
만델라'	만델라/NNP+'/SS
'사랑해요'라고	'/SS+사랑/NNG+하/XSV+아요/EF+'/SS+라고/JKQ
적은	적/VV+은/ETM
종이들을	종이/NNG+들/XSN+을/JKO
벽에	벽/NNG+에/JKB
붙이는	붙이/VV+는/ETM
모습도	모습/NNG+도/JX
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.430.4.4
'우리는 당신을 사랑해요, 타타 마디바!'라는 글이 쓰여 있는 쪽지도 있었다.

'우리는	'/SS+우리/NP+는/JX
당신을	당신/NP+을/JKO
사랑해요,	사랑/NNG+하/XSV+아요/EF+,/SP
타타	타타/NNG
마디바!'라는	마디바/NNG+!/SF+'/SS+이/VCP+라는/ETM
글이	글/NNG+이/JKS
쓰여	쓰이/VV+어/EC
있는	있/VX+는/ETM
쪽지도	쪽지/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.430.4.5
현지어 타타(Tata)는 '아버지'를 뜻한다.

현지어	현지어/NNG
타타(Tata)는	타타/NNG+(/SS+Tata/SL+)/SS+는/JX
'아버지'를	'/SS+아버지/NNG+'/SS+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.430.5.1
1990년 만델라가 27년간의 수감 생활을 끝내고 역사적 연설을 했던 요하네스버그 시청사 주변에도 추모 인파가 몰려들었다.

1990년	1990/SN+년/NNB
만델라가	만델라/NNP+가/JKS
27년간의	27/SN+년/NNB+간/XSN+의/JKG
수감	수감/NNG
생활을	생활/NNG+을/JKO
끝내고	끝내/VV+고/EC
역사적	역사/NNG+적/XSN
연설을	연설/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
요하네스버그	요하네스버그/NNP
시청사	시/NNG+청사/NNG
주변에도	주변/NNG+에/JKB+도/JX
추모	추모/NNG
인파가	인파/NNG+가/JKS
몰려들었다.	몰려들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.430.5.2
그의 고향 쿠누에서도 시민들이 거리로 나와 오열했다.

그의	그/NP+의/JKG
고향	고향/NNG
쿠누에서도	쿠누/NNP+에서/JKB+도/JX
시민들이	시민/NNG+들/XSN+이/JKS
거리로	거리/NNG+로/JKB
나와	나오/VV+아/EC
오열했다.	오열/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.430.5.3
이들은 "마디바(존경받는 어른·만델라의 존칭)"를 외치며 남아공 국기를 흔들었다.

이들은	이/NP+들/XSN+은/JX
"마디바(존경받는	"/SS+마디바/NNG+(/SS+존경/NNG+받/XSV+는/ETM
어른·만델라의	어른/NNG+·/SP+만델라/NNP+의/JKG
존칭)"를	존칭/NNG+)/SS+"/SS+를/JKO
외치며	외치/VV+며/EC
남아공	남아공/NNP
국기를	국기/NNG+를/JKO
흔들었다.	흔들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.430.5.4
현지 신문 '시티 프레스'는 만델라 서거 소식이 전해진 지난 5일 밤부터 수만명의 인파가 거리로 몰려나와 그의 죽음을 애도하고 있다고 전했다.

현지	현지/NNG
신문	신문/NNG
'시티	'/SS+시티/NNP
프레스'는	프레스/NNP+'/SS+는/JX
만델라	만델라/NNP
서거	서거/NNG
소식이	소식/NNG+이/JKS
전해진	전하/VV+아/EC+지/VX+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
밤부터	밤/NNG+부터/JX
수만명의	수만/NR+명/NNB+의/JKG
인파가	인파/NNG+가/JKS
거리로	거리/NNG+로/JKB
몰려나와	몰려나오/VV+아/EC
그의	그/NP+의/JKG
죽음을	죽음/NNG+을/JKO
애도하고	애도/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.430.5.5
시민 만타시(23)는 "만델라 할아버지가 더 이상 우리 곁에 없다는 사실이 너무도 슬프다"고 말했다.

시민	시민/NNG
만타시(23)는	만타시/NNP+(/SS+23/SN+)/SS+는/JX
"만델라	"/SS+만델라/NNP
할아버지가	할아버지/NNG+가/JKS
더	더/MAG
이상	이상/NNG
우리	우리/NP
곁에	곁/NNG+에/JKB
없다는	없/VA+다는/ETM
사실이	사실/NNG+이/JKS
너무도	너무/MAG+도/JX
슬프다"고	슬프/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.430.5.6
또 다른 시민은 "만델라가 없는 남아공을 생각해 본 적이 없다"고 말했다.

또	또/MAG
다른	다른/MMD
시민은	시민/NNG+은/JX
"만델라가	"/SS+만델라/NNP+가/JKS
없는	없/VA+는/ETM
남아공을	남아공/NNP+을/JKO
생각해	생각/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.430.6.1
1984년 노벨평화상을 받은 데스먼드 투투 주교는 현지 언론에 발표한 기도문을 통해 "청렴과 화해, 헌신의 리더십을 펼쳤던 만델라를 잃은 데 대해 마음속 깊은 슬픔을 느낀다"고 밝혔다.

1984년	1984/SN+년/NNB
노벨평화상을	노벨/NNP+평화상/NNG+을/JKO
받은	받/VV+은/ETM
데스먼드	데스먼드/NNP
투투	투투/NNP
주교는	주교/NNG+는/JX
현지	현지/NNG
언론에	언론/NNG+에/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
기도문을	기도문/NNG+을/JKO
통해	통하/VV+아/EC
"청렴과	"/SS+청렴/NNG+과/JC
화해,	화해/NNG+,/SP
헌신의	헌신/NNG+의/JKG
리더십을	리더십/NNG+을/JKO
펼쳤던	펼치/VV+었/EP+던/ETM
만델라를	만델라/NNP+를/JKO
잃은	잃/VV+은/ETM
데	데/NNB
대해	대하/VV+아/EC
마음속	마음속/NNG
깊은	깊/VA+은/ETM
슬픔을	슬픔/NNG+을/JKO
느낀다"고	느끼/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.430.7.1
만델라를 떠나보낸 슬픔에는 흑백(黑白) 인종의 차이는 없었다.

만델라를	만델라/NNP+를/JKO
떠나보낸	떠나보내/VV+ㄴ/ETM
슬픔에는	슬픔/NNG+에/JKB+는/JX
흑백(黑白)	흑백/NNG+(/SS+黑白/SH+)/SS
인종의	인종/NNG+의/JKG
차이는	차이/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.430.7.2
추모 물결 속에는 백인들도 다수 섞여 있었다.

추모	추모/NNG
물결	물결/NNG
속에는	속/NNG+에/JKB+는/JX
백인들도	백인/NNG+들/XSN+도/JX
다수	다수/NNG
섞여	섞이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.430.7.3
영국계 이주민 자손인 미셸(43)은 "만델라는 흑인과 백인의 통합을 위해 노력했다"며 "진정한 인류애를 보여준 인물"이라고 말했다.

영국계	영국/NNP+계/XSN
이주민	이주민/NNG
자손인	자손/NNG+이/VCP+ㄴ/ETM
미셸(43)은	미셸/NNP+(/SS+43/SN+)/SS+은/JX
"만델라는	"/SS+만델라/NNP+는/JX
흑인과	흑인/NNG+과/JC
백인의	백인/NNG+의/JKG
통합을	통합/NNG+을/JKO
위해	위하/VV+아/EC
노력했다"며	노력/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"진정한	"/SS+진정하/VA+ㄴ/ETM
인류애를	인류애/NNG+를/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
인물"이라고	인물/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.430.7.4
백인들이 주로 모여 사는 남부 케이프타운에서도 시민들이 거리에서 추모 행진을 했다.

백인들이	백인/NNG+들/XSN+이/JKS
주로	주로/MAG
모여	모이/VV+어/EC
사는	살/VV+는/ETM
남부	남부/NNG
케이프타운에서도	케이프타운/NNP+에서/JKB+도/JX
시민들이	시민/NNG+들/XSN+이/JKS
거리에서	거리/NNG+에서/JKB
추모	추모/NNG
행진을	행진/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.430.8.1
만델라의 부재(不在)에도 남아공에 큰 동요는 없는 상황이다.

만델라의	만델라/NNP+의/JKG
부재(不在)에도	부재/NNG+(/SS+不在/SH+)/SS+에/JKB+도/JX
남아공에	남아공/NNP+에/JKB
큰	크/VA+ㄴ/ETM
동요는	동요/NNG+는/JX
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.430.8.2
지난 6월부터 만델라가 사실상 인공호흡기로 연명하면서, 그의 죽음에 어느 정도 대비해 왔기 때문이다.

지난	지나/VV+ㄴ/ETM
6월부터	6/SN+월/NNB+부터/JX
만델라가	만델라/NNP+가/JKS
사실상	사실/NNG+상/XSN
인공호흡기로	인공호흡기/NNG+로/JKB
연명하면서,	연명/NNG+하/XSV+면서/EC+,/SP
그의	그/NP+의/JKG
죽음에	죽음/NNG+에/JKB
어느	어느/MMD
정도	정도/NNG
대비해	대비/NNG+하/XSV+아/EC
왔기	오/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.430.8.3
현지 교민 임원빈(42)씨는 "만델라가 남아공 국민에게 갖는 의미는 매우 크지만 어느 정도 예상했던 일이기 때문에 별다른 혼란은 없는 것 같다"고 말했다.

현지	현지/NNG
교민	교민/NNG
임원빈(42)씨는	임원빈/NNP+(/SS+42/SN+)/SS+씨/NNB+는/JX
"만델라가	"/SS+만델라/NNP+가/JKS
남아공	남아공/NNP
국민에게	국민/NNG+에게/JKB
갖는	갖/VV+는/ETM
의미는	의미/NNG+는/JX
매우	매우/MAG
크지만	크/VA+지만/EC
어느	어느/MMD
정도	정도/NNG
예상했던	예상/NNG+하/XSV+았/EP+던/ETM
일이기	일/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
별다른	별다르/VA+ㄴ/ETM
혼란은	혼란/NNG+은/JX
없는	없/VA+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.430.9.1
이런 상황이 계속 이어질지는 미지수다.

이런	이런/MMD
상황이	상황/NNG+이/JKS
계속	계속/MAG
이어질지는	이어지/VV+ㄹ지/EC+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.430.9.2
최근 경제 위기로 흑인 하층민의 생활고가 심화하고 있고, 만델라를 의식해 참고 있던 이들이 갑자기 불만을 터뜨릴 수도 있기 때문이다.

최근	최근/NNG
경제	경제/NNG
위기로	위기/NNG+로/JKB
흑인	흑인/NNG
하층민의	하층민/NNG+의/JKG
생활고가	생활고/NNG+가/JKS
심화하고	심화/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
만델라를	만델라/NNP+를/JKO
의식해	의식/NNG+하/XSV+아/EC
참고	참/VV+고/EC
있던	있/VX+던/ETM
이들이	이/NNB+들/XSN+이/JKS
갑자기	갑자기/MAG
불만을	불만/NNG+을/JKO
터뜨릴	터뜨리/VV+ㄹ/ETM
수도	수/NNB+도/JX
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.430.9.3
흑인 밀집 지역인 소웨토 등에서는 약탈 등 범죄가 빈번한 것으로 전해졌다.

흑인	흑인/NNG
밀집	밀집/NNG
지역인	지역/NNG+이/VCP+ㄴ/ETM
소웨토	소웨토/NNP
등에서는	등/NNB+에서/JKB+는/JX
약탈	약탈/NNG
등	등/NNB
범죄가	범죄/NNG+가/JKS
빈번한	빈번하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.430.9.4
또 부정부패가 만연한 기성 정치권에 대한 국민의 불신도 극에 달해 있는 상황이다.

또	또/MAG
부정부패가	부정부패/NNG+가/JKS
만연한	만연/NNG+하/XSV+ㄴ/ETM
기성	기성/NNG
정치권에	정치/NNG+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
국민의	국민/NNG+의/JKG
불신도	불신/NNG+도/JX
극에	극/NNG+에/JKB
달해	달하/VV+아/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


