# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.421
metadata : {}


# id : NWRW1800000036.421.1.1
서울시 민생경제 총괄 누가 맡을까

서울시	서울시/NNP
시는 민생경제 분야 연구요원(시간제 계약직·2년)도 이날 공모했다.

시는	시/NNG+는/JX
민생경제	민생/NNG+경제/NNG
분야	분야/NNG
연구요원(시간제	연구/NNG+요원/NNG+(/SS+시간/NNG+제/XSN
계약직·2년)도	계약직/NNG+·/SP+2/SN+년/NNB+)/SS+도/JX
이날	이날/NNG
공모했다.	공모/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.421.8.2
또 7~9급 공무원 13명을 처음 개방형 공채(<한겨레> 11월9일치 23면)한다고 밝혔다.

또	또/MAG
7~9급	7/SN+~/SO+9/SN+급/NNG
공무원	공무원/NNG
13명을	13/SN+명/NNB+을/JKO
처음	처음/NNG
개방형	개방/NNG+형/XSN
공채(<한겨레>	공채/NNG+(/SS+</SS+한겨레/NNP+>/SS
11월9일치	11/SN+월/NNB+9/SN+일/NNB+치/NNB
23면)한다고	23/SN+면/NNG+)/SS+하/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.421.8.3
박 시장이 강조한 민관 협치를 위한 민간경력자 채용을 본격 확대한 것이다.

박	박/NNP
시장이	시장/NNG+이/JKS
강조한	강조/NNG+하/XSV+ㄴ/ETM
민관	민관/NNG
협치를	협치/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
민간경력자	민간/NNG+경력자/NNG
채용을	채용/NNG+을/JKO
본격	본격/NNG
확대한	확대/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.421.9.1
7~9급 공채는 민간근무·연구경력 3년 이상 자격 소지자로 시설안전관리, 공원설계, 노무관리, 시민단체·북한이탈주민 지원 분야 등 13개 직무가 대상이다.

7~9급	7/SN+~/SO+9/SN+급/NNG
공채는	공채/NNG+는/JX
민간근무·연구경력	민간/NNG+근무/NNG+·/SP+연구/NNG+경력/NNG
3년	3/SN+년/NNB
이상	이상/NNG
자격	자격/NNG
소지자로	소지자/NNG+로/JKB
시설안전관리,	시설/NNG+안전/NNG+관리/NNG+,/SP
공원설계,	공원/NNG+설계/NNG+,/SP
노무관리,	노무/NNG+관리/NNG+,/SP
시민단체·북한이탈주민	시민/NNG+단체/NNG+·/SP+북한/NNP+이탈/NNG+주민/NNG
지원	지원/NNG
분야	분야/NNG
등	등/NNB
13개	13/SN+개/NNB
직무가	직무/NNG+가/JKS
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.421.9.2
세무·전산직 등 6개 분야에서 경력이 있는 중증장애인 7명(9급 6명, 연구사 1명)도 채용한다.

세무·전산직	세무/NNG+·/SP+전산직/NNG
등	등/NNB
6개	6/SN+개/NNB
분야에서	분야/NNG+에서/JKB
경력이	경력/NNG+이/JKS
있는	있/VA+는/ETM
중증장애인	중증/NNG+장애인/NNG
7명(9급	7/SN+명/NNB+(/SS+9/SN+급/NNG
6명,	6/SN+명/NNB+,/SP
연구사	연구사/NNG
1명)도	1/SN+명/NNB+)/SS+도/JX
채용한다.	채용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.421.10.1
구아미 시 인사과장은 “다양한 현장경험을 가진 전문가들이 공직에 진출함으로써 행정의 전문성이 더 높아질 것으로 기대한다”고 말했다.

구아미	구아미/NNP
시	시/NNG
인사과장은	인사과장/NNG+은/JX
“다양한	“/SS+다양/NNG+하/XSA+ㄴ/ETM
현장경험을	현장/NNG+경험/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
전문가들이	전문가/NNG+들/XSN+이/JKS
공직에	공직/NNG+에/JKB
진출함으로써	진출/NNG+하/XSV+ㅁ/ETN+으로써/JKB
행정의	행정/NNG+의/JKG
전문성이	전문/NNG+성/XSN+이/JKS
더	더/MAG
높아질	높아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


