# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.396
metadata : {}


# id : NWRW1800000028.396.1.1
금품·향응비리 공무원에 첫 ‘징계부가금’

금품·향응비리	금품/NNG+·/SP+향응/NNG+비리/NNG
식사	식사/NNG
등	등/NNB
모두	모두/MAG
43만4천원어치의	43/SN+만/NR+4/SN+천/NR+원/NNB+어치/XSN+의/JKG
금품·향응을	금품/NNG+·/SP+향응/NNG+을/JKO
받았다가	받/VV+았/EP+다가/EC
적발돼	적발/NNG+되/XSV+어/EC
견책	견책/NNG
징계를	징계/NNG+를/JKO
받았으며	받/VV+았/EP+으며/EC
이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
이날	이날/NNG
징계부가금으로	징계/NNG+부가금/NNG+으로/JKB
43만4천원을	43/SN+만/NR+4/SN+천/NR+원/NNB+을/JKO
내라는	내/VV+라는/ETM
처분을	처분/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.396.4.2
올 4월 직무 관련자한테서 여러 차례 골프 접대를 받은 고용노동부 경인지방노동청의 6급 공무원 최아무개 주무관과 이아무개 주무관은 각각 파면·해임 처분을 받았는데, 이날 직무 관련자로부터 제공받은 카트비와 캐디피 46만2500원에 대해 추가로 징계부가금 처분을 받았다.

올	올/NNG
4월	4/SN+월/NNB
직무	직무/NNG
관련자한테서	관련자/NNG+한테서/JKB
여러	여러/MMN
차례	차례/NNG
골프	골프/NNG
접대를	접대/NNG+를/JKO
받은	받/VV+은/ETM
고용노동부	고용/NNG+노동부/NNG
경인지방노동청의	경인지방노동청/NNP+의/JKG
6급	6/SN+급/NNG
공무원	공무원/NNG
최아무개	최/NNP+아무개/NP
주무관과	주무관/NNG+과/JC
이아무개	이/NNP+아무개/NP
주무관은	주무관/NNG+은/JX
각각	각각/MAG
파면·해임	파면/NNG+·/SP+해임/NNG
처분을	처분/NNG+을/JKO
받았는데,	받/VV+았/EP+는데/EC+,/SP
이날	이날/NNG
관련자로부터	관련자/NNG+로부터/JKB
제공받은	제공/NNG+받/XSV+은/ETM
카트비와	카트비/NNG+와/JC
캐디피	캐디피/NNG
46만2500원에	46/SN+만/NR+2500/SN+원/NNB+에/JKB
대해	대하/VV+아/EC
추가로	추가/NNG+로/JKB
징계부가금	징계/NNG+부가금/NNG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.396.4.3
징계부가금은 60일 이내에 국고로 납부해야 한다.

징계부가금은	징계/NNG+부가금/NNG+은/JX
60일	60/SN+일/NNB
이내에	이내/NNG+에/JKB
국고로	국고/NNG+로/JKB
납부해야	납부/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


