# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.69
metadata : {}


# id : NWRW1800000040.69.1.1
“한국, 독일보다 태양광발전 조건 월등”

“한국,	“/SS+한국/NNP+,/SP
‘솔라기스’(SolarGIS)가	‘/SS+솔라기스/NNG+’/SS+(/SS+SolarGIS/SL+)/SS+가/JKS
지면에	지면/NNG+에/JKB
직접	직접/MAG
도달하는	도달/NNG+하/XSV+는/ETM
햇볕의	햇볕/NNG+의/JKG
양(수평면	양/NNG+(/SS+수평면/NNG
직달	직달/NNG
일사량)을	일사량/NNG+)/SS+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
독일은	독일/NNP+은/JX
연평균	연평균/NNG
900~1200㎾h/㎡인	900/SN+~/SO+1200/SN+㎾h/SW+//SP+㎡/SW+이/VCP+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
한국은	한국/NNP+은/JX
1400~1600㎾h/㎡이다.	1400/SN+~/SO+1600/SN+㎾h/SW+//SP+㎡/SW+이/VCP+다/EF+./SF


# id : NWRW1800000040.69.7.2
기상청 관계자는 “독일은 고위도 지역이어서 이동성 고기압과 저기압이 자주 지나가 흐린 날이 많기 때문”이라고 해석했다.

기상청	기상청/NNG
관계자는	관계자/NNG+는/JX
“독일은	“/SS+독일/NNP+은/JX
고위도	고/XPN+위도/NNG
지역이어서	지역/NNG+이/VCP+어서/EC
이동성	이동/NNG+성/XSN
고기압과	고/XPN+기압/NNG+과/JC
저기압이	저/XPN+기압/NNG+이/JKS
자주	자주/MAG
지나가	지나가/VV+아/EC
흐린	흐리/VA+ㄴ/ETM
날이	날/NNG+이/JKS
많기	많/VA+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.69.8.1
그린피스 한국사무소의 이현숙 기후에너지 캠페이너는 “산업통상자원부 장관이 국정감사에서 우리나라의 신재생에너지 자원이 부족하고 기술력이 낙후돼 있다고 언급했지만, 태양광의 경우 최근 5년 동안 태양광 시장에서 가장 큰 발전을 보여준 독일보다도 자연조건이 월등히 좋은 것으로 조사됐다.

그린피스	그린피스/NNP
한국사무소의	한국/NNP+사무소/NNG+의/JKG
이현숙	이현숙/NNP
기후에너지	기후/NNG+에너지/NNG
캠페이너는	캠페이너/NNG+는/JX
“산업통상자원부	“/SS+산업/NNG+통상/NNG+자원부/NNG
장관이	장관/NNG+이/JKS
국정감사에서	국정/NNG+감사/NNG+에서/JKB
우리나라의	우리나라/NNG+의/JKG
신재생에너지	신/XPN+재생/NNG+에너지/NNG
자원이	자원/NNG+이/JKS
부족하고	부족/NNG+하/XSA+고/EC
기술력이	기술력/NNG+이/JKS
낙후돼	낙후/NNG+되/XSV+어/EC
있다고	있/VX+다고/EC
언급했지만,	언급/NNG+하/XSV+았/EP+지만/EC+,/SP
태양광의	태양광/NNG+의/JKG
경우	경우/NNG
최근	최근/MAG
5년	5/SN+년/NNB
동안	동안/NNG
태양광	태양광/NNG
시장에서	시장/NNG+에서/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
발전을	발전/NNG+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
독일보다도	독일/NNP+보다/JKB+도/JX
자연조건이	자연조건/NNG+이/JKS
월등히	월등히/MAG
좋은	좋/VA+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.69.8.2
또 우리나라가 올해 미얀마 13곳에 태양광 단지 설치를 진행중이고 미국 뉴저지에 2개의 태양광 단지를 운영하는 등 이미 기술력도 상당한 수준에 이르렀다”고 말했다.

또	또/MAG
우리나라가	우리나라/NNG+가/JKS
올해	올해/NNG
미얀마	미얀마/NNP
13곳에	13/SN+곳/NNG+에/JKB
태양광	태양광/NNG
단지	단지/NNG
설치를	설치/NNG+를/JKO
진행중이고	진행/NNG+중/NNB+이/VCP+고/EC
미국	미국/NNP
뉴저지에	뉴저지/NNP+에/JKB
2개의	2/SN+개/NNB+의/JKG
단지를	단지/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
등	등/NNB
이미	이미/MAG
기술력도	기술력/NNG+도/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
수준에	수준/NNG+에/JKB
이르렀다”고	이르/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.69.9.1
그린피스는 또 삼면이 바다인 한국은 동해·서해·남해에서 모두 육상 풍력 발전이 가능하며, 서해와 남해에서는 GW(기가와트)급 전력 생산 규모의 해상 풍력단지를 조성할 수 있다고 분석했다.

그린피스는	그린피스/NNP+는/JX
또	또/MAG
삼면이	삼면/NNG+이/JKS
바다인	바다/NNG+이/VCP+ㄴ/ETM
한국은	한국/NNP+은/JX
동해·서해·남해에서	동해/NNP+·/SP+서해/NNP+·/SP+남해/NNP+에서/JKB
모두	모두/MAG
육상	육상/NNG
풍력	풍력/NNG
발전이	발전/NNG+이/JKS
가능하며,	가능/NNG+하/XSA+며/EC+,/SP
서해와	서해/NNP+와/JC
남해에서는	남해/NNP+에서/JKB+는/JX
GW(기가와트)급	GW/SW+(/SS+기가/NNB+와트/NNB+)/SS+급/NNG
전력	전력/NNG
생산	생산/NNG
규모의	규모/NNG+의/JKG
해상	해상/NNG
풍력단지를	풍력/NNG+단지/NNG+를/JKO
조성할	조성/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.69.9.2
충청·목포·부산 일대에서는 풀·나무나 농업 부산물 등을 썩히는 과정에서 발생하는 메탄 가스 등을 활용한 바이오매스 발전소 개발도 가능하다.

충청·목포·부산	충청/NNP+·/SP+목포/NNP+·/SP+부산/NNP
일대에서는	일대/NNG+에서/JKB+는/JX
풀·나무나	풀/NNG+·/SP+나무/NNG+나/JC
농업	농업/NNG
부산물	부산물/NNG
등을	등/NNB+을/JKO
썩히는	썩히/VV+는/ETM
과정에서	과정/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
메탄	메탄/NNG
가스	가스/NNG
활용한	활용/NNG+하/XSV+ㄴ/ETM
바이오매스	바이오매스/NNG
발전소	발전소/NNG
개발도	개발/NNG+도/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.69.9.3
호세 루이스 가르시아 그린피스 기후에너지팀 본부장은 이날 서울 마포구 서교동 인문카페 창비에서 열린 ‘땅 빛 바람 물 마음이 이끄는 에너지 혁명’ 국제포럼에서 “한국의 2012년 현재 재생에너지 비율은 2.3%로, 전력사용량의 30~40% 이상을 재생에너지원으로 충당하는 독일·스페인·포르투갈·벨기에 등의 세계적 흐름에 뒤처져 있다”고 지적했다.

호세	호세/NNP
루이스	루이스/NNP
가르시아	가르시아/NNP
그린피스	그린피스/NNP
기후에너지팀	기후/NNG+에너지/NNG+팀/NNG
본부장은	본부장/NNG+은/JX
이날	이날/NNG
서울	서울/NNP
마포구	마포구/NNP
서교동	서교동/NNP
인문카페	인문/NNG+카페/NNG
창비에서	창비/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘땅	‘/SS+땅/NNG
빛	빛/NNG
바람	바람/NNG
물	물/NNG
마음이	마음/NNG+이/JKS
이끄는	이끌/VV+는/ETM
에너지	에너지/NNG
혁명’	혁명/NNG+’/SS
국제포럼에서	국제/NNG+포럼/NNG+에서/JKB
“한국의	“/SS+한국/NNP+의/JKG
2012년	2012/SN+년/NNB
현재	현재/MAG
재생에너지	재생/NNG+에너지/NNG
비율은	비율/NNG+은/JX
2.3%로,	2/SN+./SP+3/SN+%/SW+로/JKB+,/SP
전력사용량의	전력/NNG+사용량/NNG+의/JKG
30~40%	30/SN+~/SO+40/SN+%/SW
이상을	이상/NNG+을/JKO
재생에너지원으로	재생/NNG+에너지원/NNG+으로/JKB
충당하는	충당/NNG+하/XSV+는/ETM
독일·스페인·포르투갈·벨기에	독일/NNP+·/SP+스페인/NNP+·/SP+포르투갈/NNP+·/SP+벨기에/NNP
등의	등/NNB+의/JKG
세계적	세계/NNG+적/XSN
흐름에	흐름/NNG+에/JKB
뒤처져	뒤처지/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


