# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.429
metadata : {}


# id : NWRW1800000054.429.1.1
[文대통령 연설-경제] "내년 예산 9년새 최고 증가율(올해보다 7.1% 늘어난 429조)… 작은 정부가 善이라는 관념 깨야"

[文대통령	[/SS+文/SH+대통령/NNG
"올해보다	"/SS+올해/NNG+보다/JKB
7.1%	7/SN+./SP+1/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
세계	세계/NNG
금융	금융/NNG
위기이후	위기/NNG+이후/NNG
가장	가장/MAG
높은	높/VA+은/ETM
증가율(2009년·10.7%	증가/NNG+율/XSN+(/SS+2009/SN+년/NNB+·/SP+10/SN+./SP+7/SN+%/SW
증가)"이라고	증가/NNG+)/SS+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.4.2
그러면서 야당이 제기하는 재정 건전성 우려를 의식한 듯 "불요불급한 예산에 대한 강도 높은 구조조정을 통해 11조5000억원의 지출을 줄였다"며 "국가 채무는 GDP 대비 39.6%로 올해와 비슷한 수준을 유지하도록 했다"고 말했다.

그러면서	그러/VV+면서/EC
야당이	야당/NNG+이/JKS
제기하는	제기/NNG+하/XSV+는/ETM
재정	재정/NNG
건전성	건전/NNG+성/XSN
우려를	우려/NNG+를/JKO
의식한	의식/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
"불요불급한	"/SS+불요불급/NNG+하/XSA+ㄴ/ETM
예산에	예산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강도	강도/NNG
높은	높/VA+은/ETM
구조조정을	구조/NNG+조정/NNG+을/JKO
통해	통하/VV+아/EC
11조5000억원의	11/SN+조/NR+5000/SN+억/NR+원/NNB+의/JKG
지출을	지출/NNG+을/JKO
줄였다"며	줄이/VV+었/EP+다/EF+"/SS+며/EC
"국가	"/SS+국가/NNG
채무는	채무/NNG+는/JX
GDP	GDP/SL
대비	대비/NNG
39.6%로	39/SN+./SP+6/SN+%/SW+로/JKB
올해와	올해/NNG+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
수준을	수준/NNG+을/JKO
유지하도록	유지/NNG+하/XSV+도록/EC
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.4.3
문 대통령은 "경제가 성장해도 가계소득은 줄어들고 경제적 불평등이 갈수록 커지는 구조를 바꿔야 한다"며 "양극화가 경제 성장과 국민 통합을 가로막는 상황을 개선해야 한다"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"경제가	"/SS+경제/NNG+가/JKS
성장해도	성장/NNG+하/XSV+아도/EC
가계소득은	가계/NNG+소득/NNG+은/JX
줄어들고	줄어들/VV+고/EC
경제적	경제/NNG+적/XSN
불평등이	불/XPN+평등/NNG+이/JKS
갈수록	갈수록/MAG
커지는	커지/VV+는/ETM
구조를	구조/NNG+를/JKO
바꿔야	바꾸/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"양극화가	"/SS+양극/NNG+화/XSN+가/JKS
경제	경제/NNG
성장과	성장/NNG+과/JC
국민	국민/NNG
통합을	통합/NNG+을/JKO
가로막는	가로막/VV+는/ETM
상황을	상황/NNG+을/JKO
개선해야	개선/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.5.1
문 대통령은 이날 연설에서 '사람 중심 경제'의 3대 축으로 ▲일자리와 소득 주도 성장 ▲혁신 성장 ▲공정 경제를 꼽고 "혁신적 도전과 성공에 대한 확신이 우리 경제를 바꿀 수 있다. 정부는 국민의 저력을 믿고, 사람 중심 경제를 힘차게 추진하겠다"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
연설에서	연설/NNG+에서/JKB
'사람	'/SS+사람/NNG
중심	중심/NNG
경제'의	경제/NNG+'/SS+의/JKG
3대	3/SN+대/NNG
축으로	축/NNG+으로/JKB
▲일자리와	▲/SW+일자리/NNG+와/JC
소득	소득/NNG
주도	주도/NNG
성장	성장/NNG
▲혁신	▲/SW+혁신/NNG
▲공정	▲/SW+공정/NNG
경제를	경제/NNG+를/JKO
꼽고	꼽/VV+고/EC
"혁신적	"/SS+혁신/NNG+적/XSN
도전과	도전/NNG+과/JC
성공에	성공/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확신이	확신/NNG+이/JKS
우리	우리/NP
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF
정부는	정부/NNG+는/JX
국민의	국민/NNG+의/JKG
저력을	저력/NNG+을/JKO
믿고,	믿/VV+고/EC+,/SP
사람	사람/NNG
힘차게	힘차/VA+게/EC
추진하겠다"고	추진/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.5.2
문 대통령은 "일자리 예산안을 올해보다 2조1000억원 증가한 19조2000억원 편성했다"며 "요즘 우리 경제가 좋아지고 있는데, 고용 상황이 개선된다면 더욱 상승세를 탈 수 있을 것"이라고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"일자리	"/SS+일자리/NNG
예산안을	예산안/NNG+을/JKO
올해보다	올해/NNG+보다/JKB
2조1000억원	2/SN+조/NR+1000/SN+억/NR+원/NNB
증가한	증가/NNG+하/XSV+ㄴ/ETM
19조2000억원	19/SN+조/NR+2000/SN+억/NR+원/NNB
편성했다"며	편성/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"요즘	"/SS+요즘/NNG
우리	우리/NP
경제가	경제/NNG+가/JKS
좋아지고	좋/VA+아/EC+지/VX+고/EC
있는데,	있/VX+는데/EC+,/SP
고용	고용/NNG
상황이	상황/NNG+이/JKS
개선된다면	개선/NNG+되/XSV+ㄴ다면/EC
더욱	더욱/MAG
상승세를	상승세/NNG+를/JKO
탈	타/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.6.1
정부는 이런 기조에 따라 경찰·집배원·근로감독관 등 민생 현장 공무원을 3만명 늘리고, 보육·요양 등 사회 서비스 일자리도 1만2000개를 만들겠다고 하고 있다.

정부는	정부/NNG+는/JX
이런	이런/MMD
기조에	기조/NNG+에/JKB
따라	따르/VV+아/EC
경찰·집배원·근로감독관	경찰/NNG+·/SP+집배원/NNG+·/SP+근로/NNG+감독관/NNG
등	등/NNB
민생	민생/NNG
현장	현장/NNG
공무원을	공무원/NNG+을/JKO
3만명	3/SN+만/NR+명/NNB
늘리고,	늘리/VV+고/EC+,/SP
보육·요양	보육/NNG+·/SP+요양/NNG
사회	사회/NNG
서비스	서비스/NNG
일자리도	일자리/NNG+도/JX
1만2000개를	1/SN+만/NR+2000/SN+개/NNB+를/JKO
만들겠다고	만들/VV+겠/EP+다고/EC
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.429.6.2
민간 부문 일자리 창출과 관련해선 중소기업이 청년 3명을 정규직으로 채용할 경우 1명분의 임금을 지원하는 중소기업 추가 채용 제도를 2만명 규모로 확대하고 고용을 늘린 중견·중소기업에 대한 세제 지원도 확대할 예정이라고 문 대통령은 밝혔다.

민간	민간/NNG
부문	부문/NNG
일자리	일자리/NNG
창출과	창출/NNG+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
중소기업이	중소기업/NNG+이/JKS
청년	청년/NNG
3명을	3/SN+명/NNB+을/JKO
정규직으로	정규직/NNG+으로/JKB
채용할	채용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
1명분의	1/SN+명/NNB+분/XSN+의/JKG
임금을	임금/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
중소기업	중소기업/NNG
추가	추가/NNG
채용	채용/NNG
제도를	제도/NNG+를/JKO
2만명	2/SN+만/NR+명/NNB
규모로	규모/NNG+로/JKB
확대하고	확대/NNG+하/XSV+고/EC
고용을	고용/NNG+을/JKO
늘린	늘리/VV+ㄴ/ETM
중견·중소기업에	중견/NNG+·/SP+중소기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세제	세제/NNG
지원도	지원/NNG+도/JX
확대할	확대/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
문	문/NNP
대통령은	대통령/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.429.7.1
문 대통령은 "서민층 소득 증대는 소득 주도 성장의 기반"이라며 "국민들의 가처분 소득을 늘려주는 예산을 대폭 증액했다"고 밝혔다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"서민층	"/SS+서민/NNG+층/XSN
소득	소득/NNG
증대는	증대/NNG+는/JX
주도	주도/NNG
성장의	성장/NNG+의/JKG
기반"이라며	기반/NNG+"/SS+이/VCP+라며/EC
"국민들의	"/SS+국민/NNG+들/XSN+의/JKG
가처분	가/XPN+처분/NNG
소득을	소득/NNG+을/JKO
늘려주는	늘리/VV+어/EC+주/VX+는/ETM
예산을	예산/NNG+을/JKO
대폭	대폭/MAG
증액했다"고	증액/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.429.7.2
이에 따라 내년 7월부터 5세 이하 아동에게 월 10만원씩 지급하는 아동수당을 도입하고 기초연금을 월 25만원으로 인상할 예정이라고 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
내년	내년/NNG
7월부터	7/SN+월/NNB+부터/JX
5세	5/SN+세/NNB
이하	이하/NNG
아동에게	아동/NNG+에게/JKB
월	월/NNG
10만원씩	10/SN+만/NR+원/NNB+씩/XSN
지급하는	지급/NNG+하/XSV+는/ETM
아동수당을	아동/NNG+수당/NNG+을/JKO
도입하고	도입/NNG+하/XSV+고/EC
기초연금을	기초/NNG+연금/NNG+을/JKO
25만원으로	25/SN+만/NR+원/NNB+으로/JKB
인상할	인상/NNG+하/XSV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.7.3
또 ▲장애인연금 25만원으로 인상 ▲독립 유공자 후손에게 최대 46만8000원 생활비 지원 ▲참전 수당, 무공 수당 월 8만원 인상 등도 추진하겠다고 했다.

또	또/MAG
▲장애인연금	▲/SW+장애인/NNG+연금/NNG
25만원으로	25/SN+만/NR+원/NNB+으로/JKB
인상	인상/NNG
▲독립	▲/SW+독립/NNG
유공자	유공자/NNG
후손에게	후손/NNG+에게/JKB
최대	최대/NNG
46만8000원	46/SN+만/NR+8000/SN+원/NNB
생활비	생활비/NNG
지원	지원/NNG
▲참전	▲/SW+참전/NNG
수당,	수당/NNG+,/SP
무공	무공/NNG
수당	수당/NNG
월	월/NNG
8만원	8/SN+만/NR+원/NNB
등도	등/NNB+도/JX
추진하겠다고	추진/NNG+하/XSV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.8.1
문 대통령은 이어 "초고소득자의 소득세율과 과표 2000억원 이상 초대기업의 법인세율을 인상하는 세법개정안을 국회에 제출했다"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
이어	이어/MAG
"초고소득자의	"/SS+초/XPN+고소득자/NNG+의/JKG
소득세율과	소득세/NNG+율/XSN+과/JC
과표	과표/NNG
2000억원	2000/SN+억/NR+원/NNB
이상	이상/NNG
초대기업의	초/XPN+대/XPN+기업/NNG+의/JKG
법인세율을	법인세/NNG+율/XSN+을/JKO
인상하는	인상/NNG+하/XSV+는/ETM
세법개정안을	세법/NNG+개정안/NNG+을/JKO
국회에	국회/NNG+에/JKB
제출했다"고	제출/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.8.2
그는 "이를 통해 서민·중산층, 소상공인과 중소기업 지원을 좀 더 강화할 수 있을 것"이라며 "부자와 대기업이 세금을 좀 더 부담하고, 그만큼 더 존경받는 세상이 바람직하다"고 말했다.

그는	그/NP+는/JX
"이를	"/SS+이/NP+를/JKO
통해	통하/VV+아/EC
서민·중산층,	서민/NNG+·/SP+중산/NNG+층/XSN+,/SP
소상공인과	소/XPN+상공인/NNG+과/JC
중소기업	중소기업/NNG
지원을	지원/NNG+을/JKO
좀	좀/MAG
더	더/MAG
강화할	강화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"부자와	"/SS+부자/NNG+와/JC
대기업이	대/XPN+기업/NNG+이/JKS
세금을	세금/NNG+을/JKO
부담하고,	부담/NNG+하/XSV+고/EC+,/SP
그만큼	그만큼/MAG
존경받는	존경/NNG+받/XSV+는/ETM
세상이	세상/NNG+이/JKS
바람직하다"고	바람직하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.8.3
문 대통령은 "좋은 일자리를 만들 수 있도록 4차 산업 혁명과 벤처 창업 등 혁신 성장 예산을 중점 반영했다"고도 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"좋은	"/SS+좋/VA+은/ETM
일자리를	일자리/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
4차	4/SN+차/NNB
산업	산업/NNG
혁명과	혁명/NNG+과/JC
벤처	벤처/NNG
창업	창업/NNG
등	등/NNB
혁신	혁신/NNG
성장	성장/NNG
예산을	예산/NNG+을/JKO
중점	중점/NNG
반영했다"고도	반영/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.9.1
국방 예산과 관련해선 "방위력 개선 예산을 10.5% 대폭 확대했다"며 "북한의 위협으로부터 국민을 보호하기 위해 한국형 3축 체계를 조기에 구축하겠다"고 했다.

국방	국방/NNG
예산과	예산/NNG+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
"방위력	"/SS+방위력/NNG
개선	개선/NNG
예산을	예산/NNG+을/JKO
10.5%	10/SN+./SP+5/SN+%/SW
대폭	대폭/MAG
확대했다"며	확대/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"북한의	"/SS+북한/NNP+의/JKG
위협으로부터	위협/NNG+으로부터/JKB
국민을	국민/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
한국형	한국/NNP+형/XSN
3축	3/SN+축/NNG
체계를	체계/NNG+를/JKO
조기에	조기/NNG+에/JKB
구축하겠다"고	구축/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.429.9.2
또 "병사 봉급을 병장 기준 월 21만6000원에서 40만6000원으로 대폭 인상해 사병 복지와 사기를 높이겠다"고 했다.

또	또/MAG
"병사	"/SS+병사/NNG
봉급을	봉급/NNG+을/JKO
병장	병장/NNG
기준	기준/NNG
월	월/NNG
21만6000원에서	21/SN+만/NR+6000/SN+원/NNB+에서/JKB
40만6000원으로	40/SN+만/NR+6000/SN+원/NNB+으로/JKB
대폭	대폭/MAG
인상해	인상/NNG+하/XSV+아/EC
사병	사병/NNG
복지와	복지/NNG+와/JC
사기를	사기/NNG+를/JKO
높이겠다"고	높이/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


