# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.261
metadata : {}


# id : NWRW1800000036.261.1.1
아동음란물 단순 소지 성범죄 전력자 첫 기소

아동음란물	아동/NNG+음란물/NNG
있는	있/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.261.4.1
수원지검 강력부는 4일 인터넷의 파일 공유(P2P) 사이트에서 아동·청소년 음란물을 내려받아 보관하던 유아무개(43)씨 등 5명을 적발해 아동·청소년의 성보호에 관한 법률 위반 혐의로 벌금 수백만원에 약식 기소했다고 밝혔다.

수원지검	수원지검/NNP
강력부는	강력부/NNG+는/JX
4일	4/SN+일/NNB
인터넷의	인터넷/NNG+의/JKG
파일	파일/NNG
공유(P2P)	공유/NNG+(/SS+P/SL+2/SN+P/SL+)/SS
사이트에서	사이트/NNG+에서/JKB
아동·청소년	아동/NNG+·/SP+청소년/NNG
음란물을	음란물/NNG+을/JKO
내려받아	내려받/VV+아/EC
보관하던	보관/NNG+하/XSV+던/ETM
유아무개(43)씨	유/NNP+아무개/NP+(/SS+43/SN+)/SS+씨/NNB
등	등/NNB
5명을	5/SN+명/NNB+을/JKO
적발해	적발/NNG+하/XSV+아/EC
아동·청소년의	아동/NNG+·/SP+청소년/NNG+의/JKG
성보호에	성/NNG+보호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
벌금	벌금/NNG
수백만원에	수백만/NR+원/NNB+에/JKB
약식	약식/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.261.4.2
이들 5명은 아동·청소년 성매수, 성폭력 및 음란물 유포 같은 성 관련 범죄 전력자들이다.

이들	이/NP+들/XSN
5명은	5/SN+명/NNB+은/JX
아동·청소년	아동/NNG+·/SP+청소년/NNG
성매수,	성/NNG+매수/NNG+,/SP
성폭력	성폭력/NNG
및	및/MAG
음란물	음란물/NNG
유포	유포/NNG
같은	같/VA+은/ETM
성	성/NNG
관련	관련/NNG
범죄	범죄/NNG
전력자들이다.	전력자/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.261.4.3
심재철 수원지검 강력부장검사는 “성범죄 전력자가 아동·청소년 음란물을 소지해 탐닉할 경우 아동을 겨냥한 강력범죄로 이어질 수 있는 만큼 처벌 의지를 보였다”며 “이번엔 단순 소지자 가운데 성범죄 전력자만 기소했다”고 말했다.

심재철	심재철/NNP
수원지검	수원지검/NNP
강력부장검사는	강력부장/NNG+검사/NNG+는/JX
“성범죄	“/SS+성범죄/NNG
전력자가	전력자/NNG+가/JKS
아동·청소년	아동/NNG+·/SP+청소년/NNG
음란물을	음란물/NNG+을/JKO
소지해	소지/NNG+하/XSV+아/EC
탐닉할	탐닉/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
아동을	아동/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
강력범죄로	강력/NNG+범죄/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼	만큼/NNB
처벌	처벌/NNG
의지를	의지/NNG+를/JKO
보였다”며	보이/VV+었/EP+다/EF+”/SS+며/EC
“이번엔	“/SS+이번/NNG+에/JKB+ㄴ/JX
단순	단순/NNG
소지자	소지자/NNG
가운데	가운데/NNG
성범죄	성범죄/NNG
전력자만	전력자/NNG+만/JX
기소했다”고	기소/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.261.5.1
미국·캐나다 등에선 ‘아동 포르노물 소지’만으로도 징역 5~10년에 처하는 등 높은 법정형이 규정돼 있는 반면, 국내에서는 아동·청소년 음란물을 단순히 소지한 경우는 벌금형으로만 처벌하게 돼 있고 그나마 처벌한 전례도 없다.

미국·캐나다	미국/NNP+·/SP+캐나다/NNP
등에선	등/NNB+에서/JKB+ㄴ/JX
‘아동	‘/SS+아동/NNG
포르노물	포르노물/NNG
소지’만으로도	소지/NNG+’/SS+만/JX+으로/JKB+도/JX
징역	징역/NNG
5~10년에	5/SN+~/SO+10/SN+년/NNB+에/JKB
처하는	처하/VV+는/ETM
등	등/NNB
높은	높/VA+은/ETM
법정형이	법정형/NNG+이/JKS
규정돼	규정/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
반면,	반면/NNG+,/SP
국내에서는	국내/NNG+에서/JKB+는/JX
아동·청소년	아동/NNG+·/SP+청소년/NNG
음란물을	음란물/NNG+을/JKO
단순히	단순히/MAG
소지한	소지/NNG+하/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
벌금형으로만	벌금형/NNG+으로/JKB+만/JX
처벌하게	처벌/NNG+하/XSV+게/EC
돼	되/VV+어/EC
있고	있/VX+고/EC
그나마	그나마/MAG
처벌한	처벌/NNG+하/XSV+ㄴ/ETM
전례도	전례/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.261.5.2
그동안엔 ‘정보통신망 이용 촉진 및 정보보호 등에 관한 법률’을 적용했는데, 이 법에는 단순 소지를 처벌하도록 한 조항은 없다.

그동안엔	그동안/NNG+에/JKB+ㄴ/JX
‘정보통신망	‘/SS+정보/NNG+통신망/NNG
이용	이용/NNG
촉진	촉진/NNG
및	및/MAG
정보보호	정보/NNG+보호/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률’을	법률/NNG+’/SS+을/JKO
적용했는데,	적용/NNG+하/XSV+았/EP+는데/EC+,/SP
이	이/MMD
법에는	법/NNG+에/JKB+는/JX
단순	단순/NNG
소지를	소지/NNG+를/JKO
처벌하도록	처벌/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
조항은	조항/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000036.261.5.3
수원지검은 유씨 등 5명 말고도, 아동·청소년 음란물 2113건을 인터넷에 올린 혐의로 이아무개(39)씨 등 3명을 구속 기소하고 52명을 불구속 기소했다고 밝혔다.

수원지검은	수원지검/NNP+은/JX
유씨	유/NNP+씨/NNB
등	등/NNB
5명	5/SN+명/NNB
말고도,	말/VV+고도/EC+,/SP
아동·청소년	아동/NNG+·/SP+청소년/NNG
음란물	음란물/NNG
2113건을	2113/SN+건/NNB+을/JKO
인터넷에	인터넷/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
이아무개(39)씨	이/NNP+아무개/NP+(/SS+39/SN+)/SS+씨/NNB
3명을	3/SN+명/NNB+을/JKO
구속	구속/NNG
기소하고	기소/NNG+하/XSV+고/EC
52명을	52/SN+명/NNB+을/JKO
불구속	불/XPN+구속/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.261.6.1
법무부는 이날 성충동 약물치료(이른바 ‘화학적 거세’) 대상자를 현행 ‘16살 미만 피해자 상대 성폭력범’에서 ‘19살 미만 피해자 상대 성폭력범’으로 확대하겠다고 밝혔다.

법무부는	법무부/NNG+는/JX
이날	이날/NNG
성충동	성/NNG+충동/NNG
약물치료(이른바	약물/NNG+치료/NNG+(/SS+이른바/MAG
‘화학적	‘/SS+화학/NNG+적/XSN
거세’)	거세/NNG+’/SS+)/SS
대상자를	대상자/NNG+를/JKO
현행	현행/NNG
‘16살	‘/SS+16/SN+살/NNB
미만	미만/NNG
피해자	피해자/NNG
상대	상대/NNG
성폭력범’에서	성폭력범/NNG+’/SS+에서/JKB
‘19살	‘/SS+19/SN+살/NNB
성폭력범’으로	성폭력범/NNG+’/SS+으로/JKB
확대하겠다고	확대/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.261.6.2
법무부는 곧 법 개정안을 마련해 이달 안에 국회에 낼 계획이다.

법무부는	법무부/NNG+는/JX
곧	곧/MAG
법	법/NNG
개정안을	개정안/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
이달	이달/NNG
안에	안/NNG+에/JKB
국회에	국회/NNG+에/JKB
낼	내/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.261.7.1
지난해 8월부터 시행된 성폭력 범죄자의 성충동 약물치료에 관한 법률은 성도착증이 있고 재범 위험성이 있는 19살 이상의 범죄자에게 검사는 약물치료를 청구할 수 있고, 판사는 최장 15년까지 약물치료 집행을 결정할 수 있도록 돼 있다.

지난해	지난해/NNG
8월부터	8/SN+월/NNB+부터/JX
시행된	시행/NNG+되/XSV+ㄴ/ETM
성폭력	성폭력/NNG
범죄자의	범죄자/NNG+의/JKG
성충동	성/NNG+충동/NNG
약물치료에	약물/NNG+치료/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률은	법률/NNG+은/JX
성도착증이	성도착증/NNG+이/JKS
있고	있/VA+고/EC
재범	재범/NNG
위험성이	위험/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
19살	19/SN+살/NNB
이상의	이상/NNG+의/JKG
범죄자에게	범죄자/NNG+에게/JKB
검사는	검사/NNG+는/JX
약물치료를	약물/NNG+치료/NNG+를/JKO
청구할	청구/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
판사는	판사/NNG+는/JX
최장	최장/NNG
15년까지	15/SN+년/NNB+까지/JX
약물치료	약물/NNG+치료/NNG
집행을	집행/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


