# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.338
metadata : {}


# id : NWRW1800000046.338.1.1
[세월호 인양] 김무성·유승민 "여론조사 없이 세월호 인양해야"

[세월호	[/SS+세월호/NNP
김 대표는 이날 인천 강화군에서 현장 최고위원회를 가진 후 기자들과 만나 "제가 알기로 세월호 인양은 국내 기술로 충분히 가능한 일이라 생각하고 세월호는 인양돼야 한다"며, 유 장관이 말한 '여론조사' 방식에 대해 "옳지 못한 일"이라고도 했다.

김	김/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
인천	인천/NNP
강화군에서	강화군/NNP+에서/JKB
현장	현장/NNG
최고위원회를	최고/NNG+위원회/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
후	후/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"제가	"/SS+제/NP+가/JKS
알기로	알/VV+기/ETN+로/JKB
세월호	세월호/NNP
인양은	인양/NNG+은/JX
국내	국내/NNG
기술로	기술/NNG+로/JKB
충분히	충분히/MAG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일이라	일/NNG+이/VCP+라/EC
생각하고	생각/NNG+하/XSV+고/EC
세월호는	세월호/NNP+는/JX
인양돼야	인양/NNG+되/XSV+어야/EC
한다"며,	하/VX+ㄴ다/EF+"/SS+며/EC+,/SP
유	유/NNP
장관이	장관/NNG+이/JKS
말한	말/NNG+하/XSV+ㄴ/ETM
'여론조사'	'/SS+여론/NNG+조사/NNG+'/SS
방식에	방식/NNG+에/JKB
대해	대하/VV+아/EC
"옳지	"/SS+옳/VA+지/EC
못한	못하/VX+ㄴ/ETM
일"이라고도	일/NNG+"/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.338.6.1
유 원내대표도 이날 국회에서 기자들에게 "정부가 중요한 판단을 할 때 여론조사를 참고할 수 있는데 여론조사로 결정을 하는 것은 차원이 완전히 다른 문제"라며 "세월호 인양 문제를 여론조사로 결정한다는 것은 무책임하다"고 말했다.

유	유/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
기자들에게	기자/NNG+들/XSN+에게/JKB
"정부가	"/SS+정부/NNG+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
판단을	판단/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
여론조사를	여론/NNG+조사/NNG+를/JKO
참고할	참고/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
여론조사로	여론/NNG+조사/NNG+로/JKB
결정을	결정/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
차원이	차원/NNG+이/JKS
완전히	완전히/MAG
다른	다르/VA+ㄴ/ETM
문제"라며	문제/NNG+"/SS+이/VCP+라며/EC
"세월호	"/SS+세월호/NNP
인양	인양/NNG
문제를	문제/NNG+를/JKO
결정한다는	결정/NNG+하/XSV+ㄴ다는/ETM
무책임하다"고	무/XPN+책임/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.338.6.2
두 사람은 그간 '기술적으로 가능하다면 세월호를 인양해야 한다'는 입장이었다.

두	두/MMN
사람은	사람/NNG+은/JX
그간	그/NP+간/XSN
'기술적으로	'/SS+기술/NNG+적/XSN+으로/JKB
가능하다면	가능/NNG+하/XSA+다면/EC
세월호를	세월호/NNP+를/JKO
인양해야	인양/NNG+하/XSV+아야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/ETM
입장이었다.	입장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.338.6.3
이날 발언도 정부나 청와대보다 더 적극적으로 세월호를 인양해야 한다고 말한 것으로 풀이된다.

이날	이날/NNG
발언도	발언/NNG+도/JX
정부나	정부/NNG+나/JC
청와대보다	청와대/NNP+보다/JKB
더	더/MAG
적극적으로	적극/NNG+적/XSN+으로/JKB
세월호를	세월호/NNP+를/JKO
인양해야	인양/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.338.7.1
새누리당 관계자는 "국민 감정상 세월호가 바닷속에 잠겨 있는 한 세월호 참사 수습 작업이 끝났다고 말하기 어려울 것"이라며 "세월호 인양은 단순히 예산이 얼마 들고 안 들고 하는 문제가 아니다"고 했다.

새누리당	새누리당/NNP
관계자는	관계자/NNG+는/JX
"국민	"/SS+국민/NNG
감정상	감정/NNG+상/XSN
세월호가	세월호/NNP+가/JKS
바닷속에	바닷속/NNG+에/JKB
잠겨	잠기/VV+어/EC
있는	있/VX+는/ETM
한	한/NNG
세월호	세월호/NNP
참사	참사/NNG
수습	수습/NNG
작업이	작업/NNG+이/JKS
끝났다고	끝나/VV+았/EP+다고/EC
말하기	말/NNG+하/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"세월호	"/SS+세월호/NNP
인양은	인양/NNG+은/JX
단순히	단순히/MAG
예산이	예산/NNG+이/JKS
얼마	얼마/NNG
들고	들/VV+고/EC
안	안/MAG
하는	하/VV+는/ETM
문제가	문제/NNG+가/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.338.7.2
한 당직 의원은 "내년 총선 수도권 선거까지 악영향을 미칠 수 있다"고도 했다.

한	한/MMN
당직	당직/NNG
의원은	의원/NNG+은/JX
"내년	"/SS+내년/NNG
총선	총선/NNG
수도권	수도/NNG+권/XSN
선거까지	선거/NNG+까지/JX
악영향을	악영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수	수/NNB
있다"고도	있/VA+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


