# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.82
metadata : {}


# id : NWRW1800000037.82.1.1
1단계 공원, 베를린 마우어파크 벤치마킹

1단계	1/SN+단계/NNG
Band)’,	Band/SL+)/SS+’/SS+,/SP
즉	즉/MAG
그린벨트로	그린벨트/NNG+로/JKB
조성한	조성/NNG+하/XSV+ㄴ/ETM
사례를	사례/NNG+를/JKO
연상시킨다.	연상/NNG+시키/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.82.5.1
한국 DMZ학회 회장인 손기웅 통일연구원 북한인권연구센터 소장은 세계 최초의 세계평화공원으로 스웨덴과 노르웨이 국경지역에 있는 모로쿨리엔 평화공원(Morokulien Peace Park)을 들었다.

한국	한국/NNP
DMZ학회	DMZ학회/NNP
회장인	회장/NNG+이/VCP+ㄴ/ETM
손기웅	손기웅/NNP
통일연구원	통일/NNG+연구원/NNG
북한인권연구센터	북한인권연구센터/NNP
소장은	소장/NNG+은/JX
세계	세계/NNG
최초의	최초/NNG+의/JKG
세계평화공원으로	세계평화공원/NNP+으로/JKB
스웨덴과	스웨덴/NNP+과/JC
노르웨이	노르웨이/NNP
국경지역에	국경/NNG+지역/NNG+에/JKB
있는	있/VA+는/ETM
모로쿨리엔	모로쿨리엔/NNP
평화공원(Morokulien	평화/NNG+공원/NNG+(/SS+Morokulien/SL
Peace	Peace/SL
Park)을	Park/SL+)/SS+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.82.5.2
노르웨이와 스웨덴이 1910년대 전투를 벌인 뒤 국경지역에 1914년 평화공원을 조성했고 이후 수많은 평화적 활동의 무대로 활용됐다는 것이다.

노르웨이와	노르웨이/NNP+와/JC
스웨덴이	스웨덴/NNP+이/JKS
1910년대	1910/SN+년대/NNB
전투를	전투/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
뒤	뒤/NNG
국경지역에	국경/NNG+지역/NNG+에/JKB
1914년	1914/SN+년/NNB
평화공원을	평화/NNG+공원/NNG+을/JKO
조성했고	조성/NNG+하/XSV+았/EP+고/EC
이후	이후/NNG
수많은	수많/VA+은/ETM
평화적	평화/NNG+적/XSN
활동의	활동/NNG+의/JKG
무대로	무대/NNG+로/JKB
활용됐다는	활용/NNG+되/XSV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.82.5.3
박 대통령은 ‘약속을 반드시 지키는 북한-독일 관계’를 한반도 신뢰프로세스의 벤치마킹 대상으로 꼽을 만큼 독일 및 유럽에 대한 관심이 각별하다.

박	박/NNP
대통령은	대통령/NNG+은/JX
‘약속을	‘/SS+약속/NNG+을/JKO
반드시	반드시/MAG
지키는	지키/VV+는/ETM
북한-독일	북한/NNP+-/SO+독일/NNP
관계’를	관계/NNG+’/SS+를/JKO
한반도	한반도/NNP
신뢰프로세스의	신뢰/NNG+프로세스/NNG+의/JKG
벤치마킹	벤치마킹/NNG
대상으로	대상/NNG+으로/JKB
꼽을	꼽/VV+을/ETM
만큼	만큼/NNB
독일	독일/NNP
및	및/MAG
유럽에	유럽/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
각별하다.	각별/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.82.5.4
가까운 국제정치 인사로 독일 앙겔라 메르켈 총리를 가장 먼저 꼽기도 했다.

가까운	가깝/VA+ㄴ/ETM
국제정치	국제/NNG+정치/NNG
인사로	인사/NNG+로/JKB
독일	독일/NNP
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
총리를	총리/NNG+를/JKO
가장	가장/MAG
먼저	먼저/MAG
꼽기도	꼽/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


