# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.15
metadata : {}


# id : NWRW1800000045.15.1.1
TV-빔프로젝터 등 모든 화면을 터치스크린으로

TV-빔프로젝터	TV/SL+-/SO+빔/NNG+프로젝터/NNG
스마트폰	스마트폰/NNG
화면을	화면/NNG+을/JKO
대입하는	대입/NNG+하/XSV+는/ETM
시스템이다.	시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.15.5.2
어릴 때부터 카메라에 관심이 많던 권돌 대표는 터치스크린과 카메라를 연결할 수 있는 방법을 고민하다가 카메라를 이용한 입력장치를 떠올렸고 빅노트를 만들게 됐다.

어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
카메라에	카메라/NNG+에/JKB
관심이	관심/NNG+이/JKS
많던	많/VA+던/ETM
권돌	권돌/NNP
대표는	대표/NNG+는/JX
터치스크린과	터치스크린/NNG+과/JC
카메라를	카메라/NNG+를/JKO
연결할	연결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법을	방법/NNG+을/JKO
고민하다가	고민/NNG+하/XSV+다가/EC
이용한	이용/NNG+하/XSV+ㄴ/ETM
입력장치를	입력/NNG+장치/NNG+를/JKO
떠올렸고	떠올리/VV+었/EP+고/EC
빅노트를	빅노트/NNP+를/JKO
만들게	만들/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.15.6.1
빅노트의 장점은 50만 원 수준인 저렴한 가격이다.

빅노트의	빅노트/NNP+의/JKG
장점은	장점/NNG+은/JX
50만	50/SN+만/NR
원	원/NNB
수준인	수준/NNG+이/VCP+ㄴ/ETM
저렴한	저렴하/VA+ㄴ/ETM
가격이다.	가격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.15.6.2
기존 전자칠판이 1000만∼1500만 원인 점을 감안하면 20분의 1 수준이다.

기존	기존/NNG
전자칠판이	전자/NNG+칠판/NNG+이/JKS
1000만∼1500만	1000/SN+만/NR+∼/SO+1500/SN+만/NR
원인	원/NNB+이/VCP+ㄴ/ETM
점을	점/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
20분의	20/SN+분/XSN+의/JKG
1	1/SN
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.15.6.3
카메라와 전자펜으로 구성된 제품의 무게는 230g에 불과해 휴대가 간편하다.

카메라와	카메라/NNG+와/JC
전자펜으로	전자/NNG+펜/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
제품의	제품/NNG+의/JKG
무게는	무게/NNG+는/JX
230g에	230/SN+g/SW+에/JKB
불과해	불과/MAG+하/XSA+아/EC
휴대가	휴대/NNG+가/JKS
간편하다.	간편하/VA+다/EF+./SF


# id : NWRW1800000045.15.7.1
ISL코리아는 현재 일본 카자흐스탄 등과 수출 양해각서(MOU)를 체결했고, 영국, 일본 및 베트남의 기업과 30억 원 규모의 수출 협약도 체결하는 등 해외 진출을 가속화하고 있다.

ISL코리아는	ISL코리아/NNP+는/JX
현재	현재/MAG
일본	일본/NNP
카자흐스탄	카자흐스탄/NNP
등과	등/NNB+과/JKB
수출	수출/NNG
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결했고,	체결/NNG+하/XSV+았/EP+고/EC+,/SP
영국,	영국/NNP+,/SP
및	및/MAG
베트남의	베트남/NNP+의/JKG
기업과	기업/NNG+과/JKB
30억	30/SN+억/NR
원	원/NNB
규모의	규모/NNG+의/JKG
협약도	협약/NNG+도/JX
체결하는	체결/NNG+하/XSV+는/ETM
등	등/NNB
해외	해외/NNG
진출을	진출/NNG+을/JKO
가속화하고	가속/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.15.7.2
ISL코리아는 아시아와 영국을 우선 공략 지역으로 하고 이어 미국 및 유럽으로 점차 영역을 넓혀갈 계획이다.

ISL코리아는	ISL코리아/NNP+는/JX
아시아와	아시아/NNP+와/JC
영국을	영국/NNP+을/JKO
우선	우선/MAG
공략	공략/NNG
지역으로	지역/NNG+으로/JKB
하고	하/VV+고/EC
이어	이어/MAG
미국	미국/NNP
및	및/MAG
유럽으로	유럽/NNP+으로/JKB
점차	점차/MAG
영역을	영역/NNG+을/JKO
넓혀갈	넓히/VV+어/EC+가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


