# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.118
metadata : {}


# id : NWRW1800000052.118.1.1
서병수, 부산영화제 조직위원장 사퇴 뜻

서병수,	서병수/NNP+,/SP
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.118.7.1
부산국제영화제 집행위 쪽은 “서병수 시장이 영화제 조직위원장에서 물러나기로 한 결단을 환영한다”면서도 서 시장이 실제로 영화제의 독립성과 자율성을 보장할 의지가 있는지에 대해선 의구심을 표시했다.

부산국제영화제	부산/NNP+국제/NNG+영화제/NNG
집행위	집행위/NNG
쪽은	쪽/NNB+은/JX
“서병수	“/SS+서병수/NNP
시장이	시장/NNG+이/JKS
영화제	영화제/NNG
조직위원장에서	조직/NNG+위원장/NNG+에서/JKB
물러나기로	물러나/VV+기/ETN+로/JKB
한	하/VX+ㄴ/ETM
결단을	결단/NNG+을/JKO
환영한다”면서도	환영/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC+도/JX
서	서/NNP
실제로	실제로/MAG
영화제의	영화제/NNG+의/JKG
독립성과	독립/NNG+성/XSN+과/JC
자율성을	자율/NNG+성/XSN+을/JKO
보장할	보장/NNG+하/XSV+ㄹ/ETM
의지가	의지/NNG+가/JKS
있는지에	있/VA+는지/EF+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
의구심을	의구심/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.118.8.1
실제 부산시가 이날 언론에 배포한 ‘부산국제영화제 총회 안건’ 자료에는 ‘이용관 집행위원장 승인(안)’과 ‘정관 개정(안)’이 빠져 있다.

실제	실제/NNG
부산시가	부산시/NNP+가/JKS
이날	이날/NNG
언론에	언론/NNG+에/JKB
배포한	배포/NNG+하/XSV+ㄴ/ETM
‘부산국제영화제	‘/SS+부산/NNP+국제/NNG+영화제/NNG
총회	총회/NNG
안건’	안건/NNG+’/SS
자료에는	자료/NNG+에/JKB+는/JX
‘이용관	‘/SS+이용관/NNP
집행위원장	집행/NNG+위원장/NNG
승인(안)’과	승인/NNG+(/SS+안/NNG+)/SS+’/SS+과/JC
‘정관	‘/SS+정관/NNG
개정(안)’이	개정/NNG+(/SS+안/NNG+)/SS+’/SS+이/JKS
빠져	빠지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.118.8.2
이대로라면, 오는 25일 열리는 총회에서도 서 시장 아닌 민간 조직위원장 선임을 위한 정관 개정은 이뤄지지 않으면서, 이용관 위원장만 임기만료 형식으로 사실상 ‘해촉’되는 결과를 빚는 게 아니냐는 우려도 나온다.

이대로라면,	이대로/MAG+이/VCP+라면/EC+,/SP
오는	오/VV+는/ETM
25일	25/SN+일/NNB
열리는	열리/VV+는/ETM
총회에서도	총회/NNG+에서/JKB+도/JX
서	서/NNP
시장	시장/NNG
아닌	아니/VCN+ㄴ/ETM
민간	민간/NNG
조직위원장	조직/NNG+위원장/NNG
선임을	선임/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정관	정관/NNG
개정은	개정/NNG+은/JX
이뤄지지	이뤄지/VV+지/EC
않으면서,	않/VX+으면서/EC+,/SP
이용관	이용관/NNP
위원장만	위원장/NNG+만/JX
임기만료	임기/NNG+만료/NNG
형식으로	형식/NNG+으로/JKB
사실상	사실/NNG+상/XSN
‘해촉’되는	‘/SS+해촉/NNG+’/SS+되/XSV+는/ETM
결과를	결과/NNG+를/JKO
빚는	빚/VV+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
우려도	우려/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.118.8.3
영화제 쪽 한 관계자는 “조직위원장에서 물러나겠다면서도 총회 안건에 조직위원장 민간 이양안은 없고 사실상 이용관 해촉안만 있는 것은 부산시의 실천 의지를 의심하게 하는 것”이라며 서 시장의 사퇴 발표에도 불구하고 영화제 쪽과 부산시 간 충돌은 피할 수 없을 것이라고 말했다.

영화제	영화제/NNG
쪽	쪽/NNB
한	한/MMN
관계자는	관계자/NNG+는/JX
“조직위원장에서	“/SS+조직/NNG+위원장/NNG+에서/JKB
물러나겠다면서도	물러나/VV+겠/EP+다면서/EC+도/JX
총회	총회/NNG
안건에	안건/NNG+에/JKB
조직위원장	조직/NNG+위원장/NNG
민간	민간/NNG
이양안은	이양/NNG+안/NNG+은/JX
없고	없/VA+고/EC
사실상	사실/NNG+상/XSN
이용관	이용관/NNP
해촉안만	해촉/NNG+안/NNG+만/JX
있는	있/VA+는/ETM
것은	것/NNB+은/JX
부산시의	부산시/NNP+의/JKG
실천	실천/NNG
의지를	의지/NNG+를/JKO
의심하게	의심/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
서	서/NNP
시장의	시장/NNG+의/JKG
사퇴	사퇴/NNG
발표에도	발표/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
쪽과	쪽/NNB+과/JC
부산시	부산시/NNP
간	간/NNB
충돌은	충돌/NNG+은/JX
피할	피하/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.118.8.4
하지만 영화제 쪽도 결국 서 시장의 사퇴와 정관 개정을 분명히 약속받는 조건으로 이 위원장 ‘해촉’을 받아들이지 않겠느냐는 전망도 한쪽에선 나온다.

하지만	하지만/MAJ
영화제	영화제/NNG
쪽도	쪽/NNB+도/JX
결국	결국/NNG
서	서/NNP
시장의	시장/NNG+의/JKG
사퇴와	사퇴/NNG+와/JC
정관	정관/NNG
개정을	개정/NNG+을/JKO
분명히	분명히/MAG
약속받는	약속/NNG+받/XSV+는/ETM
조건으로	조건/NNG+으로/JKB
이	이/NNP
위원장	위원장/NNG
‘해촉’을	‘/SS+해촉/NNG+’/SS+을/JKO
받아들이지	받아들이/VV+지/EC
않겠느냐는	않/VX+겠/EP+느냐는/ETM
전망도	전망/NNG+도/JX
한쪽에선	한쪽/NNG+에서/JKB+ㄴ/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.118.9.1
2014년 제19회 부산국제영화제에서 세월호 참사를 다룬 다큐멘터리 <다이빙벨>이 상영된 이후 부산시는 영화제 쪽과 갈등을 빚어왔다.

2014년	2014/SN+년/NNB
제19회	제/XPN+19/SN+회/NNB
부산국제영화제에서	부산/NNP+국제/NNG+영화제/NNG+에서/JKB
세월호	세월호/NNP
참사를	참사/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
다큐멘터리	다큐멘터리/NNG
<다이빙벨>이	</SS+다이빙벨/NNG+>/SS+이/JKS
상영된	상영/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
부산시는	부산시/NNP+는/JX
영화제	영화제/NNG
쪽과	쪽/NNB+과/JKB
갈등을	갈등/NNG+을/JKO
빚어왔다.	빚/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.118.9.2
최근에는 부산시가 2월로 임기가 끝나는 이 위원장을 ‘해촉’할 뜻을 비추자, 세계 유명 영화제 집행위원장 등 국내외 영화인들이 부산시를 비판하는 공개 편지를 보내는 등 국제적인 문제로 부각됐다.

최근에는	최근/NNG+에/JKB+는/JX
부산시가	부산시/NNP+가/JKS
2월로	2/SN+월/NNB+로/JKB
임기가	임기/NNG+가/JKS
끝나는	끝나/VV+는/ETM
이	이/NNP
위원장을	위원장/NNG+을/JKO
‘해촉’할	‘/SS+해촉/NNG+’/SS+하/VV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
비추자,	비추/VV+자/EC+,/SP
세계	세계/NNG
유명	유명/NNG
영화제	영화제/NNG
집행위원장	집행/NNG+위원장/NNG
등	등/NNB
국내외	국내외/NNG
영화인들이	영화인/NNG+들/XSN+이/JKS
부산시를	부산시/NNP+를/JKO
비판하는	비판/NNG+하/XSV+는/ETM
공개	공개/NNG
편지를	편지/NNG+를/JKO
보내는	보내/VV+는/ETM
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
문제로	문제/NNG+로/JKB
부각됐다.	부각/NNG+되/XSV+었/EP+다/EF+./SF


