# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.211
metadata : {}


# id : NWRW1800000046.211.1.1
장성우, 연장 역전 끝내기포

장성우,	장성우/NNP+,/SP
5실점해	5/SN+실점/NNG+하/XSV+아/EC
동점을	동점/NNG+을/JKO
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.3.5
8―8로 맞선 연장 11회초에는 한화 김태균에게 솔로포를 맞아 한 점을 뒤졌다.

8―8로	8/SN+―/SS+8/SN+로/JKB
맞선	맞서/VV+ㄴ/ETM
연장	연장/NNG
11회초에는	11/SN+회/NNB+초/NNB+에/JKB+는/JX
한화	한화/NNP
김태균에게	김태균/NNP+에게/JKB
솔로포를	솔로포/NNG+를/JKO
맞아	맞/VV+아/EC
한	한/MMN
점을	점/NNB+을/JKO
뒤졌다.	뒤지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.4.1
다 이긴 경기를 내주고 4연패에 빠질 위기에 놓인 팀을 포수 장성우〈사진〉가 구했다.

다	다/MAG
이긴	이기/VV+ㄴ/ETM
경기를	경기/NNG+를/JKO
내주고	내주/VV+고/EC
4연패에	4/SN+연패/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
위기에	위기/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
팀을	팀/NNG+을/JKO
포수	포수/NNG
장성우〈사진〉가	장성우/NNP+〈/SS+사진/NNG+〉/SS+가/JKS
구했다.	구하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.4.2
그는 8―9로 뒤진 11회말 2사 2루에서 한화의마무리 투수로 나온 송은범의 148㎞짜리 직구를 받아쳐 끝내기 2점 홈런으로 연결했다.

그는	그/NP+는/JX
8―9로	8/SN+―/SS+9/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
11회말	11/SN+회/NNB+말/NNB
2사	2/SN+사/NNG
2루에서	2루/NNG+에서/JKB
한화의마무리	한화/NNP+의/JKG+마무리/NNG
투수로	투수/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
송은범의	송은범/NNP+의/JKG
148㎞짜리	148/SN+㎞/SW+짜리/XSN
직구를	직구/NNG+를/JKO
받아쳐	받아치/VV+어/EC
끝내기	끝내기/NNG
2점	2/SN+점/NNB
홈런으로	홈런/NNG+으로/JKB
연결했다.	연결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.5.1
넥센은 목동 홈경기에서 KT를 6대0으로 꺾으면서 2루수 서건창의 부상으로 어수선했던 분위기를 털어냈다.

넥센은	넥센/NNP+은/JX
목동	목동/NNP
홈경기에서	홈경기/NNG+에서/JKB
KT를	KT/SL+를/JKO
6대0으로	6/SN+대/NNB+0/SN+으로/JKB
꺾으면서	꺾/VV+으면서/EC
2루수	2루수/NNG
서건창의	서건창/NNP+의/JKG
부상으로	부상/NNG+으로/JKB
어수선했던	어수선하/VA+았/EP+던/ETM
분위기를	분위기/NNG+를/JKO
털어냈다.	털/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.211.5.2
서건창은 9일 잠실 두산전 9회 초 무사 1루 상황에서 내야 땅볼을 치고 전력질주하다 베이스 위에서 1루수 고영민과 부딪치면서 넘어져 왼쪽 무릎 후방 십자인대가 부분적으로 찢어졌다는 진단을 받았다.

서건창은	서건창/NNP+은/JX
9일	9/SN+일/NNB
잠실	잠실/NNP
두산전	두산전/NNG
9회	9/SN+회/NNB
초	초/NNB
무사	무사/NNG
1루	1루/NNG
상황에서	상황/NNG+에서/JKB
내야	내야/NNG
땅볼을	땅볼/NNG+을/JKO
치고	치/VV+고/EC
전력질주하다	전력/NNG+질주/NNG+하/XSV+다/EC
베이스	베이스/NNG
위에서	위/NNG+에서/JKB
1루수	1루수/NNG
고영민과	고영민/NNP+과/JKB
부딪치면서	부딪치/VV+면서/EC
넘어져	넘어지/VV+어/EC
왼쪽	왼쪽/NNG
무릎	무릎/NNG
후방	후방/NNG
십자인대가	십자/NNG+인대/NNG+가/JKS
부분적으로	부분/NNG+적/XSN+으로/JKB
찢어졌다는	찢어지/VV+었/EP+다는/ETM
진단을	진단/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.5.3
구단 측은 "수술을 받아야 하는 상황을 피했다"며 "3개월간 재활을 하면서 복귀를 준비할 것"이라고 전했다.

구단	구단/NNG
측은	측/NNB+은/JX
"수술을	"/SS+수술/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
상황을	상황/NNG+을/JKO
피했다"며	피하/VV+았/EP+다/EF+"/SS+며/EC
"3개월간	"/SS+3/SN+개월/NNB+간/XSN
재활을	재활/NNG+을/JKO
하면서	하/VV+면서/EC
복귀를	복귀/NNG+를/JKO
준비할	준비/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.6.1
넥센 선발 투수 한현희가 7이닝 무실점이라는 눈부신 호투를 펼쳤다.

넥센	넥센/NNP
선발	선발/NNG
투수	투수/NNG
한현희가	한현희/NNP+가/JKS
7이닝	7/SN+이닝/NNG
무실점이라는	무/XPN+실점/NNG+이/VCP+라는/ETM
눈부신	눈부시/VA+ㄴ/ETM
호투를	호투/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.6.2
14개의 삼진을 잡아내면서 상대 타선을 틀어막았다.

14개의	14/SN+개/NNB+의/JKG
삼진을	삼진/NNG+을/JKO
잡아내면서	잡아내/VV+면서/EC
상대	상대/NNG
타선을	타선/NNG+을/JKO
틀어막았다.	틀어막/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.6.3
지난해까지 중간 계투로 뛰다 올 시즌 처음 선발로 전환한 그는 시즌 첫 승을 올렸다.

지난해까지	지난해/NNG+까지/JX
중간	중간/NNG
계투로	계투/NNG+로/JKB
뛰다	뛰/VV+다/EC
올	올/NNG
시즌	시즌/NNG
처음	처음/NNG
선발로	선발/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
첫	첫/MMN
승을	승/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.7.1
타선에선 서건창의 빈자리를 메우기 위해 나선 김지수가 힘을 냈다.

타선에선	타선/NNG+에서/JKB+ㄴ/JX
서건창의	서건창/NNP+의/JKG
빈자리를	빈자리/NNG+를/JKO
메우기	메우/VV+기/ETN
위해	위하/VV+아/EC
나선	나서/VV+ㄴ/ETM
김지수가	김지수/NNP+가/JKS
힘을	힘/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.7.2
2루수 겸 2번 타자로 출전한 그는 4―0으로 앞선 7회말 1사 만루에서 승부에 쐐기를 박는 2타점 적시타를 치며 활약했다.

2루수	2루수/NNG
겸	겸/NNB
2번	2/SN+번/NNB
타자로	타자/NNG+로/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
4―0으로	4/SN+―/SS+0/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
7회말	7/SN+회/NNB+말/NNB
1사	1/SN+사/NNG
만루에서	만루/NNG+에서/JKB
승부에	승부/NNG+에/JKB
쐐기를	쐐기/NNG+를/JKO
박는	박/VV+는/ETM
2타점	2/SN+타점/NNG
적시타를	적시타/NNG+를/JKO
치며	치/VV+며/EC
활약했다.	활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.7.3
수비에서도 안정적인 모습을 보이면서 벤치의 불안을 씻었다.

수비에서도	수비/NNG+에서/JKB+도/JX
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이면서	보이/VV+면서/EC
벤치의	벤치/NNG+의/JKG
불안을	불안/NNG+을/JKO
씻었다.	씻/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.7.4
넥센 염경엽 감독은 "어쩔 수 없는 상황이다. 최대한 빨리 돌아올 수 있도록 도울 수밖에 없지 않겠냐"면서 "백업 선수들이 분발해준다면 악재를 극복할 수 있을 것"이라고 말했다.

넥센	넥센/NNP
염경엽	염경엽/NNP
감독은	감독/NNG+은/JX
"어쩔	"/SS+어쩌/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF
최대한	최대한/MAG
빨리	빨리/MAG
돌아올	돌아오/VV+ㄹ/ETM
있도록	있/VA+도록/EC
도울	돕/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없지	없/VA+지/EC
않겠냐"면서	않/VX+겠/EP+냐/EF+"/SS+면서/EC
"백업	"/SS+백업/NNG
선수들이	선수/NNG+들/XSN+이/JKS
분발해준다면	분발/NNG+하/XSV+아/EC+주/VX+ㄴ다면/EC
악재를	악재/NNG+를/JKO
극복할	극복/NNG+하/XSV+ㄹ/ETM
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.8.1
SK는 마산 원정에서 NC를 3대2로 따돌리고 6연승을 달렸다.

SK는	SK/SL+는/JX
마산	마산/NNP
원정에서	원정/NNG+에서/JKB
NC를	NC/SL+를/JKO
3대2로	3/SN+대/NNB+2/SN+로/JKB
따돌리고	따돌리/VV+고/EC
6연승을	6/SN+연승/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.8.2
2―2로 맞선 8회 1사 1·2루에서 이재원이 결승타를 때렸다.

2―2로	2/SN+―/SS+2/SN+로/JKB
맞선	맞서/VV+ㄴ/ETM
8회	8/SN+회/NNB
1사	1/SN+사/NNG
1·2루에서	1·2루/NNG+에서/JKB
이재원이	이재원/NNP+이/JKS
결승타를	결승타/NNG+를/JKO
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.8.3
잠실에선 LG가 두산을 5대2로 눌렀다.

잠실에선	잠실/NNP+에서/JKB+ㄴ/JX
LG가	LG/SL+가/JKS
두산을	두산/NNP+을/JKO
5대2로	5/SN+대/NNB+2/SN+로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.8.4
이병규(9번)가 1―2로 뒤진 8회 대타로 나서 역전 3점포를 쏘아올리면서 승리에 앞장섰다.

이병규(9번)가	이병규/NNP+(/SS+9/SN+번/NNB+)/SS+가/JKS
1―2로	1/SN+―/SS+2/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
8회	8/SN+회/NNB
대타로	대타/NNG+로/JKB
나서	나서/VV+어/EC
역전	역전/NNG
3점포를	3/SN+점/NNB+포/NNG+를/JKO
쏘아올리면서	쏘/VV+아/EC+올리/VV+면서/EC
승리에	승리/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.211.9.1
삼성은 홈에서 KIA에 4대3으로 승리했다.

삼성은	삼성/NNP+은/JX
홈에서	홈/NNG+에서/JKB
KIA에	KIA/SL+에/JKB
4대3으로	4/SN+대/NNB+3/SN+으로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.211.9.2
연장 11회말 2사 1·2루에서 박해민이 KIA 윤석민을 상대로 끝내기 안타를 쳤다.

연장	연장/NNG
11회말	11/SN+회/NNB+말/NNB
2사	2/SN+사/NNG
1·2루에서	1·2루/NNG+에서/JKB
박해민이	박해민/NNP+이/JKS
KIA	KIA/SL
윤석민을	윤석민/NNP+을/JKO
상대로	상대/NNG+로/JKB
끝내기	끝내기/NNG
안타를	안타/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


