# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.174
metadata : {}


# id : NWRW1800000032.174.1.1
‘독설가’ 김어준이 뜨는 이유는…

‘독설가’	‘/SS+독설가/NNG+’/SS
분명하게	분명/MAG+하/XSA+게/EC
주장을	주장/NNG+을/JKO
펼치는	펼치/VV+는/ETM
것이	것/NNB+이/JKS
새롭게	새롭/VA+게/EC
다가간	다가가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.174.8.1
욕설과 비꼬기, 비판과 일방적 지지가 마구 섞이는 ‘나꼼수’의 방식은 좋고 싫음이 분명하다.

욕설과	욕설/NNG+과/JC
비꼬기,	비꼬/VV+기/ETN+,/SP
비판과	비판/NNG+과/JC
일방적	일방/NNG+적/XSN
지지가	지지/NNG+가/JKS
마구	마구/MAG
섞이는	섞이/VV+는/ETM
‘나꼼수’의	‘/SS+나꼼수/NNG+’/SS+의/JKG
방식은	방식/NNG+은/JX
좋고	좋/VA+고/EC
싫음이	싫/VA+음/ETN+이/JKS
분명하다.	분명/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000032.174.8.2
지지자들은 “한 번 들으면 중독성이 있어 다음 회가 올라오길 기다리는게 괴롭다”고 할 정도로 열광한다.

지지자들은	지지자/NNG+들/XSN+은/JX
“한	“/SS+한/MMN
번	번/NNB
들으면	듣/VV+으면/EC
중독성이	중독/NNG+성/XSN+이/JKS
있어	있/VA+어/EC
다음	다음/NNG
회가	회/NNB+가/JKS
올라오길	올라오/VV+기/ETN+ㄹ/JKO
기다리는게	기다리/VV+는/ETM+거/NNB+이/JKS
괴롭다”고	괴롭/VA+다/EF+”/SS+고/JKQ
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
열광한다.	열광/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.174.8.3
반면, “이렇게 정신없는 방송도 있느냐”고 반문할 만큼 혐오하는 이들도 많다.

반면,	반면/NNG+,/SP
“이렇게	“/SS+이렇/VA+게/EC
정신없는	정신없/VA+는/ETM
방송도	방송/NNG+도/JX
있느냐”고	있/VV+느냐/EF+”/SS+고/JKQ
반문할	반문/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
혐오하는	혐오/NNG+하/XSV+는/ETM
이들도	이/NNB+들/XSN+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000032.174.8.4
정인숙 경원대 신문방송학과 교수는 “이명박 정부에서 시민단체들과 공중파 방송의 입을 단속해 일반인들의 불만이 비등하면서 벌어진 현상”이라고 분석했다.

정인숙	정인숙/NNP
경원대	경원대/NNP
신문방송학과	신문/NNG+방송학과/NNG
교수는	교수/NNG+는/JX
“이명박	“/SS+이명박/NNP
정부에서	정부/NNG+에서/JKB
시민단체들과	시민/NNG+단체/NNG+들/XSN+과/JKB
공중파	공중파/NNG
방송의	방송/NNG+의/JKG
입을	입/NNG+을/JKO
단속해	단속/NNG+하/XSV+아/EC
일반인들의	일반인/NNG+들/XSN+의/JKG
불만이	불만/NNG+이/JKS
비등하면서	비등하/VA+면서/EC
벌어진	벌어지/VV+ㄴ/ETM
현상”이라고	현상/NNG+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


