# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.231
metadata : {}


# id : NWRW1800000038.231.1.1
[스페셜올림픽, 특별한 즐거움] (3) 통합 스포츠 체험, 야오밍·김동성 등 스포츠 스타 참가… 선수들과 함께 호흡

[스페셜올림픽,	[/SS+스페셜올림픽/NNG+,/SP
앞선 대회에서 미셸 콴(피겨 스케이팅)이나 아폴로 안톤 오노(쇼트트랙) 등 유명 선수들이 지적장애인 선수들에게 롤러 스케이트를 가르쳐 주는 식의 통합 스포츠 이벤트가 있었다.

앞선	앞서/VV+ㄴ/ETM
대회에서	대회/NNG+에서/JKB
미셸	미셸/NNP
콴(피겨	콴/NNP+(/SS+피겨/NNG
스케이팅)이나	스케이팅/NNG+)/SS+이나/JC
아폴로	아폴로/NNP
안톤	안톤/NNP
오노(쇼트트랙)	오노/NNP+(/SS+쇼트트랙/NNG+)/SS
등	등/NNB
유명	유명/NNG
선수들이	선수/NNG+들/XSN+이/JKS
지적장애인	지/NNG+적/XSN+장애인/NNG
선수들에게	선수/NNG+들/XSN+에게/JKB
롤러	롤러/NNG
스케이트를	스케이트/NNG+를/JKO
가르쳐	가르치/VV+어/EC
주는	주/VX+는/ETM
식의	식/NNB+의/JKG
통합	통합/NNG
스포츠	스포츠/NNG
이벤트가	이벤트/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.231.6.5
하지만 이번 평창 대회에선 스페셜올림픽 사상 처음으로 거의 전 종목에 걸쳐 통합 스포츠 경기가 열린다.

하지만	하지만/MAJ
이번	이번/NNG
평창	평창/NNP
대회에선	대회/NNG+에서/JKB+ㄴ/JX
스페셜올림픽	스페셜올림픽/NNG
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
거의	거의/MAG
전	전/MMN
종목에	종목/NNG+에/JKB
걸쳐	걸치/VV+어/EC
통합	통합/NNG
스포츠	스포츠/NNG
경기가	경기/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.7.1
통합 스포츠 체험 행사는 30일부터 다음 달 5일까지 일주일 동안 하루 한 차례씩 열린다.

통합	통합/NNG
스포츠	스포츠/NNG
체험	체험/NNG
행사는	행사/NNG+는/JX
30일부터	30/SN+일/NNB+부터/JX
다음	다음/NNG
달	달/NNG
5일까지	5/SN+일/NNB+까지/JX
일주일	일주일/NNG
동안	동안/NNG
하루	하루/NNG
한	한/MMN
차례씩	차례/NNG+씩/XSN
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.7.2
네 개 종목은 평창 알펜시아리조트, 나머지 세 개 종목은 강릉에서 진행된다.

네	네/MMN
개	개/NNB
종목은	종목/NNG+은/JX
평창	평창/NNP
알펜시아리조트,	알펜시아리조트/NNP+,/SP
나머지	나머지/NNG
세	세/MMN
강릉에서	강릉/NNP+에서/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.231.7.3
행사에 참가하는 스포츠 스타와 지적장애인 선수의 경기 일정은 개막 전날인 28일 최종 확정된다.

행사에	행사/NNG+에/JKB
참가하는	참가/NNG+하/XSV+는/ETM
스포츠	스포츠/NNG
스타와	스타/NNG+와/JC
지적장애인	지/NNG+적/XSN+장애인/NNG
선수의	선수/NNG+의/JKG
경기	경기/NNG
일정은	일정/NNG+은/JX
개막	개막/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
28일	28/SN+일/NNB
최종	최종/NNG
확정된다.	확정/NNG+되/XSV+ㄴ다/EF+./SF


