# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.341
metadata : {}


# id : NWRW1800000045.341.1.1
[프리미엄 리포트]대한민국은 녹음중

[프리미엄	[/SS+프리미엄/NNG
2013년	2013/SN+년/NNB
4월	4/SN+월/NNB
4일	4/SN+일/NNB
당시	당시/NNG
운전기사와의	운전기사/NNG+와/JKB+의/JKG
통화	통화/NNG
내용을	내용/NNG+을/JKO
녹취해	녹취/NNG+하/XSV+아/EC
공개했다가	공개/NNG+하/XSV+았/EP+다가/EC
오히려	오히려/MAG
“증인을	“/SS+증인/NNG+을/JKO
회유했다”는	회유/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
역풍을	역풍/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.341.6.1
이처럼 관련 인사들이 경쟁하듯 녹취를 공개하는 성 회장 사건은 한국 사회의 ‘녹취 중독’을 극단적으로 보여주는 사례다.

이처럼	이/NP+처럼/JKB
관련	관련/NNG
인사들이	인사/NNG+들/XSN+이/JKS
경쟁하듯	경쟁/NNG+하/XSV+듯/EC
녹취를	녹취/NNG+를/JKO
공개하는	공개/NNG+하/XSV+는/ETM
성	성/NNP
회장	회장/NNG
사건은	사건/NNG+은/JX
한국	한국/NNP
사회의	사회/NNG+의/JKG
‘녹취	‘/SS+녹취/NNG
중독’을	중독/NNG+’/SS+을/JKO
극단적으로	극단/NNG+적/XSN+으로/JKB
보여주는	보이/VV+어/EC+주/VX+는/ETM
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.341.6.2
이미 법조계에서는 “녹취 없는 소송은 없다”는 말이 격언처럼 사용된다.

이미	이미/MAG
법조계에서는	법조/NNG+계/XSN+에서/JKB+는/JX
“녹취	“/SS+녹취/NNG
없는	없/VA+는/ETM
소송은	소송/NNG+은/JX
없다”는	없/VA+다/EF+”/SS+는/ETM
말이	말/NNG+이/JKS
격언처럼	격언/NNG+처럼/JKB
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.341.6.3
최근 방위사업 비리 혐의로 구속 기소된 이규태 일광공영 회장은 사업 파트너는 물론이고 소속 연예인과 나눈 대화까지 녹취해 소송에 활용했다.

최근	최근/MAG
방위사업	방위/NNG+사업/NNG
비리	비리/NNG
혐의로	혐의/NNG+로/JKB
구속	구속/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
이규태	이규태/NNP
일광공영	일광공영/NNP
회장은	회장/NNG+은/JX
사업	사업/NNG
파트너는	파트너/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
소속	소속/NNG
연예인과	연예인/NNG+과/JKB
나눈	나누/VV+ㄴ/ETM
대화까지	대화/NNG+까지/JX
녹취해	녹취/NNG+하/XSV+아/EC
소송에	소송/NNG+에/JKB
활용했다.	활용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.341.7.1
녹취는 유명인뿐 아니라 일반인에게도 자연스러운 일이 됐다.

녹취는	녹취/NNG+는/JX
유명인뿐	유명인/NNG+뿐/JX
아니라	아니/VCN+라/EC
일반인에게도	일반인/NNG+에게/JKB+도/JX
자연스러운	자연/NNG+스럽/XSA+ㄴ/ETM
일이	일/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.341.7.2
계약을 앞둔 자영업자와 영업사원, 상사의 지시를 받는 직장인 등이 상대방과 통화하며 ‘통화 중 녹음’ 버튼을 누르는 것은 이제 어디서나 볼 수 있다.

계약을	계약/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
자영업자와	자영업자/NNG+와/JC
영업사원,	영업/NNG+사원/NNG+,/SP
상사의	상사/NNG+의/JKG
지시를	지시/NNG+를/JKO
받는	받/VV+는/ETM
직장인	직장인/NNG
등이	등/NNB+이/JKS
상대방과	상대방/NNG+과/JKB
통화하며	통화/NNG+하/XSV+며/EC
‘통화	‘/SS+통화/NNG
중	중/NNB
녹음’	녹음/NNG+’/SS
버튼을	버튼/NNG+을/JKO
누르는	누르/VV+는/ETM
것은	것/NNB+은/JX
이제	이제/MAG
어디서나	어디/NP+서/JKB+나/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.341.7.3
헌법재판소가 간통죄 위헌 결정을 내린 이후에는 배우자의 비행을 감시할 ‘은밀한’ 녹음 장비를 찾는 사람도 늘고 있다.

헌법재판소가	헌법/NNG+재판소/NNG+가/JKS
간통죄	간통죄/NNG
위헌	위헌/NNG
결정을	결정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
이후에는	이후/NNG+에/JKB+는/JX
배우자의	배우자/NNG+의/JKG
비행을	비행/NNG+을/JKO
감시할	감시/NNG+하/XSV+ㄹ/ETM
‘은밀한’	‘/SS+은밀하/VA+ㄴ/ETM+’/SS
녹음	녹음/NNG
장비를	장비/NNG+를/JKO
찾는	찾/VV+는/ETM
사람도	사람/NNG+도/JX
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.341.8.1
현택수 한국사회문제연구원장은 “사회 전체가 법적 증거로 활용될 녹취만 믿는 ‘불신(不信)사회’로 접어들었다”며 “구두 약속이나 계약서마저 신뢰도가 떨어지면서 녹취의 일상화 현상이 나타나고 있다”고 진단했다.

현택수	현택수/NNP
한국사회문제연구원장은	한국사회문제연구원장/NNG+은/JX
“사회	“/SS+사회/NNG
전체가	전체/NNG+가/JKS
법적	법/NNG+적/XSN
증거로	증거/NNG+로/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
녹취만	녹취/NNG+만/JX
믿는	믿/VV+는/ETM
‘불신(不信)사회’로	‘/SS+불신/NNG+(/SS+不信/SH+)/SS+사회/NNG+’/SS+로/JKB
접어들었다”며	접어들/VV+었/EP+다/EF+”/SS+며/EC
“구두	“/SS+구두/NNG
약속이나	약속/NNG+이나/JX
계약서마저	계약서/NNG+마저/JX
신뢰도가	신뢰도/NNG+가/JKS
떨어지면서	떨어지/VV+면서/EC
녹취의	녹취/NNG+의/JKG
일상화	일상/NNG+화/XSN
현상이	현상/NNG+이/JKS
나타나고	나타나/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


