# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.163
metadata : {}


# id : NWRW1800000046.163.1.1
공무원·교수 8명, 7년간 조직적 예산횡령

공무원·교수	공무원/NNG+·/SP+교수/NNG
업체를	업체/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
D씨는	D/SL+씨/NNB+는/JX
A씨와	A/SL+씨/NNB+와/JKB
짜고	짜/VV+고/EC
인건비	인건비/NNG
5000여만원,	5000/SN+여/XSN+만/NR+원/NNB+,/SP
연구·개발비	연구/NNG+·/SP+개발비/NNG
3억여원을	3/SN+억/NR+여/XSN+원/NNB+을/JKO
횡령했다.	횡령/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.163.6.4
B 사무관의 상관인 전 국토부 과장 E씨는 퇴직 후 이 사업 주관 대학 연구원으로 옮겨 별다른 업무도 하지 않은 채 연구비 2억원을 받았다.

B	B/SL
사무관의	사무관/NNG+의/JKG
상관인	상관/NNG+이/VCP+ㄴ/ETM
전	전/MMD
국토부	국토부/NNG
과장	과장/NNG
E씨는	E/SL+씨/NNB+는/JX
퇴직	퇴직/NNG
후	후/NNG
이	이/MMD
사업	사업/NNG
주관	주관/NNG
대학	대학/NNG
연구원으로	연구원/NNG+으로/JKB
옮겨	옮기/VV+어/EC
별다른	별다르/VA+ㄴ/ETM
업무도	업무/NNG+도/JX
하지	하/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
연구비	연구비/NNG
2억원을	2/SN+억/NR+원/NNB+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.163.6.5
B 사무관은 전직 상관 3명에게 이 같은 재취업 자리를 알선해주고 총 2800만원을 받은 것으로 드러났다.

B	B/SL
사무관은	사무관/NNG+은/JX
전직	전직/NNG
상관	상관/NNG
3명에게	3/SN+명/NNB+에게/JKB
이	이/NP
같은	같/VA+은/ETM
재취업	재/XPN+취업/NNG
자리를	자리/NNG+를/JKO
알선해주고	알선/NNG+하/XSV+아/EC+주/VX+고/EC
총	총/MMA
2800만원을	2800/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.163.7.1
감사원은 또 "항공 안전 기술 개발 사업에서 민관 유착의 구조적 비리가 확인됨에 따라 이 분야 후속 감사를 대대적으로 벌일 계획"이라고 밝혔다.

감사원은	감사원/NNG+은/JX
또	또/MAG
"항공	"/SS+항공/NNG
안전	안전/NNG
기술	기술/NNG
개발	개발/NNG
사업에서	사업/NNG+에서/JKB
민관	민관/NNG
유착의	유착/NNG+의/JKG
구조적	구조/NNG+적/XSN
비리가	비리/NNG+가/JKS
확인됨에	확인/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이	이/MMD
분야	분야/NNG
후속	후속/NNG
감사를	감사/NNG+를/JKO
대대적으로	대대적/NNG+으로/JKB
벌일	벌이/VV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


