# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.370
metadata : {}


# id : NWRW1800000038.370.1.1
北, 300㎜ 신형 방사포 시험했을수도… 기존 사정권 넘어 계룡대까지(충남 계룡시,육·해·공 3군본부 소재) 위협

北,	北/SH+,/SP
높다.	높/VA+다/EF+./SF


# id : NWRW1800000038.370.5.2
DMZ 인근에서 계룡대 등 대전권까지 사정권에 넣을 수 있다는 얘기다.

DMZ	DMZ/SL
인근에서	인근/NNG+에서/JKB
계룡대	계룡대/NNP
등	등/NNB
대전권까지	대전/NNP+권/XSN+까지/JX
사정권에	사정/NNG+권/XSN+에/JKB
넣을	넣/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.370.5.3
이들 무기는 발사 차량당 6~12개의 발사관을 갖고 있다.

이들	이/NP+들/XSN
무기는	무기/NNG+는/JX
발사	발사/NNG
차량당	차량/NNG+당/XSN
6~12개의	6/SN+~/SO+12/SN+개/NNB+의/JKG
발사관을	발사관/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.370.6.1
군 소식통은 "그동안 북한이 중국의 300㎜ 이상 대구경 방사포를 도입해 개량했다는 첩보는 있었지만 확인되지 않았다"며 "이번에 실제로 이를 시험 발사했는지 정밀 분석 중"이라고 말했다.

군	군/NNG
소식통은	소식통/NNG+은/JX
"그동안	"/SS+그동안/NNG
북한이	북한/NNP+이/JKS
중국의	중국/NNP+의/JKG
300㎜	300/SN+㎜/SW
이상	이상/NNG
대구경	대/XPN+구경/NNG
방사포를	방사포/NNG+를/JKO
도입해	도입/NNG+하/XSV+아/EC
개량했다는	개량/NNG+하/XSV+았/EP+다는/ETM
첩보는	첩보/NNG+는/JX
있었지만	있/VA+었/EP+지만/EC
확인되지	확인/NNG+되/XSV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"이번에	"/SS+이번/NNG+에/JKB
실제로	실제로/MAG
이를	이/NP+를/JKO
시험	시험/NNG
발사했는지	발사/NNG+하/XSV+았/EP+는지/EC
정밀	정밀/NNG
분석	분석/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.370.7.1
KN-02 및 개량형인 KN-09 미사일은 고체 로켓 방식이어서 액체 연료 주입에 시간이 걸리는 기존 스커드·노동 미사일에 비해 곧바로 발사가 가능하고 정확도가 높은 것이 강점이다.

KN-02	KN/SL+-/SO+02/SN
및	및/MAG
개량형인	개량/NNG+형/XSN+이/VCP+ㄴ/ETM
KN-09	KN/SL+-/SO+09/SN
미사일은	미사일/NNG+은/JX
고체	고체/NNG
로켓	로켓/NNG
방식이어서	방식/NNG+이/VCP+어서/EC
액체	액체/NNG
연료	연료/NNG
주입에	주입/NNG+에/JKB
시간이	시간/NNG+이/JKS
걸리는	걸리/VV+는/ETM
기존	기존/NNG
스커드·노동	스커드/NNG+·/SP+노동/NNG
미사일에	미사일/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
곧바로	곧바로/MAG
발사가	발사/NNG+가/JKS
가능하고	가능/NNG+하/XSA+고/EC
정확도가	정확도/NNG+가/JKS
높은	높/VA+은/ETM
것이	것/NNB+이/JKS
강점이다.	강점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.370.8.1
정부 당국은 북한이 이틀 연속 유도탄을 쐈지만 중거리 미사일이 아닌 단거리 유도탄을 쏜 데 주목하고 있는 것으로 알려졌다.

정부	정부/NNG
당국은	당국/NNG+은/JX
북한이	북한/NNP+이/JKS
이틀	이틀/NNG
연속	연속/NNG
유도탄을	유도탄/NNG+을/JKO
쐈지만	쏘/VV+았/EP+지만/EC
중거리	중거리/NNG
미사일이	미사일/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
단거리	단거리/NNG
쏜	쏘/VV+ㄴ/ETM
데	데/NNB
주목하고	주목/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.370.8.2
최근 괌을 사정권에 두는 무수단 미사일을 철수한 데 이어 총 7기(基)에 달했던 스커드·노동 미사일의 이동식 발사대 상당수도 철수한 것으로 알려져 북한이 추가 도발을 하더라도 고강도 도발 가능성은 작아진 것 아니냐는 전망도 나온다.

최근	최근/MAG
괌을	괌/NNP+을/JKO
사정권에	사정/NNG+권/XSN+에/JKB
두는	두/VV+는/ETM
무수단	무수단/NNP
미사일을	미사일/NNG+을/JKO
철수한	철수/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
총	총/MMA
7기(基)에	7/SN+기/NNB+(/SS+基/SH+)/SS+에/JKB
달했던	달하/VV+았/EP+던/ETM
스커드·노동	스커드/NNG+·/SP+노동/NNG
미사일의	미사일/NNG+의/JKG
이동식	이동식/NNG
발사대	발사대/NNG
상당수도	상당수/NNG+도/JX
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
북한이	북한/NNP+이/JKS
추가	추가/NNG
도발을	도발/NNG+을/JKO
하더라도	하/VV+더라도/EC
고강도	고/XPN+강도/NNG
도발	도발/NNG
가능성은	가능/NNG+성/XSN+은/JX
작아진	작아지/VV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.370.8.3
중국 관영 신화망(新華網)은 지난 18일 평양 주재 기자의 보도를 통해 "평양은 평상시와 같은 분위기"라고 전하면서 "(북 단거리 미사일 발사는) 최저한도의 시위이고 미국을 향해 다시 강한 태도를 보이려는 것일 수 있다"고 보도했다.

중국	중국/NNP
관영	관영/NNG
신화망(新華網)은	신화망/NNP+(/SS+新華網/SH+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
평양	평양/NNP
주재	주재/NNG
기자의	기자/NNG+의/JKG
보도를	보도/NNG+를/JKO
통해	통하/VV+아/EC
"평양은	"/SS+평양/NNP+은/JX
평상시와	평상시/NNG+와/JKB
같은	같/VA+은/ETM
분위기"라고	분위기/NNG+"/SS+라고/JKQ
전하면서	전하/VV+면서/EC
"(북	"/SS+(/SS+북/NNP
단거리	단거리/NNG
미사일	미사일/NNG
발사는)	발사/NNG+는/JX+)/SS
최저한도의	최저한도/NNG+의/JKG
시위이고	시위/NNG+이/VCP+고/EC
미국을	미국/NNP+을/JKO
향해	향하/VV+아/EC
다시	다시/MAG
강한	강하/VA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보이려는	보이/VV+려는/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.370.9.1
CNN방송·폭스뉴스·ABC방송·워싱턴포스트(WP) 등 미국의 주요 언론들도 북한의 유도탄 발사 소식을 비중 있게 전하면서도 한반도 긴장이 다시 높아질 가능성은 크지 않다고 진단했다.

CNN방송·폭스뉴스·ABC방송·워싱턴포스트(WP)	CNN/SL+방송/NNG+·/SP+폭스뉴스/NNP+·/SP+ABC방송/NNP+·/SP+워싱턴포스트/NNP+(/SS+WP/SL+)/SS
등	등/NNB
미국의	미국/NNP+의/JKG
주요	주요/NNG
언론들도	언론/NNG+들/XSN+도/JX
북한의	북한/NNP+의/JKG
유도탄	유도탄/NNG
발사	발사/NNG
소식을	소식/NNG+을/JKO
비중	비중/NNG
있게	있/VA+게/EC
전하면서도	전하/VV+면서/EC+도/JX
한반도	한반도/NNP
긴장이	긴장/NNG+이/JKS
다시	다시/MAG
높아질	높아지/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
크지	크/VA+지/EC
않다고	않/VX+다고/EC
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.370.9.2
하지만 북한이 본격적인 국면 전환에 들어섰다고 진단하기엔 시기상조라는 신중론도 적지 않다.

하지만	하지만/MAJ
북한이	북한/NNP+이/JKS
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
국면	국면/NNG
전환에	전환/NNG+에/JKB
들어섰다고	들어서/VV+었/EP+다고/EC
진단하기엔	진단/NNG+하/XSV+기/ETN+에/JKB+ㄴ/JX
시기상조라는	시기상조/NNG+이/VCP+라는/ETM
신중론도	신중/NNG+론/XSN+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000038.370.9.3
신범철 한국국방연구원 북한연구실장은 "이번 단거리 유도탄 발사는 긴장 대치 국면에서 대화 국면으로 가는 중간 단계로 기회를 엿보는 수순으로 볼 수 있다"며 "사태가 크게 악화될 가능성은 작지만 기습 도발 가능성을 배제할 수 없다"고 말했다.

신범철	신범철/NNP
한국국방연구원	한국국방연구원/NNP
북한연구실장은	북한/NNP+연구실장/NNG+은/JX
"이번	"/SS+이번/NNG
단거리	단거리/NNG
유도탄	유도탄/NNG
발사는	발사/NNG+는/JX
긴장	긴장/NNG
대치	대치/NNG
국면에서	국면/NNG+에서/JKB
대화	대화/NNG
국면으로	국면/NNG+으로/JKB
가는	가/VV+는/ETM
중간	중간/NNG
단계로	단계/NNG+로/JKB
기회를	기회/NNG+를/JKO
엿보는	엿보/VV+는/ETM
수순으로	수순/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"사태가	"/SS+사태/NNG+가/JKS
크게	크/VA+게/EC
악화될	악화/NNG+되/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
작지만	작/VA+지만/EC
기습	기습/NNG
도발	도발/NNG
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.370.10.1
한편 정부는 이날 통일부 대변인 성명을 통해 "북한이 유도탄을 발사하는 등 도발적 행동을 멈추지 않고 있음을 매우 개탄스럽게 생각한다"고 밝혔다.

한편	한편/MAG
정부는	정부/NNG+는/JX
이날	이날/NNG
통일부	통일부/NNG
대변인	대변인/NNG
성명을	성명/NNG+을/JKO
통해	통하/VV+아/EC
"북한이	"/SS+북한/NNP+이/JKS
유도탄을	유도탄/NNG+을/JKO
발사하는	발사/NNG+하/XSV+는/ETM
등	등/NNB
도발적	도발/NNG+적/XSN
행동을	행동/NNG+을/JKO
멈추지	멈추/VV+지/EC
않고	않/VX+고/EC
있음을	있/VX+음/ETN+을/JKO
매우	매우/MAG
개탄스럽게	개탄/NNG+스럽/XSA+게/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


